date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,242.98,245.55,241.35,242.21,241.63,40856000,40856000,-0.77,-0.3169,243.0225,"January 07, 25",-0.003169
2025-01-08,241.92,243.71,240.05,242.7,242.12,37628940,37628940,0.78,0.32242000000000004,242.095,"January 08, 25",0.0032242
2025-01-10,240.01,240.16,233.0,236.85,236.28,61710900,61710900,-3.16,-1.32,237.505,"January 10, 25",-0.0132
2025-01-13,233.53,234.67,229.72,234.4,233.84,49630725,49630725,0.87,0.37254000000000004,233.08,"January 13, 25",0.0037254
2025-01-14,234.75,236.12,232.47,233.28,232.72,39435300,39435300,-1.47,-0.6262,234.155,"January 14, 25",-0.006261999999999999
2025-01-15,234.64,238.96,234.43,237.87,237.3,39832000,39832000,3.24,1.38,236.475,"January 15, 25",0.013800000000000002
2025-01-16,237.35,238.01,228.03,228.26,227.71,71759100,71759100,-9.09,-3.83,232.9125,"January 16, 25",-0.0383
2025-01-17,232.12,232.29,228.48,229.98,229.43,68488301,68488301,-2.14,-0.9219400000000001,230.7175,"January 17, 25",-0.009219399999999999
2025-01-21,224.0,224.42,219.38,222.64,222.1,98070429,98070429,-1.3599999999999999,-0.60714,222.61,"January 21, 25",-0.006071399999999999
2025-01-22,219.79,224.12,219.79,223.83,223.29,64126500,64126500,4.04,1.8399999999999999,221.8825,"January 22, 25",0.0184
2025-01-23,224.74,227.03,222.3,223.66,223.12,60234800,60234800,-1.08,-0.48056000000000004,224.4325,"January 23, 25",-0.0048056
2025-01-24,224.78,225.63,221.41,222.78,222.24,54697907,54697907,-2.0,-0.8897600000000001,223.65,"January 24, 25",-0.0088976
2025-01-27,224.02,232.15,223.98,229.86,229.31,94863418,94863418,5.84,2.61,227.5025,"January 27, 25",0.0261
2025-01-28,230.85,240.19,230.81,238.26,237.69,75707600,75707600,7.41,3.21,235.0275,"January 28, 25",0.032100000000000004
2025-01-29,234.12,239.86,234.01,239.36,238.78,45486100,45486100,5.24,2.24,236.8375,"January 29, 25",0.0224
2025-01-30,238.67,240.79,237.21,237.59,237.02,55658300,55658300,-1.07,-0.45251,238.565,"January 30, 25",-0.0045251
2025-01-31,247.19,247.19,233.44,236.0,235.43,101075128,101075128,-11.19,-4.53,240.955,"January 31, 25",-0.0453
2025-02-03,229.99,231.83,225.7,228.01,227.46,73063301,73063301,-1.98,-0.8609100000000001,228.8825,"February 03, 25",-0.0086091
2025-02-04,227.25,233.13,226.65,232.8,232.24,45067301,45067301,5.55,2.44,229.9575,"February 04, 25",0.0244
2025-02-05,228.53,232.67,228.27,232.47,231.91,39664989,39664989,3.94,1.72,230.485,"February 05, 25",0.0172
2025-02-06,231.29,233.8,230.43,233.22,232.66,29925349,29925349,1.94,0.83445,232.185,"February 06, 25",0.0083445
2025-02-07,232.6,234.0,227.26,227.63,227.08,39707224,39707224,-4.97,-2.14,230.3725,"February 07, 25",-0.021400000000000002
2025-02-10,229.57,230.59,227.2,227.65,227.35,33115645,33115645,-1.92,-0.83635,228.7525,"February 10, 25",-0.0083635
2025-02-11,228.2,235.23,228.13,232.62,232.32,53718400,53718400,4.42,1.94,231.045,"February 11, 25",0.0194
2025-02-12,231.2,236.96,230.68,236.87,236.56,45243300,45243300,5.67,2.45,233.9275,"February 12, 25",0.0245
2025-02-13,236.91,242.34,235.57,241.53,241.21,53614100,53614100,4.62,1.9500000000000002,239.0875,"February 13, 25",0.0195
2025-02-14,241.25,245.55,240.99,244.6,244.28,40896227,40896227,3.35,1.3900000000000001,243.0975,"February 14, 25",0.013900000000000001
2025-02-18,244.15,245.18,241.84,244.47,244.15,48822500,48822500,0.32,0.13107000000000002,243.91,"February 18, 25",0.0013107
2025-02-19,244.66,246.01,243.16,244.87,244.55,32204215,32204215,0.21,0.08583339999999999,244.675,"February 19, 25",0.0008583340000000001
2025-02-20,244.94,246.78,244.29,245.83,245.51,32316907,32316907,0.89,0.36335,245.46,"February 20, 25",0.0036335
2025-02-21,245.95,248.69,245.22,245.55,245.23,53197431,53197431,-0.4,-0.16263000000000002,246.3525,"February 21, 25",-0.0016263
2025-02-24,244.93,248.86,244.42,247.1,246.78,51326400,51326400,2.17,0.88597,246.3275,"February 24, 25",0.0088597
2025-02-25,248.0,250.0,244.91,247.04,246.72,48013300,48013300,-0.96,-0.3871,247.4875,"February 25, 25",-0.003871
2025-02-26,244.33,244.98,239.13,240.36,240.05,44433600,44433600,-3.9699999999999998,-1.62,242.2,"February 26, 25",-0.0162
2025-02-27,239.41,242.46,237.06,237.3,236.99,41153639,41153639,-2.11,-0.8813300000000001,239.0575,"February 27, 25",-0.0088133
2025-02-28,236.95,242.09,230.2,241.84,241.52,56833400,56833400,4.89,2.06,237.77,"February 28, 25",0.0206
2025-03-03,241.79,244.03,236.11,238.03,237.72,47184000,47184000,-3.76,-1.56,239.99,"March 03, 25",-0.015600000000000001
2025-03-04,237.71,240.07,234.68,235.93,235.62,53798100,53798100,-1.78,-0.7488100000000001,237.0975,"March 04, 25",-0.007488099999999999
2025-03-05,235.42,236.55,229.23,235.74,235.43,47227643,47227643,0.32,0.13593000000000002,234.235,"March 05, 25",0.0013593
2025-03-06,234.44,237.86,233.16,235.33,235.02,45170419,45170419,0.895,0.37963,235.1975,"March 06, 25",0.0037963
2025-03-07,235.11,241.37,234.76,239.07,238.76,46273600,46273600,3.9699999999999998,1.6800000000000002,237.5775,"March 07, 25",0.016800000000000002
2025-03-10,235.54,236.16,224.22,227.48,227.18,72071200,72071200,-8.06,-3.42,230.85,"March 10, 25",-0.0342
