date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,179.63,182.17,178.39,179.53,174.72,5905223,5905223,-0.1,-0.05566999,179.93,"January 07, 25",-0.0005566999
2025-01-08,179.2,179.24,176.18,178.5,173.71,4488519,4488519,-0.7000000000000001,-0.39062,178.28,"January 08, 25",-0.0039062
2025-01-10,176.86,177.54,173.33,175.17,170.47,5372441,5372441,-1.69,-0.9555600000000001,175.725,"January 10, 25",-0.0095556
2025-01-13,175.16,177.98,174.34,176.74,172.0,4734100,4734100,1.58,0.9020300000000001,176.055,"January 13, 25",0.0090203
2025-01-14,176.61,176.78,174.09,175.55,170.84,4779147,4779147,-1.06,-0.60019,175.7575,"January 14, 25",-0.0060019
2025-01-15,173.52,174.46,168.72,171.35,168.33,8048736,8048736,-2.16,-1.25,172.0125,"January 15, 25",-0.0125
2025-01-16,171.45,173.96,170.52,173.7,170.64,5236000,5236000,2.25,1.31,172.4075,"January 16, 25",0.0131
2025-01-17,172.88,173.99,171.27,171.56,168.53,7852525,7852525,-1.32,-0.7635400000000001,172.425,"January 17, 25",-0.0076354
2025-01-21,172.16,175.66,171.22,172.61,169.56,7548666,7548666,0.45,0.26138,172.9125,"January 21, 25",0.0026138
2025-01-22,170.3,170.87,168.06,169.2,166.22,9465000,9465000,-1.1,-0.64592,169.6075,"January 22, 25",-0.0064592
2025-01-23,170.46,170.69,168.48,170.67,167.66,7116200,7116200,0.21,0.1232,170.075,"January 23, 25",0.001232
2025-01-24,169.32,171.11,169.25,170.3,167.3,5584924,5584924,0.98,0.57879,169.995,"January 24, 25",0.0057878999999999995
2025-01-27,172.66,177.45,172.59,176.9,173.78,6985212,6985212,4.24,2.46,174.9,"January 27, 25",0.0246
2025-01-28,176.8,177.16,173.73,174.81,171.73,5604051,5604051,-1.99,-1.13,175.625,"January 28, 25",-0.011300000000000001
2025-01-29,174.5,176.92,174.3,175.26,172.17,3748422,3748422,0.76,0.43553000000000003,175.245,"January 29, 25",0.0043552999999999994
2025-01-30,176.01,176.12,173.98,175.65,172.55,5209206,5209206,-0.36,-0.20453000000000002,175.44,"January 30, 25",-0.0020453
2025-01-31,187.3,191.77,183.67,183.9,180.66,11928323,11928323,-3.4,-1.82,186.66,"January 31, 25",-0.0182
2025-02-03,183.18,191.66,182.15,190.14,186.79,9830000,9830000,6.96,3.8,186.7825,"February 03, 25",0.038
2025-02-04,187.63,191.15,187.05,189.95,186.6,7377800,7377800,2.32,1.24,188.945,"February 04, 25",0.012400000000000001
2025-02-05,190.52,193.38,189.92,191.75,188.37,6449920,6449920,1.23,0.6456000000000001,191.3925,"February 05, 25",0.006456
2025-02-06,191.9,194.49,190.56,192.97,189.57,4586688,4586688,1.07,0.5575800000000001,192.48,"February 06, 25",0.0055758
2025-02-07,193.16,193.86,190.44,190.6,187.24,3805940,3805940,-2.56,-1.33,192.015,"February 07, 25",-0.013300000000000001
2025-02-10,191.46,191.46,189.09,190.34,186.98,3685700,3685700,-1.12,-0.58498,190.5875,"February 10, 25",-0.0058498
2025-02-11,189.8,191.93,188.26,191.83,188.45,3977033,3977033,2.03,1.07,190.455,"February 11, 25",0.010700000000000001
2025-02-12,190.5,194.37,190.39,193.0,189.6,4525009,4525009,2.5,1.31,192.065,"February 12, 25",0.0131
2025-02-13,194.28,194.28,191.43,193.45,190.04,4108920,4108920,-0.8300000000000001,-0.42722000000000004,193.36,"February 13, 25",-0.0042721999999999994
2025-02-14,193.95,195.18,192.78,192.87,189.47,3976903,3976903,-1.08,-0.55684,193.695,"February 14, 25",-0.005568399999999999
2025-02-18,192.0,197.02,190.67,196.25,192.79,6065546,6065546,4.25,2.21,193.985,"February 18, 25",0.0221
2025-02-19,196.79,198.11,196.01,197.35,193.87,4888865,4888865,0.56,0.28457000000000005,197.065,"February 19, 25",0.0028457
2025-02-20,198.0,201.36,196.83,200.88,197.34,5067000,5067000,2.88,1.45,199.2675,"February 20, 25",0.0145
2025-02-21,200.32,203.98,200.02,202.08,198.51,5889400,5889400,1.76,0.8785900000000001,201.6,"February 21, 25",0.0087859
2025-02-24,201.83,205.5,201.28,204.08,200.48,6305000,6305000,2.25,1.11,203.1725,"February 24, 25",0.0111
2025-02-25,205.18,206.01,202.35,204.14,200.54,7747037,7747037,-1.04,-0.50687,204.42,"February 25, 25",-0.0050687
2025-02-26,203.59,203.83,201.43,203.01,199.43,4767261,4767261,-0.58,-0.28489000000000003,202.965,"February 26, 25",-0.0028488999999999997
2025-02-27,203.06,206.8,202.25,205.02,201.4,5696900,5696900,1.96,0.96523,204.2825,"February 27, 25",0.009652299999999999
2025-02-28,205.12,209.6,204.41,209.03,205.34,13136421,13136421,3.91,1.9100000000000001,207.04,"February 28, 25",0.019100000000000002
2025-03-03,209.98,212.3,208.91,211.48,207.75,7016425,7016425,1.5,0.71435,210.6675,"March 03, 25",0.0071435
2025-03-04,214.47,215.66,207.67,207.76,204.09,7554000,7554000,-6.71,-3.13,211.39,"March 04, 25",-0.0313
2025-03-05,207.07,212.18,206.0,211.54,207.81,5753191,5753191,4.47,2.16,209.1975,"March 05, 25",0.0216
2025-03-06,211.45,211.98,208.5,210.75,207.03,4346000,4346000,-0.7000000000000001,-0.33105,210.67,"March 06, 25",-0.0033104999999999996
2025-03-07,211.11,214.99,209.0,214.29,210.51,6806116,6806116,3.18,1.51,212.3475,"March 07, 25",0.0151
2025-03-10,209.99,218.66,209.2,216.66,212.84,8604021,8604021,6.67,3.18,213.6275,"March 10, 25",0.0318
2025-03-11,216.66,216.66,212.41,213.59,209.82,7144519,7144519,-3.07,-1.42,214.83,"March 11, 25",-0.0142
2025-03-12,212.0,213.87,209.31,212.06,208.32,6139800,6139800,0.06,0.02830189,211.81,"March 12, 25",0.0002830189
2025-03-13,212.0,213.8,210.68,211.55,207.82,5559530,5559530,-0.45,-0.21226,212.0075,"March 13, 25",-0.0021226
2025-03-14,209.78,212.82,208.29,211.77,208.03,4511600,4511600,1.99,0.9486100000000001,210.665,"March 14, 25",0.009486099999999999
2025-03-17,212.22,215.5,209.52,214.47,210.69,5075817,5075817,2.25,1.06,212.9275,"March 17, 25",0.0106
2025-03-18,214.47,215.18,212.27,213.85,210.08,5088300,5088300,-0.62,-0.28908,213.9425,"March 18, 25",-0.0028908
2025-03-19,214.03,214.5,210.78,212.25,208.51,5413299,5413299,-1.78,-0.8316600000000001,212.89,"March 19, 25",-0.0083166
2025-03-20,213.01,213.42,211.11,211.96,208.22,5836100,5836100,-1.05,-0.49293000000000003,212.375,"March 20, 25",-0.0049293
2025-03-21,211.73,212.88,208.74,210.01,206.31,16657723,16657723,-1.72,-0.8123600000000001,210.84,"March 21, 25",-0.0081236
2025-03-24,209.39,211.02,207.5,209.17,205.48,7393800,7393800,-0.22,-0.10507000000000001,209.27,"March 24, 25",-0.0010507
2025-03-25,209.22,209.26,199.38,201.34,197.79,10089100,10089100,-7.88,-3.77,204.8,"March 25, 25",-0.037700000000000004
2025-03-26,203.12,203.12,196.49,201.3,197.75,6743496,6743496,-1.81,-0.89602,201.0075,"March 26, 25",-0.0089602
2025-03-27,202.02,203.68,201.3,202.72,199.14,4995303,4995303,0.7000000000000001,0.34650000000000003,202.43,"March 27, 25",0.0034649999999999998
