date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,113.37,114.69,113.17,113.4,111.79,5300212,5300212,0.03,0.02646203,113.6575,"January 07, 25",0.0002646203
2025-01-08,113.54,114.31,112.26,114.25,112.62,4455800,4455800,0.71,0.62533,113.59,"January 08, 25",0.0062533
2025-01-10,113.77,113.84,111.79,112.31,110.71,5109130,5109130,-1.46,-1.28,112.9275,"January 10, 25",-0.0128
2025-01-13,112.6,113.39,111.98,113.19,111.58,4409702,4409702,0.59,0.52398,112.79,"January 13, 25",0.0052398
2025-01-14,113.56,113.81,112.29,113.02,111.41,3972400,3972400,-0.54,-0.47552000000000005,113.17,"January 14, 25",-0.004755199999999999
2025-01-15,112.15,112.76,110.86,111.1,110.09,6543700,6543700,-1.05,-0.93625,111.7175,"January 15, 25",-0.0093625
2025-01-16,111.02,113.95,111.02,113.91,112.88,5598701,5598701,2.89,2.6,112.475,"January 16, 25",0.026000000000000002
2025-01-17,113.62,114.79,113.39,113.48,112.45,6459847,6459847,-0.14,-0.12322000000000001,113.82,"January 17, 25",-0.0012322
2025-01-21,114.25,116.9,114.14,116.79,115.73,8486300,8486300,2.54,2.22,115.52,"January 21, 25",0.0222
2025-01-22,114.13,119.94,113.5,117.78,116.71,13200904,13200904,3.66,3.2,116.3375,"January 22, 25",0.032
2025-01-23,118.13,123.23,117.78,123.22,122.1,13089400,13089400,5.09,4.31,120.59,"January 23, 25",0.0431
2025-01-24,122.59,125.67,122.18,125.03,123.9,9960512,9960512,2.44,1.99,123.8675,"January 24, 25",0.0199
2025-01-27,126.73,129.76,125.47,129.43,128.26,11845100,11845100,2.7,2.13,127.8475,"January 27, 25",0.0213
2025-01-28,129.75,129.85,126.67,127.39,126.24,11948715,11948715,-2.36,-1.82,128.415,"January 28, 25",-0.0182
2025-01-29,128.16,129.3,127.63,127.86,126.7,7609800,7609800,-0.30000000000000004,-0.23408,128.2375,"January 29, 25",-0.0023408
2025-01-30,127.99,129.19,127.19,128.81,127.64,6340522,6340522,0.8200000000000001,0.64068,128.295,"January 30, 25",0.0064068
2025-01-31,128.37,128.76,127.68,127.93,126.77,7129490,7129490,-0.44,-0.34276,128.185,"January 31, 25",-0.0034276
2025-02-03,126.65,128.95,126.01,128.45,127.29,5720601,5720601,1.8,1.42,127.515,"February 03, 25",0.0142
2025-02-04,126.44,129.2,126.0,129.1,127.93,6957675,6957675,2.66,2.1,127.685,"February 04, 25",0.021
2025-02-05,129.43,132.5,128.95,132.06,130.86,8680447,8680447,2.63,2.03,130.735,"February 05, 25",0.020300000000000002
2025-02-06,131.8,131.9,128.14,128.22,127.06,6469200,6469200,-3.58,-2.7199999999999998,130.015,"February 06, 25",-0.027200000000000002
2025-02-07,128.07,129.49,128.07,129.07,127.9,6455324,6455324,1.0,0.7808200000000001,128.675,"February 07, 25",0.0078081999999999995
2025-02-10,129.07,131.43,128.6,131.31,130.12,5503637,5503637,2.24,1.74,130.1025,"February 10, 25",0.017400000000000002
2025-02-11,131.2,132.05,130.47,131.44,130.25,5314100,5314100,0.24,0.18293,131.29,"February 11, 25",0.0018292999999999998
2025-02-12,130.49,130.8,129.24,130.49,129.31,4703801,4703801,0.0,0.0,130.255,"February 12, 25",0.0
2025-02-13,130.93,132.04,130.55,131.79,130.6,4168400,4168400,0.86,0.6568400000000001,131.3275,"February 13, 25",0.006568399999999999
2025-02-14,132.32,132.65,130.52,130.61,129.43,3733920,3733920,-1.71,-1.29,131.525,"February 14, 25",-0.0129
2025-02-18,129.76,130.82,128.25,130.18,129.0,5116301,5116301,0.42,0.32367,129.7525,"February 18, 25",0.0032367
2025-02-19,130.26,132.26,130.0,132.13,130.93,3806989,3806989,1.87,1.44,131.1625,"February 19, 25",0.014400000000000001
2025-02-20,131.73,133.28,131.35,133.17,131.96,5046900,5046900,1.44,1.09,132.3825,"February 20, 25",0.0109
2025-02-21,132.41,135.41,132.41,134.92,133.7,7160106,7160106,2.51,1.9,133.7875,"February 21, 25",0.019
2025-02-24,134.49,136.59,134.3,134.95,133.73,5947200,5947200,0.46,0.34203,135.0825,"February 24, 25",0.0034203
2025-02-25,135.38,136.45,134.36,135.82,134.59,6386137,6386137,0.44,0.32501,135.5025,"February 25, 25",0.0032500999999999997
2025-02-26,135.15,136.31,134.27,135.96,134.73,5388266,5388266,0.8150000000000001,0.59933,135.4225,"February 26, 25",0.0059933
2025-02-27,135.72,136.99,135.22,135.87,134.64,4890700,4890700,0.15,0.11052000000000001,135.95,"February 27, 25",0.0011052
2025-02-28,136.4,138.37,134.75,138.01,136.76,8756146,8756146,1.6099999999999999,1.18,136.8825,"February 28, 25",0.0118
2025-03-03,138.17,140.84,138.01,140.22,138.95,7589800,7589800,2.05,1.48,139.31,"March 03, 25",0.0148
2025-03-04,141.0,141.23,137.53,137.58,136.33,8356486,8356486,-3.42,-2.43,139.335,"March 04, 25",-0.024300000000000002
2025-03-05,136.9,138.5,136.04,137.71,136.46,8156700,8156700,0.8150000000000001,0.59167,137.2875,"March 05, 25",0.0059166999999999996
2025-03-06,137.06,137.72,133.46,135.08,133.86,9184200,9184200,-1.98,-1.44,135.83,"March 06, 25",-0.014400000000000001
2025-03-07,134.51,137.48,133.96,137.14,135.9,8255101,8255101,2.63,1.96,135.7725,"March 07, 25",0.0196
2025-03-10,136.43,139.15,136.43,137.36,136.12,7028000,7028000,0.93,0.6816700000000001,137.3425,"March 10, 25",0.006816699999999999
2025-03-11,137.06,137.06,132.31,132.66,131.46,9313590,9313590,-4.4,-3.21,134.7725,"March 11, 25",-0.032100000000000004
2025-03-12,132.29,132.61,129.44,130.28,129.1,6771000,6771000,-2.01,-1.52,131.155,"March 12, 25",-0.0152
2025-03-13,130.28,130.85,129.0,129.89,128.71,9012900,9012900,-0.39,-0.29936,130.005,"March 13, 25",-0.0029936
2025-03-14,125.0,128.49,124.5,126.71,125.56,9537900,9537900,1.71,1.37,126.175,"March 14, 25",0.0137
2025-03-17,126.72,127.87,126.2,127.64,126.48,6663101,6663101,0.92,0.72601,127.1075,"March 17, 25",0.007260099999999999
2025-03-18,127.95,128.62,124.9,126.3,125.16,7959839,7959839,-1.65,-1.29,126.9425,"March 18, 25",-0.0129
2025-03-19,126.33,127.78,125.78,127.42,126.27,5098556,5098556,1.09,0.86282,126.8275,"March 19, 25",0.008628199999999999
2025-03-20,127.33,127.76,126.38,126.78,125.63,5158504,5158504,-0.55,-0.43195000000000006,127.0625,"March 20, 25",-0.0043194999999999996
2025-03-21,126.33,126.81,125.49,126.34,125.2,8857100,8857100,0.01,0.00791578,126.2425,"March 21, 25",7.91578e-05
2025-03-24,127.21,127.84,126.6,127.21,126.06,5283077,5283077,0.005,0.0,127.215,"March 24, 25",0.0
2025-03-25,127.68,128.79,124.5,125.6,124.46,6726864,6726864,-2.08,-1.63,126.6425,"March 25, 25",-0.016300000000000002
2025-03-26,125.74,127.34,125.13,126.61,125.46,6053700,6053700,0.87,0.6919000000000001,126.205,"March 26, 25",0.006919
2025-03-27,127.17,131.93,126.66,131.35,130.16,8441445,8441445,4.18,3.29,129.2775,"March 27, 25",0.0329
2025-03-28,131.26,133.46,130.75,130.82,129.63,6708581,6708581,-0.435,-0.33521,131.5725,"March 28, 25",-0.0033521
2025-03-31,130.81,133.2,130.64,132.65,131.45,9669848,9669848,1.8399999999999999,1.4100000000000001,131.825,"March 31, 25",0.014100000000000001
2025-04-01,132.48,132.63,131.08,131.69,130.5,4229092,4229092,-0.785,-0.5963200000000001,131.97,"April 01, 25",-0.0059632
2025-04-02,130.64,132.13,129.76,131.93,130.73,4236241,4236241,1.29,0.98745,131.115,"April 02, 25",0.0098745
2025-04-03,131.91,133.64,131.48,131.63,130.44,6239225,6239225,-0.28,-0.21227000000000001,132.165,"April 03, 25",-0.0021227
2025-04-04,131.23,132.4,124.0,124.44,123.31,10776900,10776900,-6.79,-5.17,128.0175,"April 04, 25",-0.0517
2025-04-07,122.29,126.5,120.47,124.86,123.73,10371338,10371338,2.5700000000000003,2.1,123.53,"April 07, 25",0.021
2025-04-08,127.07,127.96,122.06,123.95,122.83,9880100,9880100,-3.12,-2.46,125.26,"April 08, 25",-0.0246
2025-04-09,121.63,127.76,120.85,127.04,125.89,10179200,10179200,5.42,4.45,124.32,"April 09, 25",0.044500000000000005
2025-04-10,126.0,126.82,122.02,124.5,123.37,11089400,11089400,-1.5,-1.19,124.835,"April 10, 25",-0.0119
2025-04-11,126.06,128.52,124.04,126.88,125.73,7357019,7357019,0.8250000000000001,0.6504800000000001,126.375,"April 11, 25",0.0065048
2025-04-14,127.0,128.5,126.84,127.96,126.8,6988891,6988891,0.96,0.7559100000000001,127.575,"April 14, 25",0.0075591
2025-04-15,127.62,128.49,125.6,126.22,125.66,8639428,8639428,-1.4,-1.1,126.9825,"April 15, 25",-0.011
2025-04-16,129.7,134.16,129.01,129.7,129.12,13483200,13483200,0.005,0.0,130.6425,"April 16, 25",0.0
2025-04-17,130.38,132.71,129.66,130.98,130.39,10474476,10474476,0.605,0.46019000000000004,130.9325,"April 17, 25",0.0046019
2025-04-21,130.97,131.96,128.51,129.89,129.31,6046937,6046937,-1.08,-0.82462,130.3325,"April 21, 25",-0.0082462
2025-04-22,129.93,132.03,129.93,131.73,131.14,5837131,5837131,1.8,1.3900000000000001,130.905,"April 22, 25",0.013900000000000001
2025-04-23,132.21,132.89,127.13,129.84,129.26,8777184,8777184,-2.37,-1.79,130.5175,"April 23, 25",-0.0179
2025-04-24,130.02,130.2,128.03,129.38,128.8,6595544,6595544,-0.64,-0.49223000000000006,129.4075,"April 24, 25",-0.0049223
2025-04-25,129.27,129.53,127.24,128.85,128.27,4849389,4849389,-0.42,-0.3249,128.7225,"April 25, 25",-0.0032489999999999997
2025-04-28,129.33,130.12,128.52,129.53,128.95,3843300,3843300,0.2,0.15464,129.375,"April 28, 25",0.0015463999999999999
2025-04-29,128.89,131.27,128.8,130.5,129.92,4315327,4315327,1.6099999999999999,1.25,129.865,"April 29, 25",0.0125
2025-04-30,130.92,131.27,128.68,130.75,130.17,8510507,8510507,-0.17,-0.12985000000000002,130.405,"April 30, 25",-0.0012985
2025-05-01,129.5,131.63,128.0,130.88,130.3,6769116,6769116,1.38,1.07,130.0025,"May 01, 25",0.010700000000000001
2025-05-02,131.91,136.8,131.33,132.82,132.23,9801692,9801692,0.91,0.68986,133.215,"May 02, 25",0.0068985999999999995
2025-05-05,132.89,133.06,131.45,132.6,132.01,5752256,5752256,-0.28500000000000003,-0.21823,132.5,"May 05, 25",-0.0021823
2025-05-06,131.95,133.6,130.7,133.06,132.47,6290500,6290500,1.11,0.84123,132.3275,"May 06, 25",0.0084123
2025-05-07,133.5,134.43,132.43,133.95,133.35,4925233,4925233,0.45,0.33708000000000005,133.5775,"May 07, 25",0.0033707999999999998
2025-05-08,133.26,135.22,133.08,134.0,133.4,5994500,5994500,0.735,0.5553100000000001,133.89,"May 08, 25",0.0055531
2025-05-09,133.98,134.97,133.19,133.24,132.64,4976167,4976167,-0.735,-0.55232,133.845,"May 09, 25",-0.0055232
2025-05-12,131.79,133.66,130.1,131.99,131.4,5958544,5958544,0.2,0.15176,131.885,"May 12, 25",0.0015176
2025-05-13,131.75,131.75,128.92,129.05,128.47,6344898,6344898,-2.7,-2.05,130.3675,"May 13, 25",-0.0205
2025-05-14,129.3,130.14,128.19,128.56,127.99,5267034,5267034,-0.74,-0.5723100000000001,129.0475,"May 14, 25",-0.0057231
2025-05-15,128.85,133.43,128.85,133.35,132.75,8406704,8406704,4.5,3.49,131.12,"May 15, 25",0.0349
2025-05-16,133.15,135.29,132.77,134.8,134.2,7129033,7129033,1.6600000000000001,1.24,134.0025,"May 16, 25",0.012400000000000001
2025-05-19,135.0,135.69,134.53,135.55,134.94,8012873,8012873,0.55,0.40741000000000005,135.1925,"May 19, 25",0.0040741
2025-05-20,135.0,135.83,134.54,135.2,134.6,6455398,6455398,0.2,0.14815,135.1425,"May 20, 25",0.0014815
2025-05-21,135.1,136.17,133.02,133.05,132.46,7209230,7209230,-2.05,-1.52,134.335,"May 21, 25",-0.0152
2025-05-22,132.46,132.88,131.17,131.5,130.91,6277122,6277122,-0.96,-0.72475,132.0025,"May 22, 25",-0.0072475
2025-05-23,131.68,132.17,130.43,131.3,130.71,6145051,6145051,-0.38,-0.28858,131.395,"May 23, 25",-0.0028858
2025-05-27,131.85,133.84,131.53,132.94,132.35,5591079,5591079,1.09,0.8267,132.54,"May 27, 25",0.008267
2025-05-28,133.1,133.6,131.84,132.02,131.43,3622453,3622453,-1.08,-0.81142,132.64,"May 28, 25",-0.0081142
2025-05-29,131.73,133.06,131.35,132.85,132.26,3078291,3078291,1.12,0.8502200000000001,132.2475,"May 29, 25",0.0085022
2025-05-30,132.88,134.13,131.74,133.58,132.98,14236848,14236848,0.7000000000000001,0.5267900000000001,133.0825,"May 30, 25",0.0052679
2025-06-02,132.86,133.74,131.88,133.57,132.97,4464080,4464080,0.71,0.5344,133.0125,"June 02, 25",0.005344
2025-06-03,133.12,133.97,131.61,133.71,133.11,5915147,5915147,0.59,0.44321000000000005,133.1025,"June 03, 25",0.0044321
2025-06-04,134.41,134.87,132.94,132.96,132.37,4057040,4057040,-1.45,-1.08,133.795,"June 04, 25",-0.0108
2025-06-05,133.39,134.38,132.19,133.94,133.34,5587108,5587108,0.55,0.41232,133.475,"June 05, 25",0.0041232
2025-06-06,134.79,135.22,133.1,133.58,132.98,3868057,3868057,-1.21,-0.8976900000000001,134.1725,"June 06, 25",-0.0089769
2025-06-09,133.02,134.29,130.82,133.4,132.8,6630521,6630521,0.38,0.28567000000000004,132.8825,"June 09, 25",0.0028566999999999998
2025-06-10,133.56,134.85,133.33,134.13,133.53,3579575,3579575,0.5700000000000001,0.42677000000000004,133.9675,"June 10, 25",0.0042677
2025-06-11,134.1,135.35,132.93,135.28,134.68,4100545,4100545,1.18,0.87994,134.415,"June 11, 25",0.008799399999999999
2025-06-12,135.54,136.89,135.46,136.45,135.84,5089115,5089115,0.905,0.67139,136.085,"June 12, 25",0.0067139
2025-06-13,135.78,137.06,135.25,135.62,135.01,3928913,3928913,-0.16,-0.11784000000000001,135.9275,"June 13, 25",-0.0011784
2025-06-16,135.56,136.41,133.31,134.01,133.41,5084100,5084100,-1.55,-1.1400000000000001,134.8225,"June 16, 25",-0.0114
2025-06-17,133.7,134.01,132.15,132.28,131.69,5010926,5010926,-1.4100000000000001,-1.06,133.035,"June 17, 25",-0.0106
2025-06-18,132.95,133.37,131.6,132.41,131.82,4950836,4950836,-0.54,-0.40617000000000003,132.5825,"June 18, 25",-0.0040617
2025-06-20,133.66,133.68,131.99,132.99,132.4,11338200,11338200,-0.67,-0.50127,133.08,"June 20, 25",-0.0050127
2025-06-23,133.07,133.47,132.11,133.26,132.66,4887246,4887246,0.195,0.14278000000000002,132.9775,"June 23, 25",0.0014278
2025-06-24,133.32,139.06,132.38,138.08,137.46,9894809,9894809,4.76,3.5700000000000003,135.71,"June 24, 25",0.0357
2025-06-25,137.87,138.84,136.64,137.4,136.79,5507500,5507500,-0.47000000000000003,-0.34090000000000004,137.6875,"June 25, 25",-0.0034089999999999997
2025-06-26,137.32,137.54,132.71,133.67,133.07,9452900,9452900,-3.66,-2.66,135.31,"June 26, 25",-0.026600000000000002
2025-06-27,133.29,134.91,132.88,134.38,133.78,9513538,9513538,1.09,0.8177700000000001,133.865,"June 27, 25",0.0081777
2025-06-30,134.0,136.26,134.0,136.01,135.4,5749700,5749700,2.01,1.5,135.0675,"June 30, 25",0.015
2025-07-01,135.54,137.08,134.81,136.26,135.65,5337856,5337856,0.72,0.5312100000000001,135.9225,"July 01, 25",0.0053121
2025-07-02,135.27,136.34,133.84,134.11,133.51,4319684,4319684,-1.16,-0.8575400000000001,134.89,"July 02, 25",-0.0085754
2025-07-03,134.67,135.24,133.2,134.44,133.84,3114335,3114335,-0.23,-0.17079000000000003,134.3875,"July 03, 25",-0.0017078999999999998
2025-07-07,134.51,134.91,132.85,133.7,133.1,8927599,8927599,-0.81,-0.60219,133.9925,"July 07, 25",-0.006021899999999999
2025-07-08,133.24,134.73,132.85,133.36,132.76,4782600,4782600,0.12,0.09006304,133.545,"July 08, 25",0.0009006304000000001
2025-07-09,133.47,133.77,131.47,133.22,132.62,4613933,4613933,-0.25,-0.18731,132.9825,"July 09, 25",-0.0018731
2025-07-10,133.73,135.05,133.01,133.6,133.0,4857100,4857100,-0.13,-0.0972108,133.8475,"July 10, 25",-0.0009721080000000001
