date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,431.37,435.18,420.51,422.63,422.63,4181405,4181405,-8.74,-2.03,427.4225,"January 07, 25",-0.020300000000000002
2025-01-08,417.34,422.66,415.51,419.58,419.58,3508800,3508800,2.24,0.53673,418.7725,"January 08, 25",0.005367299999999999
2025-01-10,410.0,413.1,405.32,405.92,405.92,5564300,5564300,-4.08,-0.9951200000000001,408.585,"January 10, 25",-0.0099512
2025-01-13,404.27,409.96,403.75,408.5,408.5,4558800,4558800,4.23,1.05,406.62,"January 13, 25",0.0105
2025-01-14,407.25,412.75,405.07,412.71,412.71,3577116,3577116,5.46,1.34,409.445,"January 14, 25",0.0134
2025-01-15,421.7,423.97,415.66,417.28,417.28,4345800,4345800,-4.42,-1.05,419.6525,"January 15, 25",-0.0105
2025-01-16,418.21,428.89,418.0,426.93,426.93,4185600,4185600,8.72,2.09,423.0075,"January 16, 25",0.020900000000000002
2025-01-17,434.35,435.99,425.7,429.99,429.99,4012745,4012745,-4.36,-1.0,431.5075,"January 17, 25",-0.01
2025-01-21,433.26,439.98,431.5,436.36,436.36,3833300,3833300,3.1,0.7155100000000001,435.275,"January 21, 25",0.007155099999999999
2025-01-22,438.0,439.73,433.43,437.32,437.32,3391642,3391642,-0.68,-0.15525,437.12,"January 22, 25",-0.0015524999999999998
2025-01-23,435.88,437.73,432.49,437.28,437.28,2716742,2716742,1.4,0.32119000000000003,435.845,"January 23, 25",0.0032118999999999997
2025-01-24,437.28,441.88,434.73,435.38,435.38,2631804,2631804,-1.9,-0.4345,437.3175,"January 24, 25",-0.004345
2025-01-27,430.23,445.45,430.12,438.6,438.6,5086300,5086300,8.37,1.9500000000000002,436.1,"January 27, 25",0.0195
2025-01-28,436.27,445.81,431.64,442.84,442.84,5376400,5376400,6.57,1.51,439.14,"January 28, 25",0.0151
2025-01-29,439.92,444.36,438.83,441.68,441.68,2997604,2997604,1.76,0.40007000000000004,441.1975,"January 29, 25",0.004000699999999999
2025-01-30,439.67,448.42,439.23,446.0,446.0,3290128,3290128,6.33,1.44,443.33,"January 30, 25",0.014400000000000001
2025-01-31,446.98,447.01,435.83,437.45,437.45,4689100,4689100,-9.53,-2.13,441.8175,"January 31, 25",-0.0213
2025-02-03,437.8,442.74,430.88,438.6,438.6,3348717,3348717,0.8,0.18273,437.505,"February 03, 25",0.0018273
2025-02-04,435.43,443.58,434.26,440.23,440.23,2647701,2647701,4.8,1.1,438.375,"February 04, 25",0.011
2025-02-05,440.75,444.95,436.27,437.63,437.63,2938540,2938540,-3.12,-0.7078800000000001,439.9,"February 05, 25",-0.0070788
2025-02-06,437.63,439.96,434.35,435.4,435.4,2568120,2568120,-2.23,-0.50956,436.835,"February 06, 25",-0.0050956
2025-02-07,436.24,441.0,432.41,433.07,433.07,2693500,2693500,-3.17,-0.7266600000000001,435.68,"February 07, 25",-0.0072666
2025-02-10,439.25,453.37,439.0,451.1,451.1,3946729,3946729,11.85,2.7,445.68,"February 10, 25",0.027
