date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,96.61,96.68,96.24,96.37,94.51,9153300,9153300,-0.24,-0.24842000000000003,96.475,"January 07, 25",-0.0024841999999999998
2025-01-08,96.27,96.52,96.23,96.48,94.62,7444537,7444537,0.21,0.21814000000000003,96.375,"January 08, 25",0.0021814
2025-01-10,95.85,96.23,95.85,95.94,94.09,9822014,9822014,0.09,0.09389671000000001,95.9675,"January 10, 25",0.0009389671
2025-01-13,95.94,95.95,95.74,95.85,94.0,10420724,10420724,-0.09,-0.09380863,95.87,"January 13, 25",-0.0009380863000000001
2025-01-14,95.86,95.93,95.75,95.88,94.03,5487600,5487600,0.02,0.020863760000000002,95.855,"January 14, 25",0.0002086376
2025-01-15,96.94,96.94,96.55,96.71,94.85,9563000,9563000,-0.23,-0.23726000000000003,96.785,"January 15, 25",-0.0023726
2025-01-16,96.63,97.03,96.5,96.92,95.05,9810870,9810870,0.29,0.30011000000000004,96.77,"January 16, 25",0.0030011
2025-01-17,97.07,97.1,96.87,96.92,95.05,5360235,5360235,-0.15,-0.15453,96.99,"January 17, 25",-0.0015452999999999999
2025-01-21,97.15,97.28,97.09,97.24,95.37,7726045,7726045,0.09,0.09264025000000001,97.19,"January 21, 25",0.0009264025000000001
2025-01-22,97.21,97.25,96.96,97.01,95.14,7283400,7283400,-0.2,-0.20574,97.1075,"January 22, 25",-0.0020574
2025-01-23,96.77,96.92,96.72,96.85,94.98,7707000,7707000,0.08,0.08267025,96.815,"January 23, 25",0.0008267025000000001
2025-01-24,96.87,97.11,96.8,97.01,95.14,6459421,6459421,0.14,0.14452,96.9475,"January 24, 25",0.0014452
2025-01-27,97.49,97.56,97.31,97.55,95.67,7602000,7602000,0.06,0.06154477,97.4775,"January 27, 25",0.0006154477
2025-01-28,97.34,97.53,97.29,97.52,95.64,5730533,5730533,0.18,0.18492000000000003,97.42,"January 28, 25",0.0018491999999999998
2025-01-29,97.58,97.65,97.22,97.46,95.58,5912800,5912800,-0.12,-0.12298,97.4775,"January 29, 25",-0.0012297999999999999
2025-01-30,97.62,97.73,97.52,97.6,95.72,6802911,6802911,-0.02,-0.020487599999999998,97.6175,"January 30, 25",-0.00020487600000000002
2025-01-31,97.62,97.73,97.26,97.4,95.52,10750147,10750147,-0.22,-0.22536,97.5025,"January 31, 25",-0.0022535999999999997
2025-02-03,97.34,97.54,97.05,97.17,95.61,9977153,9977153,-0.17,-0.17465000000000003,97.275,"February 03, 25",-0.0017465
2025-02-04,97.02,97.38,97.0,97.35,95.79,8483500,8483500,0.33,0.34014000000000005,97.1875,"February 04, 25",0.0034013999999999997
2025-02-05,97.7,98.0,97.66,97.87,96.3,9716763,9716763,0.17,0.17400000000000002,97.8075,"February 05, 25",0.0017400000000000002
2025-02-06,97.77,97.88,97.63,97.77,96.21,6629549,6629549,0.0,0.0,97.7625,"February 06, 25",0.0
2025-02-07,97.52,97.59,97.36,97.46,95.9,6422344,6422344,-0.06,-0.06152584,97.4825,"February 07, 25",-0.0006152584000000001
2025-02-10,97.57,97.68,97.41,97.49,95.93,6038721,6038721,-0.08,-0.08199242,97.5375,"February 10, 25",-0.0008199242
2025-02-11,97.27,97.34,97.22,97.27,95.71,8001204,8001204,0.0,0.0,97.275,"February 11, 25",0.0
2025-02-12,96.77,96.88,96.61,96.76,95.21,6404974,6404974,-0.01,-0.01033378,96.755,"February 12, 25",-0.0001033378
2025-02-13,97.16,97.43,96.84,97.34,95.78,7041568,7041568,0.18,0.18526,97.1925,"February 13, 25",0.0018525999999999998
