date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,260.22,265.21,259.35,262.06,257.68,3173716,3173716,1.8399999999999999,0.7070900000000001,261.71,"January 07, 25",0.0070709
2025-01-08,261.97,264.25,259.82,264.21,259.8,2421944,2421944,2.24,0.85506,262.5625,"January 08, 25",0.0085506
2025-01-10,260.79,264.79,260.55,262.23,257.85,2721957,2721957,1.44,0.55217,262.09,"January 10, 25",0.0055217
2025-01-13,262.11,270.49,261.28,270.19,265.68,3365901,3365901,8.08,3.08,266.0175,"January 13, 25",0.0308
2025-01-14,271.61,271.61,264.91,267.1,262.64,2942309,2942309,-4.51,-1.6600000000000001,268.8075,"January 14, 25",-0.0166
2025-01-15,269.33,272.82,268.58,268.94,264.45,3737536,3737536,-0.39,-0.1448,269.9175,"January 15, 25",-0.0014479999999999999
2025-01-16,268.92,270.31,267.15,269.43,264.93,2684500,2684500,0.51,0.18965,268.9525,"January 16, 25",0.0018965
2025-01-17,276.97,276.97,269.78,272.11,267.56,3244290,3244290,-4.86,-1.75,273.9575,"January 17, 25",-0.0175
2025-01-21,272.14,276.5,270.28,274.81,270.22,3928543,3928543,2.67,0.98111,273.4325,"January 21, 25",0.0098111
2025-01-22,272.66,275.02,272.07,273.44,268.87,3518326,3518326,0.78,0.28607000000000005,273.2975,"January 22, 25",0.0028607
2025-01-23,273.44,278.0,272.32,277.88,273.24,2496017,2496017,4.44,1.62,275.41,"January 23, 25",0.0162
2025-01-24,276.26,277.36,273.5,275.42,270.82,2008793,2008793,-0.84,-0.30406000000000005,275.635,"January 24, 25",-0.0030406
2025-01-27,277.37,283.23,276.18,282.95,278.22,3493200,3493200,5.58,2.01,279.9325,"January 27, 25",0.0201
2025-01-28,280.13,283.5,279.97,280.3,275.62,2735636,2735636,0.17,0.06068611,280.975,"January 28, 25",0.0006068611
2025-01-29,280.03,283.04,279.31,281.68,276.97,2454900,2454900,1.65,0.5892200000000001,281.015,"January 29, 25",0.005892199999999999
2025-01-30,285.0,285.69,281.64,284.02,279.28,2556100,2556100,-0.98,-0.34386000000000005,284.0875,"January 30, 25",-0.0034386
2025-01-31,282.18,286.69,281.98,285.42,280.65,3800400,3800400,3.25,1.15,284.0675,"January 31, 25",0.0115
2025-02-03,286.91,289.58,283.4,288.87,284.04,4473532,4473532,1.96,0.6831400000000001,287.19,"February 03, 25",0.0068314
2025-02-04,285.58,290.48,284.52,289.02,284.19,3262437,3262437,3.44,1.2,287.4,"February 04, 25",0.012
2025-02-05,290.69,308.22,289.52,307.81,302.67,5891191,5891191,17.12,5.89,299.06,"February 05, 25",0.0589
2025-02-06,309.49,309.49,297.12,297.78,292.81,4624500,4624500,-11.71,-3.7800000000000002,303.47,"February 06, 25",-0.0378
2025-02-07,299.16,299.61,292.58,293.54,288.64,3388400,3388400,-5.62,-1.88,296.2225,"February 07, 25",-0.0188
2025-02-10,296.88,296.88,290.67,294.79,289.87,2375707,2375707,-2.09,-0.70399,294.805,"February 10, 25",-0.0070399
2025-02-11,290.56,297.95,288.36,296.66,291.7,3506965,3506965,6.1,2.1,293.3825,"February 11, 25",0.021
2025-02-12,293.82,296.2,292.63,295.06,290.13,2629900,2629900,1.24,0.42203,294.4275,"February 12, 25",0.0042203
2025-02-13,297.55,298.35,293.55,296.97,292.01,2061700,2061700,-0.58,-0.19493000000000002,296.605,"February 13, 25",-0.0019493
2025-02-14,294.75,295.16,290.45,291.16,288.61,2189386,2189386,-3.59,-1.22,292.88,"February 14, 25",-0.0122
2025-02-18,291.76,293.33,289.0,292.8,290.24,2162354,2162354,1.04,0.35646000000000005,291.7225,"February 18, 25",0.0035646
2025-02-19,292.0,295.97,291.8,294.27,291.69,2806986,2806986,2.27,0.7774000000000001,293.51,"February 19, 25",0.007774
2025-02-20,294.67,298.13,293.93,297.93,295.32,2319269,2319269,3.26,1.11,296.165,"February 20, 25",0.0111
2025-02-21,299.23,305.33,297.19,303.01,300.36,3261422,3261422,3.7800000000000002,1.26,301.19,"February 21, 25",0.0126
2025-02-24,305.28,313.75,304.4,309.72,307.01,4286609,4286609,4.44,1.45,308.2875,"February 24, 25",0.0145
2025-02-25,311.8,318.3,310.3,315.63,312.87,4365721,4365721,3.83,1.23,314.0075,"February 25, 25",0.0123
2025-02-26,311.95,313.63,305.55,306.38,303.7,2787270,2787270,-5.57,-1.79,309.3775,"February 26, 25",-0.0179
2025-02-27,305.3,311.0,303.1,305.82,303.14,3249213,3249213,0.52,0.17032000000000003,306.305,"February 27, 25",0.0017032
2025-02-28,308.51,308.62,303.52,308.06,305.36,3173055,3173055,-0.45,-0.14586000000000002,307.1775,"February 28, 25",-0.0014586
2025-03-03,307.34,312.48,307.34,310.78,308.06,2970700,2970700,3.44,1.12,309.485,"March 03, 25",0.0112
2025-03-04,316.53,319.82,312.1,312.19,309.46,3820000,3820000,-4.34,-1.37,315.16,"March 04, 25",-0.0137
2025-03-05,310.63,318.94,310.14,316.57,313.8,2629056,2629056,5.94,1.9100000000000001,314.07,"March 05, 25",0.019100000000000002
2025-03-06,316.42,318.68,312.5,317.82,315.04,3076813,3076813,1.4,0.44245,316.355,"March 06, 25",0.0044245
2025-03-07,318.95,328.19,317.78,324.86,322.01,3944947,3944947,5.91,1.85,322.445,"March 07, 25",0.018500000000000003
2025-03-10,324.13,335.88,322.77,327.36,324.49,4120749,4120749,3.23,0.9965100000000001,327.535,"March 10, 25",0.0099651
2025-03-11,328.8,329.1,318.42,318.89,316.1,3080265,3080265,-9.91,-3.01,323.8025,"March 11, 25",-0.030100000000000002
2025-03-12,311.39,316.02,308.64,312.5,309.76,3182200,3182200,1.11,0.35647,312.1375,"March 12, 25",0.0035646999999999996
2025-03-13,313.66,316.75,311.99,312.64,309.9,2062717,2062717,-1.02,-0.32519000000000003,313.76,"March 13, 25",-0.0032519
2025-03-14,312.23,314.51,310.3,313.71,310.96,2396818,2396818,1.48,0.47401000000000004,312.6875,"March 14, 25",0.0047401
2025-03-17,314.64,318.66,311.79,317.17,314.39,2292900,2292900,2.5300000000000002,0.8040900000000001,315.565,"March 17, 25",0.0080409
2025-03-18,317.56,319.31,315.18,318.65,315.86,2549593,2549593,1.09,0.34324000000000005,317.675,"March 18, 25",0.0034324
2025-03-19,317.51,318.92,313.4,315.75,312.98,1834300,1834300,-1.76,-0.5543100000000001,316.395,"March 19, 25",-0.0055431
2025-03-20,314.18,315.99,312.24,315.04,312.28,2049719,2049719,0.865,0.27373000000000003,314.3625,"March 20, 25",0.0027373
2025-03-21,311.82,316.49,311.16,316.04,313.27,9995022,9995022,4.22,1.35,313.8775,"March 21, 25",0.0135
2025-03-24,315.0,317.58,313.43,314.38,311.63,2439427,2439427,-0.62,-0.19683,315.0975,"March 24, 25",-0.0019683
2025-03-25,313.98,314.22,303.51,306.86,304.17,2565308,2565308,-7.12,-2.27,309.6425,"March 25, 25",-0.0227
2025-03-26,306.44,309.09,304.35,305.71,303.03,2375632,2375632,-0.73,-0.23822000000000002,306.3975,"March 26, 25",-0.0023821999999999997
2025-03-27,306.22,307.57,304.29,305.77,303.09,1736926,1736926,-0.45,-0.14695000000000003,305.9625,"March 27, 25",-0.0014694999999999999
2025-03-28,307.44,308.17,304.71,306.95,304.26,1768574,1768574,-0.49,-0.15938000000000002,306.8175,"March 28, 25",-0.0015938
2025-03-31,307.58,315.0,305.55,311.55,308.82,3336281,3336281,3.9699999999999998,1.29,309.92,"March 31, 25",0.0129
2025-04-01,310.58,312.62,305.0,306.92,304.23,3042318,3042318,-3.66,-1.18,308.78,"April 01, 25",-0.0118
2025-04-02,305.41,306.76,300.1,305.7,303.02,1912500,1912500,0.29,0.09495432000000001,304.4925,"April 02, 25",0.0009495432
2025-04-03,311.18,314.9,306.7,309.85,307.14,3280342,3280342,-1.33,-0.42741,310.6575,"April 03, 25",-0.004274099999999999
2025-04-04,312.11,312.11,293.72,294.39,291.81,5253288,5253288,-17.72,-5.68,303.0825,"April 04, 25",-0.0568
2025-04-07,287.69,296.94,281.7,289.69,287.15,4923000,4923000,2.0,0.6951900000000001,289.005,"April 07, 25",0.0069519
2025-04-08,289.25,294.01,277.51,280.26,277.8,4097249,4097249,-8.99,-3.11,285.2575,"April 08, 25",-0.031100000000000003
2025-04-09,268.91,291.5,267.4,291.09,288.54,6055700,6055700,22.18,8.25,279.725,"April 09, 25",0.0825
2025-04-10,287.98,288.52,269.67,281.41,278.94,4679100,4679100,-6.57,-2.2800000000000002,281.895,"April 10, 25",-0.0228
2025-04-11,282.5,287.9,277.1,285.98,283.47,3467100,3467100,3.48,1.23,283.37,"April 11, 25",0.0123
2025-04-14,286.77,295.18,285.21,293.92,291.35,2492955,2492955,7.15,2.49,290.27,"April 14, 25",0.024900000000000002
2025-04-15,294.31,296.17,292.14,295.3,292.71,2593614,2593614,0.995,0.33638,294.48,"April 15, 25",0.0033637999999999997
2025-04-16,294.74,294.75,281.03,282.64,280.16,2656374,2656374,-12.1,-4.11,288.29,"April 16, 25",-0.041100000000000005
2025-04-17,277.04,278.68,268.5,277.29,274.86,4371880,4371880,0.25,0.09023968,275.3775,"April 17, 25",0.0009023968
2025-04-21,277.29,278.25,270.36,273.68,271.28,1803600,1803600,-3.61,-1.3,274.895,"April 21, 25",-0.013000000000000001
