date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,227.9,228.38,221.46,222.11,222.11,28084200,28084200,-5.79,-2.54,224.9625,"January 07, 25",-0.025400000000000002
2025-01-08,223.19,223.52,220.2,222.13,222.13,25033300,25033300,-1.06,-0.47493,222.26,"January 08, 25",-0.0047493
2025-01-10,221.46,221.71,216.5,218.94,218.94,36811525,36811525,-2.52,-1.1400000000000001,219.6525,"January 10, 25",-0.0114
2025-01-13,218.06,219.4,216.47,218.46,218.46,27262700,27262700,0.4,0.18344000000000002,218.0975,"January 13, 25",0.0018344
2025-01-14,220.44,221.82,216.2,217.76,217.76,24711700,24711700,-2.68,-1.22,219.055,"January 14, 25",-0.0122
2025-01-15,222.83,223.57,220.75,223.35,223.35,31291300,31291300,0.52,0.23336,222.625,"January 15, 25",0.0023336
2025-01-16,224.42,224.65,220.31,220.66,220.66,24757300,24757300,-3.76,-1.6800000000000002,222.51,"January 16, 25",-0.016800000000000002
2025-01-17,225.84,226.51,223.08,225.94,225.94,42370123,42370123,0.1,0.04427914,225.3425,"January 17, 25",0.0004427914
2025-01-21,228.9,231.78,226.94,230.71,230.71,39951500,39951500,1.81,0.7907400000000001,229.5825,"January 21, 25",0.0079074
2025-01-22,232.02,235.44,231.19,235.01,235.01,41448217,41448217,2.99,1.29,233.415,"January 22, 25",0.0129
2025-01-23,234.1,235.52,231.51,235.42,235.42,26404400,26404400,1.32,0.56386,234.1375,"January 23, 25",0.0056386
2025-01-24,234.5,236.4,232.93,234.85,234.85,25890738,25890738,0.35000000000000003,0.14925000000000002,234.67,"January 24, 25",0.0014925
2025-01-27,226.21,235.61,225.86,235.42,235.42,49428332,49428332,9.21,4.07,230.775,"January 27, 25",0.0407
2025-01-28,234.29,241.77,233.98,238.15,238.15,41587200,41587200,3.86,1.65,237.0475,"January 28, 25",0.0165
2025-01-29,239.02,240.39,236.15,237.07,237.07,26091716,26091716,-1.94,-0.81583,238.1575,"January 29, 25",-0.0081583
2025-01-30,237.14,237.95,232.22,234.64,234.64,32020728,32020728,-2.5,-1.05,235.4875,"January 30, 25",-0.0105
2025-01-31,236.5,240.29,236.41,237.68,237.68,36162400,36162400,1.18,0.49894000000000005,237.72,"January 31, 25",0.0049894
