date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,61.5,61.99,58.39,58.9,58.9,12926415,12926415,-2.6,-4.23,60.195,"January 07, 25",-0.042300000000000004
2025-01-08,58.7,59.46,57.69,58.95,58.95,7457800,7457800,0.25,0.42589000000000005,58.7,"January 08, 25",0.0042588999999999995
2025-01-10,57.73,58.03,56.29,57.47,57.47,9802217,9802217,-0.26,-0.45037000000000005,57.38,"January 10, 25",-0.004503699999999999
2025-01-13,56.03,56.71,55.25,56.7,56.7,9757600,9757600,0.67,1.2,56.1725,"January 13, 25",0.012
2025-01-14,57.84,58.26,56.11,56.41,56.41,8423616,8423616,-1.43,-2.47,57.155,"January 14, 25",-0.0247
2025-01-15,58.47,59.49,58.08,58.67,58.67,10730510,10730510,0.2,0.34206000000000003,58.6775,"January 15, 25",0.0034205999999999998
2025-01-16,58.77,59.22,58.01,58.74,58.74,5559434,5559434,-0.03,-0.05104645,58.685,"January 16, 25",-0.0005104645
2025-01-17,59.86,60.33,59.42,59.61,59.61,5942404,5942404,-0.25,-0.41764,59.805,"January 17, 25",-0.004176399999999999
2025-01-21,60.7,61.76,59.64,61.5,61.5,7730039,7730039,0.8,1.32,60.9,"January 21, 25",0.0132
2025-01-22,61.73,62.41,61.51,62.06,62.06,6657000,6657000,0.33,0.53459,61.9275,"January 22, 25",0.0053459
2025-01-23,61.5,62.77,61.02,62.69,62.69,5138700,5138700,1.19,1.9300000000000002,61.995,"January 23, 25",0.0193
2025-01-24,62.9,63.61,62.22,62.33,62.33,6593000,6593000,-0.5700000000000001,-0.9062,62.765,"January 24, 25",-0.009061999999999999
2025-01-27,59.92,61.59,59.5,60.7,60.7,12078500,12078500,0.78,1.3,60.4275,"January 27, 25",0.013000000000000001
2025-01-28,60.86,62.24,59.89,61.93,61.93,5581400,5581400,1.07,1.76,61.23,"January 28, 25",0.0176
2025-01-29,61.86,62.32,60.87,61.86,61.86,8005500,8005500,0.0,0.0,61.7275,"January 29, 25",0.0
2025-01-30,62.62,64.03,62.54,63.51,63.51,9201209,9201209,0.89,1.42,63.175,"January 30, 25",0.0142
2025-01-31,63.8,64.72,62.45,62.87,62.87,10205929,10205929,-0.93,-1.46,63.46,"January 31, 25",-0.0146
2025-02-03,60.24,62.2,60.16,61.78,61.78,11525100,11525100,1.54,2.56,61.095,"February 03, 25",0.0256
2025-02-04,62.73,63.6,62.34,63.12,63.12,7305400,7305400,0.39,0.6217100000000001,62.9475,"February 04, 25",0.0062171
2025-02-05,63.1,64.09,63.0,63.81,63.81,4742827,4742827,0.71,1.13,63.5,"February 05, 25",0.011300000000000001
2025-02-06,63.1,63.32,62.1,62.72,62.72,6497200,6497200,-0.38,-0.6022200000000001,62.81,"February 06, 25",-0.0060222
2025-02-07,62.98,64.06,62.35,62.76,62.76,9841400,9841400,-0.22,-0.34932,63.0375,"February 07, 25",-0.0034931999999999997
2025-02-10,63.16,63.49,62.65,62.72,62.72,4182200,4182200,-0.44,-0.69664,63.005,"February 10, 25",-0.006966399999999999
2025-02-11,62.0,62.71,60.94,61.35,61.35,6618900,6618900,-0.65,-1.05,61.75,"February 11, 25",-0.0105
2025-02-12,60.63,62.96,60.48,62.68,62.68,10280301,10280301,2.05,3.38,61.6875,"February 12, 25",0.033800000000000004
2025-02-13,63.01,64.78,62.9,64.78,64.78,8663505,8663505,1.77,2.81,63.8675,"February 13, 25",0.0281
2025-02-14,66.01,67.16,65.85,67.02,67.02,10530400,10530400,1.01,1.53,66.51,"February 14, 25",0.015300000000000001
2025-02-18,67.9,68.43,65.72,66.48,66.48,7402900,7402900,-1.42,-2.09,67.1325,"February 18, 25",-0.020900000000000002
2025-02-19,66.51,66.82,65.4,65.71,65.71,7748119,7748119,-0.8,-1.2,66.11,"February 19, 25",-0.012
2025-02-20,65.31,65.31,62.55,63.98,63.98,11545221,11545221,-1.33,-2.04,64.2875,"February 20, 25",-0.0204
2025-02-21,64.4,64.42,60.08,60.2,60.2,13002447,13002447,-4.2,-6.52,62.275,"February 21, 25",-0.06520000000000001
2025-02-24,60.15,60.46,57.78,59.08,59.08,14937200,14937200,-1.07,-1.78,59.3675,"February 24, 25",-0.0178
2025-02-25,58.08,58.27,55.09,56.0,56.0,22121000,22121000,-2.08,-3.58,56.86,"February 25, 25",-0.0358
2025-02-26,56.56,57.67,55.96,56.46,56.46,13457100,13457100,-0.1,-0.1768,56.6625,"February 26, 25",-0.0017679999999999998
2025-02-27,57.33,57.7,54.53,54.59,54.59,16878036,16878036,-2.74,-4.78,56.0375,"February 27, 25",-0.0478
2025-02-28,53.67,55.72,53.1,55.64,55.64,13203900,13203900,1.97,3.67,54.5325,"February 28, 25",0.0367
2025-03-03,56.95,57.14,52.6,53.09,53.09,13322200,13322200,-3.86,-6.78,54.945,"March 03, 25",-0.0678
2025-03-04,51.48,54.56,50.23,53.17,53.17,23656825,23656825,1.69,3.2800000000000002,52.36,"March 04, 25",0.0328
2025-03-05,53.52,54.77,52.53,54.7,54.7,10013924,10013924,1.18,2.2,53.88,"March 05, 25",0.022
2025-03-06,53.2,54.34,51.8,52.14,52.14,14784700,14784700,-1.06,-1.99,52.87,"March 06, 25",-0.0199
2025-03-07,51.75,52.83,49.7,52.45,52.45,17135700,17135700,0.705,1.35,51.6825,"March 07, 25",0.0135
2025-03-10,50.86,50.88,47.2,47.86,47.86,28432500,28432500,-3.0,-5.9,49.2,"March 10, 25",-0.059000000000000004
2025-03-11,47.67,49.29,47.01,48.19,48.19,17101409,17101409,0.52,1.09,48.04,"March 11, 25",0.0109
2025-03-12,49.97,50.37,48.38,49.61,49.61,16828712,16828712,-0.36,-0.72043,49.5825,"March 12, 25",-0.007204299999999999
2025-03-13,49.24,49.31,46.92,47.25,47.25,16232900,16232900,-1.99,-4.04,48.18,"March 13, 25",-0.040400000000000005
2025-03-14,48.45,49.4,48.34,49.19,49.19,12722900,12722900,0.74,1.53,48.845,"March 14, 25",0.015300000000000001
2025-03-17,49.15,50.52,48.7,49.98,49.98,8847900,8847900,0.835,1.69,49.5875,"March 17, 25",0.016900000000000002
2025-03-18,49.15,49.16,47.68,48.24,48.24,13058600,13058600,-0.91,-1.85,48.5575,"March 18, 25",-0.018500000000000003
2025-03-19,48.91,51.03,48.71,50.05,50.05,17147200,17147200,1.1400000000000001,2.33,49.675,"March 19, 25",0.0233
2025-03-20,49.36,50.91,49.27,50.02,50.02,9837700,9837700,0.66,1.34,49.89,"March 20, 25",0.0134
2025-03-21,49.3,51.55,48.98,51.5,51.5,15387600,15387600,2.2,4.46,50.3325,"March 21, 25",0.0446
2025-03-24,52.9,54.24,52.7,54.18,54.18,13607400,13607400,1.28,2.42,53.505,"March 24, 25",0.024200000000000003
2025-03-25,54.27,54.51,53.39,54.14,54.14,9522218,9522218,-0.125,-0.23954000000000003,54.0775,"March 25, 25",-0.0023954
2025-03-26,53.82,54.05,51.25,51.66,51.66,15572400,15572400,-2.16,-4.01,52.695,"March 26, 25",-0.040100000000000004
2025-03-27,51.25,52.36,50.72,50.78,50.78,10394000,10394000,-0.47000000000000003,-0.91707,51.2775,"March 27, 25",-0.0091707
2025-03-28,50.44,50.5,48.41,48.7,48.7,11971205,11971205,-1.74,-3.45,49.5125,"March 28, 25",-0.0345
2025-03-31,46.82,47.77,45.55,47.58,47.58,13088200,13088200,0.76,1.62,46.93,"March 31, 25",0.0162
2025-04-01,47.68,48.67,46.71,47.8,47.8,11548400,11548400,0.12,0.25168,47.715,"April 01, 25",0.0025168
2025-04-02,46.65,49.78,46.49,49.15,49.15,17988018,17988018,2.5,5.36,48.0175,"April 02, 25",0.0536
2025-04-03,45.54,46.35,44.76,45.12,45.12,18655507,18655507,-0.42,-0.92227,45.4425,"April 03, 25",-0.0092227
2025-04-04,43.11,43.7,40.25,41.94,41.94,18839800,18839800,-1.17,-2.71,42.25,"April 04, 25",-0.027100000000000003
2025-04-07,39.22,44.83,38.57,42.28,42.28,24463300,24463300,3.06,7.8,41.225,"April 07, 25",0.078
2025-04-08,44.6,44.68,39.78,40.51,40.51,19285100,19285100,-4.09,-9.17,42.3925,"April 08, 25",-0.0917
2025-04-09,40.44,47.83,40.44,47.25,47.25,26371700,26371700,6.8100000000000005,16.84,43.99,"April 09, 25",0.16840000000000002
2025-04-10,45.62,45.73,42.63,44.53,44.53,16547931,16547931,-1.09,-2.39,44.6275,"April 10, 25",-0.0239
2025-04-11,44.61,45.99,43.78,45.89,45.89,15079100,15079100,1.28,2.87,45.0675,"April 11, 25",0.0287
2025-04-14,47.29,47.56,45.28,46.26,46.26,8831824,8831824,-1.03,-2.18,46.5975,"April 14, 25",-0.0218
2025-04-15,46.1,47.16,45.94,46.55,46.55,7413700,7413700,0.45,0.9761400000000001,46.4375,"April 15, 25",0.0097614
2025-04-16,45.5,45.87,44.06,45.08,45.08,8670449,8670449,-0.42,-0.9230800000000001,45.1275,"April 16, 25",-0.009230799999999999
