date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,239.5,239.5,227.6,228.64,227.95,25928606,25928606,-10.86,-4.53,233.81,"January 07, 25",-0.0453
2025-01-08,229.7,232.47,226.06,229.31,228.62,18756500,18756500,-0.39,-0.16979000000000002,229.385,"January 08, 25",-0.0016979
2025-01-10,227.3,227.83,221.25,224.31,223.63,23864005,23864005,-2.99,-1.32,225.1725,"January 10, 25",-0.0132
2025-01-13,219.99,229.26,219.51,225.29,224.61,23772100,23772100,5.3,2.41,223.5125,"January 13, 25",0.0241
2025-01-14,226.57,230.26,223.1,224.7,224.02,18143124,18143124,-1.87,-0.82535,226.1575,"January 14, 25",-0.0082535
2025-01-15,228.55,230.34,225.58,228.0,227.31,21745616,21745616,-0.55,-0.24065000000000003,228.1175,"January 15, 25",-0.0024065
2025-01-16,235.22,238.6,229.21,229.41,228.72,23471900,23471900,-5.8100000000000005,-2.47,233.11,"January 16, 25",-0.0247
2025-01-17,237.08,238.1,232.66,237.44,236.72,31196642,31196642,0.36,0.15185,236.32,"January 17, 25",0.0015184999999999999
2025-01-21,241.5,242.75,237.4,240.31,239.58,30903200,30903200,-1.19,-0.49275,240.49,"January 21, 25",-0.0049275
2025-01-22,246.75,246.99,240.69,240.91,240.18,29610501,29610501,-5.84,-2.37,243.835,"January 22, 25",-0.023700000000000002
2025-01-23,238.41,240.4,236.12,240.28,239.55,17653942,17653942,1.87,0.7843600000000001,238.8025,"January 23, 25",0.0078436
2025-01-24,244.7,249.59,241.91,244.7,243.96,25387825,25387825,0.0,0.0,245.225,"January 24, 25",0.0
2025-01-27,213.4,218.43,196.23,202.13,201.52,90569400,90569400,-11.27,-5.28,207.5475,"January 27, 25",-0.0528
2025-01-28,208.01,209.95,198.89,207.36,206.73,50316000,50316000,-0.65,-0.31248000000000004,206.0525,"January 28, 25",-0.0031248
2025-01-29,208.84,211.45,202.77,206.35,205.73,32533735,32533735,-2.49,-1.19,207.3525,"January 29, 25",-0.0119
2025-01-30,218.57,221.96,213.7,215.66,215.01,42449500,42449500,-2.91,-1.33,217.4725,"January 30, 25",-0.013300000000000001
2025-01-31,219.66,226.8,216.3,221.27,220.6,41151000,41151000,1.6099999999999999,0.7329500000000001,221.0075,"January 31, 25",0.0073295
2025-02-03,215.46,220.94,213.51,217.73,217.07,24507300,24507300,2.27,1.05,216.91,"February 03, 25",0.0105
2025-02-04,219.35,223.03,215.3,222.43,221.76,23768517,23768517,3.08,1.4,220.0275,"February 04, 25",0.014
2025-02-05,233.94,237.93,227.5,232.0,231.3,29250582,29250582,-1.94,-0.8292700000000001,232.8425,"February 05, 25",-0.0082927
2025-02-06,234.5,234.8,228.56,231.36,230.66,21169529,21169529,-3.14,-1.34,232.305,"February 06, 25",-0.0134
2025-02-07,235.0,235.65,224.11,224.87,224.19,22117500,22117500,-10.13,-4.31,229.9075,"February 07, 25",-0.0431
2025-02-10,227.43,235.82,227.12,235.04,234.33,23901643,23901643,7.61,3.35,231.3525,"February 10, 25",0.0335
2025-02-11,232.48,237.89,229.97,235.04,234.33,18476200,18476200,2.56,1.1,233.845,"February 11, 25",0.011
2025-02-12,230.36,236.48,230.0,236.35,235.64,16397336,16397336,6.0,2.6,233.2975,"February 12, 25",0.026000000000000002
2025-02-13,236.06,236.95,230.73,235.8,235.09,20962031,20962031,-0.26,-0.11014000000000002,234.885,"February 13, 25",-0.0011014
2025-02-14,234.53,235.74,228.9,233.04,232.34,16988800,16988800,-1.49,-0.63531,233.0525,"February 14, 25",-0.0063530999999999995
2025-02-18,230.1,232.2,224.3,228.53,227.84,26080547,26080547,-1.57,-0.6823100000000001,228.7825,"February 18, 25",-0.0068230999999999995
2025-02-19,227.85,229.07,224.4,228.73,228.04,16375500,16375500,0.88,0.38622,227.5125,"February 19, 25",0.0038621999999999997
2025-02-20,228.65,228.98,222.75,226.74,226.06,16104000,16104000,-1.9100000000000001,-0.8353400000000001,226.78,"February 20, 25",-0.0083534
2025-02-21,225.65,227.75,215.63,218.66,218.0,24883600,24883600,-6.99,-3.1,221.9225,"February 21, 25",-0.031
2025-02-24,218.6,219.48,207.54,207.93,207.3,33050425,33050425,-10.67,-4.88,213.3875,"February 24, 25",-0.0488
2025-02-25,207.0,208.64,200.92,202.54,201.93,33100814,33100814,-4.46,-2.15,204.775,"February 25, 25",-0.021500000000000002
2025-02-26,206.91,213.54,206.0,212.94,212.3,21368302,21368302,6.03,2.91,209.8475,"February 26, 25",0.0291
2025-02-27,217.28,219.25,197.4,197.8,197.2,27572900,27572900,-19.48,-8.97,207.9325,"February 27, 25",-0.0897
2025-02-28,195.76,201.19,193.15,199.43,198.36,39747248,39747248,3.67,1.87,197.3825,"February 28, 25",0.0187
2025-03-03,204.0,204.06,184.53,187.37,186.37,37435603,37435603,-16.63,-8.15,194.99,"March 03, 25",-0.0815
2025-03-04,189.22,193.95,180.48,187.48,186.48,37910500,37910500,-1.74,-0.91956,187.7825,"March 04, 25",-0.0091956
