date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,46.28,46.65,45.65,46.08,45.52,41111204,41111204,-0.2,-0.43215000000000003,46.165,"January 07, 25",-0.0043215
2025-01-08,45.9,46.26,45.69,46.21,45.65,40246008,40246008,0.31,0.6753800000000001,46.015,"January 08, 25",0.0067538
2025-01-10,46.0,46.05,44.74,45.11,44.56,40741349,40741349,-0.89,-1.9300000000000002,45.475,"January 10, 25",-0.0193
2025-01-13,45.1,45.34,44.69,45.06,44.52,34353617,34353617,-0.04,-0.0886918,45.0475,"January 13, 25",-0.0008869180000000001
2025-01-14,45.6,45.92,45.23,45.78,45.23,36379011,36379011,0.18,0.39474000000000004,45.6325,"January 14, 25",0.0039474
2025-01-15,47.12,47.46,46.84,47.1,46.53,57154814,57154814,-0.02,-0.04244482,47.13,"January 15, 25",-0.0004244482
2025-01-16,47.0,47.51,45.82,46.64,46.08,56339300,56339300,-0.36,-0.7659600000000001,46.7425,"January 16, 25",-0.0076596
2025-01-17,46.61,46.88,46.08,46.53,45.97,44486100,44486100,-0.08,-0.17164000000000001,46.525,"January 17, 25",-0.0017163999999999999
2025-01-21,46.62,47.15,46.54,46.66,46.1,52089100,52089100,0.04,0.08580009,46.7425,"January 21, 25",0.0008580009
2025-01-22,46.6,46.73,45.76,45.79,45.24,40296223,40296223,-0.81,-1.74,46.22,"January 22, 25",-0.017400000000000002
2025-01-23,46.05,46.89,46.05,46.39,45.83,35324100,35324100,0.34,0.73833,46.345,"January 23, 25",0.0073833
2025-01-24,46.23,46.86,46.15,46.52,45.96,24655102,24655102,0.29,0.6273000000000001,46.44,"January 24, 25",0.006273
2025-01-27,46.55,47.14,46.38,47.09,46.52,44260048,44260048,0.54,1.16,46.79,"January 27, 25",0.011600000000000001
2025-01-28,47.08,47.44,46.71,46.84,46.27,27156644,27156644,-0.24,-0.5097700000000001,47.0175,"January 28, 25",-0.0050977
2025-01-29,46.75,47.39,46.64,46.75,46.18,23681527,23681527,0.0,0.0,46.8825,"January 29, 25",0.0
2025-01-30,47.11,47.17,46.4,46.72,46.16,31199900,31199900,-0.39,-0.8278500000000001,46.85,"January 30, 25",-0.0082785
2025-01-31,46.7,46.83,46.16,46.3,45.74,30392921,30392921,-0.4,-0.8565300000000001,46.4975,"January 31, 25",-0.0085653
2025-02-03,45.42,46.48,45.11,46.21,45.65,36497705,36497705,0.79,1.74,45.805,"February 03, 25",0.017400000000000002
2025-02-04,46.35,47.13,46.27,46.71,46.15,32894000,32894000,0.36,0.7767000000000001,46.615,"February 04, 25",0.007767
2025-02-05,46.98,47.13,46.64,47.11,46.54,27696614,27696614,0.13,0.27671,46.965,"February 05, 25",0.0027670999999999998
2025-02-06,47.44,47.98,47.17,47.74,47.16,39793400,39793400,0.30000000000000004,0.63238,47.5825,"February 06, 25",0.0063238
2025-02-07,47.84,47.97,47.38,47.4,46.83,26504700,26504700,-0.44,-0.91973,47.6475,"February 07, 25",-0.0091973
2025-02-10,47.48,47.56,46.4,46.67,46.11,26725206,26725206,-0.81,-1.71,47.0275,"February 10, 25",-0.0171
2025-02-11,46.55,46.93,46.28,46.79,46.22,20314900,20314900,0.24,0.5155700000000001,46.6375,"February 11, 25",0.0051557
2025-02-12,46.57,46.58,45.94,46.21,45.65,29777100,29777100,-0.36,-0.7730300000000001,46.325,"February 12, 25",-0.0077303
2025-02-13,46.52,46.57,45.97,46.33,45.77,26815400,26815400,-0.19,-0.40843,46.3475,"February 13, 25",-0.0040843
2025-02-14,46.48,47.09,46.48,46.96,46.39,25960500,25960500,0.48,1.03,46.7525,"February 14, 25",0.0103
2025-02-18,46.56,46.65,46.16,46.53,45.97,37824104,37824104,-0.03,-0.06443299,46.475,"February 18, 25",-0.0006443299
2025-02-19,45.88,46.06,45.42,46.01,45.45,38967823,38967823,0.13,0.28335000000000005,45.8425,"February 19, 25",0.0028335
2025-02-20,45.9,46.19,45.04,45.3,44.75,40001100,40001100,-0.6000000000000001,-1.31,45.6075,"February 20, 25",-0.0131
2025-02-21,45.25,45.51,44.54,44.81,44.27,43485900,43485900,-0.44,-0.9723800000000001,45.0275,"February 21, 25",-0.0097238
2025-02-24,45.03,45.39,44.44,44.46,43.92,35512204,35512204,-0.5700000000000001,-1.27,44.83,"February 24, 25",-0.012700000000000001
2025-02-25,44.53,44.84,43.35,43.94,43.41,38119007,38119007,-0.59,-1.32,44.165,"February 25, 25",-0.0132
2025-02-26,44.04,44.55,43.86,43.94,43.41,32251700,32251700,-0.1,-0.22707000000000002,44.0975,"February 26, 25",-0.0022707
2025-02-27,44.09,44.78,43.94,44.12,43.59,28477725,28477725,0.03,0.06804264,44.2325,"February 27, 25",0.0006804264000000001
2025-02-28,44.32,46.2,44.2,46.1,45.54,62621148,62621148,1.78,4.02,45.205,"February 28, 25",0.0402
2025-03-03,46.21,46.96,45.22,45.56,45.01,46946021,46946021,-0.65,-1.4100000000000001,45.9875,"March 03, 25",-0.014100000000000001
2025-03-04,44.73,44.84,42.03,42.67,42.15,78278115,78278115,-2.06,-4.61,43.5675,"March 04, 25",-0.0461
2025-03-05,42.65,42.73,41.71,42.29,41.78,52588903,52588903,-0.36,-0.84408,42.345,"March 05, 25",-0.0084408
