date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,91.49,91.5,91.48,91.49,89.63,6956800,6956800,0.0,0.0,91.49,"January 07, 25",0.0
2025-01-08,91.51,91.51,91.5,91.51,89.65,6673100,6673100,0.0,0.0,91.5075,"January 08, 25",0.0
2025-01-10,91.55,91.55,91.54,91.54,89.67,10112200,10112200,-0.01,-0.01092299,91.545,"January 10, 25",-0.0001092299
2025-01-13,91.55,91.56,91.55,91.55,89.68,7854400,7854400,0.0,0.0,91.5525,"January 13, 25",0.0
2025-01-14,91.56,91.57,91.56,91.57,89.7,6078338,6078338,0.01,0.010921799999999999,91.565,"January 14, 25",0.00010921800000000001
2025-01-15,91.58,91.58,91.57,91.58,89.71,7253802,7253802,0.0,0.0,91.5775,"January 15, 25",0.0
2025-01-16,91.59,91.59,91.58,91.58,89.71,6997800,6997800,-0.01,-0.010918220000000001,91.585,"January 16, 25",-0.0001091822
2025-01-17,91.62,91.63,91.62,91.63,89.76,7745500,7745500,0.01,0.01091465,91.625,"January 17, 25",0.00010914650000000001
2025-01-21,91.63,91.64,91.63,91.63,89.76,10266200,10266200,0.0,0.0,91.6325,"January 21, 25",0.0
2025-01-22,91.64,91.65,91.64,91.65,89.78,6019215,6019215,0.01,0.01091227,91.645,"January 22, 25",0.0001091227
2025-01-23,91.66,91.66,91.65,91.65,89.78,6561518,6561518,-0.01,-0.01090988,91.655,"January 23, 25",-0.0001090988
2025-01-24,91.69,91.69,91.68,91.69,89.82,7242209,7242209,0.0,0.0,91.6875,"January 24, 25",0.0
2025-01-27,91.69,91.7,91.69,91.7,89.83,7909600,7909600,0.01,0.01090631,91.695,"January 27, 25",0.0001090631
2025-01-28,91.71,91.71,91.7,91.7,89.83,6485527,6485527,-0.01,-0.01090394,91.705,"January 28, 25",-0.0001090394
2025-01-29,91.72,91.72,91.71,91.71,89.84,5688820,5688820,-0.01,-0.010902750000000001,91.715,"January 29, 25",-0.0001090275
2025-01-30,91.73,91.73,91.72,91.72,89.85,7369900,7369900,-0.01,-0.01090156,91.725,"January 30, 25",-0.0001090156
2025-01-31,91.75,91.76,91.75,91.75,89.88,13675900,13675900,0.0,0.0,91.7525,"January 31, 25",0.0
2025-02-03,91.45,91.45,91.44,91.45,89.9,17508900,17508900,0.0,0.0,91.4475,"February 03, 25",0.0
2025-02-04,91.46,91.46,91.45,91.45,89.9,9295900,9295900,-0.01,-0.01093374,91.455,"February 04, 25",-0.0001093374
2025-02-05,91.46,91.47,91.46,91.46,89.91,6249634,6249634,0.0,0.0,91.4625,"February 05, 25",0.0
2025-02-06,91.48,91.48,91.47,91.48,89.93,8308300,8308300,0.0,0.0,91.4775,"February 06, 25",0.0
2025-02-07,91.51,91.51,91.5,91.5,89.95,6391119,6391119,-0.01,-0.01092777,91.505,"February 07, 25",-0.0001092777
2025-02-10,91.52,91.52,91.51,91.51,89.96,5466500,5466500,-0.01,-0.01092657,91.515,"February 10, 25",-0.0001092657
2025-02-11,91.52,91.53,91.52,91.52,89.97,6959400,6959400,0.0,0.0,91.5225,"February 11, 25",0.0
2025-02-12,91.53,91.54,91.53,91.53,89.98,6275700,6275700,0.0,0.0,91.5325,"February 12, 25",0.0
2025-02-13,91.55,91.55,91.54,91.55,90.0,6340500,6340500,0.0,0.0,91.5475,"February 13, 25",0.0
2025-02-14,91.58,91.59,91.58,91.58,90.03,6058947,6058947,0.0,0.0,91.5825,"February 14, 25",0.0
2025-02-18,91.59,91.6,91.59,91.6,90.05,8777200,8777200,0.01,0.010918220000000001,91.595,"February 18, 25",0.0001091822
2025-02-19,91.61,91.61,91.6,91.61,90.06,5685822,5685822,0.0,0.0,91.6075,"February 19, 25",0.0
2025-02-20,91.62,91.63,91.62,91.63,90.08,5454920,5454920,0.01,0.01091465,91.625,"February 20, 25",0.00010914650000000001
2025-02-21,91.65,91.66,91.65,91.66,90.11,7185900,7185900,0.01,0.01091107,91.655,"February 21, 25",0.0001091107
