date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,71.72,71.77,71.44,71.53,70.39,7875935,7875935,-0.195,-0.26492000000000004,71.615,"January 07, 25",-0.0026492
2025-01-08,71.48,71.66,71.45,71.61,70.47,5844375,5844375,0.13,0.18187,71.55,"January 08, 25",0.0018187
2025-01-10,71.74,71.74,71.18,71.24,70.11,9602447,9602447,-0.5,-0.69696,71.475,"January 10, 25",-0.006969599999999999
2025-01-13,71.24,71.25,71.1,71.17,70.04,11856578,11856578,-0.07,-0.0982594,71.19,"January 13, 25",-0.000982594
2025-01-14,71.15,71.25,71.11,71.22,70.09,5166000,5166000,0.07,0.09838369999999999,71.1825,"January 14, 25",0.000983837
2025-01-15,71.6,71.88,71.6,71.79,70.65,5867900,5867900,0.19,0.26536000000000004,71.7175,"January 15, 25",0.0026536
2025-01-16,71.7,72.03,71.64,71.93,70.79,8494105,8494105,0.23,0.32078,71.825,"January 16, 25",0.0032078
2025-01-17,72.1,72.1,71.91,71.95,70.81,5600397,5600397,-0.15,-0.20804000000000003,72.015,"January 17, 25",-0.0020804
2025-01-21,72.21,72.21,72.07,72.16,71.01,8491622,8491622,-0.05,-0.06924249,72.1625,"January 21, 25",-0.0006924249000000001
2025-01-22,72.15,72.2,71.97,72.01,70.87,6616809,6616809,-0.14,-0.19404000000000002,72.0825,"January 22, 25",-0.0019404
2025-01-23,72.0,72.0,71.8,71.9,70.76,7529793,7529793,-0.1,-0.13889,71.925,"January 23, 25",-0.0013889
2025-01-24,72.0,72.09,71.87,72.04,70.89,5555722,5555722,0.04,0.055555560000000004,72.0,"January 24, 25",0.0005555556
2025-01-27,72.34,72.44,72.26,72.42,71.27,8621200,8621200,0.08,0.11059000000000001,72.365,"January 27, 25",0.0011059
2025-01-28,72.39,72.39,72.21,72.38,71.23,4424518,4424518,-0.01,-0.01381406,72.3425,"January 28, 25",-0.00013814060000000002
2025-01-29,72.43,72.49,72.17,72.34,71.19,5780349,5780349,-0.09,-0.12426000000000001,72.3575,"January 29, 25",-0.0012426
2025-01-30,72.46,72.53,72.38,72.44,71.29,5622434,5622434,-0.02,-0.02760144,72.4525,"January 30, 25",-0.0002760144
2025-01-31,72.48,72.54,72.2,72.34,71.19,6738335,6738335,-0.14,-0.19316000000000003,72.39,"January 31, 25",-0.0019316
2025-02-03,72.23,72.43,72.06,72.17,71.25,7163803,7163803,-0.06,-0.08306798,72.2225,"February 03, 25",-0.0008306798
2025-02-04,72.04,72.29,71.97,72.27,71.35,7296233,7296233,0.23,0.31927000000000005,72.1425,"February 04, 25",0.0031926999999999997
2025-02-05,72.52,72.76,72.5,72.64,71.71,8981700,8981700,0.12,0.16547,72.605,"February 05, 25",0.0016546999999999998
2025-02-06,72.56,72.65,72.48,72.56,71.63,5722100,5722100,0.0,0.0,72.5625,"February 06, 25",0.0
2025-02-07,72.39,72.44,72.27,72.34,71.42,6415636,6415636,-0.05,-0.06907031,72.36,"February 07, 25",-0.0006907031
2025-02-10,72.45,72.51,72.32,72.36,71.44,5439533,5439533,-0.09,-0.12422000000000001,72.41,"February 10, 25",-0.0012422
2025-02-11,72.31,72.31,72.18,72.24,71.32,6871183,6871183,-0.07,-0.09680542,72.26,"February 11, 25",-0.0009680542
2025-02-12,71.93,71.99,71.75,71.87,70.95,5279616,5279616,-0.055,-0.08341443,71.885,"February 12, 25",-0.0008341443
2025-02-13,72.16,72.37,72.07,72.3,71.38,6452940,6452940,0.14,0.19401000000000002,72.225,"February 13, 25",0.0019401
2025-02-14,72.46,72.68,72.46,72.53,71.6,6131695,6131695,0.07,0.09660502,72.5325,"February 14, 25",0.0009660502
2025-02-18,72.35,72.45,72.25,72.26,71.34,7151704,7151704,-0.085,-0.12440000000000001,72.3275,"February 18, 25",-0.0012439999999999999
2025-02-19,72.29,72.39,72.21,72.36,71.44,4720798,4720798,0.075,0.0968322,72.3125,"February 19, 25",0.0009683220000000001
2025-02-20,72.46,72.5,72.42,72.45,71.53,6199049,6199049,-0.01,-0.01380072,72.4575,"February 20, 25",-0.0001380072
2025-02-21,72.54,72.86,72.53,72.77,71.84,4460631,4460631,0.23,0.31707,72.675,"February 21, 25",0.0031707
2025-02-24,72.7,72.92,72.69,72.87,71.94,5580117,5580117,0.17,0.23384000000000002,72.795,"February 24, 25",0.0023384
2025-02-25,73.11,73.33,73.05,73.33,72.39,4835591,4835591,0.22,0.30092,73.205,"February 25, 25",0.0030092
2025-02-26,73.31,73.48,73.21,73.44,72.5,5825665,5825665,0.13,0.17733000000000002,73.36,"February 26, 25",0.0017733
2025-02-27,73.31,73.42,73.22,73.35,72.41,14908532,14908532,0.045,0.05456282,73.325,"February 27, 25",0.0005456282
2025-02-28,73.52,73.69,73.41,73.66,72.72,8363500,8363500,0.14,0.19042,73.57,"February 28, 25",0.0019042
2025-03-03,73.25,73.63,73.22,73.61,72.89,7549672,7549672,0.36,0.49147,73.4275,"March 03, 25",0.0049147
2025-03-04,73.61,73.75,73.32,73.4,72.68,7693140,7693140,-0.21,-0.28529000000000004,73.52,"March 04, 25",-0.0028529
2025-03-05,73.3,73.52,73.13,73.14,72.42,7758400,7758400,-0.16,-0.21828000000000003,73.2725,"March 05, 25",-0.0021828
2025-03-06,73.11,73.2,72.9,73.08,72.36,7196421,7196421,-0.025,-0.041034060000000004,73.0725,"March 06, 25",-0.0004103406
2025-03-07,73.33,73.37,72.95,73.0,72.28,5036333,5036333,-0.33,-0.45002000000000003,73.1625,"March 07, 25",-0.0045002
2025-03-10,73.3,73.47,73.27,73.34,72.62,8167000,8167000,0.04,0.05457026,73.345,"March 10, 25",0.0005457026
2025-03-11,73.2,73.43,73.04,73.06,72.34,8359398,8359398,-0.14,-0.19126,73.1825,"March 11, 25",-0.0019126
2025-03-12,72.91,73.06,72.89,72.91,72.2,6193000,6193000,0.0,0.0,72.9425,"March 12, 25",0.0
2025-03-13,72.92,73.15,72.77,73.13,72.41,4711554,4711554,0.215,0.28799,72.9925,"March 13, 25",0.0028799
2025-03-14,73.02,73.07,72.94,72.95,72.24,5095057,5095057,-0.07,-0.09586415,72.995,"March 14, 25",-0.0009586415
2025-03-17,73.13,73.24,73.01,73.05,72.33,4773287,4773287,-0.08,-0.10939000000000002,73.1075,"March 17, 25",-0.0010938999999999999
2025-03-18,72.98,73.22,72.97,73.13,72.41,4196326,4196326,0.15,0.20554000000000003,73.075,"March 18, 25",0.0020553999999999998
2025-03-19,73.07,73.38,73.0,73.35,72.63,4201613,4201613,0.28,0.38319000000000003,73.2,"March 19, 25",0.0038318999999999996
2025-03-20,73.65,73.67,73.35,73.38,72.66,3760920,3760920,-0.27,-0.36660000000000004,73.5125,"March 20, 25",-0.003666
2025-03-21,73.44,73.52,73.3,73.32,72.6,7078526,7078526,-0.125,-0.16340000000000002,73.395,"March 21, 25",-0.0016339999999999998
2025-03-24,73.19,73.22,72.98,73.0,72.28,5637341,5637341,-0.19,-0.2596,73.0975,"March 24, 25",-0.002596
2025-03-25,73.0,73.17,72.99,73.09,72.37,6133739,6133739,0.09,0.12329000000000001,73.0625,"March 25, 25",0.0012328999999999999
2025-03-26,73.02,73.06,72.89,72.93,72.22,4881976,4881976,-0.09,-0.12325000000000001,72.975,"March 26, 25",-0.0012324999999999999
2025-03-27,72.88,72.92,72.82,72.9,72.19,5568322,5568322,0.02,0.02744237,72.88,"March 27, 25",0.0002744237
2025-03-28,73.16,73.35,73.07,73.32,72.6,4850500,4850500,0.16,0.2187,73.225,"March 28, 25",0.0021869999999999997
2025-03-31,73.5,73.56,73.27,73.45,72.73,7106111,7106111,-0.05,-0.06802721,73.445,"March 31, 25",-0.0006802721
2025-04-01,73.22,73.58,73.21,73.44,72.96,4667900,4667900,0.22,0.30046,73.3625,"April 01, 25",0.0030046
2025-04-02,73.61,73.62,73.18,73.38,72.9,5313100,5313100,-0.23,-0.31246,73.4475,"April 02, 25",-0.0031246
2025-04-03,73.76,74.0,73.62,73.76,73.28,7426200,7426200,0.0,0.0,73.785,"April 03, 25",0.0
2025-04-04,74.2,74.34,73.71,73.82,73.34,12678000,12678000,-0.38,-0.5121300000000001,74.0175,"April 04, 25",-0.0051213
2025-04-07,73.65,73.69,72.85,72.93,72.45,14283000,14283000,-0.72,-0.9776,73.28,"April 07, 25",-0.009776
2025-04-08,72.92,73.05,72.46,72.51,72.04,12629200,12629200,-0.41000000000000003,-0.5622600000000001,72.735,"April 08, 25",-0.0056226
