date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-02-08,397.22,398.65,394.85,397.49,397.49,3359311,3359311,0.27,0.06797241,396.88,"February 08, 24",0.0006797241000000001
2024-02-09,397.31,398.36,395.82,398.36,398.36,2510146,2510146,1.05,0.26428,397.53,"February 09, 24",0.0026428
2024-02-12,398.65,399.48,396.19,397.71,397.71,2798808,2798808,-0.9400000000000001,-0.2358,397.88,"February 12, 24",-0.002358
2024-02-13,397.18,399.705,392.1,394.8,394.8,3459672,3459672,-2.38,-0.5992200000000001,394.61,"February 13, 24",-0.0059922
2024-02-14,395.15,398.86,393.5477,398.68,398.68,2670953,2670953,3.5300000000000002,0.8933300000000001,397.06,"February 14, 24",0.0089333
2024-02-15,399.14,404.2699,398.3,403.45,403.45,3076698,3076698,4.31,1.08,402.21,"February 15, 24",0.0108
2024-02-16,404.44,406.74,402.59,405.99,405.99,3533386,3533386,1.55,0.38325000000000004,405.12,"February 16, 24",0.0038325
2024-02-20,406.47,411.11,406.06,407.15,407.15,3534163,3534163,0.68,0.16729000000000002,408.07,"February 20, 24",0.0016729
2024-02-21,408.26,409.48,406.7,409.25,409.25,2720475,2720475,0.99,0.24249,408.27,"February 21, 24",0.0024249
2024-02-22,411.3,416.26,411.0,415.16,415.16,3697494,3697494,3.86,0.93849,414.08,"February 22, 24",0.0093849
2024-02-23,417.68,420.56,416.52,417.22,417.22,4025164,4025164,-0.46,-0.11013,418.02,"February 23, 24",-0.0011013
2024-02-26,422.0,430.0,408.8468,409.14,409.14,7446190,7446190,-12.86,-3.05,415.39,"February 26, 24",-0.030500000000000003
2024-02-27,409.21,409.9625,401.71,408.91,408.91,4610892,4610892,-0.30000000000000004,-0.07331199000000001,405.86,"February 27, 24",-0.0007331199
2024-02-28,408.5,414.665,407.7126,412.14,412.14,4067843,4067843,3.64,0.8910600000000001,412.37,"February 28, 24",0.0089106
2024-02-29,413.1,413.79,408.38,409.4,409.4,4849104,4849104,-3.7,-0.8956700000000001,409.64,"February 29, 24",-0.0089567
2024-03-01,409.48,410.39,405.45,407.11,407.11,3284244,3284244,-2.37,-0.5787800000000001,407.19,"March 01, 24",-0.0057878
2024-03-04,405.0,405.95,401.43,403.39,403.39,4183800,4183800,-1.6099999999999999,-0.39753000000000005,403.55,"March 04, 24",-0.0039753
2024-03-05,402.55,403.3279,398.78,400.74,400.74,4714395,4714395,-1.81,-0.44963000000000003,400.66,"March 05, 24",-0.0044963
2024-03-06,402.18,407.44,401.695,403.96,403.96,3842562,3842562,1.78,0.44259000000000004,404.67,"March 06, 24",0.0044259
2024-03-07,406.11,406.4,399.5699,402.39,402.39,4187608,4187608,-3.7199999999999998,-0.9160100000000001,402.05,"March 07, 24",-0.0091601
2024-03-08,401.08,403.36,400.01,403.15,403.15,3417859,3417859,2.07,0.5161100000000001,402.29,"March 08, 24",0.0051611
2024-03-11,403.3,405.01,402.7406,404.76,404.76,2426758,2426758,1.46,0.36201000000000005,404.23,"March 11, 24",0.0036201
2024-03-12,406.78,407.2,404.1,404.98,404.98,2620804,2620804,-1.8,-0.4425,405.35,"March 12, 24",-0.004425
2024-03-13,405.3,409.0,404.15,408.13,408.13,3586358,3586358,2.83,0.69825,407.13,"March 13, 24",0.0069825
2024-03-14,409.08,409.08,403.34,406.73,406.73,3739644,3739644,-2.35,-0.5744600000000001,406.12,"March 14, 24",-0.0057446
2024-03-15,404.27,408.46,402.5,408.13,408.13,7557843,7557843,3.86,0.95481,406.36,"March 15, 24",0.0095481
2024-03-18,408.7,410.5999,406.0,408.41,408.41,3778450,3778450,-0.29,-0.07095669,408.2,"March 18, 24",-0.0007095669
2024-03-19,409.08,412.19,408.09,411.76,411.76,2804025,2804025,2.68,0.6551300000000001,411.06,"March 19, 24",0.0065512999999999995
2024-03-20,412.02,416.31,411.55,416.11,416.11,2935528,2935528,4.09,0.99267,414.58,"March 20, 24",0.0099267
2024-03-21,416.7,417.825,413.51,413.78,413.78,3402874,3402874,-2.92,-0.70074,415.11,"March 21, 24",-0.0070074
2024-03-22,413.0,414.35,411.4,411.6,411.6,2984546,2984546,-1.4,-0.33898,412.51,"March 22, 24",-0.0033897999999999997
2024-03-25,410.67,411.065,408.9244,409.92,409.92,2808910,2808910,-0.75,-0.18263000000000001,409.86,"March 25, 24",-0.0018262999999999999
2024-03-26,410.0,412.66,408.6001,411.57,411.57,2762406,2762406,1.57,0.38293000000000005,411.6,"March 26, 24",0.0038293
2024-03-27,413.65,417.21,413.4,416.93,416.93,2929158,2929158,3.2800000000000002,0.7929400000000001,415.65,"March 27, 24",0.0079294
2024-03-28,417.8,421.44,415.85,420.52,420.52,4378770,4378770,2.7199999999999998,0.6510300000000001,419.3,"March 28, 24",0.0065103
2024-04-01,421.49,421.66,417.81,420.2,420.2,2718872,2718872,-1.29,-0.30606,419.97,"April 01, 24",-0.0030605999999999997
2024-04-02,419.75,421.01,418.085,418.92,418.92,3175139,3175139,-0.8300000000000001,-0.19774000000000003,419.1,"April 02, 24",-0.0019774
2024-04-03,419.0,421.9099,418.52,420.24,420.24,2742174,2742174,1.24,0.29594000000000004,420.34,"April 03, 24",0.0029594
2024-04-04,423.84,424.52,414.55,415.32,415.32,3802994,3802994,-8.52,-2.01,418.67,"April 04, 24",-0.0201
2024-04-05,416.56,419.27,415.41,418.62,418.62,2739587,2739587,2.06,0.49453,417.93,"April 05, 24",0.0049453
2024-04-08,418.32,418.57,415.625,415.97,415.97,2486651,2486651,-2.35,-0.56177,416.85,"April 08, 24",-0.0056177
2024-04-09,416.58,417.32,412.12,414.69,414.69,2234137,2234137,-1.8900000000000001,-0.45369000000000004,414.24,"April 09, 24",-0.0045369
