date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,923.84,931.31,916.43,921.37,919.16,1888000,1888000,-2.47,-0.26736000000000004,923.2375,"January 07, 25",-0.0026736
2025-01-08,922.98,930.5,915.42,927.37,925.14,1774800,1774800,4.39,0.47563000000000005,924.0675,"January 08, 25",0.0047563
2025-01-10,933.36,944.28,923.5,936.94,934.69,2765800,2765800,3.58,0.38356,934.52,"January 10, 25",0.0038355999999999998
2025-01-13,934.0,934.99,921.0,924.7,922.48,1693800,1693800,-9.3,-0.99572,928.6725,"January 13, 25",-0.0099572
2025-01-14,924.3,927.76,909.92,917.23,915.03,1683800,1683800,-7.07,-0.7649,919.8025,"January 14, 25",-0.0076489999999999995
2025-01-15,927.26,932.87,918.3,923.5,921.28,1839400,1839400,-3.76,-0.4055,925.4825,"January 15, 25",-0.004055
2025-01-16,924.73,927.4,917.82,919.75,917.54,1353000,1353000,-4.98,-0.53854,922.425,"January 16, 25",-0.005385399999999999
2025-01-17,930.0,943.8,924.57,943.19,940.92,2375012,2375012,13.19,1.42,935.39,"January 17, 25",0.0142
2025-01-21,945.25,956.55,943.5,947.73,945.45,2042443,2042443,2.48,0.26236000000000004,948.2575,"January 21, 25",0.0026236
2025-01-22,951.23,951.94,939.24,944.7,942.43,2155000,2155000,-6.52,-0.6864800000000001,946.7775,"January 22, 25",-0.0068648
2025-01-23,941.69,943.39,936.49,942.16,939.9,1352440,1352440,0.47000000000000003,0.04991027,940.9325,"January 23, 25",0.0004991027
2025-01-24,942.16,946.04,933.56,939.68,937.42,1562422,1562422,-2.48,-0.26322,940.36,"January 24, 25",-0.0026322
2025-01-27,930.0,966.99,927.18,965.25,962.93,3044700,3044700,35.25,3.79,947.355,"January 27, 25",0.0379
2025-01-28,961.83,965.71,954.07,958.67,956.37,2166400,2166400,-3.16,-0.32854000000000005,960.07,"January 28, 25",-0.0032854
2025-01-29,957.8,968.26,955.0,964.02,961.7,1713749,1713749,6.22,0.6494,961.27,"January 29, 25",0.006494
2025-01-30,970.3,986.75,970.1,979.01,976.66,1788200,1788200,8.71,0.8976600000000001,976.54,"January 30, 25",0.0089766
2025-01-31,976.24,991.0,975.78,979.88,977.52,1875713,1875713,3.64,0.37286,980.725,"January 31, 25",0.0037286
2025-02-03,972.39,1009.61,968.94,1005.83,1003.41,2751018,2751018,33.45,3.44,989.1925,"February 03, 25",0.0344
2025-02-04,1005.4,1024.35,999.65,1021.86,1019.4,2001641,2001641,16.46,1.6400000000000001,1012.815,"February 04, 25",0.0164
2025-02-05,1020.0,1043.09,1020.0,1042.88,1040.37,2050058,2050058,22.88,2.24,1031.4925,"February 05, 25",0.0224
2025-02-06,1050.0,1063.0,1044.2,1050.99,1048.46,2218045,2218045,0.99,0.09428571000000001,1052.0475,"February 06, 25",0.0009428571
2025-02-07,1047.0,1056.71,1035.51,1043.81,1042.45,1632900,1632900,-3.19,-0.30468,1045.7575,"February 07, 25",-0.0030467999999999997
2025-02-10,1052.0,1063.0,1046.0,1061.92,1060.54,2036900,2036900,9.92,0.9429700000000001,1055.73,"February 10, 25",0.0094297
2025-02-11,1059.91,1066.0,1049.04,1058.34,1056.96,1748505,1748505,-1.57,-0.14813,1058.3225,"February 11, 25",-0.0014812999999999998
2025-02-12,1054.15,1067.0,1051.0,1065.12,1063.73,1662315,1662315,10.97,1.04,1059.3175,"February 12, 25",0.010400000000000001
2025-02-13,1067.01,1078.23,1064.65,1076.86,1075.46,1623300,1623300,9.85,0.9231400000000001,1071.6875,"February 13, 25",0.009231399999999999
2025-02-14,1076.48,1077.49,1068.01,1071.85,1070.46,1410728,1410728,-4.63,-0.43011000000000005,1073.4575,"February 14, 25",-0.0043010999999999995
2025-02-18,1069.21,1071.0,1045.24,1056.03,1054.66,2090600,2090600,-13.18,-1.23,1060.37,"February 18, 25",-0.0123
2025-02-19,1056.06,1063.18,1053.0,1062.54,1061.16,1349634,1349634,6.48,0.6136,1058.695,"February 19, 25",0.006136
2025-02-20,1053.64,1053.64,1033.85,1034.83,1033.48,2000545,2000545,-18.81,-1.79,1043.99,"February 20, 25",-0.0179
2025-02-21,1034.61,1036.21,1024.68,1035.03,1033.68,1816308,1816308,0.425,0.04059501,1032.6325,"February 21, 25",0.0004059501
2025-02-24,1028.54,1038.19,1025.22,1035.6,1034.25,1759749,1759749,7.06,0.6864100000000001,1031.8875,"February 24, 25",0.0068641
2025-02-25,1040.73,1057.02,1037.46,1055.66,1054.29,2083802,2083802,14.93,1.43,1047.7175,"February 25, 25",0.0143
2025-02-26,1050.14,1058.89,1030.18,1031.97,1030.63,1555700,1555700,-18.17,-1.73,1042.795,"February 26, 25",-0.0173
2025-02-27,1034.0,1042.53,1018.83,1021.71,1020.38,1629100,1629100,-12.29,-1.19,1029.2675,"February 27, 25",-0.0119
2025-02-28,1030.61,1049.38,1023.99,1048.61,1047.25,3307117,3307117,18.0,1.75,1038.1475,"February 28, 25",0.0175
2025-03-03,1051.74,1066.0,1041.14,1046.85,1045.49,2422500,2422500,-4.89,-0.46494,1051.4325,"March 03, 25",-0.0046494
2025-03-04,1045.73,1047.93,1028.73,1036.87,1035.52,2536800,2536800,-8.86,-0.8472600000000001,1039.815,"March 04, 25",-0.0084726
2025-03-05,1033.08,1050.98,1028.5,1047.75,1046.39,1898604,1898604,14.67,1.42,1040.0775,"March 05, 25",0.0142
2025-03-06,1032.95,1045.89,1019.05,1026.62,1025.28,2594600,2594600,-6.33,-0.6128100000000001,1031.1275,"March 06, 25",-0.0061281
2025-03-07,995.15,1002.42,942.78,964.31,963.06,5510718,5510718,-30.84,-3.1,976.165,"March 07, 25",-0.031
2025-03-10,955.47,959.66,924.03,934.41,933.19,4459900,4459900,-21.06,-2.2,943.3925,"March 10, 25",-0.022
2025-03-11,931.0,938.0,921.2,930.49,929.28,3204900,3204900,-0.51,-0.05477981,930.1725,"March 11, 25",-0.0005477981
2025-03-12,938.0,944.38,923.25,927.08,925.87,2331610,2331610,-10.92,-1.16,933.1775,"March 12, 25",-0.011600000000000001
2025-03-13,922.0,923.5,887.47,890.62,889.46,3447210,3447210,-31.38,-3.4,905.8975,"March 13, 25",-0.034
2025-03-14,891.81,906.95,881.56,903.92,902.74,3186406,3186406,12.11,1.3599999999999999,896.06,"March 14, 25",0.013600000000000001
2025-03-17,901.63,923.39,898.0,916.61,915.42,2256100,2256100,14.98,1.6600000000000001,909.9075,"March 17, 25",0.0166
2025-03-18,913.0,917.56,896.84,898.05,896.88,2182005,2182005,-14.95,-1.6400000000000001,906.3625,"March 18, 25",-0.0164
2025-03-19,902.86,910.16,896.0,904.05,902.87,1908521,1908521,1.19,0.1318,903.2675,"March 19, 25",0.001318
2025-03-20,901.5,907.48,894.1,895.4,894.23,1891800,1891800,-6.1,-0.6766500000000001,899.62,"March 20, 25",-0.0067665
2025-03-21,888.75,909.77,883.96,909.26,908.08,3447600,3447600,20.51,2.31,897.935,"March 21, 25",0.023100000000000002
2025-03-24,920.0,928.65,920.0,926.04,924.83,2208100,2208100,6.04,0.6565200000000001,923.6725,"March 24, 25",0.006565199999999999
2025-03-25,926.63,932.29,922.49,930.26,929.05,1623000,1623000,3.63,0.39174000000000003,927.9175,"March 25, 25",0.0039174
2025-03-26,934.33,939.42,923.45,929.75,928.54,1646854,1646854,-4.58,-0.49019,931.7375,"March 26, 25",-0.0049019
2025-03-27,929.56,942.9,928.0,938.75,937.53,1547000,1547000,9.19,0.9886400000000001,934.8025,"March 27, 25",0.0098864
2025-03-28,937.5,938.75,926.0,929.66,928.45,2100500,2100500,-7.84,-0.8362700000000001,932.9775,"March 28, 25",-0.008362699999999999
2025-03-31,922.36,995.0,922.04,945.78,944.55,3102000,3102000,23.42,2.54,946.295,"March 31, 25",0.025400000000000002
2025-04-01,942.42,957.72,938.75,954.4,953.16,2041507,2041507,11.98,1.27,948.3225,"April 01, 25",0.012700000000000001
2025-04-02,950.84,970.89,950.0,965.08,963.82,1719900,1719900,14.24,1.5,959.2025,"April 02, 25",0.015
2025-04-03,931.08,981.35,928.0,967.08,965.82,3096918,3096918,36.0,3.87,951.8775,"April 03, 25",0.038700000000000005
2025-04-04,955.0,964.52,914.14,916.48,915.29,5167000,5167000,-38.52,-4.03,937.535,"April 04, 25",-0.0403
2025-04-07,887.75,937.82,871.71,908.13,906.95,4626600,4626600,20.38,2.3,901.3525,"April 07, 25",0.023
2025-04-08,932.05,942.99,899.57,908.75,907.57,3545403,3545403,-23.3,-2.5,920.84,"April 08, 25",-0.025
2025-04-09,908.0,967.46,897.67,965.19,963.93,5084527,5084527,57.19,6.3,934.58,"April 09, 25",0.063
2025-04-10,966.5,993.41,942.89,964.31,963.06,4209100,4209100,-2.19,-0.22659,966.7775,"April 10, 25",-0.0022659
2025-04-11,963.96,970.21,943.16,963.41,962.16,2721811,2721811,-0.55,-0.05705631,960.185,"April 11, 25",-0.0005705631
2025-04-14,970.0,987.13,965.0,979.32,978.05,2219943,2219943,9.32,0.9608200000000001,975.3625,"April 14, 25",0.009608199999999999
2025-04-15,985.35,994.0,974.25,976.92,975.65,1788200,1788200,-8.43,-0.8555300000000001,982.63,"April 15, 25",-0.0085553
2025-04-16,972.13,978.65,959.24,967.75,966.49,2531715,2531715,-4.38,-0.45056,969.4425,"April 16, 25",-0.0045056
2025-04-17,973.28,999.92,971.99,994.5,993.21,2711124,2711124,21.23,2.18,984.9225,"April 17, 25",0.0218
2025-04-21,993.0,996.99,942.97,957.77,956.52,2841310,2841310,-35.23,-3.55,972.6825,"April 21, 25",-0.035500000000000004
2025-04-22,969.75,987.45,966.78,979.23,977.96,2230645,2230645,9.48,0.97757,975.8025,"April 22, 25",0.0097757
2025-04-23,994.52,995.75,969.0,975.84,974.57,2109700,2109700,-18.68,-1.88,983.7775,"April 23, 25",-0.0188
2025-04-24,973.6,978.0,960.71,975.48,974.21,2468500,2468500,1.88,0.19310000000000002,971.9475,"April 24, 25",0.001931
2025-04-25,973.97,978.32,962.88,977.16,975.89,1780900,1780900,3.19,0.32753000000000004,973.0825,"April 25, 25",0.0032752999999999997
2025-04-28,978.5,985.3,968.78,978.54,977.27,1616200,1616200,0.04,0.00408789,977.78,"April 28, 25",4.08789e-05
2025-04-29,978.0,993.21,971.06,991.7,990.41,1523146,1523146,13.7,1.4,983.4925,"April 29, 25",0.014
2025-04-30,990.0,997.76,976.55,994.5,993.21,2212400,2212400,4.5,0.45455,989.7025,"April 30, 25",0.0045455
2025-05-01,990.1,1006.38,985.0,999.04,997.74,1829900,1829900,8.94,0.9029400000000001,995.13,"May 01, 25",0.0090294
2025-05-02,1007.83,1018.0,1004.61,1008.3,1008.3,1547710,1547710,0.47000000000000003,0.04663485,1009.685,"May 02, 25",0.0004663485
2025-05-05,1007.51,1017.78,1002.5,1014.89,1014.89,1952600,1952600,7.38,0.7325,1010.67,"May 05, 25",0.007325
2025-05-06,1008.45,1016.23,1003.51,1010.5,1010.5,1381248,1381248,2.05,0.20328000000000002,1009.6725,"May 06, 25",0.0020328
2025-05-07,1011.18,1014.1,1001.47,1007.15,1007.15,1316600,1316600,-4.03,-0.39854,1008.475,"May 07, 25",-0.0039854
2025-05-08,1013.5,1017.0,991.4,1007.71,1007.71,1882643,1882643,-5.79,-0.5712900000000001,1007.4025,"May 08, 25",-0.0057129
2025-05-09,1004.61,1010.71,998.05,1008.09,1008.09,1176700,1176700,3.48,0.34640000000000004,1005.365,"May 09, 25",0.0034639999999999996
2025-05-12,1009.79,1016.91,992.24,1016.15,1016.15,2069049,2069049,6.36,0.62983,1008.7725,"May 12, 25",0.0062983
2025-05-13,1013.72,1023.83,987.6,999.03,999.03,2917044,2917044,-14.69,-1.45,1006.045,"May 13, 25",-0.0145
2025-05-14,998.76,999.86,990.52,991.54,991.54,2215000,2215000,-7.22,-0.7229,995.17,"May 14, 25",-0.007228999999999999
2025-05-15,992.65,1014.0,983.0,1010.47,1010.47,2470700,2470700,17.82,1.8,1000.03,"May 15, 25",0.018000000000000002
2025-05-16,1012.49,1028.26,1009.0,1025.83,1025.83,2033744,2033744,13.34,1.32,1018.895,"May 16, 25",0.0132
2025-05-19,1018.6,1034.99,1012.89,1034.34,1034.34,1879800,1879800,15.74,1.55,1025.205,"May 19, 25",0.0155
2025-05-20,1030.01,1038.0,1030.01,1036.82,1036.82,2271232,2271232,6.8100000000000005,0.6611600000000001,1033.71,"May 20, 25",0.0066116
2025-05-21,1030.94,1039.47,1023.8,1025.3,1025.3,1438900,1438900,-5.64,-0.5470700000000001,1029.8775,"May 21, 25",-0.005470699999999999
2025-05-22,1027.72,1028.78,1014.12,1018.13,1018.13,1660909,1660909,-9.59,-0.9331300000000001,1022.1875,"May 22, 25",-0.009331299999999999
2025-05-23,1012.0,1015.11,1007.0,1008.5,1008.5,1413916,1413916,-3.5,-0.34585000000000005,1010.6525,"May 23, 25",-0.0034584999999999998
2025-05-27,1015.0,1018.95,1010.93,1017.79,1017.79,1868200,1868200,2.79,0.27488,1015.6675,"May 27, 25",0.0027488
2025-05-28,1017.05,1024.62,1012.96,1013.14,1013.14,1674743,1674743,-3.91,-0.38445,1016.9425,"May 28, 25",-0.0038445
2025-05-29,1016.01,1017.54,1003.6,1008.74,1008.74,2023815,2023815,-7.27,-0.7155400000000001,1011.4725,"May 29, 25",-0.007155399999999999
2025-05-30,1002.3,1052.49,1002.0,1040.18,1040.18,5403837,5403837,37.88,3.7800000000000002,1024.2425,"May 30, 25",0.0378
2025-06-02,1034.27,1060.5,1034.27,1056.85,1056.85,2148004,2148004,22.58,2.18,1046.4725,"June 02, 25",0.0218
2025-06-03,1054.15,1067.08,1043.26,1055.59,1055.59,1992900,1992900,1.44,0.1366,1055.02,"June 03, 25",0.001366
2025-06-04,1055.0,1057.83,1049.37,1051.69,1051.69,1422100,1422100,-3.31,-0.31374,1053.4725,"June 04, 25",-0.0031374
2025-06-05,1050.0,1051.05,1006.01,1010.81,1010.81,3297524,3297524,-39.19,-3.73,1029.4675,"June 05, 25",-0.0373
2025-06-06,1020.63,1020.63,1008.61,1014.94,1014.94,1855428,1855428,-5.69,-0.5575,1016.2025,"June 06, 25",-0.005575
2025-06-09,1012.42,1013.35,996.97,1006.18,1006.18,1696711,1696711,-6.24,-0.61634,1007.23,"June 09, 25",-0.0061633999999999994
