date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,330.5,331.5,322.91,324.93,323.9,4643133,4643133,-5.57,-1.69,327.46,"January 07, 25",-0.016900000000000002
2025-01-08,327.74,328.8,323.11,326.9,325.86,3788206,3788206,-0.84,-0.25630000000000003,326.6375,"January 08, 25",-0.0025629999999999997
2025-01-10,322.77,322.77,316.02,317.85,316.84,6540000,6540000,-4.91,-1.52,319.8525,"January 10, 25",-0.0152
2025-01-13,314.6,320.55,313.8,319.07,318.06,4583023,4583023,4.47,1.42,317.005,"January 13, 25",0.0142
2025-01-14,325.0,329.94,321.5,323.54,322.51,5935221,5935221,-1.46,-0.44923,324.995,"January 14, 25",-0.004492299999999999
2025-01-15,329.88,331.53,320.78,321.16,320.14,6042700,6042700,-8.72,-2.64,325.8375,"January 15, 25",-0.0264
2025-01-16,322.94,327.72,319.55,320.0,318.99,5051487,5051487,-2.94,-0.91039,322.5525,"January 16, 25",-0.0091039
2025-01-17,328.72,329.57,323.07,324.56,323.53,6303600,6303600,-4.16,-1.27,326.48,"January 17, 25",-0.012700000000000001
2025-01-21,329.4,329.52,322.45,326.84,325.8,6397200,6397200,-2.56,-0.77717,327.0525,"January 21, 25",-0.0077716999999999994
2025-01-22,331.25,335.23,327.28,332.62,331.57,7259300,7259300,1.37,0.41358000000000006,331.595,"January 22, 25",0.0041358
2025-01-23,332.33,335.46,329.6,334.66,333.6,4355900,4355900,2.33,0.70111,333.0125,"January 23, 25",0.007011099999999999
2025-01-24,336.3,338.65,331.79,333.88,332.82,3299100,3299100,-2.42,-0.7196,335.155,"January 24, 25",-0.007195999999999999
2025-01-27,332.36,353.15,330.5,347.1,346.0,15661109,15661109,14.74,4.43,340.7775,"January 27, 25",0.0443
2025-01-28,354.77,367.09,350.46,359.95,358.81,12099300,12099300,5.18,1.46,358.0675,"January 28, 25",0.0146
2025-01-29,358.76,360.18,351.5,354.0,352.88,6266724,6266724,-4.76,-1.33,356.11,"January 29, 25",-0.013300000000000001
2025-01-30,340.9,348.0,340.0,343.57,342.48,7591129,7591129,2.67,0.78322,343.1175,"January 30, 25",0.0078322
2025-01-31,348.0,349.5,340.1,341.7,340.62,5781541,5781541,-6.3,-1.81,344.825,"January 31, 25",-0.0181
2025-02-03,335.97,341.46,331.26,339.24,338.16,4549415,4549415,3.27,0.9733,336.9825,"February 03, 25",0.009733
2025-02-04,345.62,346.93,338.67,344.14,343.05,4965602,4965602,-1.48,-0.42822000000000005,343.84,"February 04, 25",-0.0042822
2025-02-05,345.72,348.04,338.87,347.93,346.83,4521009,4521009,2.21,0.6392500000000001,345.14,"February 05, 25",0.0063925
2025-02-06,337.48,337.48,329.1,330.81,329.76,13240635,13240635,-6.67,-1.98,333.7175,"February 06, 25",-0.0198
2025-02-07,332.0,333.82,323.72,325.83,324.8,7626100,7626100,-6.17,-1.8599999999999999,328.8425,"February 07, 25",-0.018600000000000002
2025-02-10,327.92,331.75,326.65,327.2,326.16,5981915,5981915,-0.72,-0.21957000000000002,328.38,"February 10, 25",-0.0021957
2025-02-11,324.02,326.44,321.26,324.4,323.37,5455939,5455939,0.38,0.11728000000000001,324.03,"February 11, 25",0.0011727999999999999
2025-02-12,319.55,327.0,316.97,326.12,325.09,5643400,5643400,6.57,2.06,322.41,"February 12, 25",0.0206
2025-02-13,326.2,330.35,323.22,329.85,328.8,4312100,4312100,3.65,1.12,327.405,"February 13, 25",0.0112
2025-02-14,328.03,328.5,322.62,326.54,325.5,5879716,5879716,-1.49,-0.45423,326.4225,"February 14, 25",-0.0045423
2025-02-18,328.59,329.16,323.0,328.96,327.92,5262109,5262109,0.37,0.1126,327.4275,"February 18, 25",0.001126
2025-02-19,329.74,329.74,322.87,324.53,323.5,5012019,5012019,-5.21,-1.58,326.72,"February 19, 25",-0.0158
2025-02-20,322.24,324.45,318.21,318.43,317.42,6393100,6393100,-3.81,-1.18,320.8325,"February 20, 25",-0.0118
2025-02-21,318.97,318.97,306.86,309.8,308.82,7353214,7353214,-9.17,-2.87,313.65,"February 21, 25",-0.0287
2025-02-24,311.51,312.73,303.52,308.32,307.34,6652900,6652900,-3.19,-1.02,309.02,"February 24, 25",-0.0102
2025-02-25,306.25,308.42,300.62,305.88,304.91,7360100,7360100,-0.37,-0.12082000000000001,305.2925,"February 25, 25",-0.0012082
2025-02-26,312.66,313.7,306.45,307.33,306.36,12638500,12638500,-5.33,-1.7000000000000002,310.035,"February 26, 25",-0.017
2025-02-27,296.34,304.92,292.67,294.9,293.97,16691436,16691436,-1.44,-0.48593000000000003,297.2075,"February 27, 25",-0.0048592999999999996
2025-02-28,295.96,301.98,292.15,297.85,296.91,10863109,10863109,1.9,0.6386000000000001,296.985,"February 28, 25",0.006385999999999999
2025-03-03,301.0,303.07,291.06,293.06,292.13,6298208,6298208,-7.94,-2.64,297.0475,"March 03, 25",-0.0264
2025-03-04,290.0,291.65,282.24,287.34,286.43,9096300,9096300,-2.66,-0.91724,287.8075,"March 04, 25",-0.009172399999999999
2025-03-05,287.22,292.68,285.62,291.97,291.04,6612600,6612600,4.75,1.65,289.3725,"March 05, 25",0.0165
2025-03-06,288.23,298.08,284.83,286.05,285.14,10396805,10396805,-2.18,-0.75634,289.2975,"March 06, 25",-0.0075634
2025-03-07,283.18,288.31,275.17,282.89,281.99,8248100,8248100,-0.29,-0.10241000000000001,282.3875,"March 07, 25",-0.0010241
2025-03-10,276.97,278.35,270.72,272.9,272.03,10040220,10040220,-4.07,-1.47,274.735,"March 10, 25",-0.014700000000000001
2025-03-11,273.72,280.45,272.0,277.05,276.17,8313400,8313400,3.33,1.22,275.805,"March 11, 25",0.0122
2025-03-12,281.85,285.93,279.09,284.58,283.68,7463900,7463900,2.73,0.9686,282.8625,"March 12, 25",0.009686
2025-03-13,282.05,282.56,269.75,271.74,270.88,9494522,9494522,-10.31,-3.66,276.525,"March 13, 25",-0.0366
2025-03-14,275.0,279.89,272.68,279.4,278.51,6976916,6976916,4.4,1.6,276.7425,"March 14, 25",0.016
2025-03-17,277.37,282.73,276.08,280.75,279.86,4484727,4484727,3.38,1.22,279.2325,"March 17, 25",0.0122
2025-03-18,280.02,280.5,275.94,278.73,277.85,5882123,5882123,-1.29,-0.46068000000000003,278.7975,"March 18, 25",-0.0046067999999999994
2025-03-19,277.5,282.22,277.29,279.39,278.5,5245412,5245412,1.8900000000000001,0.68108,279.1,"March 19, 25",0.0068108
2025-03-20,277.06,282.88,277.06,279.03,278.15,5504720,5504720,1.97,0.71104,279.0075,"March 20, 25",0.007110399999999999
2025-03-21,276.21,281.85,274.05,280.62,279.73,9804132,9804132,4.41,1.6,278.1825,"March 21, 25",0.016
2025-03-24,283.74,286.76,283.22,285.96,285.05,6763802,6763802,2.22,0.78241,284.92,"March 24, 25",0.0078241
2025-03-25,285.61,290.45,285.61,288.61,287.7,4301704,4301704,3.0,1.05,287.57,"March 25, 25",0.0105
2025-03-26,288.34,289.04,279.58,280.99,280.1,5073391,5073391,-7.35,-2.55,284.4875,"March 26, 25",-0.025500000000000002
2025-03-27,280.54,280.9,276.01,277.81,276.93,3757245,3757245,-2.73,-0.9731200000000001,278.815,"March 27, 25",-0.009731199999999999
2025-03-28,276.71,277.21,269.19,269.97,269.11,4973419,4973419,-6.74,-2.44,273.27,"March 28, 25",-0.0244
2025-03-31,264.55,268.45,259.19,268.36,267.51,7585804,7585804,3.81,1.44,265.1375,"March 31, 25",0.014400000000000001
2025-04-01,268.86,270.82,265.82,270.2,269.34,4598200,4598200,1.34,0.4984,268.925,"April 01, 25",0.004984
2025-04-02,265.96,273.63,265.75,271.54,270.68,5396900,5396900,5.58,2.1,269.22,"April 02, 25",0.021
2025-04-03,260.14,262.57,254.45,255.23,254.42,8872602,8872602,-4.91,-1.8900000000000001,258.0975,"April 03, 25",-0.0189
2025-04-04,247.7,250.29,239.53,240.76,240.0,9705000,9705000,-6.94,-2.8,244.57,"April 04, 25",-0.028
2025-04-07,230.0,252.95,230.0,244.21,243.44,11965200,11965200,14.21,6.18,239.29,"April 07, 25",0.0618
2025-04-08,253.95,257.39,240.27,243.99,243.22,9340310,9340310,-9.96,-3.92,248.9,"April 08, 25",-0.0392
2025-04-09,240.9,268.17,240.9,265.17,264.33,12491148,12491148,24.27,10.07,253.785,"April 09, 25",0.10070000000000001
2025-04-10,260.0,261.24,248.13,255.12,254.71,9692344,9692344,-4.88,-1.88,256.1225,"April 10, 25",-0.0188
2025-04-11,254.27,256.41,247.68,255.0,254.59,6089003,6089003,0.73,0.2871,253.34,"April 11, 25",0.002871
2025-04-14,260.0,260.0,253.14,254.55,254.14,6038546,6038546,-5.45,-2.1,256.9225,"April 14, 25",-0.021
2025-04-15,254.37,256.72,253.8,254.93,254.52,5227700,5227700,0.56,0.22015,254.955,"April 15, 25",0.0022015
2025-04-16,251.93,256.61,246.69,249.84,249.44,7190940,7190940,-2.09,-0.8296,251.2675,"April 16, 25",-0.008296
2025-04-17,249.77,251.56,246.8,247.26,246.86,5566857,5566857,-2.51,-1.0,248.8475,"April 17, 25",-0.01
2025-04-21,240.43,242.48,232.77,236.26,235.88,9240009,9240009,-4.17,-1.73,237.985,"April 21, 25",-0.0173
2025-04-22,238.23,244.22,235.6,243.39,243.0,7145300,7145300,5.16,2.17,240.36,"April 22, 25",0.0217
2025-04-23,252.61,257.79,249.5,250.48,250.08,5818900,5818900,-2.13,-0.8432000000000001,252.595,"April 23, 25",-0.008432
2025-04-24,258.2,264.98,257.0,264.7,264.28,7857600,7857600,6.5,2.52,261.22,"April 24, 25",0.0252
2025-04-25,264.72,269.03,264.2,267.85,267.42,5651700,5651700,3.13,1.18,266.45,"April 25, 25",0.0118
2025-04-28,268.15,269.5,263.33,265.64,265.21,4977724,4977724,-2.5,-0.9360400000000001,266.655,"April 28, 25",-0.0093604
2025-04-29,265.4,268.58,265.17,267.76,267.33,3140601,3140601,2.36,0.8892200000000001,266.7275,"April 29, 25",0.0088922
2025-04-30,264.8,268.87,263.0,268.71,268.28,4624100,4624100,3.91,1.48,266.345,"April 30, 25",0.0148
2025-05-01,273.4,274.6,269.0,269.33,268.9,5208927,5208927,-4.07,-1.49,271.5825,"May 01, 25",-0.0149
2025-05-02,274.46,276.32,272.25,275.08,274.64,4323760,4323760,0.62,0.22590000000000002,274.5275,"May 02, 25",0.0022589999999999997
2025-05-05,273.37,276.17,272.31,272.63,272.19,4219639,4219639,-0.74,-0.2707,273.62,"May 05, 25",-0.0027069999999999998
2025-05-06,269.82,274.8,268.54,273.36,272.92,4681600,4681600,3.54,1.31,271.63,"May 06, 25",0.0131
2025-05-07,273.71,278.79,273.71,278.23,277.78,4268307,4268307,4.52,1.65,276.11,"May 07, 25",0.0165
2025-05-08,279.21,283.05,278.38,279.74,279.29,4789900,4789900,0.53,0.18982000000000002,280.095,"May 08, 25",0.0018981999999999998
2025-05-09,281.62,282.48,273.88,275.42,274.98,4324200,4324200,-6.2,-2.2,278.35,"May 09, 25",-0.022
2025-05-12,285.0,288.97,283.23,288.82,288.36,5937400,5937400,3.8200000000000003,1.34,286.505,"May 12, 25",0.0134
2025-05-13,291.0,292.74,288.93,289.17,288.71,6711600,6711600,-1.83,-0.62887,290.46,"May 13, 25",-0.0062886999999999995
2025-05-14,293.5,296.05,289.26,290.74,290.27,7926200,7926200,-2.76,-0.94037,292.3875,"May 14, 25",-0.0094037
2025-05-15,289.57,291.97,287.95,290.76,290.29,4635862,4635862,1.19,0.41095000000000004,290.0625,"May 15, 25",0.0041094999999999994
2025-05-16,291.09,292.17,289.72,291.15,290.68,3846000,3846000,0.06,0.02061218,291.0325,"May 16, 25",0.0002061218
