date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,148.51,150.5,147.63,149.59,146.17,7736000,7736000,1.09,0.7272200000000001,149.0575,"January 07, 25",0.0072721999999999995
2025-01-08,148.04,151.18,148.03,150.3,146.86,7640900,7640900,2.26,1.53,149.3875,"January 08, 25",0.015300000000000001
2025-01-10,153.41,154.34,150.87,153.14,149.64,11074716,11074716,-0.27,-0.176,152.94,"January 10, 25",-0.00176
2025-01-13,154.1,157.35,154.0,155.35,151.8,11774100,11774100,1.25,0.8111600000000001,155.2,"January 13, 25",0.0081116
2025-01-14,155.21,156.91,154.46,156.9,153.31,6830219,6830219,1.69,1.09,155.87,"January 14, 25",0.0109
2025-01-15,156.88,158.69,156.38,158.33,154.71,7900000,7900000,1.46,0.92427,157.57,"January 15, 25",0.0092427
2025-01-16,158.03,159.9,158.03,159.38,155.73,5578902,5578902,1.35,0.8542700000000001,158.835,"January 16, 25",0.0085427
2025-01-17,159.13,161.77,158.8,161.47,157.78,9260428,9260428,2.34,1.47,160.2925,"January 17, 25",0.014700000000000001
2025-01-21,161.15,161.4,157.49,158.24,154.62,10131400,10131400,-2.91,-1.81,159.57,"January 21, 25",-0.0181
2025-01-22,157.68,158.44,156.27,156.41,152.83,7232227,7232227,-1.27,-0.8054300000000001,157.2,"January 22, 25",-0.0080543
2025-01-23,157.63,157.94,155.62,156.01,152.44,5979808,5979808,-1.62,-1.03,156.8,"January 23, 25",-0.0103
2025-01-24,156.46,157.47,155.27,155.65,152.09,8003800,8003800,-0.81,-0.5177,156.2125,"January 24, 25",-0.005177
2025-01-27,156.33,157.89,155.52,157.23,153.63,7141000,7141000,0.9,0.57571,156.7425,"January 27, 25",0.005757099999999999
2025-01-28,157.71,158.92,155.18,156.21,152.64,6425400,6425400,-1.5,-0.9511100000000001,157.005,"January 28, 25",-0.0095111
2025-01-29,155.72,156.58,154.81,155.69,152.13,5630600,5630600,-0.025,-0.01926535,155.7,"January 29, 25",-0.0001926535
2025-01-30,156.56,157.45,155.52,156.32,152.74,6931918,6931918,-0.24,-0.15330000000000002,156.4625,"January 30, 25",-0.0015329999999999999
2025-01-31,153.76,154.37,148.65,149.19,145.78,16731600,16731600,-4.57,-2.9699999999999998,151.4925,"January 31, 25",-0.0297
2025-02-03,149.0,150.86,147.8,149.34,145.92,7605000,7605000,0.34,0.22819000000000003,149.25,"February 03, 25",0.0022819
2025-02-04,148.72,153.39,148.72,153.22,149.72,8458100,8458100,4.5,3.03,151.0125,"February 04, 25",0.0303
2025-02-05,152.99,153.8,152.29,152.99,149.49,6533700,6533700,0.0,0.0,153.0175,"February 05, 25",0.0
2025-02-06,154.22,155.26,151.06,151.9,148.43,6420525,6420525,-2.32,-1.5,153.11,"February 06, 25",-0.015
2025-02-07,152.48,153.81,151.92,152.62,149.13,4724947,4724947,0.14,0.09181532,152.7075,"February 07, 25",0.0009181532000000001
2025-02-10,154.29,155.8,154.06,155.77,152.21,5653800,5653800,1.48,0.95923,154.98,"February 10, 25",0.0095923
2025-02-11,156.35,158.71,156.12,157.44,153.84,6011842,6011842,1.09,0.69715,157.155,"February 11, 25",0.006971499999999999
2025-02-12,156.75,157.47,154.57,154.9,151.36,6693500,6693500,-1.85,-1.18,155.9225,"February 12, 25",-0.0118
2025-02-13,154.78,156.42,153.32,155.88,152.31,7836400,7836400,1.1,0.71069,155.1,"February 13, 25",0.007106899999999999
2025-02-14,155.08,157.45,154.88,155.34,153.47,5828805,5828805,0.26,0.16766,155.6875,"February 14, 25",0.0016765999999999999
2025-02-18,155.34,157.31,154.78,156.16,154.28,5981500,5981500,0.8200000000000001,0.5278700000000001,155.8975,"February 18, 25",0.0052787
2025-02-19,156.52,158.36,156.0,157.23,155.34,4945813,4945813,0.71,0.45362,157.0275,"February 19, 25",0.0045362
2025-02-20,157.5,158.95,157.07,158.79,156.88,6256200,6256200,1.29,0.8190500000000001,158.0775,"February 20, 25",0.0081905
2025-02-21,158.13,158.95,156.82,156.92,155.03,6689815,6689815,-1.21,-0.76519,157.705,"February 21, 25",-0.0076519
2025-02-24,157.09,158.33,156.75,157.89,155.99,5925047,5925047,0.805,0.50926,157.515,"February 24, 25",0.0050926
2025-02-25,157.99,158.99,155.46,156.42,154.54,6811293,6811293,-1.57,-0.9937300000000001,157.215,"February 25, 25",-0.0099373
2025-02-26,156.62,156.69,154.4,155.14,153.27,6005232,6005232,-1.48,-0.94496,155.7125,"February 26, 25",-0.009449599999999999
2025-02-27,155.69,158.29,154.81,156.67,154.78,7517237,7517237,0.98,0.62946,156.365,"February 27, 25",0.0062946
2025-02-28,156.7,158.67,154.92,158.62,156.71,8828547,8828547,1.9300000000000002,1.23,157.2275,"February 28, 25",0.0123
2025-03-03,159.46,160.09,151.76,153.09,151.25,9059814,9059814,-6.37,-3.99,156.1,"March 03, 25",-0.039900000000000005
2025-03-04,151.21,154.15,150.05,152.0,150.17,8826344,8826344,0.795,0.5224500000000001,151.8525,"March 04, 25",0.0052245
2025-03-05,150.15,151.37,147.74,150.81,149.0,9288538,9288538,0.66,0.43956000000000006,150.0175,"March 05, 25",0.0043955999999999995
2025-03-06,150.51,153.33,149.47,152.95,151.11,7314700,7314700,2.44,1.62,151.565,"March 06, 25",0.0162
2025-03-07,153.95,157.45,153.71,156.34,154.46,8562635,8562635,2.39,1.55,155.3625,"March 07, 25",0.0155
2025-03-10,157.19,160.37,156.17,157.57,155.67,11750302,11750302,0.38,0.24175000000000002,157.825,"March 10, 25",0.0024175
2025-03-11,158.43,158.84,153.79,154.08,152.23,10466300,10466300,-4.35,-2.75,156.285,"March 11, 25",-0.0275
2025-03-12,153.64,154.79,152.22,152.67,150.83,9710223,9710223,-0.97,-0.6313500000000001,153.33,"March 12, 25",-0.0063135
2025-03-13,152.26,154.43,151.92,153.61,151.76,9022800,9022800,1.35,0.8866400000000001,153.055,"March 13, 25",0.0088664
2025-03-14,153.99,157.24,153.01,157.02,155.13,6671549,6671549,3.03,1.97,155.315,"March 14, 25",0.019700000000000002
2025-03-17,157.22,159.45,156.76,158.72,156.81,7615200,7615200,1.5,0.95408,158.0375,"March 17, 25",0.0095408
2025-03-18,159.74,161.09,158.82,160.81,158.87,9289500,9289500,1.07,0.6698400000000001,160.115,"March 18, 25",0.006698399999999999
2025-03-19,160.97,164.54,160.9,164.05,162.08,11503900,11503900,3.09,1.9100000000000001,162.615,"March 19, 25",0.019100000000000002
2025-03-20,163.13,165.31,162.41,164.77,162.79,9545900,9545900,1.6400000000000001,1.01,163.905,"March 20, 25",0.010100000000000001
2025-03-21,164.49,164.89,163.11,164.75,162.77,21625500,21625500,0.26,0.15806,164.31,"March 21, 25",0.0015806
2025-03-24,164.69,166.43,164.32,165.02,163.03,8068002,8068002,0.33,0.20038,165.115,"March 24, 25",0.0020038
2025-03-25,166.08,167.82,165.11,165.94,163.94,7869200,7869200,-0.14,-0.08429672,166.2375,"March 25, 25",-0.0008429672
2025-03-26,167.37,168.96,167.25,167.97,165.95,10077764,10077764,0.6000000000000001,0.35849000000000003,167.8875,"March 26, 25",0.0035849
2025-03-27,167.25,168.22,165.85,166.65,164.64,6862700,6862700,-0.6000000000000001,-0.35874,166.9925,"March 27, 25",-0.0035873999999999997
2025-03-28,166.7,167.13,165.3,166.09,164.09,4923025,4923025,-0.61,-0.36593000000000003,166.305,"March 28, 25",-0.0036593
2025-03-31,166.19,168.92,166.13,167.29,165.28,10675731,10675731,1.1,0.6618900000000001,167.1325,"March 31, 25",0.0066189
2025-04-01,167.29,168.6,166.16,168.51,166.48,6378600,6378600,1.22,0.7292700000000001,167.64,"April 01, 25",0.0072927
2025-04-02,167.4,167.98,165.85,166.47,164.47,7044900,7044900,-0.93,-0.55556,166.925,"April 02, 25",-0.0055556
2025-04-03,160.12,161.35,155.8,156.12,154.24,15501000,15501000,-4.0,-2.5,158.3475,"April 03, 25",-0.025
2025-04-04,151.76,152.46,142.75,143.28,141.56,20374716,20374716,-8.47,-5.59,147.5625,"April 04, 25",-0.055900000000000005
2025-04-07,138.73,146.19,137.29,140.15,138.46,17817000,17817000,1.42,1.02,140.59,"April 07, 25",0.0102
2025-04-08,144.15,144.49,134.87,136.93,135.28,12904424,12904424,-7.22,-5.01,140.11,"April 08, 25",-0.050100000000000006
2025-04-09,135.02,147.47,133.88,146.03,144.27,16846839,16846839,11.01,8.15,140.6,"April 09, 25",0.0815
2025-04-10,143.22,143.63,133.45,134.98,133.36,20991216,20991216,-8.24,-5.75,138.82,"April 10, 25",-0.0575
2025-04-11,135.01,137.12,132.04,135.63,134.0,17224405,17224405,0.62,0.45923,134.95,"April 11, 25",0.0045923
2025-04-14,138.48,138.54,134.1,135.32,133.69,9628200,9628200,-3.16,-2.2800000000000002,136.61,"April 14, 25",-0.0228
2025-04-15,134.32,136.63,134.25,134.54,132.92,9334825,9334825,0.22,0.16379000000000002,134.935,"April 15, 25",0.0016378999999999999
2025-04-16,135.4,137.55,134.8,135.36,133.73,8637220,8637220,-0.04,-0.029542099999999998,135.7775,"April 16, 25",-0.00029542100000000003
2025-04-17,136.69,140.24,136.45,137.87,136.21,8434434,8434434,1.18,0.8632700000000001,137.8125,"April 17, 25",0.0086327
2025-04-21,136.02,136.29,132.33,133.73,132.12,9967500,9967500,-2.29,-1.6800000000000002,134.5925,"April 21, 25",-0.016800000000000002
2025-04-22,135.26,138.24,134.94,137.3,135.65,7984700,7984700,2.04,1.51,136.435,"April 22, 25",0.0151
