date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,61.55,61.75,61.07,61.24,60.62,2284968,2284968,-0.31,-0.50366,61.4025,"January 07, 25",-0.0050366
2025-01-08,61.2,61.4,60.84,61.37,60.75,1572573,1572573,0.17,0.27778,61.2025,"January 08, 25",0.0027778
2025-01-10,61.06,61.12,60.35,60.46,59.85,3747736,3747736,-0.6000000000000001,-0.9826400000000001,60.7475,"January 10, 25",-0.009826399999999999
2025-01-13,60.31,60.95,60.3,60.94,60.32,1788614,1788614,0.63,1.04,60.625,"January 13, 25",0.010400000000000001
2025-01-14,61.12,61.28,60.75,61.28,60.66,1526316,1526316,0.16,0.26178,61.1075,"January 14, 25",0.0026178
2025-01-15,62.0,62.12,61.75,61.98,61.35,1746200,1746200,-0.02,-0.03225806,61.9625,"January 15, 25",-0.00032258060000000003
2025-01-16,61.96,62.34,61.85,62.28,61.65,2185700,2185700,0.32,0.51646,62.1075,"January 16, 25",0.0051646
2025-01-17,62.57,62.75,62.43,62.59,61.96,1523700,1523700,0.02,0.0319642,62.585,"January 17, 25",0.00031964200000000003
2025-01-21,62.77,63.14,62.7,63.11,62.47,1890500,1890500,0.34,0.54166,62.93,"January 21, 25",0.0054166
2025-01-22,63.16,63.19,62.88,62.9,62.26,1677844,1677844,-0.26,-0.41165,63.0325,"January 22, 25",-0.0041164999999999995
2025-01-23,62.99,63.35,62.9,63.35,62.71,1255591,1255591,0.36,0.57152,63.1475,"January 23, 25",0.0057152
2025-01-24,63.3,63.49,63.23,63.33,62.69,1330148,1330148,0.03,0.04739336,63.3375,"January 24, 25",0.0004739336
2025-01-27,62.96,63.63,62.96,63.62,62.98,1846200,1846200,0.66,1.05,63.2925,"January 27, 25",0.0105
2025-01-28,63.54,63.58,63.14,63.22,62.58,4118608,4118608,-0.32,-0.5036200000000001,63.37,"January 28, 25",-0.005036199999999999
2025-01-29,63.19,63.53,63.02,63.11,62.47,3471104,3471104,-0.08,-0.12660000000000002,63.2125,"January 29, 25",-0.001266
2025-01-30,63.52,63.88,63.37,63.74,63.09,1381041,1381041,0.22,0.34635000000000005,63.6275,"January 30, 25",0.0034635
2025-01-31,63.86,64.03,63.38,63.47,62.83,1370800,1370800,-0.39,-0.6107100000000001,63.685,"January 31, 25",-0.0061071
2025-02-03,62.73,63.51,62.53,63.28,62.64,2100469,2100469,0.55,0.87677,63.0125,"February 03, 25",0.0087677
2025-02-04,63.0,63.4,62.93,63.29,62.65,1457236,1457236,0.29,0.46032000000000006,63.155,"February 04, 25",0.0046032
2025-02-05,63.46,63.81,63.16,63.8,63.15,1315500,1315500,0.34,0.5357700000000001,63.5575,"February 05, 25",0.0053577
2025-02-06,63.91,63.92,63.41,63.69,63.04,1336799,1336799,-0.22,-0.34423000000000004,63.7325,"February 06, 25",-0.0034422999999999997
2025-02-07,63.8,63.87,63.23,63.28,62.64,1456448,1456448,-0.52,-0.81505,63.545,"February 07, 25",-0.0081505
2025-02-10,63.56,63.56,63.22,63.55,62.91,1260723,1260723,-0.01,-0.01573317,63.4725,"February 10, 25",-0.0001573317
2025-02-11,63.45,63.97,63.37,63.97,63.32,968438,968438,0.52,0.81954,63.69,"February 11, 25",0.0081954
2025-02-12,63.37,63.71,63.33,63.59,62.95,1385900,1385900,0.22,0.34717000000000003,63.5,"February 12, 25",0.0034717
2025-02-13,63.81,64.09,63.63,64.07,63.42,1740455,1740455,0.26,0.40746000000000004,63.9,"February 13, 25",0.004074599999999999
2025-02-14,64.09,64.21,63.77,63.81,63.16,1722802,1722802,-0.28,-0.43689000000000006,63.97,"February 14, 25",-0.0043689
2025-02-18,63.74,64.1,63.64,64.1,63.45,1549299,1549299,0.36,0.56479,63.895,"February 18, 25",0.0056479
2025-02-19,64.0,64.43,63.96,64.42,63.77,2911367,2911367,0.42,0.65625,64.2025,"February 19, 25",0.0065625
2025-02-20,64.23,64.31,63.92,64.26,63.61,1325125,1325125,0.03,0.04670715,64.18,"February 20, 25",0.0004670715
2025-02-21,64.21,64.22,63.72,63.76,63.11,1451714,1451714,-0.45,-0.7008300000000001,63.9775,"February 21, 25",-0.007008299999999999
2025-02-24,63.86,64.04,63.66,63.7,63.05,1711370,1711370,-0.16,-0.25055,63.815,"February 24, 25",-0.0025055
2025-02-25,63.82,64.04,63.59,63.89,63.24,1427909,1427909,0.07,0.10968000000000001,63.835,"February 25, 25",0.0010968
2025-02-26,63.89,64.0,63.42,63.6,62.96,1218907,1218907,-0.29,-0.45391000000000004,63.7275,"February 26, 25",-0.0045391
2025-02-27,63.63,64.08,63.3,63.34,62.7,1137831,1137831,-0.29,-0.45576000000000005,63.5875,"February 27, 25",-0.0045576
2025-02-28,63.51,64.17,63.1,64.12,63.47,1527400,1527400,0.61,0.9604800000000001,63.725,"February 28, 25",0.0096048
2025-03-03,64.28,64.48,63.31,63.66,63.02,1845925,1845925,-0.62,-0.9645300000000001,63.9325,"March 03, 25",-0.009645299999999999
2025-03-04,63.49,63.51,62.47,62.6,61.97,3497049,3497049,-0.89,-1.4,63.0175,"March 04, 25",-0.014
2025-03-05,62.54,63.24,61.34,63.04,62.4,2458326,2458326,0.5,0.79949,62.54,"March 05, 25",0.0079949
2025-03-06,62.51,62.86,62.18,62.6,61.97,2561516,2561516,0.09,0.14398000000000002,62.5375,"March 06, 25",0.0014398
2025-03-07,62.48,63.44,62.47,63.31,62.67,2039123,2039123,0.8300000000000001,1.33,62.925,"March 07, 25",0.013300000000000001
