date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,238.0,243.15,238.0,239.1,238.36,2989329,2989329,1.1,0.46218000000000004,239.5625,"January 07, 25",0.0046218
2025-01-08,238.61,239.39,235.5,238.09,237.35,2527729,2527729,-0.52,-0.21793,237.8975,"January 08, 25",-0.0021793
2025-01-10,235.55,238.71,234.5,235.07,234.34,2863300,2863300,-0.48,-0.20378000000000002,235.9575,"January 10, 25",-0.0020377999999999998
2025-01-13,235.05,240.97,234.01,239.88,239.13,3301800,3301800,4.83,2.05,237.4775,"January 13, 25",0.0205
2025-01-14,241.17,242.15,232.05,237.62,236.88,4137624,4137624,-3.55,-1.47,238.2475,"January 14, 25",-0.014700000000000001
2025-01-15,238.98,241.69,232.96,237.97,237.23,4129048,4129048,-1.01,-0.42263000000000006,237.9,"January 15, 25",-0.0042263
2025-01-16,237.72,242.11,234.6,241.9,241.15,3148925,3148925,4.18,1.76,239.0825,"January 16, 25",0.0176
2025-01-17,242.17,243.05,238.17,238.36,237.62,3075300,3075300,-3.81,-1.57,240.4375,"January 17, 25",-0.015700000000000002
2025-01-21,239.95,244.49,239.0,244.11,243.35,2338322,2338322,4.16,1.73,241.8875,"January 21, 25",0.0173
2025-01-22,243.44,246.25,242.5,244.18,243.42,2050108,2050108,0.74,0.30398000000000003,244.0925,"January 22, 25",0.0030398
2025-01-23,244.93,245.85,241.8,245.66,244.9,2512460,2512460,0.73,0.29804,244.56,"January 23, 25",0.0029804
2025-01-24,245.6,247.53,245.02,245.8,245.04,1911411,1911411,0.2,0.08143322,245.9875,"January 24, 25",0.0008143322
2025-01-27,247.52,250.76,246.46,250.59,249.81,2748518,2748518,3.07,1.24,248.8325,"January 27, 25",0.012400000000000001
2025-01-28,257.67,258.23,247.19,247.84,247.07,4273748,4273748,-9.83,-3.81,252.7325,"January 28, 25",-0.0381
2025-01-29,235.02,235.74,223.0,223.73,223.03,11407445,11407445,-11.29,-4.8,229.3725,"January 29, 25",-0.048
2025-01-30,225.0,228.99,221.34,223.08,222.39,6668401,6668401,-1.92,-0.85333,224.6025,"January 30, 25",-0.008533299999999999
2025-01-31,223.3,227.5,222.37,222.74,222.05,4785871,4785871,-0.56,-0.25078,223.9775,"January 31, 25",-0.0025077999999999997
2025-02-03,218.0,219.94,214.03,214.26,213.59,5787848,5787848,-3.74,-1.72,216.5575,"February 03, 25",-0.0172
2025-02-04,210.5,215.15,210.04,215.01,214.34,7520700,7520700,4.51,2.14,212.675,"February 04, 25",0.021400000000000002
2025-02-05,216.36,216.44,210.93,212.13,211.47,5112712,5112712,-4.23,-1.96,213.965,"February 05, 25",-0.0196
2025-02-06,213.0,214.31,209.1,210.01,209.36,4367117,4367117,-2.99,-1.4,211.605,"February 06, 25",-0.014
2025-02-07,210.37,210.79,205.79,206.76,206.12,5230997,5230997,-3.61,-1.72,208.4275,"February 07, 25",-0.0172
2025-02-10,205.85,206.98,203.0,203.5,202.87,7038796,7038796,-2.35,-1.1400000000000001,204.8325,"February 10, 25",-0.0114
2025-02-11,202.25,203.1,199.75,201.62,200.99,6509791,6509791,-0.63,-0.3115,201.68,"February 11, 25",-0.0031149999999999997
2025-02-12,199.46,203.95,196.8,202.18,201.55,7207947,7207947,2.7199999999999998,1.3599999999999999,200.5975,"February 12, 25",0.013600000000000001
2025-02-13,202.63,205.65,201.25,203.59,202.96,7198800,7198800,0.96,0.47377,203.28,"February 13, 25",0.0047377
2025-02-14,204.1,207.15,203.93,206.3,205.66,4791773,4791773,2.21,1.08,205.37,"February 14, 25",0.0108
2025-02-18,205.44,207.27,202.78,204.53,203.89,5589044,5589044,-0.905,-0.44295,205.005,"February 18, 25",-0.004429499999999999
2025-02-19,203.46,205.58,201.21,204.98,204.34,4572702,4572702,1.52,0.7470800000000001,203.8075,"February 19, 25",0.0074708
2025-02-20,206.57,211.06,205.66,207.95,207.3,4718400,4718400,1.38,0.66805,207.81,"February 20, 25",0.0066805
2025-02-21,210.61,213.64,209.4,210.23,209.58,6217000,6217000,-0.38,-0.18043,210.97,"February 21, 25",-0.0018043
2025-02-24,209.61,212.7,207.95,211.14,210.48,4878208,4878208,1.53,0.7299300000000001,210.35,"February 24, 25",0.0072993
2025-02-25,210.9,212.14,209.45,210.41,209.76,5209638,5209638,-0.49,-0.23234000000000002,210.725,"February 25, 25",-0.0023233999999999998
2025-02-26,210.07,212.0,208.26,209.44,208.79,4746992,4746992,-0.63,-0.2999,209.9425,"February 26, 25",-0.002999
2025-02-27,207.94,209.99,204.15,205.71,205.07,4494222,4494222,-2.23,-1.07,206.9475,"February 27, 25",-0.010700000000000001
2025-02-28,207.05,208.1,204.94,207.76,207.11,3819051,3819051,0.71,0.34291000000000005,206.9625,"February 28, 25",0.0034291
2025-03-03,209.46,209.49,204.86,205.69,205.05,3223000,3223000,-3.77,-1.8,207.375,"March 03, 25",-0.018000000000000002
2025-03-04,205.68,208.26,202.39,205.91,205.27,5652418,5652418,0.23,0.11182,205.56,"March 04, 25",0.0011182
2025-03-05,205.44,211.83,204.94,210.56,209.91,5137390,5137390,5.12,2.49,208.1925,"March 05, 25",0.024900000000000002
2025-03-06,210.72,216.15,209.66,214.81,214.14,5829595,5829595,4.09,1.94,212.835,"March 06, 25",0.0194
2025-03-07,213.34,215.13,209.78,212.07,211.41,5937300,5937300,-1.27,-0.5952900000000001,212.58,"March 07, 25",-0.0059529
2025-03-10,209.19,211.22,204.74,205.23,204.59,5710025,5710025,-3.96,-1.8900000000000001,207.595,"March 10, 25",-0.0189
2025-03-11,205.17,207.87,202.65,205.61,204.97,4400800,4400800,0.44,0.21446,205.325,"March 11, 25",0.0021446
2025-03-12,205.52,208.75,203.89,204.96,204.32,3316462,3316462,-0.56,-0.27248,205.78,"March 12, 25",-0.0027248
2025-03-13,204.06,206.82,203.22,204.09,203.46,2456303,2456303,0.03,0.01470156,204.5475,"March 13, 25",0.0001470156
2025-03-14,206.13,211.92,205.11,210.74,210.08,4183075,4183075,4.61,2.24,208.475,"March 14, 25",0.0224
2025-03-17,211.37,213.78,210.85,212.6,211.94,3156900,3156900,1.23,0.58192,212.15,"March 17, 25",0.0058192
2025-03-18,213.6,213.6,210.53,212.78,212.12,2467000,2467000,-0.8200000000000001,-0.3839,212.6275,"March 18, 25",-0.003839
2025-03-19,211.98,212.4,208.65,210.26,209.61,4125425,4125425,-1.72,-0.8114,210.8225,"March 19, 25",-0.008114
2025-03-20,210.24,211.65,207.5,210.25,209.6,2651200,2651200,0.01,0.0047564700000000005,209.91,"March 20, 25",4.75647e-05
2025-03-21,210.73,212.56,208.39,211.36,210.7,6457728,6457728,0.63,0.29896,210.76,"March 21, 25",0.0029896
2025-03-24,213.0,215.39,211.26,212.8,212.14,3615103,3615103,-0.2,-0.09389671000000001,213.1125,"March 24, 25",-0.0009389671
2025-03-25,212.85,214.19,210.37,212.4,211.74,3077248,3077248,-0.45,-0.21142000000000002,212.4525,"March 25, 25",-0.0021142
2025-03-26,211.06,213.77,208.59,210.41,209.76,2669424,2669424,-0.65,-0.30797,210.9575,"March 26, 25",-0.0030797
2025-03-27,210.15,212.22,207.73,210.11,209.46,2989706,2989706,-0.04,-0.01903402,210.0525,"March 27, 25",-0.0001903402
