date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,428.9,429.32,423.86,425.33,421.82,2053905,2053905,-3.5700000000000003,-0.8323600000000001,426.8525,"January 07, 25",-0.0083236
2025-01-08,425.41,426.56,423.26,426.13,422.61,2020200,2020200,0.72,0.16925,425.34,"January 08, 25",0.0016925
2025-01-10,424.28,424.33,418.8,419.33,415.87,3415503,3415503,-4.95,-1.17,421.685,"January 10, 25",-0.0117
2025-01-13,418.76,423.24,418.51,422.96,419.47,2608118,2608118,4.2,1.0,420.8675,"January 13, 25",0.01
2025-01-14,424.88,425.51,421.55,425.15,421.64,2643309,2643309,0.27,0.06354735,424.2725,"January 14, 25",0.0006354735000000001
2025-01-15,431.56,433.28,430.5,432.24,428.67,4059801,4059801,0.68,0.15757000000000002,431.895,"January 15, 25",0.0015757
2025-01-16,432.09,432.91,430.76,431.56,428.0,2532500,2532500,-0.53,-0.12266,431.83,"January 16, 25",-0.0012266
2025-01-17,434.54,436.39,433.97,434.72,431.3,2771044,2771044,0.18,0.04142311,434.905,"January 17, 25",0.0004142311
2025-01-21,436.35,440.43,436.31,440.1,436.64,2113800,2113800,3.75,0.8594,438.2975,"January 21, 25",0.008594
2025-01-22,441.49,442.0,440.35,441.28,437.81,3724100,3724100,-0.21,-0.047566199999999996,441.28,"January 22, 25",-0.000475662
2025-01-23,441.52,445.45,441.52,445.38,441.87,2352500,2352500,3.86,0.8742500000000001,443.4675,"January 23, 25",0.0087425
2025-01-24,444.8,445.48,443.34,444.12,440.62,2022306,2022306,-0.68,-0.15288000000000002,444.435,"January 24, 25",-0.0015287999999999999
2025-01-27,440.64,447.31,440.54,447.12,443.6,3822400,3822400,6.48,1.47,443.9025,"January 27, 25",0.014700000000000001
2025-01-28,447.2,449.74,446.18,448.41,444.88,2233500,2233500,1.21,0.27057000000000003,447.8825,"January 28, 25",0.0027056999999999997
2025-01-29,448.21,449.61,445.77,447.18,443.66,2225147,2225147,-1.03,-0.2298,447.6925,"January 29, 25",-0.0022979999999999997
2025-01-30,446.54,450.11,446.35,448.82,445.29,2322600,2322600,2.2800000000000002,0.51059,447.955,"January 30, 25",0.0051059
2025-01-31,450.03,450.36,445.04,445.39,441.88,3087430,3087430,-4.64,-1.03,447.705,"January 31, 25",-0.0103
2025-02-03,439.61,445.9,438.7,444.27,440.77,4527700,4527700,4.66,1.06,442.12,"February 03, 25",0.0106
2025-02-04,444.23,446.0,443.27,445.53,442.02,1890532,1890532,1.3,0.29264,444.7575,"February 04, 25",0.0029264
2025-02-05,445.72,448.85,443.41,448.67,445.14,2273413,2273413,2.95,0.66185,446.6625,"February 05, 25",0.006618499999999999
2025-02-06,449.35,449.73,445.39,447.36,443.84,1867218,1867218,-1.99,-0.44286000000000003,447.9575,"February 06, 25",-0.0044285999999999996
2025-02-07,447.78,448.49,442.8,443.12,439.63,2259216,2259216,-4.66,-1.04,445.5475,"February 07, 25",-0.010400000000000001
2025-02-10,445.82,446.27,443.1,444.78,441.28,1858118,1858118,-1.04,-0.23328000000000002,444.9925,"February 10, 25",-0.0023328
2025-02-11,443.34,446.54,443.23,446.11,442.6,1436200,1436200,2.77,0.6248,444.805,"February 11, 25",0.006248
2025-02-12,442.34,444.79,441.07,443.63,440.14,2444500,2444500,1.29,0.29163,442.9575,"February 12, 25",0.0029162999999999997
2025-02-13,445.33,447.85,443.7,447.26,443.74,2961542,2961542,1.9300000000000002,0.43339000000000005,446.035,"February 13, 25",0.0043339
2025-02-14,447.1,448.04,445.35,445.79,442.28,2005431,2005431,-1.31,-0.293,446.57,"February 14, 25",-0.0029300000000000003
2025-02-18,445.28,446.0,443.63,445.92,442.41,2451246,2451246,0.64,0.14373000000000002,445.2075,"February 18, 25",0.0014372999999999999
2025-02-19,444.78,446.8,443.55,446.67,443.15,2239430,2239430,1.8900000000000001,0.42493000000000003,445.45,"February 19, 25",0.0042493
2025-02-20,445.27,445.56,439.97,442.39,438.91,2960000,2960000,-2.88,-0.6468,443.2975,"February 20, 25",-0.006468
2025-02-21,439.1,439.39,433.35,434.15,431.38,3842204,3842204,-4.95,-1.13,436.4975,"February 21, 25",-0.011300000000000001
2025-02-24,435.83,436.9,433.35,434.53,431.76,3629338,3629338,-1.3,-0.29828000000000005,435.1525,"February 24, 25",-0.0029828
2025-02-25,435.54,437.54,432.65,436.13,433.35,2953100,2953100,0.595,0.13546000000000002,435.465,"February 25, 25",0.0013545999999999999
2025-02-26,436.44,438.52,433.0,434.34,431.57,2427844,2427844,-2.1,-0.48117000000000004,435.575,"February 26, 25",-0.0048116999999999995
2025-02-27,434.44,438.75,432.1,432.35,429.59,3296900,3296900,-2.09,-0.48108000000000006,434.41,"February 27, 25",-0.0048108
2025-02-28,433.06,438.82,431.02,438.37,435.57,3249923,3249923,5.31,1.23,435.3175,"February 28, 25",0.0123
2025-03-03,439.54,440.69,429.48,432.09,429.33,3925200,3925200,-7.45,-1.69,435.45,"March 03, 25",-0.016900000000000002
2025-03-04,429.68,431.09,423.85,425.57,422.85,3586900,3586900,-4.11,-0.9565300000000001,427.5475,"March 04, 25",-0.009565299999999999
2025-03-05,425.21,431.6,424.45,430.47,427.72,3018300,3018300,5.26,1.24,427.9325,"March 05, 25",0.012400000000000001
2025-03-06,426.17,430.12,424.04,425.9,423.18,2824100,2824100,-0.27,-0.063355,426.5575,"March 06, 25",-0.00063355
2025-03-07,424.1,429.32,421.98,428.26,425.53,3719528,3719528,4.16,0.9809,425.915,"March 07, 25",0.009809
2025-03-10,423.39,426.05,416.62,419.49,416.81,3442821,3442821,-3.9,-0.9211400000000001,421.3875,"March 10, 25",-0.0092114
2025-03-11,418.47,419.03,412.25,414.74,412.09,3893400,3893400,-3.73,-0.89134,416.1225,"March 11, 25",-0.0089134
2025-03-12,416.96,417.57,410.56,413.95,411.31,2960538,2960538,-3.01,-0.72189,414.76,"March 12, 25",-0.0072188999999999994
2025-03-13,413.35,414.19,407.25,408.78,406.17,2557224,2557224,-4.57,-1.11,410.8925,"March 13, 25",-0.0111
2025-03-14,410.83,415.91,409.91,415.36,412.71,2422739,2422739,4.53,1.1,413.0025,"March 14, 25",0.011
2025-03-17,414.94,420.78,414.84,419.21,416.54,2141000,2141000,4.27,1.03,417.4425,"March 17, 25",0.0103
2025-03-18,418.42,418.67,414.88,416.53,413.87,1844136,1844136,-1.8900000000000001,-0.45170000000000005,417.125,"March 18, 25",-0.004517
2025-03-19,417.61,422.49,416.8,420.42,417.74,1813839,1813839,2.81,0.67288,419.33,"March 19, 25",0.0067288
2025-03-20,417.92,423.14,417.64,420.12,417.44,1646500,1646500,2.2,0.52642,419.705,"March 20, 25",0.0052642
2025-03-21,416.05,420.01,414.19,419.62,417.74,2486041,2486041,3.5700000000000003,0.8580700000000001,417.4675,"March 21, 25",0.0085807
2025-03-24,423.35,426.23,422.79,425.49,423.58,2474900,2474900,2.14,0.50549,424.465,"March 24, 25",0.0050549
2025-03-25,426.32,426.84,424.36,425.82,423.91,3997626,3997626,-0.5,-0.11728000000000001,425.835,"March 25, 25",-0.0011727999999999999
2025-03-26,426.33,428.14,423.14,424.23,422.33,2444349,2444349,-2.1,-0.49258,425.46,"March 26, 25",-0.0049258
2025-03-27,423.68,425.09,421.46,422.94,421.04,1646000,1646000,-0.74,-0.17466,423.2925,"March 27, 25",-0.0017465999999999998
2025-03-28,421.98,422.38,415.2,415.62,413.75,2600600,2600600,-6.36,-1.51,418.795,"March 28, 25",-0.0151
2025-03-31,412.2,421.36,411.44,419.88,417.99,2985300,2985300,7.68,1.8599999999999999,416.22,"March 31, 25",0.018600000000000002
2025-04-01,418.41,421.28,415.0,419.59,417.71,2384809,2384809,1.18,0.28202000000000005,418.57,"April 01, 25",0.0028201999999999997
2025-04-02,416.37,423.65,416.18,422.03,420.14,2299827,2299827,5.66,1.3599999999999999,419.5575,"April 02, 25",0.013600000000000001
2025-04-03,410.92,411.61,405.0,405.22,403.4,7440100,7440100,-5.7,-1.3900000000000001,408.1875,"April 03, 25",-0.013900000000000001
2025-04-04,394.93,396.65,382.68,383.22,381.5,8667239,8667239,-11.71,-2.9699999999999998,389.37,"April 04, 25",-0.0297
2025-04-07,371.38,392.21,366.32,379.57,377.87,12718200,12718200,8.19,2.21,377.37,"April 07, 25",0.0221
2025-04-08,393.48,394.36,371.03,376.48,374.79,7283000,7283000,-17.0,-4.32,383.8375,"April 08, 25",-0.0432
2025-04-09,372.04,407.79,372.04,406.08,404.26,9861130,9861130,34.04,9.15,389.4875,"April 09, 25",0.0915
2025-04-10,399.6,400.19,384.31,395.68,393.9,6624236,6624236,-3.92,-0.9809800000000001,394.945,"April 10, 25",-0.009809799999999999
