date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,112.15,113.74,111.29,111.39,110.92,7878807,7878807,-0.76,-0.67766,112.1425,"January 07, 25",-0.0067766
2025-01-08,111.0,111.11,108.64,109.76,109.29,7805312,7805312,-1.24,-1.12,110.1275,"January 08, 25",-0.0112
2025-01-10,110.0,110.54,107.62,108.65,108.19,8835518,8835518,-1.35,-1.23,109.2025,"January 10, 25",-0.0123
2025-01-13,107.93,108.61,106.72,108.08,107.62,6690232,6690232,0.15,0.13898000000000002,107.835,"January 13, 25",0.0013897999999999998
2025-01-14,108.68,108.96,107.61,108.12,107.66,5501600,5501600,-0.56,-0.51527,108.3425,"January 14, 25",-0.0051527
2025-01-15,109.17,109.6,107.99,108.18,107.72,6296900,6296900,-0.99,-0.9068400000000001,108.735,"January 15, 25",-0.009068399999999999
2025-01-16,108.29,108.6,106.16,106.46,106.01,7872800,7872800,-1.83,-1.69,107.3775,"January 16, 25",-0.016900000000000002
2025-01-17,106.83,107.74,106.54,107.02,106.57,7144300,7144300,0.19,0.17785,107.0325,"January 17, 25",0.0017785
2025-01-21,107.1,109.45,106.8,108.7,108.24,8643700,8643700,1.6,1.49,108.0125,"January 21, 25",0.0149
2025-01-22,109.55,109.55,108.23,108.81,108.35,8781705,8781705,-0.74,-0.67549,109.035,"January 22, 25",-0.0067548999999999994
2025-01-23,108.5,111.07,108.49,111.04,110.57,7608300,7608300,2.54,2.34,109.775,"January 23, 25",0.0234
2025-01-24,111.16,113.39,110.63,112.16,111.68,8304500,8304500,1.0,0.8996000000000001,111.835,"January 24, 25",0.008995999999999999
2025-01-27,111.68,114.08,111.46,113.34,112.86,10176938,10176938,1.6600000000000001,1.49,112.64,"January 27, 25",0.0149
2025-01-28,112.85,112.96,111.56,112.14,111.66,6516800,6516800,-0.705,-0.6291500000000001,112.3775,"January 28, 25",-0.006291499999999999
2025-01-29,113.5,114.38,112.76,113.19,112.71,7607100,7607100,-0.305,-0.27313000000000004,113.4575,"January 29, 25",-0.0027313
2025-01-30,114.09,115.18,113.12,113.43,112.95,6236200,6236200,-0.655,-0.5784900000000001,113.955,"January 30, 25",-0.0057849
2025-01-31,113.3,114.01,112.76,113.06,112.58,7797700,7797700,-0.24,-0.21183000000000002,113.2825,"January 31, 25",-0.0021183
2025-02-03,111.35,114.6,110.86,114.0,113.52,8870700,8870700,2.65,2.38,112.7025,"February 03, 25",0.0238
2025-02-04,113.8,114.66,112.51,113.3,112.82,13521149,13521149,-0.5,-0.43937000000000004,113.5675,"February 04, 25",-0.0043936999999999995
2025-02-05,115.7,118.59,110.23,110.54,110.07,23310000,23310000,-5.16,-4.46,113.765,"February 05, 25",-0.0446
2025-02-06,111.88,112.68,109.15,112.09,111.61,12470800,12470800,0.21,0.1877,111.45,"February 06, 25",0.001877
2025-02-07,111.61,112.55,110.81,110.86,110.39,8669320,8669320,-0.75,-0.67198,111.4575,"February 07, 25",-0.0067198
2025-02-10,111.14,111.38,108.69,109.28,108.82,8239512,8239512,-1.8599999999999999,-1.67,110.1225,"February 10, 25",-0.0167
2025-02-11,108.38,109.05,107.69,109.02,108.56,7456717,7456717,0.64,0.5905100000000001,108.535,"February 11, 25",0.0059051
2025-02-12,108.25,109.53,107.75,109.23,108.77,6521246,6521246,0.98,0.9053100000000001,108.69,"February 12, 25",0.0090531
2025-02-13,108.92,109.76,108.56,109.59,109.12,6553224,6553224,0.67,0.6151300000000001,109.2075,"February 13, 25",0.006151299999999999
2025-02-14,109.86,110.51,109.59,110.38,109.91,5964541,5964541,0.52,0.47333000000000003,110.085,"February 14, 25",0.0047333
2025-02-18,109.78,109.92,108.71,109.56,109.09,8362900,8362900,-0.215,-0.20040000000000002,109.4925,"February 18, 25",-0.0020039999999999997
2025-02-19,109.14,111.76,109.14,111.35,110.88,8452114,8452114,2.21,2.02,110.3475,"February 19, 25",0.020200000000000003
2025-02-20,111.24,111.52,109.38,110.55,110.08,5970106,5970106,-0.6900000000000001,-0.62028,110.6725,"February 20, 25",-0.0062028
2025-02-21,111.0,111.76,107.92,108.66,108.2,9082100,9082100,-2.34,-2.11,109.835,"February 21, 25",-0.0211
2025-02-24,108.84,111.56,108.65,111.2,110.73,7093300,7093300,2.36,2.17,110.0625,"February 24, 25",0.0217
2025-02-25,111.43,111.9,109.07,110.53,110.06,7289000,7289000,-0.9,-0.8076800000000001,110.7325,"February 25, 25",-0.0080768
2025-02-26,110.06,113.25,110.06,111.83,111.36,7831600,7831600,1.77,1.6099999999999999,111.3,"February 26, 25",0.0161
2025-02-27,112.32,113.12,111.06,111.31,110.84,7854700,7854700,-1.01,-0.89922,111.9525,"February 27, 25",-0.008992199999999999
2025-02-28,111.46,113.99,111.0,113.8,113.32,14609401,14609401,2.34,2.1,112.5625,"February 28, 25",0.021
2025-03-03,114.07,115.55,112.0,112.79,112.31,7884746,7884746,-1.28,-1.12,113.6025,"March 03, 25",-0.0112
2025-03-04,111.7,112.25,108.27,109.01,108.55,12658024,12658024,-2.69,-2.41,110.3075,"March 04, 25",-0.0241
2025-03-05,109.34,110.94,108.22,109.31,108.85,9956143,9956143,-0.03,-0.02743735,109.4525,"March 05, 25",-0.0002743735
2025-03-06,108.38,108.83,105.02,105.43,104.98,11618800,11618800,-2.95,-2.7199999999999998,106.915,"March 06, 25",-0.027200000000000002
2025-03-07,105.0,105.77,103.31,105.51,105.06,12715904,12715904,0.51,0.48571000000000003,104.8975,"March 07, 25",0.0048571
2025-03-10,104.43,104.8,102.11,103.08,102.64,10947100,10947100,-1.35,-1.29,103.605,"March 10, 25",-0.0129
2025-03-11,99.79,101.04,97.45,97.9,97.48,16906005,16906005,-1.8900000000000001,-1.8900000000000001,99.045,"March 11, 25",-0.0189
2025-03-12,98.68,99.49,96.38,98.76,98.34,11891800,11891800,0.08,0.08107013,98.3275,"March 12, 25",0.0008107013
2025-03-13,97.77,98.65,95.93,96.87,96.46,11059500,11059500,-0.9,-0.9205300000000001,97.305,"March 13, 25",-0.0092053
2025-03-14,97.44,99.1,97.42,98.64,98.22,10199800,10199800,1.2,1.23,98.15,"March 14, 25",0.0123
2025-03-17,98.74,100.12,98.66,99.36,98.94,8332119,8332119,0.62,0.6279100000000001,99.22,"March 17, 25",0.0062791
2025-03-18,99.27,99.73,98.48,99.35,98.93,6727404,6727404,0.08,0.08058829,99.2075,"March 18, 25",0.0008058829
2025-03-19,99.66,100.96,99.47,100.29,99.86,8614622,8614622,0.635,0.6321500000000001,100.095,"March 19, 25",0.0063215
2025-03-20,99.57,100.05,98.64,98.86,98.44,7836515,7836515,-0.71,-0.7130700000000001,99.28,"March 20, 25",-0.007130699999999999
2025-03-21,98.38,99.89,97.75,99.46,99.04,15089900,15089900,1.08,1.1,98.87,"March 21, 25",0.011
2025-03-24,100.22,100.44,98.86,100.18,99.75,8224405,8224405,-0.04,-0.03991219,99.925,"March 24, 25",-0.00039912190000000004
2025-03-25,100.65,101.76,100.41,101.61,101.18,7365249,7365249,0.96,0.9538000000000001,101.1075,"March 25, 25",0.009538
2025-03-26,101.7,102.27,100.26,100.78,100.35,6316413,6316413,-0.92,-0.9046200000000001,101.2525,"March 26, 25",-0.009046199999999999
2025-03-27,100.71,101.03,99.58,100.45,100.02,6598800,6598800,-0.26,-0.25817,100.4425,"March 27, 25",-0.0025816999999999997
2025-03-28,100.05,100.39,97.74,98.07,97.65,7679702,7679702,-1.98,-1.98,99.0625,"March 28, 25",-0.0198
2025-03-31,96.83,98.85,95.7,98.7,98.28,10554041,10554041,1.87,1.9300000000000002,97.52,"March 31, 25",0.0193
2025-04-01,98.32,98.59,96.84,97.68,97.27,8762700,8762700,-0.64,-0.6509400000000001,97.8575,"April 01, 25",-0.006509399999999999
2025-04-02,96.62,98.31,96.45,97.88,97.46,7959946,7959946,1.27,1.3,97.315,"April 02, 25",0.013000000000000001
2025-04-03,94.51,94.78,88.61,88.84,88.46,19353400,19353400,-5.67,-6.0,91.685,"April 03, 25",-0.06
2025-04-04,86.0,87.54,83.08,83.53,83.18,22580900,22580900,-2.47,-2.87,85.0375,"April 04, 25",-0.0287
2025-04-07,80.99,86.63,80.1,83.3,82.95,20456000,20456000,2.31,2.85,82.755,"April 07, 25",0.0285
2025-04-08,85.95,86.95,80.85,81.72,81.37,14845638,14845638,-4.23,-4.92,83.8675,"April 08, 25",-0.0492
2025-04-09,81.29,92.25,81.19,91.44,91.05,24970930,24970930,10.15,12.49,86.5425,"April 09, 25",0.12490000000000001
2025-04-10,88.92,89.01,83.07,85.23,84.87,16377000,16377000,-3.69,-4.15,86.5575,"April 10, 25",-0.0415
2025-04-11,85.11,85.67,83.35,84.89,84.53,10204400,10204400,-0.22,-0.25849,84.755,"April 11, 25",-0.0025849
2025-04-14,85.83,86.45,84.03,84.66,84.3,10841307,10841307,-1.17,-1.3599999999999999,85.2425,"April 14, 25",-0.013600000000000001
2025-04-15,84.75,85.98,84.52,85.01,84.65,7840500,7840500,0.26,0.30678000000000005,85.065,"April 15, 25",0.0030678
2025-04-16,84.28,84.8,82.01,82.77,82.42,10144300,10144300,-1.51,-1.79,83.465,"April 16, 25",-0.0179
2025-04-17,83.37,85.78,83.36,84.81,84.45,14810894,14810894,1.44,1.73,84.33,"April 17, 25",0.0173
2025-04-21,84.91,85.23,82.98,84.0,83.64,14166825,14166825,-0.91,-1.07,84.28,"April 21, 25",-0.010700000000000001
2025-04-22,85.01,86.56,84.6,86.09,85.72,9578500,9578500,1.08,1.27,85.565,"April 22, 25",0.012700000000000001
2025-04-23,89.03,89.87,87.03,87.29,86.92,12089123,12089123,-1.73,-1.9500000000000002,88.305,"April 23, 25",-0.0195
2025-04-24,87.45,90.24,86.77,90.01,89.63,10310000,10310000,2.56,2.93,88.6175,"April 24, 25",0.029300000000000003
2025-04-25,90.07,90.34,89.07,90.28,89.9,7749630,7749630,0.21,0.23315000000000002,89.94,"April 25, 25",0.0023315
2025-04-28,90.45,91.37,89.64,90.16,89.78,8491800,8491800,-0.29,-0.32062,90.405,"April 28, 25",-0.0032061999999999998
2025-04-29,89.83,91.66,89.76,91.17,90.78,6359924,6359924,1.34,1.49,90.605,"April 29, 25",0.0149
2025-04-30,89.89,91.19,88.56,90.95,90.56,8474834,8474834,1.06,1.18,90.1475,"April 30, 25",0.0118
2025-05-01,91.27,91.61,90.36,90.81,90.42,7790638,7790638,-0.455,-0.504,91.0125,"May 01, 25",-0.00504
2025-05-02,91.84,93.19,91.84,92.49,92.1,7594041,7594041,0.65,0.7077500000000001,92.34,"May 02, 25",0.0070775
2025-05-05,89.7,93.08,89.61,92.11,91.72,10231010,10231010,2.41,2.69,91.125,"May 05, 25",0.0269
2025-05-06,91.2,92.74,91.0,92.17,91.78,11839405,11839405,0.97,1.06,91.7775,"May 06, 25",0.0106
2025-05-07,102.42,103.31,100.14,102.09,101.66,36174940,36174940,-0.33,-0.32220000000000004,101.99,"May 07, 25",-0.003222
2025-05-08,103.97,106.19,103.86,105.12,104.67,19265441,19265441,1.15,1.11,104.785,"May 08, 25",0.0111
2025-05-09,105.26,106.19,104.76,105.94,105.49,10438200,10438200,0.685,0.64602,105.5375,"May 09, 25",0.006460199999999999
2025-05-12,109.87,110.94,108.66,110.49,110.02,18366644,18366644,0.62,0.5643,109.99,"May 12, 25",0.005643
2025-05-13,110.25,112.2,110.15,111.38,110.91,14076719,14076719,1.13,1.02,110.995,"May 13, 25",0.0102
2025-05-14,111.38,113.41,110.83,112.94,112.46,15352206,15352206,1.56,1.4,112.14,"May 14, 25",0.014
2025-05-15,112.23,112.85,111.58,112.22,111.74,8322400,8322400,-0.01,-0.00891027,112.22,"May 15, 25",-8.91027e-05
2025-05-16,111.92,113.44,111.42,113.42,112.94,10961000,10961000,1.5,1.34,112.55,"May 16, 25",0.0134
2025-05-19,112.12,112.99,111.9,112.66,112.18,7209700,7209700,0.54,0.48163000000000006,112.4175,"May 19, 25",0.0048163
2025-05-20,112.44,113.4,111.81,112.36,111.88,6433300,6433300,-0.08,-0.07114906,112.5025,"May 20, 25",-0.0007114906
2025-05-21,111.69,112.49,110.13,110.46,109.99,10150618,10150618,-1.23,-1.1,111.1925,"May 21, 25",-0.011
2025-05-22,109.98,111.8,109.98,111.13,110.66,7903700,7903700,1.16,1.05,110.7225,"May 22, 25",0.0105
2025-05-23,109.6,110.35,108.78,109.72,109.25,8086103,8086103,0.12,0.10949,109.6125,"May 23, 25",0.0010949
2025-05-27,111.03,112.89,110.15,112.36,111.88,10201106,10201106,1.33,1.2,111.6075,"May 27, 25",0.012
2025-05-28,112.2,112.47,111.17,111.52,111.05,5787948,5787948,-0.68,-0.60606,111.84,"May 28, 25",-0.006060599999999999
2025-05-29,112.01,112.26,110.52,112.02,111.54,9683748,9683748,0.01,0.00892777,111.7025,"May 29, 25",8.92777e-05
2025-05-30,112.01,113.35,111.37,113.04,112.56,12881100,12881100,1.04,0.91956,112.4425,"May 30, 25",0.0091956
2025-06-02,112.68,113.6,112.25,112.95,112.47,7546839,7546839,0.27,0.23962000000000003,112.87,"June 02, 25",0.0023962
2025-06-03,112.73,114.69,112.52,113.6,113.12,9738804,9738804,0.875,0.7717600000000001,113.385,"June 03, 25",0.0077176
