date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,77.06,77.06,76.23,76.34,75.04,9393247,9393247,-0.72,-0.9343400000000001,76.6725,"January 07, 25",-0.0093434
2025-01-08,75.9,76.33,75.68,76.22,74.92,7894852,7894852,0.32,0.42161000000000004,76.0325,"January 08, 25",0.0042160999999999995
2025-01-10,75.65,75.67,74.9,75.06,73.78,12022276,12022276,-0.59,-0.7799100000000001,75.32,"January 10, 25",-0.0077991
2025-01-13,74.25,74.89,74.24,74.85,73.58,12019745,12019745,0.6000000000000001,0.80808,74.5575,"January 13, 25",0.008080799999999999
2025-01-14,75.02,75.26,74.76,75.12,73.84,9963200,9963200,0.1,0.1333,75.04,"January 14, 25",0.001333
2025-01-15,76.2,76.26,75.76,76.08,74.78,12144784,12144784,-0.12,-0.15748,76.075,"January 15, 25",-0.0015748
2025-01-16,76.25,76.69,76.09,76.47,75.17,17925790,17925790,0.22,0.28852,76.375,"January 16, 25",0.0028851999999999997
2025-01-17,76.86,77.19,76.68,76.78,75.47,10667115,10667115,-0.08,-0.10409,76.8775,"January 17, 25",-0.0010409
2025-01-21,77.8,78.35,77.68,78.33,77.0,13169107,13169107,0.53,0.68123,78.04,"January 21, 25",0.006812299999999999
2025-01-22,78.49,78.5,78.12,78.15,76.82,8666700,8666700,-0.34,-0.43318,78.315,"January 22, 25",-0.0043318
2025-01-23,78.34,78.79,78.19,78.79,77.45,10977637,10977637,0.45,0.57442,78.5275,"January 23, 25",0.0057442
2025-01-24,79.15,79.46,79.08,79.23,77.88,7578400,7578400,0.08,0.10107000000000001,79.23,"January 24, 25",0.0010107
2025-01-27,78.84,79.27,78.82,79.23,77.88,13559152,13559152,0.39,0.49467000000000005,79.04,"January 27, 25",0.0049467
2025-01-28,79.11,79.18,78.66,79.13,77.78,9458406,9458406,0.02,0.02528125,79.02,"January 28, 25",0.0002528125
2025-01-29,79.14,79.36,78.85,79.12,77.77,7875400,7875400,-0.02,-0.02527167,79.1175,"January 29, 25",-0.0002527167
2025-01-30,79.88,80.32,79.64,79.99,78.63,13792100,13792100,0.11,0.13771,79.9575,"January 30, 25",0.0013771
2025-01-31,79.86,80.17,79.17,79.24,77.89,14935711,14935711,-0.62,-0.77636,79.61,"January 31, 25",-0.0077636
2025-02-03,77.91,78.8,77.65,78.31,76.98,14997646,14997646,0.4,0.51341,78.1675,"February 03, 25",0.0051341
2025-02-04,78.79,79.3,78.71,79.22,77.87,10608300,10608300,0.435,0.5457500000000001,79.005,"February 04, 25",0.0054575
2025-02-05,79.71,80.08,79.55,79.99,78.63,7857042,7857042,0.28,0.35127,79.8325,"February 05, 25",0.0035126999999999997
2025-02-06,80.25,80.54,80.19,80.37,79.0,7806531,7806531,0.12,0.14953000000000002,80.3375,"February 06, 25",0.0014953
2025-02-07,80.42,80.48,79.48,79.61,78.25,13110844,13110844,-0.81,-1.01,79.9975,"February 07, 25",-0.010100000000000001
2025-02-10,79.98,80.18,79.92,80.15,78.79,7287300,7287300,0.17,0.21255000000000002,80.0575,"February 10, 25",0.0021255
2025-02-11,80.06,80.61,80.03,80.53,79.16,7583803,7583803,0.47000000000000003,0.58706,80.3075,"February 11, 25",0.0058706
2025-02-12,80.01,80.99,79.89,80.83,79.45,17271426,17271426,0.8200000000000001,1.02,80.43,"February 12, 25",0.0102
2025-02-13,81.2,81.85,81.12,81.81,80.42,17212339,17212339,0.61,0.7512300000000001,81.495,"February 13, 25",0.0075122999999999995
2025-02-14,82.27,82.35,81.91,81.93,80.53,8051820,8051820,-0.34,-0.41327,82.115,"February 14, 25",-0.0041327
2025-02-18,82.47,82.63,82.32,82.52,81.11,9485900,9485900,0.05,0.06062811,82.485,"February 18, 25",0.0006062811
2025-02-19,81.65,81.8,81.38,81.67,80.28,11042200,11042200,0.02,0.02449479,81.625,"February 19, 25",0.0002449479
2025-02-20,81.91,82.1,81.58,82.05,80.65,9177400,9177400,0.14,0.17092000000000002,81.91,"February 20, 25",0.0017092
2025-02-21,82.12,82.14,81.38,81.54,80.15,11630000,11630000,-0.58,-0.70628,81.795,"February 21, 25",-0.007062799999999999
