date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,89.55,89.65,89.11,89.18,86.84,9445627,9445627,-0.37,-0.41318000000000005,89.3725,"January 07, 25",-0.0041318
2025-01-08,89.07,89.25,88.9,89.25,86.91,5579300,5579300,0.18,0.20209000000000002,89.1175,"January 08, 25",0.0020209
2025-01-10,88.87,89.0,88.64,88.77,86.44,7313600,7313600,-0.1,-0.11252000000000001,88.82,"January 10, 25",-0.0011252
2025-01-13,88.74,88.74,88.44,88.64,86.31,6512900,6512900,-0.1,-0.11269000000000001,88.64,"January 13, 25",-0.0011269
2025-01-14,88.74,88.82,88.57,88.77,86.44,4067100,4067100,0.03,0.03380663,88.725,"January 14, 25",0.00033806630000000003
2025-01-15,89.65,89.92,89.54,89.79,87.43,6638700,6638700,0.14,0.15616000000000002,89.725,"January 15, 25",0.0015616
2025-01-16,89.52,89.8,89.42,89.68,87.33,5421800,5421800,0.16,0.17873000000000003,89.605,"January 16, 25",0.0017873
2025-01-17,89.94,90.05,89.75,89.85,87.49,3558227,3558227,-0.09,-0.10007,89.8975,"January 17, 25",-0.0010007
2025-01-21,90.25,90.46,90.14,90.46,88.09,6997117,6997117,0.21,0.23269,90.3275,"January 21, 25",0.0023269
2025-01-22,90.53,90.55,90.2,90.21,87.84,6916200,6916200,-0.32,-0.35347,90.3725,"January 22, 25",-0.0035347
2025-01-23,89.96,90.2,89.88,90.19,87.82,8020738,8020738,0.23,0.25567,90.0575,"January 23, 25",0.0025567
2025-01-24,90.19,90.38,90.16,90.34,87.97,3170308,3170308,0.15,0.16632000000000002,90.2675,"January 24, 25",0.0016631999999999999
2025-01-27,90.26,90.61,90.26,90.6,88.22,5632729,5632729,0.34,0.37669,90.4325,"January 27, 25",0.0037668999999999997
2025-01-28,90.56,90.58,90.31,90.56,88.18,5528613,5528613,0.0,0.0,90.5025,"January 28, 25",0.0
2025-01-29,90.66,90.74,90.22,90.48,88.11,5118418,5118418,-0.18,-0.19854000000000002,90.525,"January 29, 25",-0.0019854
2025-01-30,90.87,90.98,90.68,90.86,88.48,5949175,5949175,-0.01,-0.01100473,90.8475,"January 30, 25",-0.0001100473
2025-01-31,90.79,90.94,90.4,90.55,88.17,9075225,9075225,-0.24,-0.26435000000000003,90.67,"January 31, 25",-0.0026435
2025-02-03,89.92,90.42,89.92,90.25,88.31,6566100,6566100,0.33,0.36699000000000004,90.1275,"February 03, 25",0.0036699
2025-02-04,90.19,90.6,90.16,90.57,88.63,7381731,7381731,0.38,0.42133000000000004,90.38,"February 04, 25",0.0042133
2025-02-05,90.83,91.15,90.82,91.08,89.12,5727066,5727066,0.25,0.27524000000000004,90.97,"February 05, 25",0.0027524
2025-02-06,91.07,91.18,90.89,91.0,89.05,3296400,3296400,-0.07,-0.07686395,91.035,"February 06, 25",-0.0007686395000000001
2025-02-07,90.74,90.83,90.6,90.65,88.7,4935800,4935800,-0.09,-0.09918448,90.705,"February 07, 25",-0.0009918448
2025-02-10,90.68,90.83,90.57,90.65,88.7,3331500,3331500,-0.03,-0.03308337,90.6825,"February 10, 25",-0.0003308337
2025-02-11,90.32,90.41,90.22,90.26,88.32,5996000,5996000,-0.065,-0.06643047,90.3025,"February 11, 25",-0.0006643047
2025-02-12,89.68,90.14,89.61,89.97,88.04,6819800,6819800,0.29,0.32337000000000005,89.85,"February 12, 25",0.0032337
2025-02-13,90.37,90.77,90.35,90.71,88.76,6017900,6017900,0.34,0.37623,90.55,"February 13, 25",0.0037622999999999997
2025-02-14,90.92,91.18,90.92,90.99,89.04,7764034,7764034,0.07,0.07699076,91.0025,"February 14, 25",0.0007699076
2025-02-18,90.79,90.93,90.54,90.6,88.66,7565300,7565300,-0.19,-0.20927,90.715,"February 18, 25",-0.0020927
2025-02-19,90.4,90.68,90.33,90.62,88.67,4731712,4731712,0.22,0.24336000000000002,90.5075,"February 19, 25",0.0024335999999999997
2025-02-20,90.6,90.79,90.52,90.79,88.84,5621400,5621400,0.19,0.20971,90.675,"February 20, 25",0.0020970999999999997
2025-02-21,90.93,91.01,90.74,90.82,88.87,5734737,5734737,-0.11,-0.12097000000000001,90.875,"February 21, 25",-0.0012097
2025-02-24,90.85,91.03,90.78,90.91,88.96,5036730,5036730,0.06,0.06604293,90.8925,"February 24, 25",0.0006604293
2025-02-25,91.22,91.5,91.22,91.48,89.52,8637627,8637627,0.26,0.28503,91.355,"February 25, 25",0.0028503
2025-02-26,91.65,91.81,91.56,91.78,89.81,5851933,5851933,0.13,0.14184000000000002,91.7,"February 26, 25",0.0014184
2025-02-27,91.67,91.67,91.42,91.47,89.51,8490515,8490515,-0.2,-0.21817000000000003,91.5575,"February 27, 25",-0.0021817
2025-02-28,91.67,92.04,91.55,92.03,90.05,8204301,8204301,0.36,0.39271000000000006,91.8225,"February 28, 25",0.0039271
2025-03-03,91.18,91.59,91.18,91.45,89.86,8870600,8870600,0.27,0.29612000000000005,91.35,"March 03, 25",0.0029611999999999998
2025-03-04,91.43,91.46,91.23,91.31,89.73,7549845,7549845,-0.12,-0.13125,91.3575,"March 04, 25",-0.0013124999999999999
2025-03-05,91.34,91.56,91.15,91.28,89.7,7621500,7621500,-0.06,-0.06568864,91.3325,"March 05, 25",-0.0006568864
2025-03-06,90.84,90.91,90.66,90.74,89.17,6056233,6056233,-0.1,-0.11008000000000001,90.7875,"March 06, 25",-0.0011007999999999999
2025-03-07,90.97,91.09,90.87,90.99,89.41,5292949,5292949,0.02,0.02198527,90.98,"March 07, 25",0.0002198527
2025-03-10,90.98,91.11,90.8,90.87,89.29,6780922,6780922,-0.11,-0.12091,90.94,"March 10, 25",-0.0012090999999999998
2025-03-11,90.92,91.01,90.63,90.69,89.12,10043136,10043136,-0.23,-0.25297000000000003,90.8125,"March 11, 25",-0.0025296999999999997
2025-03-12,90.83,90.92,90.67,90.67,89.1,7540906,7540906,-0.16,-0.17615,90.7725,"March 12, 25",-0.0017614999999999998
