date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,172.22,173.7,170.78,172.31,171.74,6496810,6496810,0.09,0.05225874,172.2525,"January 07, 25",0.0005225874000000001
2025-01-08,172.0,173.58,170.71,172.89,172.32,4528044,4528044,0.89,0.51744,172.295,"January 08, 25",0.0051744
2025-01-10,172.4,173.46,170.74,171.69,171.12,5131215,5131215,-0.71,-0.41183000000000003,172.0725,"January 10, 25",-0.0041183
2025-01-13,169.51,172.52,169.0,171.57,171.0,5610800,5610800,2.06,1.22,170.65,"January 13, 25",0.0122
2025-01-14,173.11,177.9,172.4,176.86,176.27,6432707,6432707,3.75,2.17,175.0675,"January 14, 25",0.0217
2025-01-15,179.07,180.88,178.88,180.29,179.69,7397000,7397000,1.22,0.6813,179.78,"January 15, 25",0.006813
2025-01-16,181.68,182.88,178.62,179.74,179.14,6144731,6144731,-1.94,-1.07,180.73,"January 16, 25",-0.010700000000000001
2025-01-17,180.78,183.19,179.96,182.85,182.24,5899122,5899122,2.07,1.15,181.695,"January 17, 25",0.0115
2025-01-21,184.9,189.32,184.51,187.5,186.88,7508406,7508406,2.6,1.4100000000000001,186.5575,"January 21, 25",0.014100000000000001
2025-01-22,188.08,189.24,186.61,188.36,187.74,7457807,7457807,0.28,0.14887,188.0725,"January 22, 25",0.0014887
2025-01-23,201.4,207.65,198.1,200.8,200.13,14403549,14403549,-0.6000000000000001,-0.29791,201.9875,"January 23, 25",-0.0029790999999999997
2025-01-24,202.5,203.0,195.52,196.75,196.1,7835717,7835717,-5.75,-2.84,199.4425,"January 24, 25",-0.0284
2025-01-27,194.34,196.63,192.74,194.46,193.82,7674813,7674813,0.12,0.06174745,194.5425,"January 27, 25",0.0006174745
2025-01-28,195.3,196.55,191.79,194.43,193.79,4858823,4858823,-0.865,-0.44547000000000003,194.5175,"January 28, 25",-0.0044547
2025-01-29,194.93,199.94,194.93,199.1,198.44,5595800,5595800,4.17,2.14,197.225,"January 29, 25",0.021400000000000002
2025-01-30,199.81,205.93,199.48,205.57,204.89,6282100,6282100,5.76,2.88,202.6975,"January 30, 25",0.028800000000000003
2025-01-31,205.84,205.87,203.07,203.57,202.9,5514300,5514300,-2.27,-1.1,204.5875,"January 31, 25",-0.011
2025-02-03,200.0,204.73,198.97,204.11,203.43,4678300,4678300,4.11,2.06,201.9525,"February 03, 25",0.0206
2025-02-04,202.93,204.54,200.43,202.18,201.51,5413812,5413812,-0.75,-0.36959000000000003,202.52,"February 04, 25",-0.0036959
