date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,245.52,245.77,243.81,244.56,244.56,5090333,5090333,-0.96,-0.39101,244.915,"January 07, 25",-0.0039101
2025-01-08,245.72,246.45,244.51,245.86,245.86,6303334,6303334,0.14,0.05697542,245.635,"January 08, 25",0.0005697542
2025-01-10,248.01,249.04,247.55,248.21,248.21,12380131,12380131,0.2,0.08064191,248.2025,"January 10, 25",0.0008064191
2025-01-13,246.34,246.79,245.15,245.74,245.74,8448600,8448600,-0.6000000000000001,-0.24357,246.005,"January 13, 25",-0.0024357
2025-01-14,245.62,247.04,245.52,247.03,247.03,4914837,4914837,1.4100000000000001,0.57406,246.3025,"January 14, 25",0.005740599999999999
2025-01-15,248.21,248.9,247.01,248.88,248.88,6345000,6345000,0.67,0.26993,248.25,"January 15, 25",0.0026993
2025-01-16,250.56,251.39,250.27,250.6,250.6,9236000,9236000,0.04,0.01596424,250.705,"January 16, 25",0.00015964240000000002
2025-01-17,249.7,250.81,249.15,249.27,249.27,8312900,8312900,-0.43,-0.17221,249.7325,"January 17, 25",-0.0017220999999999998
2025-01-21,251.95,253.36,251.83,253.13,253.13,7668119,7668119,1.18,0.46835000000000004,252.5675,"January 21, 25",0.0046835
2025-01-22,254.29,254.68,253.78,254.43,254.43,5213800,5213800,0.14,0.05505525,254.295,"January 22, 25",0.0005505525
2025-01-23,253.19,254.54,252.82,254.07,254.07,6511526,6511526,0.88,0.34757000000000005,253.655,"January 23, 25",0.0034757
2025-01-24,255.96,257.07,255.61,255.65,255.65,7341337,7341337,-0.31,-0.12111000000000001,256.0725,"January 24, 25",-0.0012111
2025-01-27,253.86,254.26,251.92,252.99,252.99,5799800,5799800,-0.87,-0.34271,253.2575,"January 27, 25",-0.0034270999999999998
2025-01-28,254.23,255.25,253.89,255.18,255.18,5332005,5332005,0.9550000000000001,0.37368,254.6375,"January 28, 25",0.0037367999999999998
2025-01-29,254.55,254.82,253.3,254.2,254.2,5671800,5671800,-0.35000000000000003,-0.1375,254.2175,"January 29, 25",-0.001375
2025-01-30,257.2,258.29,256.45,258.05,258.05,12981200,12981200,0.85,0.33048000000000005,257.4975,"January 30, 25",0.0033047999999999997
2025-01-31,259.08,259.99,257.86,258.56,258.56,8965600,8965600,-0.52,-0.20071000000000003,258.8725,"January 31, 25",-0.0020071
2025-02-03,259.75,261.39,259.52,259.94,259.94,11521100,11521100,0.19,0.07314726,260.15,"February 03, 25",0.0007314726
2025-02-04,261.83,262.54,261.35,262.5,262.5,9850412,9850412,0.67,0.25589,262.055,"February 04, 25",0.0025589
2025-02-05,264.45,265.99,263.89,264.13,264.13,12681127,12681127,-0.32,-0.12101,264.615,"February 05, 25",-0.0012101
2025-02-06,263.66,263.72,261.49,263.43,263.43,8731433,8731433,-0.23,-0.08723356,263.075,"February 06, 25",-0.0008723356
2025-02-07,265.22,266.35,263.26,263.9,263.9,9157249,9157249,-1.32,-0.49770000000000003,264.6825,"February 07, 25",-0.004977
2025-02-10,268.0,268.66,267.24,268.37,268.37,13250312,13250312,0.37,0.13806000000000002,268.0675,"February 10, 25",0.0013805999999999998
2025-02-11,267.7,268.36,266.71,267.39,267.39,7169500,7169500,-0.31,-0.1158,267.54,"February 11, 25",-0.001158
2025-02-12,267.15,268.43,266.35,267.67,267.67,9328600,9328600,0.52,0.19465000000000002,267.4,"February 12, 25",0.0019464999999999999
2025-02-13,268.4,270.39,268.22,270.31,270.31,8347547,8347547,1.9100000000000001,0.71162,269.33,"February 13, 25",0.0071162
2025-02-14,270.07,270.21,265.45,266.29,266.29,11546721,11546721,-3.7800000000000002,-1.4,268.005,"February 14, 25",-0.014
2025-02-18,269.68,271.01,269.6,270.7,270.7,8185949,8185949,1.02,0.37823,270.2475,"February 18, 25",0.0037822999999999997
2025-02-19,270.68,271.33,269.24,270.85,270.85,9342500,9342500,0.17,0.06280479,270.525,"February 19, 25",0.0006280479
2025-02-20,270.23,271.84,270.17,270.99,270.99,7356900,7356900,0.76,0.28124000000000005,270.8075,"February 20, 25",0.0028124
2025-02-21,270.8,271.51,269.51,270.74,270.74,8917431,8917431,-0.055,-0.02215657,270.64,"February 21, 25",-0.0002215657
2025-02-24,271.45,272.32,270.38,272.21,272.21,5374400,5374400,0.76,0.27998,271.59,"February 24, 25",0.0027998
2025-02-25,271.46,271.68,266.45,268.62,268.62,10079800,10079800,-2.84,-1.05,269.5525,"February 25, 25",-0.0105
2025-02-26,267.08,269.08,266.66,269.03,269.03,7276033,7276033,1.9500000000000002,0.7301200000000001,267.9625,"February 26, 25",0.0073012
2025-02-27,266.49,266.67,264.45,264.93,264.93,9374626,9374626,-1.56,-0.5853900000000001,265.635,"February 27, 25",-0.0058538999999999996
2025-02-28,262.56,263.4,261.25,263.27,263.27,11504500,11504500,0.715,0.27041000000000004,262.62,"February 28, 25",0.0027041
2025-03-03,265.07,266.88,265.07,266.74,266.74,7725647,7725647,1.67,0.63002,265.94,"March 03, 25",0.0063002
2025-03-04,269.01,269.4,267.52,269.06,269.06,8481343,8481343,0.05,0.01858667,268.7475,"March 04, 25",0.0001858667
2025-03-05,267.97,270.26,267.96,269.62,269.62,6990400,6990400,1.65,0.6157400000000001,268.9525,"March 05, 25",0.0061573999999999995
2025-03-06,268.25,269.51,268.16,268.25,268.25,6136447,6136447,0.0,0.0,268.5425,"March 06, 25",0.0
2025-03-07,269.09,270.34,267.64,268.39,268.39,10431236,10431236,-0.7000000000000001,-0.26014000000000004,268.865,"March 07, 25",-0.0026014
