date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,197.11,201.0,194.6,195.49,195.03,26487244,26487244,-1.62,-0.82188,197.05,"January 07, 25",-0.0082188
2025-01-08,192.57,196.29,192.38,193.95,193.49,24864800,24864800,1.38,0.71662,193.7975,"January 08, 25",0.007166199999999999
2025-01-10,194.3,196.52,190.31,192.04,191.59,26665206,26665206,-2.25,-1.16,193.2925,"January 10, 25",-0.011600000000000001
2025-01-13,190.07,191.18,187.36,191.01,190.56,21823700,21823700,0.9400000000000001,0.49455000000000005,189.905,"January 13, 25",0.004945499999999999
2025-01-14,191.24,191.98,188.31,189.66,189.21,17174900,17174900,-1.58,-0.8261900000000001,190.2975,"January 14, 25",-0.008261899999999999
2025-01-15,193.09,196.36,191.86,195.55,195.09,21776000,21776000,2.46,1.27,194.215,"January 15, 25",0.012700000000000001
2025-01-16,194.14,195.48,192.81,192.91,192.46,17815432,17815432,-1.23,-0.63356,193.835,"January 16, 25",-0.006335599999999999
2025-01-17,196.53,197.23,193.75,196.0,195.54,27735100,27735100,-0.53,-0.26968000000000003,195.8775,"January 17, 25",-0.0026968
2025-01-21,199.07,202.29,197.87,198.05,197.58,29971300,29971300,-1.02,-0.5123800000000001,199.32,"January 21, 25",-0.0051237999999999995
2025-01-22,199.06,200.48,197.53,198.37,197.9,26200617,26200617,-0.6900000000000001,-0.34663000000000005,198.86,"January 22, 25",-0.0034663
2025-01-23,198.14,200.3,195.2,197.98,197.51,26951400,26951400,-0.16,-0.08075098,197.905,"January 23, 25",-0.0008075098
2025-01-24,198.1,200.9,198.0,200.21,199.74,23877521,23877521,2.11,1.07,199.3025,"January 24, 25",0.010700000000000001
2025-01-27,192.41,196.88,190.73,191.81,191.36,41728900,41728900,-0.6000000000000001,-0.31183000000000005,192.9575,"January 27, 25",-0.0031183
2025-01-28,192.75,195.48,190.68,195.3,194.84,24157929,24157929,2.56,1.32,193.5525,"January 28, 25",0.0132
2025-01-29,195.56,196.79,193.43,195.41,194.95,18218300,18218300,-0.145,-0.0767028,195.2975,"January 29, 25",-0.000767028
2025-01-30,198.0,201.4,197.67,200.87,200.4,24354700,24354700,2.87,1.45,199.485,"January 30, 25",0.0145
2025-01-31,202.0,205.48,201.8,204.02,203.54,32042000,32042000,2.02,1.0,203.325,"January 31, 25",0.01
2025-02-03,200.69,203.75,200.1,201.23,200.76,27838348,27838348,0.54,0.26907000000000003,201.4425,"February 03, 25",0.0026907
2025-02-04,203.39,207.05,202.81,206.38,205.89,43856425,43856425,2.99,1.47,204.9075,"February 04, 25",0.014700000000000001
2025-02-05,191.07,192.75,188.03,191.33,190.88,70461770,70461770,0.26,0.13608,190.795,"February 05, 25",0.0013608
2025-02-06,189.5,192.1,188.72,191.6,191.15,29297442,29297442,2.1,1.11,190.48,"February 06, 25",0.0111
2025-02-07,191.05,191.18,183.24,185.34,184.9,49315000,49315000,-5.71,-2.99,187.7025,"February 07, 25",-0.029900000000000003
2025-02-10,187.35,188.2,185.86,186.47,186.03,23105649,23105649,-0.88,-0.46971,186.97,"February 10, 25",-0.0046971
2025-02-11,185.03,186.94,184.28,185.32,184.88,21239519,21239519,0.29,0.15673,185.3925,"February 11, 25",0.0015673
2025-02-12,183.22,185.11,181.83,183.61,183.18,22072600,22072600,0.39,0.21286000000000002,183.4425,"February 12, 25",0.0021286
2025-02-13,184.32,186.28,183.14,186.14,185.7,21402523,21402523,1.82,0.9874100000000001,184.97,"February 13, 25",0.0098741
2025-02-14,185.06,186.4,184.32,185.23,184.79,20448437,20448437,0.17500000000000002,0.0918621,185.2525,"February 14, 25",0.0009186210000000001
2025-02-18,185.6,185.96,181.74,183.77,183.34,29916700,29916700,-1.83,-0.98599,184.2675,"February 18, 25",-0.0098599
2025-02-19,184.07,185.46,183.59,185.27,184.83,19549400,19549400,1.2,0.65193,184.5975,"February 19, 25",0.0065193
2025-02-20,184.8,185.31,182.72,184.56,184.12,20441500,20441500,-0.24,-0.12987,184.3475,"February 20, 25",-0.0012986999999999999
2025-02-21,185.15,185.34,179.08,179.66,179.24,35199239,35199239,-5.49,-2.9699999999999998,182.3075,"February 21, 25",-0.0297
2025-02-24,181.99,183.12,178.89,179.25,178.83,29854206,29854206,-2.74,-1.51,180.8125,"February 24, 25",-0.0151
2025-02-25,178.04,178.74,174.69,175.42,175.01,41913411,41913411,-2.62,-1.47,176.7225,"February 25, 25",-0.014700000000000001
2025-02-26,175.07,176.08,171.58,172.73,172.32,35431300,35431300,-2.34,-1.34,173.865,"February 26, 25",-0.0134
2025-02-27,173.99,174.56,167.94,168.5,168.1,39991015,39991015,-5.49,-3.16,171.2475,"February 27, 25",-0.0316
2025-02-28,168.68,170.61,166.77,170.28,169.88,48130600,48130600,1.6,0.94854,169.085,"February 28, 25",0.0094854
2025-03-03,171.93,173.37,165.93,167.01,166.62,40770500,40770500,-4.92,-2.86,169.56,"March 03, 25",-0.0286
2025-03-04,166.24,173.29,165.8,170.92,170.52,45388000,45388000,4.68,2.8200000000000003,169.0625,"March 04, 25",0.028200000000000003
2025-03-05,170.52,173.78,169.06,173.02,172.61,30954922,30954922,2.5,1.47,171.595,"March 05, 25",0.014700000000000001
2025-03-06,170.53,174.81,170.5,172.35,171.94,28302000,28302000,1.82,1.07,172.0475,"March 06, 25",0.010700000000000001
2025-03-07,171.26,174.97,170.27,173.86,173.45,27385813,27385813,2.6,1.52,172.59,"March 07, 25",0.0152
2025-03-10,168.26,168.46,163.69,165.87,165.67,43604027,43604027,-2.39,-1.42,166.57,"March 10, 25",-0.0142
2025-03-11,164.91,166.75,161.37,164.04,163.84,39587414,39587414,-0.87,-0.52756,164.2675,"March 11, 25",-0.0052756
2025-03-12,166.58,167.64,163.53,167.11,166.91,28372400,28372400,0.53,0.31817,166.215,"March 12, 25",0.0031817
2025-03-13,166.04,166.13,162.11,162.76,162.56,31756214,31756214,-3.2800000000000002,-1.98,164.26,"March 13, 25",-0.0198
2025-03-14,163.27,166.49,162.45,165.49,165.29,31995900,31995900,2.22,1.3599999999999999,164.425,"March 14, 25",0.013600000000000001
2025-03-17,165.03,166.3,163.67,164.29,164.09,31184335,31184335,-0.74,-0.4484,164.8225,"March 17, 25",-0.004484
2025-03-18,163.68,164.25,156.72,160.67,160.48,42074800,42074800,-3.01,-1.8399999999999999,161.33,"March 18, 25",-0.0184
2025-03-19,161.76,165.87,161.0,163.89,163.69,34275600,34275600,2.13,1.32,163.13,"March 19, 25",0.0132
2025-03-20,161.57,164.89,160.96,162.8,162.6,28138500,28138500,1.23,0.7612800000000001,162.555,"March 20, 25",0.007612799999999999
2025-03-21,161.21,164.24,160.89,163.99,163.79,36625800,36625800,2.7800000000000002,1.72,162.5825,"March 21, 25",0.0172
2025-03-24,167.07,168.32,165.14,167.68,167.48,30879129,30879129,0.615,0.36512000000000006,167.0525,"March 24, 25",0.0036512
2025-03-25,168.98,170.63,168.32,170.56,170.35,24174400,24174400,1.58,0.9350200000000001,169.6225,"March 25, 25",0.0093502
2025-03-26,169.0,169.61,164.84,165.06,164.86,28939326,28939326,-3.94,-2.33,167.1275,"March 26, 25",-0.0233
2025-03-27,164.63,165.42,162.0,162.24,162.04,24508300,24508300,-2.39,-1.45,163.5725,"March 27, 25",-0.0145
