date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,390.9,391.9,383.1,384.23,379.45,2274312,2274312,-6.67,-1.71,387.5325,"January 07, 25",-0.0171
2025-01-08,383.0,387.69,380.1,387.2,382.38,2848500,2848500,4.2,1.1,384.4975,"January 08, 25",0.011
2025-01-10,388.91,392.91,384.62,389.89,385.04,5323431,5323431,0.98,0.25199000000000005,389.0825,"January 10, 25",0.0025199
2025-01-13,389.99,395.86,387.7,389.18,384.34,3512936,3512936,-0.81,-0.20770000000000002,390.6825,"January 13, 25",-0.002077
2025-01-14,390.59,394.2,389.63,392.78,387.89,3405200,3405200,2.19,0.56069,391.8,"January 14, 25",0.0056069
2025-01-15,406.65,408.0,401.76,406.09,401.04,4584800,4584800,-0.56,-0.13771,405.625,"January 15, 25",-0.0013771
2025-01-16,406.27,410.11,403.92,409.33,404.24,2305938,2305938,3.06,0.75319,407.4075,"January 16, 25",0.007531899999999999
2025-01-17,413.49,414.45,408.53,409.38,404.29,3229000,3229000,-4.11,-0.9939800000000001,411.4625,"January 17, 25",-0.0099398
2025-01-21,413.0,420.22,413.0,418.43,413.22,3568100,3568100,5.43,1.31,416.1625,"January 21, 25",0.0131
2025-01-22,417.55,417.55,409.33,410.1,405.0,3581400,3581400,-7.45,-1.78,413.6325,"January 22, 25",-0.0178
2025-01-23,411.57,414.69,408.75,414.39,409.23,3840300,3840300,2.8200000000000003,0.68518,412.35,"January 23, 25",0.0068518
2025-01-24,414.09,415.01,410.76,414.5,409.34,2370116,2370116,0.41000000000000003,0.09901229,413.59,"January 24, 25",0.0009901229
2025-01-27,414.9,426.19,414.0,424.87,419.58,3699202,3699202,9.97,2.4,419.99,"January 27, 25",0.024
2025-01-28,423.24,423.24,416.7,418.83,413.62,2818648,2818648,-4.41,-1.04,420.5025,"January 28, 25",-0.010400000000000001
2025-01-29,420.22,421.37,411.79,413.42,408.28,2385201,2385201,-6.8,-1.62,416.7,"January 29, 25",-0.0162
2025-01-30,416.41,417.32,411.52,414.5,409.34,3081304,3081304,-1.9100000000000001,-0.45868000000000003,414.9375,"January 30, 25",-0.004586799999999999
2025-01-31,413.17,416.38,410.32,411.98,406.85,2761800,2761800,-1.19,-0.28802,412.9625,"January 31, 25",-0.0028802
2025-02-03,406.12,411.9,401.01,408.76,403.67,2896444,2896444,2.64,0.65005,406.9475,"February 03, 25",0.006500499999999999
2025-02-04,409.51,412.58,406.09,411.49,406.37,2150800,2150800,1.98,0.48350000000000004,409.9175,"February 04, 25",0.004835
2025-02-05,415.15,415.15,408.14,413.82,408.67,2212115,2212115,-1.33,-0.32037000000000004,413.065,"February 05, 25",-0.0032037
2025-02-06,414.91,417.79,413.0,414.16,409.01,2023700,2023700,-0.75,-0.18076,414.965,"February 06, 25",-0.0018076
2025-02-07,413.2,414.29,406.5,407.37,402.3,2530505,2530505,-5.83,-1.4100000000000001,410.34,"February 07, 25",-0.014100000000000001
2025-02-10,410.64,414.95,408.79,413.99,408.84,2617600,2617600,3.35,0.8158000000000001,412.0925,"February 10, 25",0.008158
2025-02-11,414.0,416.57,412.74,416.36,411.18,1442188,1442188,2.36,0.5700500000000001,414.9175,"February 11, 25",0.0057005
2025-02-12,408.58,409.65,402.12,407.14,402.07,3387401,3387401,-1.44,-0.35244000000000003,406.8725,"February 12, 25",-0.0035244
2025-02-13,408.71,412.98,407.49,412.43,407.3,3067900,3067900,3.7199999999999998,0.9101800000000001,410.4025,"February 13, 25",0.0091018
2025-02-14,415.0,418.0,408.56,409.5,404.4,3004400,3004400,-5.5,-1.33,412.765,"February 14, 25",-0.013300000000000001
2025-02-18,408.31,408.87,400.22,403.31,398.29,3994025,3994025,-5.0,-1.22,405.1775,"February 18, 25",-0.0122
2025-02-19,397.22,398.64,392.94,395.43,390.51,3780014,3780014,-1.79,-0.45063000000000003,396.0575,"February 19, 25",-0.0045062999999999995
2025-02-20,393.0,394.76,391.1,394.64,389.73,2703526,2703526,1.6400000000000001,0.4173,393.375,"February 20, 25",0.004173
2025-02-21,396.4,397.82,383.9,385.3,380.51,5287000,5287000,-11.1,-2.8,390.855,"February 21, 25",-0.028
2025-02-24,386.09,386.55,378.2,382.42,377.66,5722039,5722039,-3.67,-0.9505600000000001,383.315,"February 24, 25",-0.0095056
2025-02-25,385.0,401.01,384.19,393.29,388.4,6823900,6823900,8.29,2.15,390.8725,"February 25, 25",0.021500000000000002
2025-02-26,395.24,398.87,388.56,390.48,385.62,3871549,3871549,-4.76,-1.2,393.2875,"February 26, 25",-0.012
2025-02-27,389.91,395.47,388.33,390.27,385.41,2825142,2825142,0.36,0.092329,390.995,"February 27, 25",0.00092329
2025-02-28,394.42,396.87,390.28,396.6,391.67,4263916,4263916,2.18,0.55271,394.5425,"February 28, 25",0.0055271
2025-03-03,396.95,397.07,386.47,389.69,384.84,3397600,3397600,-7.26,-1.83,392.545,"March 03, 25",-0.0183
2025-03-04,386.15,387.96,378.9,381.68,376.93,4384823,4384823,-4.47,-1.16,383.6725,"March 04, 25",-0.011600000000000001
2025-03-05,379.0,387.12,378.01,386.35,381.54,2780317,2780317,7.35,1.94,382.62,"March 05, 25",0.0194
2025-03-06,383.5,387.76,380.73,381.73,376.98,4222000,4222000,-1.77,-0.46154000000000006,383.43,"March 06, 25",-0.0046153999999999995
2025-03-07,379.5,380.65,368.9,376.8,372.11,4574277,4574277,-2.7,-0.7114600000000001,376.4625,"March 07, 25",-0.0071146
2025-03-10,377.44,383.12,372.61,374.65,369.99,3710542,3710542,-2.79,-0.73919,376.955,"March 10, 25",-0.0073919
2025-03-11,374.22,374.93,365.73,368.16,363.58,4013320,4013320,-6.06,-1.62,370.76,"March 11, 25",-0.0162
