date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,221.5,223.08,219.91,220.63,218.34,3016422,3016422,-0.87,-0.39278,221.28,"January 07, 25",-0.0039277999999999995
2025-01-08,220.09,221.38,219.2,220.17,217.88,3120530,3120530,0.08,0.03634877,220.21,"January 08, 25",0.00036348770000000003
2025-01-10,219.97,220.0,216.28,218.19,215.93,3585164,3585164,-1.78,-0.8092,218.61,"January 10, 25",-0.008092
2025-01-13,217.67,228.97,217.42,219.1,216.83,5392319,5392319,1.43,0.6569600000000001,220.79,"January 13, 25",0.0065696
2025-01-14,220.34,220.51,214.6,218.5,216.23,4021811,4021811,-1.8399999999999999,-0.8350700000000001,218.4875,"January 14, 25",-0.008350699999999999
2025-01-15,219.78,220.53,216.19,219.54,217.26,4647800,4647800,-0.24,-0.1092,219.01,"January 15, 25",-0.0010919999999999999
2025-01-16,220.0,224.53,219.92,222.69,220.38,4611744,4611744,2.69,1.22,221.785,"January 16, 25",0.0122
2025-01-17,226.84,226.87,222.29,222.58,220.27,3349234,3349234,-4.26,-1.88,224.645,"January 17, 25",-0.0188
2025-01-21,223.37,227.73,223.19,225.07,222.73,4656600,4656600,1.7000000000000002,0.76107,224.84,"January 21, 25",0.0076107
2025-01-22,224.0,224.54,222.64,223.09,220.77,2972518,2972518,-0.91,-0.40625000000000006,223.5675,"January 22, 25",-0.0040625
2025-01-23,223.45,226.07,222.75,225.66,223.32,3036822,3036822,2.21,0.98904,224.4825,"January 23, 25",0.009890399999999999
2025-01-24,225.0,227.15,221.28,221.51,219.21,6332908,6332908,-3.49,-1.55,223.735,"January 24, 25",-0.0155
2025-01-27,220.25,225.87,220.1,225.71,223.37,3111027,3111027,5.46,2.48,222.9825,"January 27, 25",0.024800000000000003
2025-01-28,224.72,224.72,220.17,220.7,218.41,3599491,3599491,-4.02,-1.79,222.5775,"January 28, 25",-0.0179
2025-01-29,220.95,222.8,220.65,221.05,218.76,1916300,1916300,0.1,0.04525911,221.3625,"January 29, 25",0.0004525911
2025-01-30,222.05,224.7,221.58,224.06,221.73,1813433,1813433,2.01,0.9052,223.0975,"January 30, 25",0.009052
2025-01-31,222.85,225.95,222.55,223.72,221.4,2481816,2481816,0.87,0.3904,223.7675,"January 31, 25",0.003904
2025-02-03,222.5,223.3,219.66,222.41,220.1,3220600,3220600,-0.09,-0.04044944,221.9675,"February 03, 25",-0.0004044944
2025-02-04,224.57,225.7,223.11,223.55,221.23,3442900,3442900,-1.02,-0.45420000000000005,224.2325,"February 04, 25",-0.004542
2025-02-05,223.55,224.21,219.25,222.35,220.04,4596931,4596931,-1.2,-0.53679,222.34,"February 05, 25",-0.0053679
2025-02-06,215.0,215.24,206.18,209.82,207.64,12185300,12185300,-5.18,-2.41,211.56,"February 06, 25",-0.0241
2025-02-07,212.0,213.4,205.38,205.52,203.39,6696600,6696600,-6.48,-3.06,209.075,"February 07, 25",-0.030600000000000002
2025-02-10,206.55,209.16,205.08,208.52,206.36,6628210,6628210,1.97,0.95376,207.3275,"February 10, 25",0.0095376
2025-02-11,206.57,209.34,205.78,206.94,204.79,3077514,3077514,0.37,0.17912,207.1575,"February 11, 25",0.0017912
2025-02-12,205.59,206.29,204.25,205.01,202.88,3413222,3413222,-0.5750000000000001,-0.28211,205.285,"February 12, 25",-0.0028211
2025-02-13,206.51,207.3,204.61,205.27,203.14,3382403,3382403,-1.24,-0.60046,205.9225,"February 13, 25",-0.0060046
2025-02-14,204.82,205.14,201.54,202.75,200.65,5351415,5351415,-2.07,-1.01,203.5625,"February 14, 25",-0.010100000000000001
2025-02-18,204.42,208.39,202.78,208.04,205.88,4897900,4897900,3.63,1.77,205.9075,"February 18, 25",0.0177
2025-02-19,207.93,211.7,207.92,210.81,208.62,5064600,5064600,2.88,1.3900000000000001,209.59,"February 19, 25",0.013900000000000001
2025-02-20,209.59,211.5,208.87,211.35,209.16,3636000,3636000,1.76,0.8397300000000001,210.3275,"February 20, 25",0.0083973
2025-02-21,211.16,212.5,209.4,211.94,209.74,6222122,6222122,0.78,0.36939000000000005,211.25,"February 21, 25",0.0036939
2025-02-24,211.76,215.19,209.72,209.91,207.73,6742200,6742200,-1.85,-0.87363,211.645,"February 24, 25",-0.008736299999999999
2025-02-25,211.15,213.82,211.02,212.0,209.8,3798426,3798426,0.85,0.40256000000000003,211.9975,"February 25, 25",0.0040256
2025-02-26,210.83,212.71,209.75,211.33,209.14,3126930,3126930,0.5,0.23716,211.155,"February 26, 25",0.0023715999999999997
2025-02-27,211.79,214.89,211.62,212.27,210.07,2755400,2755400,0.48,0.22664,212.6425,"February 27, 25",0.0022664
2025-02-28,212.99,213.77,210.59,212.89,211.81,3976646,3976646,-0.1,-0.04695056,212.56,"February 28, 25",-0.00046950560000000004
2025-03-03,213.72,216.06,211.03,212.02,210.94,5333500,5333500,-1.7000000000000002,-0.7954300000000001,213.2075,"March 03, 25",-0.0079543
2025-03-04,211.7,212.53,207.83,208.0,206.94,6961807,6961807,-3.7,-1.75,210.015,"March 04, 25",-0.0175
2025-03-05,208.0,210.43,206.79,209.62,208.55,5295803,5295803,1.62,0.77885,208.71,"March 05, 25",0.007788499999999999
2025-03-06,208.94,211.74,207.9,211.26,210.19,5042728,5042728,2.32,1.11,209.96,"March 06, 25",0.0111
