date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,79.14,79.22,78.82,78.84,76.61,43790271,43790271,-0.30000000000000004,-0.37908000000000003,79.005,"January 07, 25",-0.0037908
2025-01-08,78.85,78.99,78.76,78.94,76.71,35304925,35304925,0.09,0.11414,78.885,"January 08, 25",0.0011413999999999999
2025-01-10,78.8,78.8,78.5,78.53,76.31,37417324,37417324,-0.27,-0.34264000000000006,78.6575,"January 10, 25",-0.0034264
2025-01-13,78.49,78.56,78.37,78.51,76.29,39180736,39180736,0.02,0.025480950000000002,78.4825,"January 13, 25",0.0002548095
2025-01-14,78.69,78.73,78.55,78.61,76.39,29581100,29581100,-0.08,-0.10166000000000001,78.645,"January 14, 25",-0.0010165999999999999
2025-01-15,79.16,79.31,79.06,79.3,77.06,53574907,53574907,0.14,0.17686000000000002,79.2075,"January 15, 25",0.0017686
2025-01-16,79.21,79.41,79.12,79.39,77.15,32363017,32363017,0.18,0.22724000000000003,79.2825,"January 16, 25",0.0022724
2025-01-17,79.49,79.52,79.39,79.46,77.22,29546411,29546411,-0.03,-0.0377406,79.465,"January 17, 25",-0.000377406
2025-01-21,79.61,79.7,79.6,79.67,77.42,32962700,32962700,0.06,0.07536742,79.645,"January 21, 25",0.0007536742
2025-01-22,79.7,79.72,79.52,79.56,77.31,25028500,25028500,-0.14,-0.17566,79.625,"January 22, 25",-0.0017565999999999999
2025-01-23,79.52,79.67,79.44,79.66,77.41,27434800,27434800,0.14,0.17606000000000002,79.5725,"January 23, 25",0.0017606
2025-01-24,79.7,79.83,79.66,79.75,77.5,23648646,23648646,0.05,0.06273526,79.735,"January 24, 25",0.0006273526000000001
2025-01-27,79.67,79.86,79.61,79.81,77.56,28540616,28540616,0.14,0.17572000000000002,79.7375,"January 27, 25",0.0017572
2025-01-28,79.77,79.81,79.67,79.78,77.53,30439940,30439940,0.01,0.01253604,79.7575,"January 28, 25",0.0001253604
2025-01-29,79.76,79.83,79.62,79.73,77.48,20072100,20072100,-0.03,-0.03761284,79.735,"January 29, 25",-0.0003761284
2025-01-30,79.94,79.94,79.79,79.88,77.63,34495300,34495300,-0.06,-0.07505629,79.8875,"January 30, 25",-0.0007505629000000001
2025-01-31,79.9,79.97,79.67,79.72,77.47,37102600,37102600,-0.18,-0.22528,79.815,"January 31, 25",-0.0022528
2025-02-03,79.17,79.37,79.04,79.26,77.37,29965126,29965126,0.09,0.11368,79.21,"February 03, 25",0.0011367999999999999
2025-02-04,79.3,79.51,79.23,79.51,77.62,28938689,28938689,0.21,0.26482,79.3875,"February 04, 25",0.0026482
2025-02-05,79.54,79.77,79.54,79.72,77.82,31834000,31834000,0.18,0.2263,79.6425,"February 05, 25",0.002263
2025-02-06,79.72,79.79,79.58,79.6,77.7,24224138,24224138,-0.12,-0.15053000000000002,79.6725,"February 06, 25",-0.0015053
2025-02-07,79.56,79.58,79.34,79.35,77.46,28778233,28778233,-0.21,-0.26395,79.4575,"February 07, 25",-0.0026395
2025-02-10,79.54,79.59,79.47,79.51,77.62,23382632,23382632,-0.03,-0.03771687,79.5275,"February 10, 25",-0.0003771687
2025-02-11,79.53,79.53,79.4,79.48,77.59,24410000,24410000,-0.05,-0.06286936,79.485,"February 11, 25",-0.0006286936
2025-02-12,79.21,79.43,79.15,79.31,77.42,34362700,34362700,0.1,0.12625,79.275,"February 12, 25",0.0012625
