date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,223.35,226.71,222.83,223.96,221.01,3299701,3299701,0.61,0.27311,224.2125,"January 07, 25",0.0027310999999999998
2025-01-08,223.91,224.9,220.83,223.18,220.24,2619800,2619800,-0.73,-0.32602000000000003,223.205,"January 08, 25",-0.0032602
2025-01-10,222.0,222.43,216.8,219.75,216.85,3570497,3570497,-2.25,-1.01,220.245,"January 10, 25",-0.010100000000000001
2025-01-13,217.89,219.59,214.75,217.4,214.53,3716816,3716816,-0.49,-0.22488000000000002,217.4075,"January 13, 25",-0.0022488
2025-01-14,218.0,218.13,214.61,217.75,214.88,3485829,3485829,-0.25,-0.11468,217.1225,"January 14, 25",-0.0011468
2025-01-15,220.87,221.68,218.01,220.03,217.13,2951825,2951825,-0.84,-0.38031000000000004,220.1475,"January 15, 25",-0.0038031
2025-01-16,219.69,222.68,217.38,222.66,219.72,3329100,3329100,2.9699999999999998,1.35,220.6025,"January 16, 25",0.0135
2025-01-17,225.96,225.96,223.64,224.79,221.83,5506837,5506837,-1.17,-0.5177900000000001,225.0875,"January 17, 25",-0.0051779
2025-01-21,224.99,227.45,222.83,224.26,221.3,3982203,3982203,-0.73,-0.32446,224.8825,"January 21, 25",-0.0032446
2025-01-22,221.98,224.4,220.35,223.26,220.32,4759500,4759500,1.28,0.5766300000000001,222.4975,"January 22, 25",0.005766299999999999
2025-01-23,223.94,226.04,223.15,226.04,223.06,3619700,3619700,2.1,0.9377500000000001,224.7925,"January 23, 25",0.0093775
2025-01-24,225.27,226.81,223.8,224.8,221.84,3233293,3233293,-0.47000000000000003,-0.20864000000000002,225.17,"January 24, 25",-0.0020864
2025-01-27,222.19,224.3,219.84,224.13,221.17,4898400,4898400,1.94,0.8731300000000001,222.615,"January 27, 25",0.008731299999999999
2025-01-28,224.32,225.77,221.77,225.66,222.68,4485429,4485429,1.34,0.59736,224.38,"January 28, 25",0.0059736
2025-01-29,225.62,229.47,223.73,228.63,225.62,7079804,7079804,3.01,1.33,226.8625,"January 29, 25",0.013300000000000001
2025-01-30,250.0,261.8,247.01,258.27,254.86,15381900,15381900,8.27,3.31,254.27,"January 30, 25",0.033100000000000004
2025-01-31,256.05,257.24,251.89,255.7,252.33,7203519,7203519,-0.35000000000000003,-0.13669,255.22,"January 31, 25",-0.0013668999999999999
2025-02-03,252.4,262.06,251.84,260.73,257.29,8408523,8408523,8.33,3.3,256.7575,"February 03, 25",0.033
2025-02-04,260.0,265.25,258.12,264.46,260.97,6077700,6077700,4.46,1.72,261.9575,"February 04, 25",0.0172
2025-02-05,265.71,265.72,261.18,263.3,259.83,6165100,6165100,-2.41,-0.907,263.9775,"February 05, 25",-0.00907
2025-02-06,262.98,263.38,252.73,253.44,250.1,6128300,6128300,-9.54,-3.63,258.1325,"February 06, 25",-0.0363
2025-02-07,255.28,256.93,252.02,252.34,249.01,3370300,3370300,-2.94,-1.15,254.1425,"February 07, 25",-0.0115
2025-02-10,250.86,251.95,246.87,249.27,247.62,3564400,3564400,-1.5899999999999999,-0.63382,249.7375,"February 10, 25",-0.0063381999999999996
2025-02-11,251.1,256.75,250.58,254.7,253.02,4801600,4801600,3.6,1.43,253.2825,"February 11, 25",0.0143
2025-02-12,252.72,256.4,252.02,255.81,254.12,3075308,3075308,3.09,1.22,254.2375,"February 12, 25",0.0122
2025-02-13,255.66,259.28,254.41,259.19,257.48,4531538,4531538,3.5300000000000002,1.38,257.135,"February 13, 25",0.013800000000000002
2025-02-14,259.0,261.94,257.91,261.28,259.55,3925300,3925300,2.2800000000000002,0.88031,260.0325,"February 14, 25",0.0088031
2025-02-18,261.93,263.96,259.83,263.07,261.33,4262812,4262812,1.1400000000000001,0.43523000000000006,262.1975,"February 18, 25",0.0043523
2025-02-19,262.0,264.36,260.09,264.32,262.57,3718700,3718700,2.32,0.8855000000000001,262.6925,"February 19, 25",0.008855
2025-02-20,263.65,265.09,262.15,264.74,262.99,4884805,4884805,1.09,0.41343,263.9075,"February 20, 25",0.0041343
