date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,20.02,20.34,19.9,20.01,20.01,61726100,61726100,-0.01,-0.04995005,20.0675,"January 07, 25",-0.0004995005
2025-01-08,19.83,20.12,19.71,19.88,19.88,47897100,47897100,0.055,0.25214000000000003,19.885,"January 08, 25",0.0025214
2025-01-10,19.66,19.66,18.91,19.15,19.15,71244600,71244600,-0.51,-2.59,19.345,"January 10, 25",-0.025900000000000003
2025-01-13,18.92,19.25,18.73,19.2,19.2,50669000,50669000,0.28,1.48,19.025,"January 13, 25",0.0148
2025-01-14,19.36,19.52,18.82,19.2,19.2,47147526,47147526,-0.16,-0.82645,19.225,"January 14, 25",-0.0082645
2025-01-15,19.4,19.77,19.17,19.72,19.72,56306000,56306000,0.32,1.65,19.515,"January 15, 25",0.0165
2025-01-16,19.75,19.95,19.4,19.67,19.67,44898100,44898100,-0.08,-0.40506000000000003,19.6925,"January 16, 25",-0.0040506
2025-01-17,21.26,21.62,20.79,21.49,21.49,166483914,166483914,0.23,1.08,21.29,"January 17, 25",0.0108
2025-01-21,22.03,22.41,21.75,21.77,21.77,96262200,96262200,-0.26,-1.18,21.99,"January 21, 25",-0.0118
2025-01-22,21.73,22.29,21.57,21.86,21.86,60972600,60972600,0.135,0.5982500000000001,21.8625,"January 22, 25",0.0059825
2025-01-23,21.69,21.75,21.35,21.57,21.57,55778200,55778200,-0.12,-0.55325,21.59,"January 23, 25",-0.0055325
2025-01-24,21.36,21.41,20.75,20.83,20.83,66300614,66300614,-0.53,-2.48,21.0875,"January 24, 25",-0.024800000000000003
2025-01-27,20.81,21.06,20.14,20.29,20.29,83582100,83582100,-0.52,-2.5,20.575,"January 27, 25",-0.025
2025-01-28,20.34,20.34,19.74,19.8,19.8,73411400,73411400,-0.54,-2.65,20.055,"January 28, 25",-0.026500000000000003
2025-01-29,19.87,20.08,19.66,19.75,19.75,86506821,86506821,-0.12,-0.6039300000000001,19.84,"January 29, 25",-0.0060393
2025-01-30,19.72,20.1,19.43,20.01,20.01,108167000,108167000,0.29,1.47,19.815,"January 30, 25",0.014700000000000001
2025-01-31,20.1,20.33,19.38,19.43,19.43,117474900,117474900,-0.67,-3.33,19.81,"January 31, 25",-0.0333
2025-02-03,18.97,19.75,18.78,19.38,19.38,77523142,77523142,0.41000000000000003,2.16,19.22,"February 03, 25",0.0216
2025-02-04,19.1,19.53,19.02,19.29,19.29,54098200,54098200,0.19,0.9947600000000001,19.235,"February 04, 25",0.0099476
2025-02-05,19.19,19.77,18.91,19.65,19.65,66250254,66250254,0.46,2.4,19.38,"February 05, 25",0.024
2025-02-06,19.51,19.7,19.22,19.38,19.38,45553800,45553800,-0.13,-0.66632,19.4525,"February 06, 25",-0.006663199999999999
2025-02-07,19.35,19.36,19.03,19.1,19.1,58277917,58277917,-0.25,-1.29,19.21,"February 07, 25",-0.0129
2025-02-10,19.25,20.08,19.24,19.77,19.77,73007300,73007300,0.52,2.7,19.585,"February 10, 25",0.027
2025-02-11,19.87,21.88,19.86,20.97,20.97,150960704,150960704,1.1,5.54,20.645,"February 11, 25",0.055400000000000005
2025-02-12,21.98,22.56,20.93,22.48,22.48,162631200,162631200,0.5,2.27,21.9875,"February 12, 25",0.0227
2025-02-13,22.84,24.83,22.79,24.13,24.13,248661333,248661333,1.29,5.65,23.6475,"February 13, 25",0.0565
2025-02-14,24.36,25.19,22.86,23.6,23.6,230254100,230254100,-0.76,-3.12,24.0025,"February 14, 25",-0.031200000000000002
2025-02-18,24.6,27.55,24.49,27.39,27.39,284292210,284292210,2.79,11.34,26.0075,"February 18, 25",0.1134
2025-02-19,25.98,26.33,25.46,25.72,25.72,151881727,151881727,-0.26,-1.0,25.8725,"February 19, 25",-0.01
2025-02-20,25.56,26.12,24.48,26.09,26.09,144939600,144939600,0.53,2.07,25.5625,"February 20, 25",0.0207
2025-02-21,25.96,26.29,24.84,24.87,24.87,111630900,111630900,-1.09,-4.2,25.49,"February 21, 25",-0.042
2025-02-24,24.55,24.8,23.62,24.27,24.27,91358100,91358100,-0.28,-1.1400000000000001,24.31,"February 24, 25",-0.0114
2025-02-25,24.21,24.28,22.77,22.99,22.99,88886500,88886500,-1.22,-5.04,23.5625,"February 25, 25",-0.0504
2025-02-26,23.25,23.82,23.21,23.52,23.52,67449304,67449304,0.275,1.16,23.45,"February 26, 25",0.011600000000000001
2025-02-27,23.7,24.4,23.07,23.09,23.09,97871945,97871945,-0.61,-2.5700000000000003,23.565,"February 27, 25",-0.0257
2025-02-28,23.02,24.44,22.64,23.73,23.73,104133800,104133800,0.71,3.08,23.4575,"February 28, 25",0.0308
2025-03-03,25.0,25.04,22.52,22.74,22.74,141348700,141348700,-2.26,-9.04,23.825,"March 03, 25",-0.09040000000000001
2025-03-04,22.54,22.63,20.76,21.33,21.33,152182200,152182200,-1.21,-5.37,21.815,"March 04, 25",-0.053700000000000005
2025-03-05,21.33,21.36,20.18,20.81,20.81,127219300,127219300,-0.52,-2.44,20.92,"March 05, 25",-0.0244
2025-03-06,20.26,21.13,20.0,20.75,20.75,96466400,96466400,0.49,2.42,20.535,"March 06, 25",0.024200000000000003
2025-03-07,20.27,21.2,20.11,20.64,20.64,81099646,81099646,0.37,1.83,20.555,"March 07, 25",0.0183
2025-03-10,20.24,20.51,19.65,19.93,19.93,82760600,82760600,-0.31,-1.53,20.0825,"March 10, 25",-0.015300000000000001
2025-03-11,19.97,20.06,19.29,19.78,19.78,80789000,80789000,-0.185,-0.9514300000000001,19.775,"March 11, 25",-0.0095143
2025-03-12,20.79,21.17,20.21,20.68,20.68,128671100,128671100,-0.11,-0.5291,20.7125,"March 12, 25",-0.005291
2025-03-13,23.5,24.53,23.13,23.7,23.7,243261000,243261000,0.2,0.85106,23.715,"March 13, 25",0.0085106
2025-03-14,23.68,24.37,23.52,24.05,24.05,116901643,116901643,0.375,1.56,23.905,"March 14, 25",0.015600000000000001
2025-03-17,24.42,26.15,24.37,25.69,25.69,160723633,160723633,1.27,5.2,25.1575,"March 17, 25",0.052000000000000005
2025-03-18,25.55,26.41,25.39,25.92,25.92,132488822,132488822,0.37,1.45,25.8175,"March 18, 25",0.0145
2025-03-19,24.9,25.23,24.03,24.12,24.12,135491427,135491427,-0.78,-3.13,24.57,"March 19, 25",-0.0313
2025-03-20,23.77,24.31,23.73,23.96,23.96,68937600,68937600,0.19,0.7993300000000001,23.9425,"March 20, 25",0.0079933
2025-03-21,23.6,24.7,23.49,24.26,24.26,94110710,94110710,0.66,2.8,24.0125,"March 21, 25",0.028
2025-03-24,24.72,24.99,24.13,24.22,24.22,69169028,69169028,-0.495,-2.02,24.515,"March 24, 25",-0.020200000000000003
2025-03-25,24.18,24.75,24.11,24.2,24.2,51743300,51743300,0.025,0.08271299,24.31,"March 25, 25",0.0008271299
2025-03-26,24.25,24.42,23.25,23.42,23.42,59678008,59678008,-0.8300000000000001,-3.42,23.835,"March 26, 25",-0.0342
2025-03-27,23.29,23.76,22.86,23.62,23.62,57720600,57720600,0.335,1.42,23.3825,"March 27, 25",0.0142
2025-03-28,23.35,23.58,22.56,22.71,22.71,58365300,58365300,-0.64,-2.74,23.05,"March 28, 25",-0.0274
2025-03-31,22.38,22.75,21.75,22.71,22.71,65832019,65832019,0.33,1.47,22.3975,"March 31, 25",0.014700000000000001
2025-04-01,22.56,22.62,21.66,22.05,22.05,64060400,64060400,-0.51,-2.26,22.2225,"April 01, 25",-0.022600000000000002
2025-04-02,21.89,22.38,21.7,21.98,21.98,58878848,58878848,0.09,0.41115,21.9875,"April 02, 25",0.0041115
2025-04-03,21.4,23.9,20.86,22.43,22.43,242972129,242972129,1.03,4.8100000000000005,22.1475,"April 03, 25",0.048100000000000004
2025-04-04,21.7,22.2,19.7,19.85,19.85,175014739,175014739,-1.85,-8.53,20.8625,"April 04, 25",-0.0853
2025-04-07,19.14,20.67,18.56,19.57,19.57,142491200,142491200,0.43,2.25,19.485,"April 07, 25",0.022500000000000003
2025-04-08,20.06,20.39,17.67,18.13,18.13,163982700,163982700,-1.9300000000000002,-9.62,19.0625,"April 08, 25",-0.09620000000000001
2025-04-09,18.07,21.73,17.98,21.53,21.53,224183500,224183500,3.46,19.15,19.8275,"April 09, 25",0.1915
2025-04-10,20.68,20.82,19.16,19.88,19.88,129064900,129064900,-0.795,-3.87,20.135,"April 10, 25",-0.038700000000000005
2025-04-11,19.25,19.8,18.18,19.74,19.74,128425810,128425810,0.495,2.55,19.2425,"April 11, 25",0.025500000000000002
2025-04-14,20.59,21.05,19.98,20.31,20.31,101964400,101964400,-0.28,-1.3599999999999999,20.4825,"April 14, 25",-0.013600000000000001
2025-04-15,20.2,20.47,19.81,19.85,19.85,64056900,64056900,-0.35000000000000003,-1.73,20.0825,"April 15, 25",-0.0173
2025-04-16,19.34,19.43,18.72,19.23,19.23,89469703,89469703,-0.11,-0.56877,19.18,"April 16, 25",-0.0056876999999999995
2025-04-17,18.91,19.1,18.56,18.93,18.93,85646667,85646667,0.02,0.10576,18.875,"April 17, 25",0.0010576
2025-04-21,18.93,18.99,18.25,18.84,18.84,72409946,72409946,-0.09,-0.47544000000000003,18.7525,"April 21, 25",-0.0047544
2025-04-22,19.06,19.74,19.04,19.51,19.51,83365634,83365634,0.455,2.36,19.3375,"April 22, 25",0.0236
2025-04-23,20.72,21.03,20.31,20.59,20.59,97188101,97188101,-0.125,-0.62741,20.6625,"April 23, 25",-0.0062740999999999995
2025-04-24,21.04,21.55,20.88,21.49,21.49,117086220,117086220,0.455,2.14,21.24,"April 24, 25",0.021400000000000002
2025-04-25,19.73,20.18,19.34,20.05,20.05,147711200,147711200,0.32,1.62,19.825,"April 25, 25",0.0162
2025-04-28,20.12,21.08,20.05,20.51,20.51,96624416,96624416,0.39,1.94,20.44,"April 28, 25",0.0194
2025-04-29,20.31,20.85,20.22,20.34,20.34,70031900,70031900,0.03,0.14771,20.43,"April 29, 25",0.0014770999999999999
2025-04-30,19.71,20.18,19.55,20.1,20.1,68297323,68297323,0.39,1.98,19.885,"April 30, 25",0.0198
2025-05-01,20.22,20.65,19.94,19.98,19.98,72607511,72607511,-0.23500000000000001,-1.19,20.1975,"May 01, 25",-0.0119
2025-05-02,20.26,20.78,20.21,20.62,20.62,63298512,63298512,0.36,1.78,20.4675,"May 02, 25",0.0178
2025-05-05,20.39,20.58,20.24,20.27,20.27,44237000,44237000,-0.12,-0.58852,20.37,"May 05, 25",-0.0058852
2025-05-06,19.92,20.12,19.77,19.94,19.94,51330800,51330800,0.02,0.1004,19.9375,"May 06, 25",0.001004
2025-05-07,19.97,20.37,19.82,20.31,20.31,61134300,61134300,0.34,1.7000000000000002,20.1175,"May 07, 25",0.017
