date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,131.35,131.35,128.9,129.32,128.56,1595227,1595227,-2.03,-1.55,130.23,"January 07, 25",-0.0155
2025-01-08,129.33,129.7,128.5,129.49,128.73,1263410,1263410,0.16,0.12371000000000001,129.255,"January 08, 25",0.0012370999999999999
2025-01-10,128.69,128.69,127.04,127.48,126.74,2181150,2181150,-1.21,-0.9402400000000001,127.975,"January 10, 25",-0.0094024
2025-01-13,126.45,127.76,126.31,127.75,127.0,1736608,1736608,1.3,1.03,127.0675,"January 13, 25",0.0103
2025-01-14,128.5,128.61,127.2,128.03,127.28,1710900,1710900,-0.47000000000000003,-0.36576000000000003,128.085,"January 14, 25",-0.0036576
2025-01-15,130.01,130.66,129.68,130.39,129.63,876543,876543,0.38,0.29229000000000005,130.185,"January 15, 25",0.0029229
2025-01-16,130.68,130.79,130.02,130.25,129.49,959208,959208,-0.43,-0.32905,130.435,"January 16, 25",-0.0032905
2025-01-17,131.54,131.89,131.2,131.47,130.7,927022,927022,-0.07,-0.05321575,131.525,"January 17, 25",-0.0005321575000000001
2025-01-21,132.18,132.83,131.82,132.81,132.03,1373036,1373036,0.63,0.47662000000000004,132.41,"January 21, 25",0.0047662
2025-01-22,133.51,133.76,133.31,133.47,132.69,1253610,1253610,-0.04,-0.0299603,133.5125,"January 22, 25",-0.000299603
2025-01-23,133.28,134.16,133.17,134.16,133.38,1524704,1524704,0.88,0.6602600000000001,133.6925,"January 23, 25",0.006602599999999999
2025-01-24,134.24,134.4,133.53,133.78,133.0,1227500,1227500,-0.46,-0.34267000000000003,133.9875,"January 24, 25",-0.0034267
2025-01-27,130.88,132.06,130.88,131.84,131.07,1497115,1497115,0.96,0.7335,131.415,"January 27, 25",0.0073349999999999995
2025-01-28,132.11,133.17,131.44,132.96,132.18,1060212,1060212,0.85,0.6434000000000001,132.42,"January 28, 25",0.006434
2025-01-29,132.82,132.96,131.81,132.42,131.65,935844,935844,-0.4,-0.30116000000000004,132.5025,"January 29, 25",-0.0030115999999999997
2025-01-30,132.89,133.61,132.38,133.21,132.43,1030100,1030100,0.32,0.24080000000000001,133.0225,"January 30, 25",0.002408
2025-01-31,133.77,134.28,132.32,132.49,131.72,1297910,1297910,-1.28,-0.9568700000000001,133.215,"January 31, 25",-0.0095687
2025-02-03,130.24,132.07,129.84,131.52,130.75,1913323,1913323,1.28,0.9828,130.9175,"February 03, 25",0.009828
2025-02-04,131.51,132.54,131.42,132.41,131.64,1227900,1227900,0.9,0.6843600000000001,131.97,"February 04, 25",0.0068436
2025-02-05,132.26,133.1,131.83,133.08,132.3,787064,787064,0.8200000000000001,0.61999,132.5675,"February 05, 25",0.0061998999999999995
2025-02-06,133.48,133.49,132.63,133.46,132.68,911500,911500,-0.02,-0.01498352,133.265,"February 06, 25",-0.0001498352
2025-02-07,133.54,133.85,132.09,132.25,131.48,1138646,1138646,-1.29,-0.966,132.9325,"February 07, 25",-0.00966
2025-02-10,133.0,133.24,132.66,133.05,132.27,1083100,1083100,0.05,0.03759398,132.9875,"February 10, 25",0.0003759398
2025-02-11,132.56,133.15,132.54,132.99,132.21,1101819,1101819,0.43,0.32438,132.81,"February 11, 25",0.0032438
2025-02-12,131.7,132.83,131.45,132.55,131.78,1172215,1172215,0.85,0.64541,132.1325,"February 12, 25",0.0064541
2025-02-13,132.86,134.03,132.61,133.96,133.18,702000,702000,1.1,0.8279400000000001,133.365,"February 13, 25",0.0082794
2025-02-14,134.04,134.32,133.86,134.0,133.22,773900,773900,-0.04,-0.02984184,134.055,"February 14, 25",-0.00029841840000000003
2025-02-18,134.26,134.38,133.75,134.38,133.6,1775715,1775715,0.12,0.08937882,134.1925,"February 18, 25",0.0008937882
2025-02-19,134.11,134.7,133.94,134.6,133.81,1435205,1435205,0.49,0.36537000000000003,134.3375,"February 19, 25",0.0036536999999999997
2025-02-20,134.34,134.34,133.16,133.89,133.11,1017030,1017030,-0.45,-0.33497000000000005,133.9325,"February 20, 25",-0.0033496999999999997
2025-02-21,133.89,134.01,131.25,131.36,130.59,1199328,1199328,-2.5300000000000002,-1.8900000000000001,132.6275,"February 21, 25",-0.0189
2025-02-24,131.83,132.0,130.45,130.68,129.92,1558340,1558340,-1.15,-0.8723400000000001,131.24,"February 24, 25",-0.0087234
2025-02-25,130.69,130.84,128.97,129.97,129.21,1784735,1784735,-0.72,-0.5509200000000001,130.1175,"February 25, 25",-0.0055092
2025-02-26,130.36,131.25,129.56,130.06,129.3,1108007,1108007,-0.30000000000000004,-0.23013000000000003,130.3075,"February 26, 25",-0.0023013
2025-02-27,130.56,130.82,127.95,128.03,127.28,1246800,1246800,-2.5300000000000002,-1.94,129.34,"February 27, 25",-0.0194
2025-02-28,128.05,130.17,127.51,130.06,129.3,3783613,3783613,2.01,1.57,128.9475,"February 28, 25",0.015700000000000002
2025-03-03,130.39,130.77,126.78,127.59,126.84,1611030,1611030,-2.8,-2.15,128.8825,"March 03, 25",-0.021500000000000002
2025-03-04,126.58,128.0,124.88,126.06,125.32,3274145,3274145,-0.52,-0.41081,126.38,"March 04, 25",-0.0041081
2025-03-05,126.0,127.86,125.28,127.52,126.78,1529336,1529336,1.52,1.21,126.665,"March 05, 25",0.012100000000000001
2025-03-06,125.73,126.81,124.52,125.07,124.34,1679185,1679185,-0.66,-0.52493,125.5325,"March 06, 25",-0.0052493
2025-03-07,124.65,126.05,123.41,125.75,125.02,1885522,1885522,1.1,0.8824700000000001,124.965,"March 07, 25",0.0088247
2025-03-10,123.86,124.34,121.2,122.26,121.55,3177338,3177338,-1.6,-1.29,122.915,"March 10, 25",-0.0129
2025-03-11,122.0,122.91,120.49,121.46,120.75,3259554,3259554,-0.54,-0.44262,121.715,"March 11, 25",-0.0044262
2025-03-12,122.78,123.04,120.91,122.06,121.35,1846768,1846768,-0.72,-0.5864100000000001,122.1975,"March 12, 25",-0.0058641
2025-03-13,121.97,122.03,119.89,120.29,119.59,1670100,1670100,-1.6800000000000002,-1.38,121.045,"March 13, 25",-0.013800000000000002
2025-03-14,121.38,123.12,121.24,122.9,122.18,3737081,3737081,1.52,1.25,122.16,"March 14, 25",0.0125
2025-03-17,122.8,124.52,122.8,123.96,123.24,1281231,1281231,1.16,0.9446300000000001,123.52,"March 17, 25",0.0094463
2025-03-18,123.09,123.15,121.81,122.22,121.86,1766985,1766985,-0.87,-0.7068,122.5675,"March 18, 25",-0.007068
2025-03-19,122.65,124.5,122.39,123.62,123.25,1293140,1293140,0.97,0.7908700000000001,123.29,"March 19, 25",0.0079087
2025-03-20,122.87,124.43,122.72,123.3,122.94,4168938,4168938,0.43,0.34996000000000005,123.33,"March 20, 25",0.0034996
2025-03-21,122.32,123.46,121.97,123.36,122.99,1033000,1033000,1.04,0.85023,122.7775,"March 21, 25",0.008502299999999999
2025-03-24,124.88,125.85,124.74,125.63,125.26,1103200,1103200,0.75,0.60058,125.275,"March 24, 25",0.0060057999999999995
2025-03-25,125.95,126.13,125.51,125.87,125.5,1099700,1099700,-0.08,-0.06351727,125.865,"March 25, 25",-0.0006351727000000001
2025-03-26,125.79,126.07,124.01,124.36,123.99,1317600,1317600,-1.43,-1.1400000000000001,125.0575,"March 26, 25",-0.0114
2025-03-27,123.93,124.78,123.45,123.86,123.49,977900,977900,-0.07,-0.0564835,124.005,"March 27, 25",-0.0005648350000000001
2025-03-28,123.49,123.7,121.23,121.39,121.03,3384678,3384678,-2.1,-1.7000000000000002,122.4525,"March 28, 25",-0.017
2025-03-31,120.0,122.31,119.34,122.01,121.65,2983947,2983947,2.01,1.6800000000000002,120.915,"March 31, 25",0.016800000000000002
2025-04-01,121.67,122.87,120.78,122.43,122.07,2617314,2617314,0.76,0.6246400000000001,121.9375,"April 01, 25",0.0062464
2025-04-02,121.08,123.98,121.03,123.34,122.97,1916132,1916132,2.26,1.87,122.3575,"April 02, 25",0.0187
2025-04-03,118.93,119.59,117.02,117.1,116.75,4532900,4532900,-1.83,-1.54,118.16,"April 03, 25",-0.0154
2025-04-04,113.82,114.46,110.14,110.23,109.9,9837641,9837641,-3.59,-3.15,112.1625,"April 04, 25",-0.0315
2025-04-07,106.53,114.07,105.0,110.0,109.67,14103378,14103378,3.47,3.26,108.9,"April 07, 25",0.032600000000000004
2025-04-08,113.88,114.39,106.56,108.12,107.8,14020015,14020015,-5.76,-5.06,110.7375,"April 08, 25",-0.0506
2025-04-09,107.39,119.05,107.25,118.51,118.16,8997003,8997003,11.12,10.35,113.05,"April 09, 25",0.10350000000000001
2025-04-10,115.98,116.1,110.97,114.2,113.86,3478727,3478727,-1.78,-1.53,114.3125,"April 10, 25",-0.015300000000000001
2025-04-11,113.87,116.63,113.1,115.99,115.65,2250031,2250031,2.12,1.8599999999999999,114.8975,"April 11, 25",0.018600000000000002
2025-04-14,118.36,118.36,116.11,117.24,116.89,1963056,1963056,-1.12,-0.9462700000000001,117.5175,"April 14, 25",-0.0094627
2025-04-15,117.37,118.26,116.82,117.01,116.66,1372647,1372647,-0.36,-0.30672000000000005,117.365,"April 15, 25",-0.0030672
2025-04-16,115.68,116.53,113.38,114.62,114.28,1544249,1544249,-1.06,-0.91632,115.0525,"April 16, 25",-0.0091632
2025-04-17,114.95,115.79,114.23,114.81,114.47,1128262,1128262,-0.14,-0.12179000000000001,114.945,"April 17, 25",-0.0012178999999999998
2025-04-21,113.61,113.83,110.93,112.12,111.79,2400300,2400300,-1.49,-1.31,112.6225,"April 21, 25",-0.0131
2025-04-22,113.46,115.46,113.32,114.95,114.61,1783828,1783828,1.49,1.31,114.2975,"April 22, 25",0.0131
2025-04-23,118.06,119.08,116.51,116.81,116.46,1907900,1907900,-1.25,-1.06,117.615,"April 23, 25",-0.0106
2025-04-24,117.12,119.5,116.9,119.31,118.96,1013131,1013131,2.19,1.87,118.2075,"April 24, 25",0.0187
2025-04-25,119.34,120.25,118.69,120.13,119.77,945355,945355,0.79,0.6619700000000001,119.6025,"April 25, 25",0.0066197
2025-04-28,120.39,120.84,118.96,120.3,119.94,4345200,4345200,-0.09,-0.07475704,120.1225,"April 28, 25",-0.0007475704000000001
2025-04-29,119.81,121.26,119.81,120.94,120.58,1655639,1655639,1.13,0.9431600000000001,120.455,"April 29, 25",0.0094316
2025-04-30,119.43,121.39,118.18,120.99,120.63,1324600,1324600,1.56,1.31,119.9975,"April 30, 25",0.0131
2025-05-01,122.26,123.08,121.72,121.79,121.43,998600,998600,-0.47000000000000003,-0.38443000000000005,122.2125,"May 01, 25",-0.0038442999999999997
2025-05-02,123.3,124.1,122.78,123.69,123.32,1557284,1557284,0.39,0.3163,123.4675,"May 02, 25",0.003163
2025-05-05,122.75,123.75,122.66,123.06,122.7,5906400,5906400,0.31,0.25255,123.055,"May 05, 25",0.0025255
2025-05-06,121.85,122.99,121.59,122.0,121.64,3628400,3628400,0.15,0.1231,122.1075,"May 06, 25",0.0012309999999999999
2025-05-07,122.41,123.05,121.45,122.55,122.19,1066773,1066773,0.14,0.11437000000000001,122.365,"May 07, 25",0.0011436999999999999
2025-05-08,123.46,124.68,122.75,123.5,123.13,1553000,1553000,0.04,0.03239916,123.5975,"May 08, 25",0.0003239916
2025-05-09,123.98,124.11,123.07,123.34,122.97,2094500,2094500,-0.64,-0.5162100000000001,123.625,"May 09, 25",-0.0051621
2025-05-12,127.27,127.55,126.25,127.49,127.11,3322500,3322500,0.22,0.17286,127.14,"May 12, 25",0.0017285999999999998
2025-05-13,127.67,128.91,127.63,128.4,128.02,1548775,1548775,0.73,0.57179,128.1525,"May 13, 25",0.0057179
2025-05-14,128.67,128.87,128.12,128.5,128.12,1484207,1484207,-0.17,-0.13212000000000002,128.54,"May 14, 25",-0.0013212
2025-05-15,128.01,129.17,127.92,129.04,128.66,1155716,1155716,1.03,0.8046200000000001,128.535,"May 15, 25",0.0080462
2025-05-16,129.27,129.99,128.88,129.96,129.58,821125,821125,0.6900000000000001,0.5337700000000001,129.525,"May 16, 25",0.0053377
2025-05-19,128.5,130.16,128.5,130.08,129.7,807500,807500,1.58,1.23,129.31,"May 19, 25",0.0123
2025-05-20,129.62,129.86,128.95,129.61,129.23,1342900,1342900,-0.01,-0.0077148600000000005,129.51,"May 20, 25",-7.71486e-05
2025-05-21,128.62,129.45,127.07,127.27,126.89,1088350,1088350,-1.35,-1.05,128.1025,"May 21, 25",-0.0105
2025-05-22,127.27,128.12,126.96,127.32,126.94,1567100,1567100,0.05,0.03928656,127.4175,"May 22, 25",0.0003928656
2025-05-23,125.72,127.09,125.59,126.52,126.15,1126300,1126300,0.8,0.6363300000000001,126.23,"May 23, 25",0.0063633
2025-05-27,128.11,129.23,127.69,129.17,128.79,1283336,1283336,1.06,0.8274100000000001,128.55,"May 27, 25",0.0082741
2025-05-28,129.21,129.52,128.25,128.41,128.03,1136700,1136700,-0.8,-0.6191500000000001,128.8475,"May 28, 25",-0.0061915
2025-05-29,129.65,129.65,128.01,128.87,128.49,1004500,1004500,-0.78,-0.60162,129.045,"May 29, 25",-0.006016199999999999
2025-05-30,128.52,129.1,127.4,128.7,128.32,1600634,1600634,0.18,0.14006000000000002,128.43,"May 30, 25",0.0014006
2025-06-02,128.35,129.38,127.71,129.37,128.99,1077052,1077052,1.02,0.7947000000000001,128.7025,"June 02, 25",0.007947
2025-06-03,129.31,130.48,129.22,130.29,129.9,1578835,1578835,0.98,0.75787,129.825,"June 03, 25",0.0075787
2025-06-04,130.46,130.71,130.14,130.22,129.83,859419,859419,-0.24,-0.18396,130.3825,"June 04, 25",-0.0018395999999999998
2025-06-05,130.68,130.96,129.24,129.66,129.28,1578720,1578720,-1.02,-0.7805300000000001,130.135,"June 05, 25",-0.007805299999999999
2025-06-06,130.86,131.39,130.58,131.06,130.67,944100,944100,0.2,0.15284,130.9725,"June 06, 25",0.0015283999999999999
2025-06-09,131.24,131.57,130.94,131.15,130.76,4273975,4273975,-0.09,-0.06857665,131.225,"June 09, 25",-0.0006857665
2025-06-10,131.31,131.98,131.08,131.86,131.47,1758341,1758341,0.55,0.41886,131.5575,"June 10, 25",0.0041886
2025-06-11,132.14,132.35,131.07,131.47,131.08,1436500,1436500,-0.67,-0.50704,131.7575,"June 11, 25",-0.0050704
2025-06-12,131.2,131.92,131.04,131.9,131.51,1531441,1531441,0.7000000000000001,0.53354,131.515,"June 12, 25",0.0053354
2025-06-13,130.77,131.48,130.02,130.32,129.93,1958100,1958100,-0.45,-0.34412000000000004,130.6475,"June 13, 25",-0.0034411999999999997
2025-06-16,130.78,131.64,130.78,131.26,131.26,849945,849945,0.48,0.36703,131.115,"June 16, 25",0.0036703
2025-06-17,130.73,131.06,129.98,130.14,130.14,1676030,1676030,-0.59,-0.45131000000000004,130.4775,"June 17, 25",-0.0045131
2025-06-18,130.35,131.02,130.0,130.2,130.2,1665500,1665500,-0.15,-0.11507,130.3925,"June 18, 25",-0.0011507
2025-06-20,130.89,131.06,129.59,129.83,129.83,1874969,1874969,-1.06,-0.8098400000000001,130.3425,"June 20, 25",-0.0080984
2025-06-23,129.93,131.25,129.3,131.16,131.16,1761525,1761525,1.23,0.9466600000000001,130.41,"June 23, 25",0.0094666
2025-06-24,132.09,132.91,131.94,132.72,132.72,1619842,1619842,0.63,0.47695000000000004,132.415,"June 24, 25",0.0047694999999999994
2025-06-25,132.94,133.07,132.32,132.57,132.57,1300725,1300725,-0.37,-0.27832,132.725,"June 25, 25",-0.0027832
2025-06-26,132.99,133.83,132.91,133.71,133.71,951031,951031,0.72,0.54139,133.36,"June 26, 25",0.0054139
2025-06-27,134.04,134.75,133.47,134.34,134.34,1212806,1212806,0.30000000000000004,0.22381,134.15,"June 27, 25",0.0022381
2025-06-30,134.82,135.28,134.42,135.04,135.04,1748072,1748072,0.22,0.16318000000000002,134.89,"June 30, 25",0.0016317999999999999
2025-07-01,134.61,135.35,134.5,135.0,135.0,1660865,1660865,0.39,0.28973000000000004,134.865,"July 01, 25",0.0028973
2025-07-02,135.0,135.8,134.82,135.77,135.77,8289685,8289685,0.77,0.57037,135.3475,"July 02, 25",0.0057037
2025-07-03,136.22,137.03,136.09,136.82,136.82,1071400,1071400,0.6000000000000001,0.44046,136.54,"July 03, 25",0.0044046
2025-07-07,136.37,136.55,135.16,135.81,135.81,1742758,1742758,-0.56,-0.41065,135.9725,"July 07, 25",-0.0041065
2025-07-08,135.92,136.17,135.6,135.76,135.76,1155344,1155344,-0.16,-0.11772,135.8625,"July 08, 25",-0.0011772
2025-07-09,136.26,136.71,135.86,136.62,136.62,1139300,1139300,0.36,0.2642,136.3625,"July 09, 25",0.002642
2025-07-10,136.62,137.25,136.37,137.0,137.0,1176956,1176956,0.38,0.27814,136.81,"July 10, 25",0.0027814
2025-07-11,136.35,136.69,136.02,136.39,136.39,1111106,1111106,0.04,0.02933627,136.3625,"July 11, 25",0.0002933627
2025-07-14,136.25,136.81,136.06,136.77,136.77,1039509,1039509,0.52,0.38165000000000004,136.4725,"July 14, 25",0.0038165
2025-07-15,137.37,137.41,135.98,135.98,135.98,1987939,1987939,-1.3900000000000001,-1.01,136.685,"July 15, 25",-0.010100000000000001
2025-07-16,136.37,136.63,135.06,136.5,136.5,2879200,2879200,0.13,0.09532888,136.14,"July 16, 25",0.0009532888
2025-07-17,136.52,137.54,136.52,137.43,137.43,2197826,2197826,0.91,0.6665700000000001,137.0025,"July 17, 25",0.0066657
2025-07-18,137.78,137.86,137.1,137.38,137.38,1285985,1285985,-0.4,-0.29032,137.53,"July 18, 25",-0.0029032
2025-07-21,137.6,138.19,137.41,137.47,137.47,1081022,1081022,-0.13,-0.09447674,137.6675,"July 21, 25",-0.0009447674
2025-07-22,137.59,137.82,136.91,137.64,137.64,2829109,2829109,0.05,0.03633985,137.49,"July 22, 25",0.00036339850000000003
2025-07-23,138.3,138.81,137.88,138.81,138.81,1491136,1491136,0.51,0.36876000000000003,138.45,"July 23, 25",0.0036875999999999996
2025-07-24,138.86,139.11,138.71,138.75,138.75,1120107,1120107,-0.11,-0.07921648,138.8575,"July 24, 25",-0.0007921648
2025-07-25,138.88,139.45,138.78,139.32,139.32,1029704,1029704,0.44,0.31682000000000005,139.1075,"July 25, 25",0.0031682
2025-07-28,139.44,139.57,139.01,139.28,139.28,959707,959707,-0.16,-0.11474000000000001,139.325,"July 28, 25",-0.0011474
2025-07-29,139.62,139.72,138.7,138.86,138.86,1911364,1911364,-0.76,-0.5443300000000001,139.225,"July 29, 25",-0.0054433
2025-07-30,139.08,139.49,138.07,138.74,138.74,1465746,1465746,-0.34,-0.24446,138.845,"July 30, 25",-0.0024446
