date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,328.77,328.88,322.8,323.99,322.3,760513,760513,-4.78,-1.45,326.11,"January 07, 25",-0.0145
2025-01-08,324.02,324.9,321.97,324.33,322.64,576700,576700,0.31,0.09567311,323.805,"January 08, 25",0.0009567311000000001
2025-01-10,322.36,322.36,318.37,319.51,317.84,2761317,2761317,-2.85,-0.8841,320.65,"January 10, 25",-0.008841
2025-01-13,316.89,320.22,316.63,320.16,318.49,849140,849140,3.27,1.03,318.475,"January 13, 25",0.0103
2025-01-14,321.78,322.18,318.76,320.86,319.19,614963,614963,-0.92,-0.28591,320.895,"January 14, 25",-0.0028591
2025-01-15,325.48,327.27,324.95,326.65,324.95,428617,428617,1.17,0.35947,326.0875,"January 15, 25",0.0035946999999999997
2025-01-16,327.32,327.72,325.85,326.23,324.53,768400,768400,-1.09,-0.33301000000000003,326.78,"January 16, 25",-0.0033301
2025-01-17,329.69,330.47,328.52,329.39,327.67,715944,715944,-0.30000000000000004,-0.09099457,329.5175,"January 17, 25",-0.0009099457
2025-01-21,331.08,332.6,330.21,332.52,330.79,1202907,1202907,1.44,0.43494000000000005,331.6025,"January 21, 25",0.0043494
2025-01-22,334.37,335.16,333.89,334.33,332.59,440420,440420,-0.04,-0.011962799999999999,334.4375,"January 22, 25",-0.00011962800000000001
2025-01-23,333.91,336.05,333.72,336.01,334.26,642733,642733,2.1,0.6289100000000001,334.9225,"January 23, 25",0.0062891
2025-01-24,336.23,336.61,334.59,335.17,333.42,347114,347114,-1.06,-0.31526000000000004,335.65,"January 24, 25",-0.0031525999999999998
2025-01-27,327.68,330.84,327.68,330.38,328.66,1201700,1201700,2.7,0.8239700000000001,329.145,"January 27, 25",0.008239699999999999
2025-01-28,331.1,333.84,329.41,332.9,331.16,985100,985100,1.8,0.54364,331.8125,"January 28, 25",0.0054364
2025-01-29,332.91,333.18,330.48,331.97,330.24,414103,414103,-0.9400000000000001,-0.28236,332.135,"January 29, 25",-0.0028236
2025-01-30,332.98,334.77,331.75,333.74,332.0,937800,937800,0.76,0.22824000000000003,333.31,"January 30, 25",0.0022824
2025-01-31,335.23,336.56,331.74,332.16,330.43,763511,763511,-3.07,-0.9157900000000001,333.9225,"January 31, 25",-0.0091579
2025-02-03,326.71,331.23,325.79,329.86,328.14,750300,750300,3.15,0.9641600000000001,328.3975,"February 03, 25",0.0096416
2025-02-04,329.94,332.3,329.67,332.09,330.36,2340747,2340747,2.15,0.65163,331.0,"February 04, 25",0.0065163
2025-02-05,331.68,333.55,330.45,333.42,331.68,702918,702918,1.74,0.5246000000000001,332.275,"February 05, 25",0.005246
2025-02-06,334.51,334.55,332.51,334.47,332.73,403606,403606,-0.04,-0.01195779,334.01,"February 06, 25",-0.0001195779
2025-02-07,334.95,335.51,331.11,331.56,329.83,796248,796248,-3.39,-1.01,333.2825,"February 07, 25",-0.010100000000000001
2025-02-10,333.21,334.04,332.52,333.71,331.97,456200,456200,0.5,0.15006,333.37,"February 10, 25",0.0015006
2025-02-11,332.37,333.89,332.36,333.59,331.85,298400,298400,1.22,0.36706000000000005,333.0525,"February 11, 25",0.0036706
2025-02-12,330.29,333.14,329.8,332.43,330.7,468338,468338,2.14,0.64792,331.415,"February 12, 25",0.0064792
2025-02-13,333.24,336.12,332.61,336.01,334.26,632900,632900,2.77,0.83123,334.495,"February 13, 25",0.0083123
2025-02-14,336.3,336.69,335.65,336.03,334.28,680300,680300,-0.27,-0.08028546,336.1675,"February 14, 25",-0.0008028546000000001
2025-02-18,336.64,336.97,335.32,336.91,335.15,1366531,1366531,0.27,0.08020437,336.46,"February 18, 25",0.0008020437
2025-02-19,336.41,337.76,335.84,337.54,335.78,435519,435519,1.13,0.33590000000000003,336.8875,"February 19, 25",0.003359
2025-02-20,336.87,336.87,333.96,335.77,334.02,556500,556500,-1.1,-0.32654000000000005,335.8675,"February 20, 25",-0.0032654
2025-02-21,335.61,335.71,329.35,329.73,328.01,515931,515931,-5.88,-1.75,332.6,"February 21, 25",-0.0175
2025-02-24,330.71,331.31,327.56,328.05,326.34,589005,589005,-2.66,-0.8043300000000001,329.4075,"February 24, 25",-0.0080433
2025-02-25,327.9,328.47,323.69,326.46,324.76,1336600,1336600,-1.44,-0.43916000000000005,326.63,"February 25, 25",-0.0043916
2025-02-26,327.33,329.36,325.24,326.4,324.7,696415,696415,-0.93,-0.28412000000000004,327.0825,"February 26, 25",-0.0028412
2025-02-27,327.92,328.35,321.24,321.39,319.71,667214,667214,-6.53,-1.99,324.725,"February 27, 25",-0.0199
2025-02-28,321.53,326.63,320.1,326.39,324.69,756900,756900,4.86,1.51,323.6625,"February 28, 25",0.0151
2025-03-03,327.55,328.3,318.49,320.54,318.87,1255600,1255600,-7.01,-2.14,323.72,"March 03, 25",-0.021400000000000002
2025-03-04,317.81,321.46,313.8,316.67,315.02,1394032,1394032,-1.1400000000000001,-0.3587,317.435,"March 04, 25",-0.003587
2025-03-05,316.51,321.15,314.72,320.3,318.63,977715,977715,3.79,1.2,318.17,"March 05, 25",0.012
2025-03-06,315.97,318.48,312.85,314.3,312.66,682449,682449,-1.67,-0.52853,315.4,"March 06, 25",-0.0052853
2025-03-07,312.99,316.59,309.94,315.98,314.33,753715,753715,2.99,0.9553,313.875,"March 07, 25",0.009552999999999999
2025-03-10,311.27,312.33,304.49,307.33,305.73,1024200,1024200,-3.94,-1.27,308.855,"March 10, 25",-0.012700000000000001
2025-03-11,306.55,308.66,302.68,305.02,303.43,1264900,1264900,-1.53,-0.49910000000000004,305.7275,"March 11, 25",-0.004991
2025-03-12,308.6,308.99,303.9,306.58,304.98,1340935,1340935,-2.02,-0.6545700000000001,307.0175,"March 12, 25",-0.0065457
2025-03-13,306.39,306.39,301.24,302.31,300.73,664300,664300,-4.08,-1.33,304.0825,"March 13, 25",-0.013300000000000001
2025-03-14,304.93,309.24,304.74,308.87,307.26,869112,869112,3.94,1.29,306.945,"March 14, 25",0.0129
2025-03-17,308.46,312.7,308.37,311.37,309.75,1458814,1458814,2.91,0.9434,310.225,"March 17, 25",0.009434
2025-03-18,309.2,309.2,306.0,307.01,306.23,1245400,1245400,-2.19,-0.70828,307.8525,"March 18, 25",-0.007082799999999999
2025-03-19,308.11,312.69,307.45,310.49,309.7,1197100,1197100,2.38,0.7724500000000001,309.685,"March 19, 25",0.0077245
2025-03-20,308.53,312.49,308.19,309.75,308.96,564300,564300,1.22,0.39542000000000005,309.74,"March 20, 25",0.0039542
2025-03-21,307.33,310.16,306.53,309.81,309.02,2772202,2772202,2.48,0.8069500000000001,308.4575,"March 21, 25",0.0080695
2025-03-24,313.54,316.15,313.29,315.56,314.75,942237,942237,2.02,0.64426,314.635,"March 24, 25",0.0064426
2025-03-25,316.26,316.82,315.31,316.23,315.42,519402,519402,-0.03,-0.00948587,316.155,"March 25, 25",-9.48587e-05
2025-03-26,316.0,316.63,311.6,312.46,311.66,633635,633635,-3.54,-1.12,314.1725,"March 26, 25",-0.0112
2025-03-27,311.6,313.57,310.34,311.24,310.44,609712,609712,-0.36,-0.11553000000000001,311.6875,"March 27, 25",-0.0011553
2025-03-28,310.43,310.84,304.66,305.03,304.25,542309,542309,-5.4,-1.74,307.74,"March 28, 25",-0.017400000000000002
2025-03-31,301.56,307.65,299.98,306.74,305.96,1442200,1442200,5.18,1.72,303.9825,"March 31, 25",0.0172
2025-04-01,305.62,308.85,303.73,307.82,307.03,1795200,1795200,2.2,0.7198500000000001,306.505,"April 01, 25",0.0071985
2025-04-02,304.65,311.6,304.52,310.25,309.46,914306,914306,5.6,1.8399999999999999,307.755,"April 02, 25",0.0184
2025-04-03,298.94,300.73,294.45,294.93,294.18,1386330,1386330,-4.01,-1.34,297.2625,"April 03, 25",-0.0134
2025-04-04,287.15,287.88,277.11,277.41,276.7,3495610,3495610,-9.74,-3.39,282.3875,"April 04, 25",-0.0339
2025-04-07,268.15,286.87,264.17,276.83,276.12,4215594,4215594,8.68,3.24,274.005,"April 07, 25",0.0324
2025-04-08,286.38,287.79,268.13,272.36,271.66,2555645,2555645,-14.02,-4.9,278.665,"April 08, 25",-0.049
2025-04-09,270.54,299.58,270.03,298.05,297.29,2588700,2588700,27.51,10.17,284.55,"April 09, 25",0.1017
2025-04-10,291.87,292.22,279.61,287.75,287.01,1514238,1514238,-4.12,-1.4100000000000001,287.8625,"April 10, 25",-0.014100000000000001
2025-04-11,286.76,293.44,284.75,292.43,291.68,1318322,1318322,5.67,1.98,289.345,"April 11, 25",0.0198
2025-04-14,298.14,298.14,292.49,295.15,294.4,1237842,1237842,-2.99,-1.0,295.98,"April 14, 25",-0.01
2025-04-15,295.51,297.71,294.14,294.42,293.67,549800,549800,-1.09,-0.36885,295.445,"April 15, 25",-0.0036885
