date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,187.15,187.5,185.42,186.02,184.41,1730800,1730800,-1.13,-0.60379,186.5225,"January 07, 25",-0.0060379
2025-01-08,185.76,186.33,184.57,186.23,184.62,2235032,2235032,0.47000000000000003,0.25301,185.7225,"January 08, 25",0.0025301
2025-01-10,185.27,185.6,183.35,183.57,181.98,4502400,4502400,-1.7000000000000002,-0.9175800000000001,184.4475,"January 10, 25",-0.0091758
2025-01-13,183.05,185.27,182.97,185.22,183.62,4167900,4167900,2.17,1.19,184.1275,"January 13, 25",0.0119
2025-01-14,185.81,186.91,185.26,186.82,185.21,1613935,1613935,1.01,0.54357,186.2,"January 14, 25",0.0054357
2025-01-15,189.51,189.63,188.36,188.96,187.33,1751328,1751328,-0.55,-0.29022000000000003,189.115,"January 15, 25",-0.0029021999999999997
2025-01-16,188.84,190.35,188.43,190.13,188.49,6845415,6845415,1.29,0.6831200000000001,189.4375,"January 16, 25",0.0068312
2025-01-17,191.0,191.95,190.61,191.48,189.83,2497450,2497450,0.48,0.25131000000000003,191.26,"January 17, 25",0.0025131
2025-01-21,192.31,193.82,192.31,193.78,192.11,5115268,5115268,1.47,0.76439,193.055,"January 21, 25",0.0076438999999999995
2025-01-22,193.74,193.76,192.59,192.65,190.99,1866010,1866010,-1.09,-0.56261,193.185,"January 22, 25",-0.005626099999999999
2025-01-23,192.9,193.97,192.5,193.95,192.27,2372100,2372100,1.05,0.54432,193.33,"January 23, 25",0.0054432
2025-01-24,193.61,194.41,193.41,193.79,192.12,2096600,2096600,0.18,0.0929704,193.805,"January 24, 25",0.0009297040000000001
2025-01-27,192.76,194.5,192.76,194.45,192.77,4961500,4961500,1.69,0.8767400000000001,193.6175,"January 27, 25",0.0087674
2025-01-28,194.43,194.43,192.92,193.24,191.57,1463300,1463300,-1.19,-0.6120500000000001,193.755,"January 28, 25",-0.0061205
2025-01-29,193.32,194.4,192.59,192.93,191.26,1487800,1487800,-0.39,-0.20174,193.31,"January 29, 25",-0.0020174
2025-01-30,194.01,195.41,193.72,194.87,193.19,2312220,2312220,0.86,0.44328000000000006,194.5025,"January 30, 25",0.0044328
2025-01-31,194.84,195.31,193.27,193.54,191.87,2419400,2419400,-1.3,-0.6672100000000001,194.24,"January 31, 25",-0.006672099999999999
2025-02-03,191.02,193.45,190.2,192.81,191.14,2073000,2073000,1.79,0.9370700000000001,191.87,"February 03, 25",0.0093707
2025-02-04,192.31,193.44,192.21,193.12,191.45,1904702,1904702,0.81,0.42119,192.77,"February 04, 25",0.0042119
2025-02-05,193.64,194.51,192.69,194.42,192.74,1530403,1530403,0.78,0.40281000000000006,193.815,"February 05, 25",0.0040281
2025-02-06,195.21,195.34,193.39,194.41,192.73,1155768,1155768,-0.8,-0.40982,194.5875,"February 06, 25",-0.0040982
2025-02-07,194.77,195.0,193.14,193.25,191.58,1373738,1373738,-1.52,-0.78041,194.04,"February 07, 25",-0.0078041
2025-02-10,194.07,194.08,192.9,193.69,192.02,1317126,1317126,-0.38,-0.19581,193.685,"February 10, 25",-0.0019581
2025-02-11,193.25,194.18,192.92,194.11,192.43,736400,736400,0.86,0.44502,193.615,"February 11, 25",0.0044502
2025-02-12,192.51,193.56,192.13,193.15,191.48,1156892,1156892,0.64,0.33245,192.8375,"February 12, 25",0.0033244999999999998
2025-02-13,193.75,194.86,193.22,194.66,192.98,1563427,1563427,0.91,0.46968000000000004,194.1225,"February 13, 25",0.0046968
2025-02-14,194.99,195.62,194.37,194.48,192.8,1205124,1205124,-0.51,-0.26155,194.865,"February 14, 25",-0.0026154999999999998
2025-02-18,194.49,195.68,194.22,195.62,193.93,1738300,1738300,1.13,0.58101,195.0025,"February 18, 25",0.0058100999999999995
2025-02-19,195.21,196.44,195.04,196.21,194.51,1332319,1332319,1.0,0.51227,195.725,"February 19, 25",0.0051227
2025-02-20,195.63,195.73,194.23,195.3,193.61,924550,924550,-0.33,-0.16869,195.2225,"February 20, 25",-0.0016868999999999999
2025-02-21,194.95,195.05,192.35,192.64,190.98,1458100,1458100,-2.31,-1.18,193.7475,"February 21, 25",-0.0118
2025-02-24,193.21,193.76,192.39,192.87,191.2,1154633,1154633,-0.34,-0.17597000000000002,193.0575,"February 24, 25",-0.0017597
2025-02-25,193.12,193.87,191.89,193.11,191.44,1114030,1114030,-0.01,-0.00517813,192.9975,"February 25, 25",-5.1781300000000005e-05
2025-02-26,193.34,193.93,191.96,192.41,190.75,1371648,1371648,-0.93,-0.48102000000000006,192.91,"February 26, 25",-0.0048102
2025-02-27,192.46,193.97,191.7,191.79,190.13,1017900,1017900,-0.67,-0.34812000000000004,192.48,"February 27, 25",-0.0034812
2025-02-28,192.08,194.5,191.35,194.37,192.69,2487701,2487701,2.29,1.19,193.075,"February 28, 25",0.0119
2025-03-03,195.03,195.68,191.28,192.46,190.8,1960500,1960500,-2.5700000000000003,-1.32,193.6125,"March 03, 25",-0.0132
2025-03-04,191.1,191.28,188.23,188.71,187.08,2539254,2539254,-2.39,-1.25,189.83,"March 04, 25",-0.0125
2025-03-05,188.5,190.8,187.76,190.33,188.69,1723800,1723800,1.83,0.9708200000000001,189.3475,"March 05, 25",0.0097082
2025-03-06,188.45,189.75,187.48,188.45,186.82,2055030,2055030,0.0,0.0,188.5325,"March 06, 25",0.0
