date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,413.04,413.38,402.55,403.79,402.97,1287093,1287093,-9.25,-2.24,408.19,"January 07, 25",-0.0224
2025-01-08,404.64,405.9,400.97,404.38,403.55,1631400,1631400,-0.26,-0.06425465,403.9725,"January 08, 25",-0.0006425465
2025-01-10,401.69,401.85,395.32,398.15,397.34,1380500,1380500,-3.54,-0.8812800000000001,399.2525,"January 10, 25",-0.008812799999999999
2025-01-13,392.88,397.01,391.8,396.67,395.86,2073717,2073717,3.79,0.96467,394.59,"January 13, 25",0.0096467
2025-01-14,399.48,399.91,392.9,395.3,394.49,924700,924700,-4.18,-1.05,396.8975,"January 14, 25",-0.0105
2025-01-15,401.21,405.59,400.17,404.9,404.07,2776001,2776001,3.69,0.9197200000000001,402.9675,"January 15, 25",0.009197199999999999
2025-01-16,406.62,406.62,401.82,402.05,401.23,3373800,3373800,-4.57,-1.12,404.2775,"January 16, 25",-0.0112
2025-01-17,408.15,408.74,405.26,406.98,406.15,1859316,1859316,-1.17,-0.28666,407.2825,"January 17, 25",-0.0028666
2025-01-21,408.8,410.18,405.61,409.76,408.92,1846189,1846189,0.96,0.23483,408.5875,"January 21, 25",0.0023482999999999998
2025-01-22,413.54,416.96,413.42,415.61,414.76,728200,728200,2.07,0.50056,414.8825,"January 22, 25",0.0050056
2025-01-23,413.87,417.49,413.74,417.26,416.41,1455642,1455642,3.39,0.8191,415.59,"January 23, 25",0.008191
2025-01-24,418.28,419.0,414.33,415.49,414.64,759400,759400,-2.79,-0.6670200000000001,416.775,"January 24, 25",-0.006670199999999999
2025-01-27,400.59,406.55,400.08,403.65,402.83,3156131,3156131,3.06,0.76387,402.7175,"January 27, 25",0.0076387
2025-01-28,405.1,413.16,402.78,412.5,411.66,2134000,2134000,7.4,1.83,408.385,"January 28, 25",0.0183
2025-01-29,411.12,411.2,406.64,409.56,408.72,1167413,1167413,-1.56,-0.37945,409.63,"January 29, 25",-0.0037944999999999997
2025-01-30,410.12,412.55,406.27,410.73,409.89,2375800,2375800,0.61,0.14874,409.9175,"January 30, 25",0.0014873999999999998
2025-01-31,414.06,416.46,408.39,409.31,408.47,1113500,1113500,-4.75,-1.15,412.055,"January 31, 25",-0.0115
2025-02-03,401.27,407.52,399.8,405.04,404.21,1108827,1108827,3.77,0.93952,403.4075,"February 03, 25",0.0093952
2025-02-04,405.73,410.31,405.52,410.31,409.47,2050300,2050300,4.58,1.13,407.9675,"February 04, 25",0.011300000000000001
2025-02-05,407.72,410.69,406.56,410.5,409.66,1017113,1017113,2.7800000000000002,0.68184,408.8675,"February 05, 25",0.0068184
2025-02-06,411.01,413.14,410.16,412.88,412.04,1434100,1434100,1.87,0.45498000000000005,411.7975,"February 06, 25",0.0045498
2025-02-07,412.9,414.88,407.55,408.11,407.28,1135178,1135178,-4.79,-1.16,410.86,"February 07, 25",-0.011600000000000001
2025-02-10,410.98,413.32,410.49,412.26,411.42,738800,738800,1.28,0.31145,411.7625,"February 10, 25",0.0031144999999999996
2025-02-11,410.07,412.55,409.48,411.05,410.21,1009400,1009400,0.98,0.23898000000000003,410.7875,"February 11, 25",0.0023898
2025-02-12,406.63,411.46,406.03,410.62,409.78,1153800,1153800,3.99,0.9812400000000001,408.685,"February 12, 25",0.009812399999999999
2025-02-13,411.07,416.06,410.54,415.76,414.91,962600,962600,4.69,1.1400000000000001,413.3575,"February 13, 25",0.0114
2025-02-14,415.76,416.91,414.86,416.37,415.52,698500,698500,0.61,0.14672000000000002,415.975,"February 14, 25",0.0014671999999999999
2025-02-18,417.54,418.04,413.76,416.33,415.48,868196,868196,-1.21,-0.28979000000000005,416.4175,"February 18, 25",-0.0028978999999999997
2025-02-19,415.48,417.17,413.65,416.48,415.63,725600,725600,1.0,0.24069000000000002,415.695,"February 19, 25",0.0024069
2025-02-20,415.9,415.9,410.92,414.28,413.43,834006,834006,-1.62,-0.38952000000000003,414.25,"February 20, 25",-0.0038951999999999997
2025-02-21,414.37,414.73,404.57,404.88,404.05,1274200,1274200,-9.49,-2.29,409.6375,"February 21, 25",-0.0229
2025-02-24,406.39,407.77,400.18,400.74,399.92,1061907,1061907,-5.65,-1.3900000000000001,403.77,"February 24, 25",-0.013900000000000001
2025-02-25,400.02,400.49,392.68,396.72,395.91,2863363,2863363,-3.3,-0.82496,397.4775,"February 25, 25",-0.0082496
2025-02-26,398.46,402.52,395.94,398.17,397.36,1304200,1304200,-0.29,-0.0727802,398.7725,"February 26, 25",-0.000727802
2025-02-27,401.09,401.85,387.45,387.6,386.81,1275148,1275148,-13.49,-3.36,394.4975,"February 27, 25",-0.033600000000000005
2025-02-28,387.02,394.87,384.39,394.6,393.79,1588800,1588800,7.58,1.96,390.22,"February 28, 25",0.0196
2025-03-03,395.81,397.16,381.93,384.86,384.07,2735393,2735393,-10.95,-2.77,389.94,"March 03, 25",-0.027700000000000002
2025-03-04,380.7,388.76,375.93,382.38,381.6,2208611,2208611,1.6800000000000002,0.44129,381.9425,"March 04, 25",0.0044129
2025-03-05,382.79,389.12,379.61,388.04,387.25,2449245,2449245,5.25,1.37,384.89,"March 05, 25",0.0137
2025-03-06,381.03,385.47,375.46,377.24,376.47,2486244,2486244,-3.79,-0.99467,379.8,"March 06, 25",-0.0099467
2025-03-07,376.03,380.3,369.93,378.85,378.08,1536100,1536100,2.8200000000000003,0.74994,376.2775,"March 07, 25",0.0074994
2025-03-10,371.78,371.91,360.38,363.88,363.14,1807804,1807804,-7.9,-2.12,366.9875,"March 10, 25",-0.0212
2025-03-11,362.71,368.29,359.31,362.98,362.24,3128800,3128800,0.27,0.07443963,363.3225,"March 11, 25",0.0007443963
2025-03-12,369.42,370.83,363.43,367.92,367.17,2406181,2406181,-1.5,-0.40604,367.9,"March 12, 25",-0.0040604
2025-03-13,367.2,367.5,358.94,360.07,359.34,1476100,1476100,-7.13,-1.94,363.4275,"March 13, 25",-0.0194
2025-03-14,364.33,369.73,363.68,369.2,368.45,1164700,1164700,4.87,1.34,366.735,"March 14, 25",0.0134
2025-03-17,368.95,372.8,367.13,370.35,369.59,1173539,1173539,1.4,0.37946,369.8075,"March 17, 25",0.0037946
2025-03-18,367.43,367.51,361.79,363.46,363.11,1369017,1369017,-3.9699999999999998,-1.08,365.0475,"March 18, 25",-0.0108
2025-03-19,365.34,372.42,364.2,369.04,368.68,6048691,6048691,3.7,1.01,367.75,"March 19, 25",0.010100000000000001
2025-03-20,366.04,372.65,365.8,368.2,367.84,999635,999635,2.16,0.5901000000000001,368.1725,"March 20, 25",0.005901
2025-03-21,364.61,370.52,363.65,369.9,369.54,1968018,1968018,5.29,1.45,367.17,"March 21, 25",0.0145
2025-03-24,375.53,379.01,374.92,377.95,377.58,1317210,1317210,2.42,0.6444200000000001,376.8525,"March 24, 25",0.0064442
2025-03-25,379.08,380.52,378.07,380.26,379.89,947929,947929,1.18,0.31128,379.4825,"March 25, 25",0.0031127999999999998
2025-03-26,379.03,379.24,370.72,372.04,371.68,1191302,1191302,-6.99,-1.8399999999999999,375.2575,"March 26, 25",-0.0184
2025-03-27,370.24,373.73,368.73,370.07,369.71,1125601,1125601,-0.17,-0.04591616,370.6925,"March 27, 25",-0.0004591616
2025-03-28,368.34,369.56,359.74,360.54,360.19,2498200,2498200,-7.8,-2.12,364.545,"March 28, 25",-0.0212
2025-03-31,354.49,361.75,351.03,361.09,360.74,2083853,2083853,6.6,1.8599999999999999,357.09,"March 31, 25",0.018600000000000002
2025-04-01,359.44,365.08,357.86,363.88,363.53,1383324,1383324,4.44,1.24,361.565,"April 01, 25",0.012400000000000001
2025-04-02,358.71,369.58,358.44,366.86,366.5,1198616,1198616,8.15,2.27,363.3975,"April 02, 25",0.0227
2025-04-03,350.04,352.81,345.86,346.45,346.11,2610427,2610427,-3.59,-1.03,348.79,"April 03, 25",-0.0103
2025-04-04,335.59,337.93,325.66,325.67,325.35,4863500,4863500,-9.92,-2.96,331.2125,"April 04, 25",-0.0296
2025-04-07,312.55,340.24,308.67,326.03,325.71,5243534,5243534,13.48,4.31,321.8725,"April 07, 25",0.0431
2025-04-08,338.98,342.02,315.57,320.42,320.11,4813746,4813746,-18.56,-5.48,329.2475,"April 08, 25",-0.0548
2025-04-09,320.13,359.73,319.28,357.66,357.31,3311400,3311400,37.53,11.72,339.2,"April 09, 25",0.11720000000000001
2025-04-10,348.3,349.99,332.95,343.86,343.53,3289680,3289680,-4.44,-1.27,343.775,"April 10, 25",-0.012700000000000001
2025-04-11,342.37,351.37,340.35,350.02,349.68,4061716,4061716,7.65,2.23,346.0275,"April 11, 25",0.0223
2025-04-14,358.6,358.92,349.0,352.21,351.87,1940814,1940814,-6.39,-1.78,354.6825,"April 14, 25",-0.0178
2025-04-15,352.57,355.55,350.9,352.21,351.87,1120089,1120089,-0.36,-0.10211,352.8075,"April 15, 25",-0.0010211
2025-04-16,345.06,347.93,336.77,341.66,341.33,3430707,3430707,-3.4,-0.9853400000000001,342.855,"April 16, 25",-0.0098534
2025-04-17,344.54,345.0,339.86,341.62,341.29,1815249,1815249,-2.92,-0.8475100000000001,342.755,"April 17, 25",-0.0084751
2025-04-21,336.93,337.58,328.33,332.54,332.22,4590970,4590970,-4.39,-1.3,333.845,"April 21, 25",-0.013000000000000001
2025-04-22,336.57,343.73,335.6,341.3,340.97,1186320,1186320,4.73,1.4100000000000001,339.3,"April 22, 25",0.014100000000000001
2025-04-23,353.06,356.48,348.19,349.51,349.17,1605233,1605233,-3.55,-1.01,351.81,"April 23, 25",-0.010100000000000001
2025-04-24,351.08,359.78,350.57,359.37,359.02,1445000,1445000,8.29,2.36,355.2,"April 24, 25",0.0236
2025-04-25,360.2,365.42,359.05,364.78,364.43,1826534,1826534,4.58,1.27,362.3625,"April 25, 25",0.012700000000000001
2025-04-28,365.5,366.47,359.84,364.48,364.13,1069900,1069900,-1.02,-0.27907000000000004,364.0725,"April 28, 25",-0.0027906999999999997
2025-04-29,362.67,367.62,362.66,366.72,366.36,950735,950735,4.05,1.12,364.9175,"April 29, 25",0.0112
2025-04-30,360.19,368.03,356.98,366.79,366.43,1441676,1441676,6.6,1.83,362.9975,"April 30, 25",0.0183
2025-05-01,373.59,376.28,371.25,371.62,371.26,1089800,1089800,-1.97,-0.52732,373.185,"May 01, 25",-0.0052732
2025-05-02,375.44,378.65,374.18,376.93,376.56,896700,896700,1.49,0.39687000000000006,376.3,"May 02, 25",0.0039686999999999995
2025-05-05,373.79,377.19,373.79,374.72,374.36,1644706,1644706,0.93,0.24880000000000002,374.8725,"May 05, 25",0.0024879999999999998
2025-05-06,370.35,374.3,369.41,371.23,370.87,992675,992675,0.88,0.23761000000000002,371.3225,"May 06, 25",0.0023761
2025-05-07,371.72,374.25,367.58,372.49,372.13,1468734,1468734,0.77,0.20715000000000003,371.51,"May 07, 25",0.0020715
2025-05-08,376.0,378.9,372.39,375.46,375.09,2137100,2137100,-0.54,-0.14362000000000003,375.6875,"May 08, 25",-0.0014361999999999999
2025-05-09,376.57,377.94,373.58,374.75,374.39,1676751,1676751,-1.82,-0.48331,375.71,"May 09, 25",-0.0048331
