date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,225.58,226.52,221.38,222.72,221.61,28835228,28835228,-2.86,-1.27,224.05,"January 07, 25",-0.012700000000000001
2025-01-08,220.9,222.31,219.01,221.71,220.6,26795947,26795947,0.81,0.36668,220.9825,"January 08, 25",0.0036668
2025-01-10,218.31,218.71,215.31,216.83,215.75,37379430,37379430,-1.48,-0.6779400000000001,217.29,"January 10, 25",-0.0067794
2025-01-13,214.5,217.52,213.97,217.25,216.17,28603831,28603831,2.75,1.28,215.81,"January 13, 25",0.0128
2025-01-14,219.18,220.23,217.22,219.72,218.62,25447518,25447518,0.54,0.24637000000000003,219.0875,"January 14, 25",0.0024637
2025-01-15,225.44,225.58,223.0,224.04,222.92,30124700,30124700,-1.4,-0.6210100000000001,224.515,"January 15, 25",-0.0062101
2025-01-16,224.15,225.23,222.71,224.49,223.37,21029804,21029804,0.34,0.15168,224.145,"January 16, 25",0.0015168
2025-01-17,226.93,226.97,224.67,225.46,224.34,26754914,26754914,-1.47,-0.64778,226.0075,"January 17, 25",-0.0064778
2025-01-21,227.52,229.89,226.99,229.79,228.64,26086309,26086309,2.27,0.9977100000000001,228.5475,"January 21, 25",0.0099771
2025-01-22,229.35,229.85,227.83,228.29,227.15,21307329,21307329,-1.06,-0.46218000000000004,228.83,"January 22, 25",-0.0046218
2025-01-23,226.93,229.35,226.55,229.33,228.19,20850721,20850721,2.4,1.06,228.04,"January 23, 25",0.0106
2025-01-24,228.82,230.23,228.04,228.69,227.55,19074526,19074526,-0.13,-0.056813220000000005,228.945,"January 24, 25",-0.0005681322
2025-01-27,226.71,229.62,225.21,226.5,225.37,27461720,27461720,-0.21,-0.09262935,227.01,"January 27, 25",-0.0009262935000000001
2025-01-28,226.74,227.56,225.18,226.75,225.62,16847400,16847400,0.01,0.0044103400000000004,226.5575,"January 28, 25",4.41034e-05
2025-01-29,226.68,228.22,224.58,226.23,225.1,20280500,20280500,-0.45,-0.19852000000000003,226.4275,"January 29, 25",-0.0019852
2025-01-30,228.52,230.05,226.92,228.53,227.39,25575100,25575100,0.01,0.00437598,228.505,"January 30, 25",4.37598e-05
2025-01-31,228.75,230.32,225.54,226.48,225.35,35348800,35348800,-2.27,-0.9923500000000001,227.7725,"January 31, 25",-0.0099235
