date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,58.01,58.09,57.49,57.66,55.19,3792100,3792100,-0.35000000000000003,-0.6033400000000001,57.8125,"January 07, 25",-0.0060333999999999995
2025-01-08,57.67,57.9,57.46,57.89,55.41,3253102,3253102,0.22,0.38148000000000004,57.73,"January 08, 25",0.0038147999999999997
2025-01-10,57.63,57.66,56.99,57.06,54.62,5904825,5904825,-0.5650000000000001,-0.9890700000000001,57.335,"January 10, 25",-0.009890699999999999
2025-01-13,56.76,57.28,56.71,57.27,54.82,3238200,3238200,0.51,0.8985200000000001,57.005,"January 13, 25",0.008985199999999999
2025-01-14,57.43,57.55,57.11,57.5,55.04,3406600,3406600,0.07,0.12189000000000001,57.3975,"January 14, 25",0.0012189
2025-01-15,58.13,58.17,57.8,58.0,55.52,4146300,4146300,-0.13,-0.22364,58.025,"January 15, 25",-0.0022364
2025-01-16,58.07,58.37,57.92,58.25,55.75,4379130,4379130,0.18,0.30997,58.1525,"January 16, 25",0.0030997
2025-01-17,58.57,58.64,58.46,58.5,55.99,3851000,3851000,-0.07,-0.11952000000000002,58.5425,"January 17, 25",-0.0011952
2025-01-21,58.69,58.96,58.69,58.95,56.42,4218513,4218513,0.26,0.44301,58.8225,"January 21, 25",0.0044301
2025-01-22,59.09,59.19,58.83,58.87,56.35,5405517,5405517,-0.22,-0.37231000000000003,58.995,"January 22, 25",-0.0037231
2025-01-23,58.9,59.14,58.81,59.14,56.61,3279100,3279100,0.24,0.40747000000000005,58.9975,"January 23, 25",0.0040747
2025-01-24,59.11,59.15,58.97,59.1,56.57,3398300,3398300,-0.01,-0.01691761,59.0825,"January 24, 25",-0.0001691761
2025-01-27,58.7,59.3,58.22,59.29,56.75,4970833,4970833,0.59,1.01,58.8775,"January 27, 25",0.010100000000000001
2025-01-28,59.35,59.35,58.96,58.98,56.45,4396849,4396849,-0.37,-0.6234200000000001,59.16,"January 28, 25",-0.0062342
2025-01-29,59.0,59.09,58.84,58.94,56.42,3954100,3954100,-0.06,-0.10169,58.9675,"January 29, 25",-0.0010169
2025-01-30,59.01,59.19,58.87,59.13,56.6,3373031,3373031,0.12,0.20336,59.05,"January 30, 25",0.0020336
2025-01-31,59.23,59.29,58.92,58.97,56.44,3787710,3787710,-0.26,-0.43897,59.1025,"January 31, 25",-0.0043897
2025-02-03,58.07,58.73,57.97,58.56,56.36,5064730,5064730,0.49,0.8438100000000001,58.3325,"February 03, 25",0.0084381
2025-02-04,58.61,58.68,58.45,58.62,56.42,4054223,4054223,0.01,0.01706193,58.59,"February 04, 25",0.0001706193
2025-02-05,58.71,58.94,58.53,58.94,56.73,4346730,4346730,0.23,0.39176000000000005,58.78,"February 05, 25",0.0039176
2025-02-06,59.03,59.12,58.83,59.04,56.83,3337600,3337600,0.01,0.01694054,59.005,"February 06, 25",0.0001694054
2025-02-07,59.05,59.15,58.71,58.79,56.58,4162917,4162917,-0.26,-0.4403,58.925,"February 07, 25",-0.004403
2025-02-10,58.97,59.09,58.81,59.09,56.87,3219048,3219048,0.12,0.20349,58.99,"February 10, 25",0.0020349
2025-02-11,59.02,59.2,58.89,59.2,56.98,3655100,3655100,0.18,0.30498000000000003,59.0775,"February 11, 25",0.0030497999999999996
2025-02-12,58.89,59.09,58.76,59.04,56.83,3831300,3831300,0.15,0.25471000000000005,58.945,"February 12, 25",0.0025471
2025-02-13,59.13,59.3,58.96,59.28,57.06,3579900,3579900,0.15,0.25368,59.1675,"February 13, 25",0.0025368
2025-02-14,59.33,59.37,59.15,59.17,56.95,3153319,3153319,-0.16,-0.26968000000000003,59.255,"February 14, 25",-0.0026968
2025-02-18,59.22,59.35,59.03,59.35,57.12,4056000,4056000,0.13,0.21952000000000002,59.2375,"February 18, 25",0.0021952
2025-02-19,59.4,59.71,59.31,59.71,57.47,3060736,3060736,0.31,0.5218900000000001,59.5325,"February 19, 25",0.005218899999999999
2025-02-20,59.65,59.73,59.41,59.71,57.47,3368900,3368900,0.06,0.10059000000000001,59.625,"February 20, 25",0.0010059
2025-02-21,59.7,59.71,59.03,59.13,56.91,3780500,3780500,-0.5700000000000001,-0.9547700000000001,59.3925,"February 21, 25",-0.0095477
2025-02-24,59.31,59.41,59.04,59.1,56.88,7947309,7947309,-0.21,-0.35407000000000005,59.215,"February 24, 25",-0.0035407
2025-02-25,59.17,59.37,58.88,59.24,57.02,6524800,6524800,0.07,0.1183,59.165,"February 25, 25",0.001183
2025-02-26,59.45,59.52,58.93,59.09,56.87,4041262,4041262,-0.36,-0.60555,59.2475,"February 26, 25",-0.0060555
2025-02-27,59.23,59.43,58.66,58.69,56.49,4380800,4380800,-0.54,-0.9117000000000001,59.0025,"February 27, 25",-0.009117
2025-02-28,58.89,59.45,58.5,59.41,57.18,4180109,4180109,0.52,0.883,59.0625,"February 28, 25",0.008830000000000001
2025-03-03,59.28,59.36,58.36,58.69,56.8,5650606,5650606,-0.59,-0.99528,58.9225,"March 03, 25",-0.0099528
2025-03-04,58.45,58.67,57.82,57.97,56.1,5678640,5678640,-0.48,-0.8212100000000001,58.2275,"March 04, 25",-0.0082121
2025-03-05,58.0,58.68,57.77,58.5,56.62,5587600,5587600,0.5,0.8620700000000001,58.2375,"March 05, 25",0.0086207
2025-03-06,58.02,58.28,57.58,57.86,56.0,5140529,5140529,-0.16,-0.27577,57.935,"March 06, 25",-0.0027577
2025-03-07,57.79,58.31,57.48,58.2,56.33,4748200,4748200,0.41000000000000003,0.70947,57.945,"March 07, 25",0.0070947
2025-03-10,57.65,57.96,56.95,57.39,55.54,7865200,7865200,-0.26,-0.451,57.4875,"March 10, 25",-0.00451
2025-03-11,57.31,57.35,56.44,56.75,54.92,5371848,5371848,-0.56,-0.9771400000000001,56.9625,"March 11, 25",-0.0097714
2025-03-12,57.04,57.09,56.27,56.69,54.87,4401241,4401241,-0.35000000000000003,-0.6136,56.7725,"March 12, 25",-0.006136
2025-03-13,56.63,56.71,55.97,56.17,54.36,4135309,4135309,-0.46,-0.8122900000000001,56.37,"March 13, 25",-0.008122899999999999
