date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,143.76,147.18,143.59,146.23,143.84,8422010,8422010,2.47,1.72,145.19,"January 07, 25",0.0172
2025-01-08,145.49,145.59,141.44,142.27,139.94,11175552,11175552,-3.22,-2.21,143.6975,"January 08, 25",-0.0221
2025-01-10,141.0,143.67,140.68,142.06,139.73,8821541,8821541,1.06,0.75177,141.8525,"January 10, 25",0.0075176999999999996
2025-01-13,142.98,145.07,142.31,144.47,142.1,10376377,10376377,1.49,1.04,143.7075,"January 13, 25",0.010400000000000001
2025-01-14,144.5,144.81,142.86,144.75,142.38,8681741,8681741,0.25,0.17301000000000002,144.23,"January 14, 25",0.0017300999999999998
2025-01-15,145.31,146.05,144.26,144.97,142.6,7434562,7434562,-0.34,-0.23398000000000002,145.1475,"January 15, 25",-0.0023398
2025-01-16,144.32,148.07,144.06,147.77,145.35,8964016,8964016,3.45,2.39,146.055,"January 16, 25",0.0239
2025-01-17,147.44,148.38,146.61,147.03,144.62,10773054,10773054,-0.41000000000000003,-0.27808000000000005,147.365,"January 17, 25",-0.0027808
2025-01-21,147.56,148.86,147.05,148.15,145.72,11111747,11111747,0.59,0.39984000000000003,147.905,"January 21, 25",0.0039984
2025-01-22,144.0,145.47,142.11,145.27,142.89,16834747,16834747,1.27,0.8819400000000001,144.2125,"January 22, 25",0.0088194
2025-01-23,145.44,147.91,144.81,146.64,144.24,10506361,10506361,1.2,0.82508,146.2,"January 23, 25",0.008250799999999999
2025-01-24,146.81,147.63,146.38,146.82,144.42,9887682,9887682,0.015,0.0068115300000000005,146.91,"January 24, 25",6.81153e-05
2025-01-27,148.45,153.45,148.0,152.91,150.41,15152314,15152314,4.46,3.0,150.7025,"January 27, 25",0.03
2025-01-28,152.66,152.97,150.3,150.38,147.92,10320613,10320613,-2.2800000000000002,-1.49,151.5775,"January 28, 25",-0.0149
2025-01-29,150.5,151.88,150.0,151.15,148.68,7156421,7156421,0.65,0.43189000000000005,150.8825,"January 29, 25",0.0043189
2025-01-30,151.91,154.14,151.36,152.87,150.37,8910983,8910983,0.96,0.63195,152.57,"January 30, 25",0.0063195
2025-01-31,152.62,153.18,152.06,152.15,149.66,8458715,8458715,-0.47000000000000003,-0.30795,152.5025,"January 31, 25",-0.0030794999999999998
2025-02-03,152.0,152.47,150.78,151.87,149.38,6687487,6687487,-0.13,-0.08552632,151.78,"February 03, 25",-0.0008552632000000001
2025-02-04,151.36,154.18,150.95,153.49,150.98,9645289,9645289,2.13,1.4100000000000001,152.495,"February 04, 25",0.014100000000000001
2025-02-05,153.82,154.73,153.31,154.69,152.16,8946957,8946957,0.87,0.5656,154.1375,"February 05, 25",0.005656
2025-02-06,154.79,154.84,153.38,153.51,151.0,7418468,7418468,-1.28,-0.82693,154.13,"February 06, 25",-0.0082693
2025-02-07,153.53,154.49,152.8,153.12,150.61,6204916,6204916,-0.41000000000000003,-0.26705,153.485,"February 07, 25",-0.0026704999999999997
2025-02-10,153.61,154.37,152.29,154.24,151.71,6936561,6936561,0.63,0.41013000000000005,153.6275,"February 10, 25",0.0041012999999999996
2025-02-11,154.11,156.39,153.94,156.13,153.57,7554811,7554811,2.02,1.31,155.1425,"February 11, 25",0.0131
2025-02-12,155.27,155.66,154.27,155.26,152.72,7746014,7746014,-0.01,-0.00644039,155.115,"February 12, 25",-6.440390000000001e-05
2025-02-13,155.26,158.13,154.79,157.25,154.68,10705077,10705077,1.99,1.28,156.3575,"February 13, 25",0.0128
2025-02-14,157.29,157.47,156.06,156.15,153.59,6411840,6411840,-1.1400000000000001,-0.7247800000000001,156.7425,"February 14, 25",-0.0072477999999999996
2025-02-18,154.14,155.45,153.24,154.99,153.67,9670700,9670700,0.85,0.55145,154.455,"February 18, 25",0.0055144999999999994
2025-02-19,155.0,158.3,154.75,157.89,156.55,7974736,7974736,2.89,1.8599999999999999,156.485,"February 19, 25",0.018600000000000002
2025-02-20,156.95,159.95,156.95,159.68,158.32,7224030,7224030,2.73,1.74,158.3825,"February 20, 25",0.017400000000000002
2025-02-21,159.88,163.51,159.28,162.3,160.92,12546930,12546930,2.42,1.51,161.2425,"February 21, 25",0.0151
2025-02-24,162.68,164.87,162.05,163.74,162.35,10201917,10201917,1.06,0.65159,163.335,"February 24, 25",0.0065159
2025-02-25,164.1,166.43,163.94,166.09,164.68,12303700,12303700,1.99,1.21,165.14,"February 25, 25",0.012100000000000001
2025-02-26,165.08,165.13,162.56,163.08,161.69,11396410,11396410,-2.0,-1.21,163.9625,"February 26, 25",-0.012100000000000001
2025-02-27,162.31,163.95,161.73,163.73,162.34,8364600,8364600,1.42,0.87487,162.93,"February 27, 25",0.0087487
2025-02-28,164.31,165.94,162.7,165.02,163.62,12037415,12037415,0.71,0.43211000000000005,164.4925,"February 28, 25",0.0043211
2025-03-03,164.96,167.33,164.84,167.28,165.86,9191500,9191500,2.32,1.4100000000000001,166.1025,"March 03, 25",0.014100000000000001
2025-03-04,168.08,169.99,165.32,165.42,164.01,11999962,11999962,-2.66,-1.58,167.2025,"March 04, 25",-0.0158
2025-03-05,164.51,166.46,163.53,165.12,163.72,8745050,8745050,0.61,0.3708,164.905,"March 05, 25",0.003708
2025-03-06,165.0,165.87,163.51,165.83,164.42,8037900,8037900,0.8300000000000001,0.5030300000000001,165.0525,"March 06, 25",0.0050303
2025-03-07,165.13,168.46,164.7,166.69,165.27,9637600,9637600,1.56,0.94471,166.245,"March 07, 25",0.0094471
2025-03-10,167.48,169.9,167.05,167.7,166.27,17559000,17559000,0.22,0.13136,168.0325,"March 10, 25",0.0013135999999999998
2025-03-11,167.2,167.3,165.05,165.86,164.45,9890648,9890648,-1.34,-0.80144,166.3525,"March 11, 25",-0.0080144
2025-03-12,163.73,164.21,162.23,162.85,161.47,8010700,8010700,-0.88,-0.53747,163.255,"March 12, 25",-0.0053747
2025-03-13,163.43,164.54,162.66,162.99,161.6,5286734,5286734,-0.44,-0.26923,163.405,"March 13, 25",-0.0026923
2025-03-14,162.12,163.15,161.1,162.81,161.43,6235800,6235800,0.6900000000000001,0.42561000000000004,162.295,"March 14, 25",0.0042561
2025-03-17,162.41,163.5,161.73,162.84,161.46,6669815,6669815,0.43,0.26476,162.62,"March 17, 25",0.0026476
2025-03-18,163.44,164.86,162.97,164.25,162.85,7348974,7348974,0.81,0.49559000000000003,163.88,"March 18, 25",0.0049559
2025-03-19,163.97,164.36,162.21,162.99,161.6,5936637,5936637,-0.98,-0.59767,163.3825,"March 19, 25",-0.0059767
2025-03-20,163.0,163.2,161.93,163.02,161.63,7485930,7485930,0.02,0.01226994,162.7875,"March 20, 25",0.0001226994
