date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,242.14,245.26,240.9,243.17,240.52,8753400,8753400,1.03,0.42537,242.8675,"January 07, 25",0.0042537
2025-01-08,242.75,244.25,240.5,243.13,240.48,8675300,8675300,0.38,0.15654,242.6575,"January 08, 25",0.0015654
2025-01-10,243.09,243.81,238.74,239.87,237.26,10256829,10256829,-3.22,-1.32,241.3775,"January 10, 25",-0.0132
2025-01-13,239.67,244.54,239.0,244.21,241.55,10005315,10005315,4.54,1.8900000000000001,241.855,"January 13, 25",0.0189
2025-01-14,242.66,247.72,242.19,247.47,244.78,12407400,12407400,4.8100000000000005,1.98,245.01,"January 14, 25",0.0198
2025-01-15,250.4,253.67,243.68,252.35,249.6,18448520,18448520,1.9500000000000002,0.77875,250.025,"January 15, 25",0.007787499999999999
2025-01-16,254.0,257.04,252.33,254.27,251.5,15292348,15292348,0.27,0.1063,254.41,"January 16, 25",0.001063
2025-01-17,254.14,260.62,252.14,259.16,256.34,17678101,17678101,5.02,1.98,256.515,"January 17, 25",0.0198
2025-01-21,260.07,264.25,259.5,263.03,260.17,13712114,13712114,2.96,1.1400000000000001,261.7125,"January 21, 25",0.0114
2025-01-22,262.9,263.38,260.25,262.84,259.98,9021914,9021914,-0.06,-0.02282237,262.3425,"January 22, 25",-0.0002282237
2025-01-23,264.69,266.86,263.81,265.95,263.05,10749700,10749700,1.26,0.47603000000000006,265.3275,"January 23, 25",0.004760299999999999
2025-01-24,263.69,267.1,263.01,264.84,261.96,7666300,7666300,1.15,0.43612000000000006,264.66,"January 24, 25",0.0043612
2025-01-27,264.17,265.97,262.26,265.9,263.01,7522300,7522300,1.73,0.65488,264.575,"January 27, 25",0.0065488
2025-01-28,265.85,267.33,264.83,267.14,264.23,7375400,7375400,1.29,0.48524000000000006,266.2875,"January 28, 25",0.0048524
2025-01-29,267.21,270.68,265.61,266.58,263.68,7684900,7684900,-0.63,-0.23577,267.52,"January 29, 25",-0.0023577
2025-01-30,268.63,269.7,266.62,268.23,265.31,8753500,8753500,-0.4,-0.1489,268.295,"January 30, 25",-0.0014889999999999999
2025-01-31,269.23,270.82,266.96,267.3,264.39,7196300,7196300,-1.9300000000000002,-0.71686,268.5775,"January 31, 25",-0.0071686
2025-02-03,261.83,268.17,261.7,266.81,263.91,8381400,8381400,4.98,1.9,264.6275,"February 03, 25",0.019
2025-02-04,269.84,269.84,266.83,267.94,265.02,5626000,5626000,-1.9,-0.7041200000000001,268.6125,"February 04, 25",-0.0070412
2025-02-05,268.91,270.64,268.33,270.43,267.49,5704431,5704431,1.52,0.5652400000000001,269.5775,"February 05, 25",0.0056524
2025-02-06,272.45,276.98,271.19,276.9,273.89,7264400,7264400,4.45,1.63,274.38,"February 06, 25",0.016300000000000002
2025-02-07,277.27,278.55,274.71,275.8,272.8,6857900,6857900,-1.47,-0.53017,276.5825,"February 07, 25",-0.0053016999999999995
2025-02-10,276.15,276.18,269.59,271.04,268.09,8627400,8627400,-5.11,-1.85,273.24,"February 10, 25",-0.018500000000000003
