date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,61.11,61.72,60.62,60.84,59.97,17799629,17799629,-0.27,-0.44183000000000006,61.0725,"January 07, 25",-0.0044183
2025-01-08,60.99,61.77,60.93,61.71,60.83,14412400,14412400,0.72,1.18,61.35,"January 08, 25",0.0118
2025-01-10,61.58,61.65,60.73,61.07,60.19,22425000,22425000,-0.51,-0.8281900000000001,61.2575,"January 10, 25",-0.0082819
2025-01-13,61.13,61.85,60.71,61.65,60.77,18016200,18016200,0.52,0.85065,61.335,"January 13, 25",0.0085065
2025-01-14,61.66,62.07,61.3,62.04,61.15,16658300,16658300,0.385,0.61628,61.7675,"January 14, 25",0.0061627999999999995
2025-01-15,62.33,62.62,61.68,61.77,60.88,16187203,16187203,-0.56,-0.8984400000000001,62.1,"January 15, 25",-0.0089844
2025-01-16,61.42,62.3,61.32,62.25,61.36,12585528,12585528,0.8300000000000001,1.35,61.8225,"January 16, 25",0.0135
2025-01-17,62.31,62.77,62.17,62.71,61.81,17948900,17948900,0.4,0.64195,62.49,"January 17, 25",0.0064195
2025-01-21,62.9,63.23,62.3,62.42,61.53,19817100,19817100,-0.48,-0.76312,62.7125,"January 21, 25",-0.0076311999999999994
2025-01-22,62.12,62.29,61.66,61.78,60.89,18191900,18191900,-0.34,-0.5473300000000001,61.9625,"January 22, 25",-0.0054732999999999995
2025-01-23,61.8,61.98,61.37,61.53,60.65,16528423,16528423,-0.27,-0.43689000000000006,61.67,"January 23, 25",-0.0043689
2025-01-24,61.72,62.01,61.44,61.92,61.03,19244604,19244604,0.2,0.32404000000000005,61.7725,"January 24, 25",0.0032404
2025-01-27,62.87,64.18,62.47,63.89,62.97,20742915,20742915,1.02,1.62,63.3525,"January 27, 25",0.0162
2025-01-28,63.51,64.04,62.28,62.36,61.47,14956031,14956031,-1.15,-1.81,63.0475,"January 28, 25",-0.0181
2025-01-29,62.56,63.36,62.55,62.83,61.93,11325635,11325635,0.27,0.43159000000000003,62.825,"January 29, 25",0.0043159
2025-01-30,63.85,64.29,63.23,64.05,63.13,13201000,13201000,0.2,0.31323,63.855,"January 30, 25",0.0031322999999999998
2025-01-31,63.7,63.93,63.39,63.48,62.57,12102100,12102100,-0.22,-0.34537,63.625,"January 31, 25",-0.0034536999999999997
2025-02-03,63.18,63.63,62.43,63.35,62.44,12067900,12067900,0.17,0.26907000000000003,63.1475,"February 03, 25",0.0026907
2025-02-04,63.61,63.63,62.35,62.67,61.77,15678000,15678000,-0.9400000000000001,-1.48,63.065,"February 04, 25",-0.0148
2025-02-05,62.72,63.29,62.59,63.12,62.22,10686800,10686800,0.4,0.6377600000000001,62.93,"February 05, 25",0.0063776
2025-02-06,63.62,63.74,62.91,63.36,62.45,13423408,13423408,-0.26,-0.40868000000000004,63.4075,"February 06, 25",-0.0040868
2025-02-07,63.43,63.92,63.27,63.84,62.92,13184700,13184700,0.41000000000000003,0.6463800000000001,63.615,"February 07, 25",0.0064638
2025-02-10,64.1,64.65,63.66,64.55,63.62,16154300,16154300,0.45,0.70203,64.24,"February 10, 25",0.007020299999999999
2025-02-11,67.5,67.67,66.41,67.6,66.63,30589148,30589148,0.1,0.14815,67.295,"February 11, 25",0.0014815
2025-02-12,66.87,68.82,66.87,68.71,67.73,26033800,26033800,1.8399999999999999,2.75,67.8175,"February 12, 25",0.0275
2025-02-13,69.0,69.61,68.76,69.5,68.5,24393148,24393148,0.5,0.7246400000000001,69.2175,"February 13, 25",0.0072464
2025-02-14,69.36,70.03,68.76,68.87,67.88,20779100,20779100,-0.495,-0.7064600000000001,69.255,"February 14, 25",-0.0070646
2025-02-18,68.55,69.37,68.42,69.05,68.06,15569122,15569122,0.5,0.7293900000000001,68.8475,"February 18, 25",0.0072939
2025-02-19,69.21,70.13,69.17,70.07,69.07,16032300,16032300,0.86,1.24,69.645,"February 19, 25",0.012400000000000001
2025-02-20,69.71,70.07,69.42,70.04,69.04,13398010,13398010,0.33,0.47339000000000003,69.81,"February 20, 25",0.0047339
2025-02-21,70.32,71.6,70.13,71.35,70.33,21662300,21662300,1.03,1.46,70.85,"February 21, 25",0.0146
2025-02-24,70.84,71.73,70.33,70.59,69.58,21418442,21418442,-0.25,-0.35291,70.8725,"February 24, 25",-0.0035291
2025-02-25,70.86,71.77,70.73,71.49,70.47,21555600,21555600,0.63,0.8890800000000001,71.2125,"February 25, 25",0.008890799999999999
2025-02-26,71.27,71.28,70.53,70.8,69.79,14531200,14531200,-0.47000000000000003,-0.65946,70.97,"February 26, 25",-0.0065946
2025-02-27,70.72,71.54,70.42,70.87,69.85,16789500,16789500,0.15,0.2121,70.8875,"February 27, 25",0.002121
2025-02-28,71.45,71.57,70.56,71.21,70.19,22167400,22167400,-0.24,-0.33590000000000003,71.1975,"February 28, 25",-0.003359
2025-03-03,70.24,72.36,69.73,72.32,71.28,21717603,21717603,2.08,2.96,71.1625,"March 03, 25",0.0296
2025-03-04,72.07,72.65,69.88,70.19,69.18,25411900,25411900,-1.88,-2.61,71.1975,"March 04, 25",-0.0261
2025-03-05,69.9,70.74,69.84,70.08,69.08,23933629,23933629,0.18,0.25751,70.14,"March 05, 25",0.0025751
2025-03-06,70.41,70.53,69.45,70.46,69.45,21694031,21694031,0.05,0.07101264,70.2125,"March 06, 25",0.0007101264000000001
2025-03-07,69.65,71.82,69.65,71.43,70.41,28393300,28393300,1.78,2.56,70.6375,"March 07, 25",0.0256
2025-03-10,71.96,73.22,71.32,71.45,70.43,25251200,25251200,-0.51,-0.7087300000000001,71.9875,"March 10, 25",-0.0070872999999999995
2025-03-11,71.88,72.04,70.61,71.04,70.02,28076440,28076440,-0.835,-1.17,71.3925,"March 11, 25",-0.0117
2025-03-12,70.37,70.73,69.74,69.94,68.94,18923301,18923301,-0.43,-0.61106,70.195,"March 12, 25",-0.0061106
2025-03-13,70.25,70.25,69.28,69.62,68.62,15746600,15746600,-0.63,-0.8968,69.85,"March 13, 25",-0.008968
2025-03-14,68.51,69.26,68.38,69.16,68.67,14205100,14205100,0.65,0.9487700000000001,68.8275,"March 14, 25",0.0094877
2025-03-17,69.24,70.17,69.08,70.12,69.62,15634808,15634808,0.88,1.27,69.6525,"March 17, 25",0.012700000000000001
