date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,412.03,419.0,410.69,414.95,412.26,3209160,3209160,2.92,0.70869,414.1675,"January 07, 25",0.007086899999999999
2025-01-08,416.74,420.42,414.2,420.01,417.28,2252300,2252300,3.27,0.78466,417.8425,"January 08, 25",0.0078466
2025-01-10,415.61,417.89,411.72,414.15,411.46,2642600,2642600,-1.46,-0.35129000000000005,414.8425,"January 10, 25",-0.0035129
2025-01-13,415.79,422.68,413.7,421.43,418.69,2824504,2824504,5.64,1.3599999999999999,418.4,"January 13, 25",0.013600000000000001
2025-01-14,422.28,427.81,420.72,427.29,424.52,2344300,2344300,5.01,1.19,424.525,"January 14, 25",0.0119
2025-01-15,433.22,433.92,426.41,427.98,425.2,2202422,2202422,-5.24,-1.21,430.3825,"January 15, 25",-0.012100000000000001
2025-01-16,427.92,432.75,427.65,432.49,429.68,1511600,1511600,4.57,1.07,430.2025,"January 16, 25",0.010700000000000001
2025-01-17,440.0,440.0,433.53,436.0,433.17,2412200,2412200,-4.0,-0.9090900000000001,437.3825,"January 17, 25",-0.009090899999999999
2025-01-21,439.67,444.07,439.44,442.46,439.59,2281956,2281956,2.79,0.6345700000000001,441.41,"January 21, 25",0.0063457
2025-01-22,445.67,448.69,442.47,442.6,439.73,2644136,2644136,-3.07,-0.6888500000000001,444.8575,"January 22, 25",-0.0068885
2025-01-23,442.72,443.14,440.43,440.83,437.97,1811300,1811300,-1.8900000000000001,-0.42691,441.78,"January 23, 25",-0.0042691
2025-01-24,442.87,443.37,439.04,439.25,436.4,1547800,1547800,-3.62,-0.8174,441.1325,"January 24, 25",-0.008173999999999999
2025-01-27,438.34,441.4,434.99,439.49,436.64,2833438,2833438,1.15,0.26235,438.555,"January 27, 25",0.0026235
2025-01-28,440.0,440.41,435.24,435.51,432.68,2158432,2158432,-4.49,-1.02,437.79,"January 28, 25",-0.0102
2025-01-29,435.22,439.02,434.49,438.32,435.47,2631137,2631137,3.1,0.71228,436.7625,"January 29, 25",0.0071227999999999994
2025-01-30,439.0,449.67,439.0,446.38,443.48,2545904,2545904,7.38,1.6800000000000002,443.5125,"January 30, 25",0.016800000000000002
2025-01-31,444.42,448.17,438.64,446.12,443.22,2820700,2820700,1.7000000000000002,0.38252,444.3375,"January 31, 25",0.0038252
2025-02-03,445.03,454.81,440.46,454.21,451.26,2701200,2701200,9.18,2.06,448.6275,"February 03, 25",0.0206
2025-02-04,455.94,458.83,452.83,454.8,451.85,2504031,2504031,-1.1400000000000001,-0.25003000000000003,455.6,"February 04, 25",-0.0025003
2025-02-05,453.4,455.07,450.91,453.7,450.75,2696917,2696917,0.30000000000000004,0.06616674,453.27,"February 05, 25",0.0006616674
2025-02-06,450.03,461.51,450.0,460.68,457.69,2423313,2423313,10.65,2.37,455.555,"February 06, 25",0.023700000000000002
2025-02-07,456.54,458.16,452.5,455.05,452.1,1668297,1668297,-1.49,-0.32637000000000005,455.5625,"February 07, 25",-0.0032637
2025-02-10,454.82,461.12,453.4,460.86,457.87,1876700,1876700,6.04,1.33,457.55,"February 10, 25",0.013300000000000001
2025-02-11,460.25,462.54,459.32,460.74,457.75,1587791,1587791,0.49,0.10646000000000001,460.7125,"February 11, 25",0.0010646
2025-02-12,457.32,460.14,454.55,458.56,455.58,1695200,1695200,1.24,0.27114000000000005,457.6425,"February 12, 25",0.0027113999999999997
2025-02-13,457.56,462.6,457.38,461.05,458.06,2265301,2265301,3.49,0.7627400000000001,459.6475,"February 13, 25",0.0076273999999999995
2025-02-14,461.05,464.1,456.7,457.0,454.03,1705911,1705911,-4.05,-0.87843,459.7125,"February 14, 25",-0.0087843
2025-02-18,454.87,466.03,450.05,465.83,462.81,2808528,2808528,10.96,2.41,459.195,"February 18, 25",0.0241
2025-02-19,460.82,465.64,460.12,462.07,459.07,1884034,1884034,1.25,0.27126,462.1625,"February 19, 25",0.0027126
2025-02-20,459.7,462.13,458.4,461.9,458.9,1335404,1335404,2.2,0.47857000000000005,460.5325,"February 20, 25",0.0047856999999999995
2025-02-21,463.58,465.17,457.52,458.0,455.03,1939600,1939600,-5.58,-1.2,461.0675,"February 21, 25",-0.012
2025-02-24,459.01,464.2,456.02,458.53,455.55,2108438,2108438,-0.48,-0.10457000000000001,459.44,"February 24, 25",-0.0010456999999999999
2025-02-25,459.29,468.99,459.29,467.49,464.45,2342221,2342221,8.2,1.79,463.765,"February 25, 25",0.0179
2025-02-26,466.36,467.51,461.27,461.55,458.55,1576105,1576105,-4.8100000000000005,-1.03,464.1725,"February 26, 25",-0.0103
2025-02-27,463.54,468.23,459.88,460.28,457.29,2071026,2071026,-3.26,-0.70328,462.9825,"February 27, 25",-0.0070328
2025-02-28,465.07,468.34,460.63,467.05,464.02,2332945,2332945,1.98,0.42574,465.2725,"February 28, 25",0.0042574
2025-03-03,469.1,472.23,460.98,462.25,459.25,3072964,3072964,-6.85,-1.46,466.14,"March 03, 25",-0.0146
