date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,764.9,783.96,761.62,773.29,770.38,3576100,3576100,8.39,1.1,770.9425,"January 07, 25",0.011
2025-01-08,773.83,792.56,770.67,787.22,784.26,3478440,3478440,13.39,1.73,781.07,"January 08, 25",0.0173
2025-01-10,791.93,800.0,784.86,799.9,796.89,3973129,3973129,7.97,1.01,794.1725,"January 10, 25",0.010100000000000001
2025-01-13,794.4,805.34,783.61,797.48,794.48,3683849,3683849,3.08,0.38771000000000005,795.2075,"January 13, 25",0.0038770999999999996
2025-01-14,784.23,784.23,729.0,744.91,742.11,10373000,10373000,-39.32,-5.01,760.5925,"January 14, 25",-0.050100000000000006
2025-01-15,749.0,754.6,735.27,746.74,743.93,5736908,5736908,-2.26,-0.30174,746.4025,"January 15, 25",-0.0030174
2025-01-16,747.5,765.51,746.4,757.6,754.75,3070300,3070300,10.1,1.35,754.2525,"January 16, 25",0.0135
2025-01-17,747.83,755.28,725.01,725.72,722.99,5560101,5560101,-22.11,-2.96,738.46,"January 17, 25",-0.0296
2025-01-21,731.27,743.28,726.53,742.35,739.56,5122833,5122833,11.08,1.52,735.8575,"January 21, 25",0.0152
2025-01-22,745.58,760.37,739.05,753.98,751.14,3737800,3737800,8.4,1.13,749.745,"January 22, 25",0.011300000000000001
2025-01-23,747.66,766.6,744.25,766.6,763.72,3127200,3127200,18.94,2.5300000000000002,756.2775,"January 23, 25",0.0253
2025-01-24,761.95,789.29,760.49,785.41,782.45,4170616,4170616,23.46,3.08,774.285,"January 24, 25",0.0308
2025-01-27,778.71,809.25,778.71,808.17,805.13,3915247,3915247,29.46,3.7800000000000002,793.71,"January 27, 25",0.0378
2025-01-28,807.24,816.15,800.11,804.99,801.96,2808800,2808800,-2.25,-0.27873000000000003,807.1225,"January 28, 25",-0.0027873
2025-01-29,806.99,809.12,799.0,804.08,801.05,1827645,1827645,-2.91,-0.36060000000000003,804.7975,"January 29, 25",-0.003606
2025-01-30,808.41,824.62,805.0,823.23,820.13,2643000,2643000,14.82,1.83,815.315,"January 30, 25",0.0183
2025-01-31,823.0,827.35,811.03,811.08,808.03,2562617,2562617,-11.92,-1.45,818.115,"January 31, 25",-0.0145
2025-02-03,804.27,817.96,801.75,810.43,807.38,2808849,2808849,6.16,0.7659100000000001,808.6025,"February 03, 25",0.007659099999999999
2025-02-04,811.05,829.04,805.94,826.07,822.96,4299729,4299729,15.02,1.85,818.025,"February 04, 25",0.018500000000000003
2025-02-05,835.15,846.9,831.06,842.18,839.01,4578900,4578900,7.03,0.8417600000000001,838.8225,"February 05, 25",0.008417599999999999
2025-02-06,839.52,887.74,835.61,870.37,867.1,7138547,7138547,30.85,3.67,858.31,"February 06, 25",0.0367
2025-02-07,876.53,889.36,869.62,878.31,875.01,4426107,4426107,1.78,0.20307000000000003,878.455,"February 07, 25",0.0020307
2025-02-10,877.73,880.0,859.37,868.88,865.61,3065624,3065624,-8.85,-1.01,871.495,"February 10, 25",-0.010100000000000001
2025-02-11,867.03,874.19,860.5,865.0,861.75,1944467,1944467,-2.03,-0.23413000000000003,866.68,"February 11, 25",-0.0023412999999999997
2025-02-12,856.93,877.78,856.11,872.97,869.69,2533400,2533400,16.04,1.87,865.9475,"February 12, 25",0.0187
2025-02-13,877.07,883.5,867.8,871.86,868.58,2472948,2472948,-5.21,-0.5940200000000001,875.0575,"February 13, 25",-0.0059402
2025-02-14,869.1,873.5,841.49,844.27,842.54,3222324,3222324,-24.83,-2.86,857.09,"February 14, 25",-0.0286
2025-02-18,856.42,862.73,851.36,857.2,855.45,4289400,4289400,0.78,0.09107681000000001,856.9275,"February 18, 25",0.0009107681
2025-02-19,857.18,881.33,857.18,867.05,865.28,3205500,3205500,9.88,1.15,865.685,"February 19, 25",0.0115
2025-02-20,866.84,880.32,864.0,873.12,871.33,2990300,2990300,6.28,0.7244700000000001,871.07,"February 20, 25",0.0072447
2025-02-21,880.62,894.4,873.43,873.68,871.89,3940432,3940432,-6.94,-0.7880800000000001,880.5325,"February 21, 25",-0.0078808
2025-02-24,879.29,893.11,870.02,881.4,879.6,3017100,3017100,2.11,0.23997000000000002,880.955,"February 24, 25",0.0023997
2025-02-25,890.74,912.0,890.74,901.8,899.96,5111300,5111300,11.06,1.24,898.82,"February 25, 25",0.012400000000000001
2025-02-26,898.37,922.43,896.6,915.01,913.14,3032835,3032835,16.64,1.85,908.1025,"February 26, 25",0.018500000000000003
2025-02-27,915.72,925.5,904.06,905.16,903.31,3085400,3085400,-10.56,-1.15,912.61,"February 27, 25",-0.0115
2025-02-28,901.84,921.22,892.61,920.63,918.75,4071129,4071129,18.79,2.08,909.075,"February 28, 25",0.020800000000000003
2025-03-03,912.8,935.63,910.0,929.72,927.82,3979800,3979800,16.92,1.85,922.0375,"March 03, 25",0.018500000000000003
2025-03-04,922.24,929.16,902.79,911.06,909.2,3343500,3343500,-11.18,-1.21,916.3125,"March 04, 25",-0.012100000000000001
2025-03-05,904.8,930.49,901.64,929.72,927.82,3109500,3109500,24.92,2.75,916.6625,"March 05, 25",0.0275
2025-03-06,920.42,931.38,898.28,912.76,910.89,3273100,3273100,-7.66,-0.83223,915.71,"March 06, 25",-0.0083223
2025-03-07,905.39,908.0,861.39,869.58,867.8,4818100,4818100,-35.81,-3.96,886.09,"March 07, 25",-0.0396
2025-03-10,853.91,863.19,825.78,829.76,828.06,5962920,5962920,-24.15,-2.83,843.16,"March 10, 25",-0.028300000000000002
2025-03-11,827.2,832.35,811.64,824.06,822.37,3796512,3796512,-3.14,-0.37959000000000004,823.8125,"March 11, 25",-0.0037958999999999996
2025-03-12,814.95,834.65,813.26,821.86,820.18,3014828,3014828,6.91,0.8479,821.18,"March 12, 25",0.008479
2025-03-13,818.24,821.11,795.38,801.65,800.01,3566300,3566300,-16.59,-2.03,809.095,"March 13, 25",-0.020300000000000002
2025-03-14,803.11,815.21,800.0,813.48,811.82,3102321,3102321,10.37,1.29,807.95,"March 14, 25",0.0129
2025-03-17,816.95,829.0,814.57,824.76,823.07,2546600,2546600,7.8100000000000005,0.9559900000000001,821.32,"March 17, 25",0.0095599
2025-03-18,833.42,836.29,812.62,822.51,820.83,2355028,2355028,-10.91,-1.31,826.21,"March 18, 25",-0.0131
2025-03-19,821.72,842.13,819.5,837.01,835.3,3790546,3790546,15.29,1.8599999999999999,830.09,"March 19, 25",0.018600000000000002
2025-03-20,839.03,854.39,832.46,842.57,840.85,4402727,4402727,3.54,0.42192,842.1125,"March 20, 25",0.0042192
2025-03-21,837.8,850.43,825.32,837.57,835.86,5963841,5963841,-0.23,-0.02745285,837.78,"March 21, 25",-0.0002745285
2025-03-24,845.32,866.87,837.76,864.9,863.13,3102400,3102400,19.58,2.32,853.7125,"March 24, 25",0.023200000000000002
2025-03-25,869.55,874.92,847.92,852.35,850.61,2670600,2670600,-17.2,-1.98,861.185,"March 25, 25",-0.0198
2025-03-26,845.69,851.41,826.4,826.76,825.07,2564074,2564074,-18.93,-2.24,837.565,"March 26, 25",-0.0224
2025-03-27,822.82,826.77,815.29,821.67,819.99,2128215,2128215,-1.15,-0.13976000000000002,821.6375,"March 27, 25",-0.0013976
