date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,106.19,106.31,105.67,105.84,103.47,25115700,25115700,-0.35000000000000003,-0.3296,106.0025,"January 07, 25",-0.003296
2025-01-08,105.71,106.11,105.63,106.01,103.64,30143800,30143800,0.30000000000000004,0.2838,105.865,"January 08, 25",0.002838
2025-01-10,105.35,105.74,105.22,105.4,103.04,24613503,24613503,0.05,0.047460840000000004,105.4275,"January 10, 25",0.00047460840000000003
2025-01-13,105.35,105.37,105.03,105.1,102.75,18873300,18873300,-0.25,-0.2373,105.2125,"January 13, 25",-0.002373
2025-01-14,105.2,105.28,104.94,105.22,102.87,27585227,27585227,0.02,0.01901141,105.16,"January 14, 25",0.0001901141
2025-01-15,106.42,106.64,106.22,106.48,104.1,32123637,32123637,0.06,0.05638038,106.44,"January 15, 25",0.0005638038
2025-01-16,106.43,106.91,106.21,106.69,104.3,24583448,24583448,0.26,0.24429,106.56,"January 16, 25",0.0024429
2025-01-17,106.98,107.01,106.71,106.78,104.39,18912033,18912033,-0.2,-0.18695,106.87,"January 17, 25",-0.0018694999999999999
2025-01-21,107.23,107.42,107.12,107.4,105.0,20670600,20670600,0.17,0.15854000000000001,107.2925,"January 21, 25",0.0015853999999999998
2025-01-22,107.4,107.51,107.05,107.06,104.66,18418900,18418900,-0.34,-0.31657,107.255,"January 22, 25",-0.0031657
2025-01-23,106.59,106.92,106.57,106.91,104.52,18118300,18118300,0.32,0.30022000000000004,106.7475,"January 23, 25",0.0030022
2025-01-24,106.87,107.24,106.76,107.12,104.72,13020323,13020323,0.25,0.23393000000000003,106.9975,"January 24, 25",0.0023393
2025-01-27,107.65,107.89,107.51,107.86,105.45,18954317,18954317,0.21,0.19508,107.7275,"January 27, 25",0.0019508
2025-01-28,107.58,107.77,107.48,107.71,105.3,22253100,22253100,0.13,0.12084,107.635,"January 28, 25",0.0012083999999999999
2025-01-29,107.89,107.92,107.23,107.57,105.16,24969100,24969100,-0.32,-0.29660000000000003,107.6525,"January 29, 25",-0.002966
2025-01-30,107.86,108.01,107.66,107.81,105.4,22709300,22709300,-0.05,-0.046356390000000004,107.835,"January 30, 25",-0.00046356390000000004
2025-01-31,107.9,108.02,107.24,107.46,105.06,28454647,28454647,-0.44,-0.40778000000000003,107.655,"January 31, 25",-0.0040777999999999995
2025-02-03,107.36,107.68,107.02,107.24,105.22,21155028,21155028,-0.12,-0.11177000000000001,107.325,"February 03, 25",-0.0011177
2025-02-04,106.98,107.57,106.94,107.45,105.43,25086200,25086200,0.47000000000000003,0.43933000000000005,107.235,"February 04, 25",0.0043933
2025-02-05,108.04,108.43,107.77,108.2,106.16,30119235,30119235,0.16,0.14809,108.11,"February 05, 25",0.0014808999999999998
2025-02-06,108.13,108.29,107.89,108.0,105.97,22557700,22557700,-0.13,-0.12023,108.0775,"February 06, 25",-0.0012023
2025-02-07,107.64,107.72,107.4,107.53,105.51,23911000,23911000,-0.11,-0.10219,107.5725,"February 07, 25",-0.0010218999999999998
2025-02-10,107.63,107.85,107.45,107.56,105.54,15302300,15302300,-0.07,-0.06503763,107.6225,"February 10, 25",-0.0006503763
2025-02-11,107.23,107.4,107.2,107.32,105.3,19478800,19478800,0.09,0.08393174,107.2875,"February 11, 25",0.0008393174
2025-02-12,106.57,106.87,106.36,106.74,104.73,31480600,31480600,0.17,0.15952000000000002,106.635,"February 12, 25",0.0015952
2025-02-13,107.32,107.76,107.28,107.57,105.55,20735519,20735519,0.25,0.23295000000000002,107.4825,"February 13, 25",0.0023295
2025-02-14,108.13,108.35,107.99,107.99,105.96,14409430,14409430,-0.14,-0.12947,108.115,"February 14, 25",-0.0012947
2025-02-18,107.85,107.96,107.47,107.55,105.53,17640000,17640000,-0.30000000000000004,-0.27816,107.7075,"February 18, 25",-0.0027816
2025-02-19,107.51,107.77,107.4,107.61,105.58,26007435,26007435,0.1,0.09301459999999999,107.5725,"February 19, 25",0.0009301460000000001
2025-02-20,107.78,107.95,107.71,107.87,105.84,23814800,23814800,0.09,0.08350343,107.8275,"February 20, 25",0.0008350343
2025-02-21,108.02,108.58,107.99,108.25,106.21,30130768,30130768,0.23,0.21292000000000003,108.21,"February 21, 25",0.0021292
2025-02-24,108.31,108.68,108.18,108.53,106.49,23399527,23399527,0.22,0.20312000000000002,108.425,"February 24, 25",0.0020312
2025-02-25,109.21,109.4,109.06,109.36,107.3,26835200,26835200,0.15,0.13735,109.2575,"February 25, 25",0.0013735
2025-02-26,109.4,109.64,109.19,109.59,107.53,22983146,22983146,0.19,0.17367000000000002,109.455,"February 26, 25",0.0017366999999999999
2025-02-27,109.28,109.45,109.07,109.13,107.08,27258200,27258200,-0.15,-0.13726000000000002,109.2325,"February 27, 25",-0.0013725999999999999
2025-02-28,109.51,109.66,109.15,109.61,107.55,29596100,29596100,0.1,0.09131586,109.4825,"February 28, 25",0.0009131586000000001
2025-03-03,108.94,109.54,108.87,109.54,107.89,42545338,42545338,0.6000000000000001,0.55076,109.2225,"March 03, 25",0.0055076
2025-03-04,109.36,109.55,109.05,109.18,107.53,46053345,46053345,-0.18,-0.16459000000000001,109.285,"March 04, 25",-0.0016458999999999998
2025-03-05,109.33,109.45,108.73,108.83,107.19,45483508,45483508,-0.5,-0.45733,109.085,"March 05, 25",-0.0045733
2025-03-06,108.69,108.84,108.29,108.49,106.85,40519993,40519993,-0.2,-0.18401,108.5775,"March 06, 25",-0.0018401
2025-03-07,109.03,109.03,108.2,108.32,106.69,30747145,30747145,-0.71,-0.6512,108.645,"March 07, 25",-0.0065119999999999996
2025-03-10,108.82,109.06,108.55,108.69,107.05,34294800,34294800,-0.13,-0.11946000000000001,108.78,"March 10, 25",-0.0011945999999999999
2025-03-11,108.61,108.68,107.95,107.98,106.35,42262600,42262600,-0.63,-0.58006,108.305,"March 11, 25",-0.0058005999999999995
2025-03-12,108.03,108.06,107.62,107.66,106.04,35875691,35875691,-0.37,-0.3425,107.8425,"March 12, 25",-0.0034249999999999997
2025-03-13,107.29,108.03,107.18,108.0,106.37,43907986,43907986,0.71,0.66176,107.625,"March 13, 25",0.0066175999999999995
2025-03-14,108.0,108.21,107.87,107.95,106.32,31358135,31358135,-0.05,-0.0462963,108.0075,"March 14, 25",-0.00046296300000000005
2025-03-17,108.35,108.56,108.12,108.17,106.54,17561400,17561400,-0.17500000000000002,-0.16613,108.3,"March 17, 25",-0.0016612999999999999
2025-03-18,108.14,108.66,108.02,108.43,106.79,27948148,27948148,0.29,0.26817,108.3125,"March 18, 25",0.0026817
2025-03-19,108.45,109.18,108.28,109.07,107.42,27469802,27469802,0.62,0.57169,108.745,"March 19, 25",0.0057169
2025-03-20,109.64,109.65,108.9,108.91,107.27,26937327,26937327,-0.73,-0.6658200000000001,109.275,"March 20, 25",-0.0066581999999999995
2025-03-21,108.98,109.1,108.69,108.76,107.12,26447414,26447414,-0.22,-0.20187000000000002,108.8825,"March 21, 25",-0.0020187
2025-03-24,108.64,108.64,108.21,108.29,106.66,25243300,25243300,-0.35000000000000003,-0.32216,108.445,"March 24, 25",-0.0032216
2025-03-25,108.29,108.62,108.19,108.4,106.76,22744000,22744000,0.11,0.10158,108.375,"March 25, 25",0.0010157999999999999
2025-03-26,108.22,108.22,107.91,107.96,106.33,17115600,17115600,-0.26,-0.24025000000000002,108.0775,"March 26, 25",-0.0024024999999999997
2025-03-27,107.77,107.87,107.64,107.83,106.2,22028929,22028929,0.06,0.05567412,107.7775,"March 27, 25",0.0005567412
2025-03-28,108.3,108.53,108.15,108.48,106.84,27257043,27257043,0.18,0.16620000000000001,108.365,"March 28, 25",0.0016619999999999998
2025-03-31,108.75,108.82,108.3,108.69,107.05,29834513,29834513,-0.06,-0.05517241,108.64,"March 31, 25",-0.0005517241
2025-04-01,108.53,108.9,108.48,108.66,107.43,22059217,22059217,0.13,0.11978000000000001,108.6425,"April 01, 25",0.0011978
2025-04-02,109.01,109.01,108.35,108.91,107.68,24769000,24769000,-0.1,-0.0917347,108.82,"April 02, 25",-0.0009173470000000001
2025-04-03,109.11,109.54,108.75,108.9,107.67,41675721,41675721,-0.21,-0.19247,109.075,"April 03, 25",-0.0019247
2025-04-04,109.13,109.47,108.5,108.78,107.55,60793800,60793800,-0.35000000000000003,-0.32072,108.97,"April 04, 25",-0.0032072
2025-04-07,107.77,108.27,106.36,106.66,105.45,62583300,62583300,-1.11,-1.03,107.265,"April 07, 25",-0.0103
2025-04-08,106.84,106.91,104.97,105.31,104.12,56747800,56747800,-1.53,-1.43,106.0075,"April 08, 25",-0.0143
2025-04-09,104.09,107.11,103.77,107.07,105.86,77380700,77380700,2.98,2.86,105.51,"April 09, 25",0.0286
2025-04-10,105.96,106.35,105.06,105.25,104.06,55825045,55825045,-0.71,-0.6700600000000001,105.655,"April 10, 25",-0.006700599999999999
2025-04-11,104.53,105.43,103.45,105.23,104.04,41686900,41686900,0.7000000000000001,0.66966,104.66,"April 11, 25",0.0066966
2025-04-14,105.99,106.09,105.48,105.88,104.68,28111924,28111924,-0.11,-0.10378000000000001,105.86,"April 14, 25",-0.0010378
2025-04-15,105.93,106.61,105.88,106.45,105.25,20502638,20502638,0.52,0.49089000000000005,106.2175,"April 15, 25",0.0049089
2025-04-16,106.55,106.91,106.28,106.9,105.69,24639810,24639810,0.35000000000000003,0.32848000000000005,106.66,"April 16, 25",0.0032848
2025-04-17,106.91,107.0,106.57,106.75,105.54,11483700,11483700,-0.16,-0.14966000000000002,106.8075,"April 17, 25",-0.0014965999999999998
2025-04-21,106.21,106.38,105.51,105.6,104.41,23506711,23506711,-0.61,-0.57433,105.925,"April 21, 25",-0.0057433
2025-04-22,106.18,106.23,105.82,105.86,104.66,20939647,20939647,-0.32,-0.30138000000000004,106.0225,"April 22, 25",-0.0030138
2025-04-23,107.55,107.67,106.31,106.33,105.13,31155900,31155900,-1.22,-1.13,106.965,"April 23, 25",-0.011300000000000001
2025-04-24,107.06,107.48,106.87,107.42,106.21,23838700,23838700,0.36,0.33626,107.2075,"April 24, 25",0.0033626
2025-04-25,107.83,108.04,107.65,107.99,106.77,14575339,14575339,0.16,0.14838,107.8775,"April 25, 25",0.0014838
2025-04-28,107.89,108.35,107.88,108.24,107.02,18297965,18297965,0.35000000000000003,0.3244,108.09,"April 28, 25",0.003244
2025-04-29,108.06,108.5,108.05,108.49,107.26,19346200,19346200,0.43,0.39793,108.275,"April 29, 25",0.0039793
2025-04-30,108.13,108.29,107.81,107.98,106.76,35129300,35129300,-0.15,-0.13872,108.0525,"April 30, 25",-0.0013871999999999999
2025-05-01,107.76,107.76,107.09,107.17,106.38,28056353,28056353,-0.59,-0.54751,107.445,"May 01, 25",-0.0054751
2025-05-02,106.84,107.04,106.7,106.91,106.13,20302141,20302141,0.07,0.06551853,106.8725,"May 02, 25",0.0006551853000000001
2025-05-05,106.64,106.81,106.3,106.76,105.98,20005800,20005800,0.12,0.11253,106.6275,"May 05, 25",0.0011252999999999999
2025-05-06,106.46,106.98,106.37,106.97,106.19,29906500,29906500,0.51,0.47905000000000003,106.695,"May 06, 25",0.0047905
2025-05-07,107.19,107.3,107.0,107.19,106.4,19892885,19892885,0.0,0.0,107.17,"May 07, 25",0.0
2025-05-08,107.35,107.43,106.65,106.65,105.87,25149707,25149707,-0.7000000000000001,-0.65207,107.02,"May 08, 25",-0.0065207
2025-05-09,106.93,107.03,106.58,106.61,105.83,18254752,18254752,-0.32,-0.29926,106.7875,"May 09, 25",-0.0029925999999999998
2025-05-12,106.59,106.83,106.49,106.59,105.81,28270900,28270900,0.0,0.0,106.625,"May 12, 25",0.0
2025-05-13,106.69,106.82,106.47,106.68,105.9,32005730,32005730,-0.01,-0.00937295,106.665,"May 13, 25",-9.37295e-05
2025-05-14,106.58,106.71,106.1,106.14,105.36,25340651,25340651,-0.44,-0.41284000000000004,106.3825,"May 14, 25",-0.0041284
2025-05-15,106.39,106.96,106.32,106.9,106.12,30008300,30008300,0.515,0.47937,106.6425,"May 15, 25",0.0047937
2025-05-16,107.39,107.4,106.95,107.1,106.31,21888743,21888743,-0.29,-0.27004,107.21,"May 16, 25",-0.0027004
2025-05-19,106.16,107.17,106.06,107.11,106.32,33615600,33615600,0.9500000000000001,0.8948800000000001,106.625,"May 19, 25",0.0089488
2025-05-20,106.8,106.98,106.61,106.85,106.07,23036242,23036242,0.05,0.04681648,106.81,"May 20, 25",0.00046816480000000003
