date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,513.68,516.33,511.08,511.4,509.15,2211877,2211877,-2.2800000000000002,-0.44386000000000003,513.1225,"January 07, 25",-0.0044386
2025-01-08,512.04,517.45,511.53,516.4,514.13,2456715,2456715,4.36,0.8515,514.355,"January 08, 25",0.008515
2025-01-10,512.12,513.76,503.36,504.67,503.19,2815624,2815624,-7.45,-1.45,508.4775,"January 10, 25",-0.0145
2025-01-13,501.0,506.15,499.92,504.91,503.43,2885549,2885549,3.91,0.78044,502.995,"January 13, 25",0.0078043999999999995
2025-01-14,507.07,509.39,504.21,509.02,507.53,2704800,2704800,1.9500000000000002,0.38456,507.4225,"January 14, 25",0.0038456
2025-01-15,515.57,523.77,513.73,522.35,520.82,3025066,3025066,6.78,1.32,518.855,"January 15, 25",0.0132
2025-01-16,523.62,527.12,520.72,523.14,521.61,3275700,3275700,-0.48,-0.09166953,523.65,"January 16, 25",-0.0009166953
2025-01-17,524.58,528.13,521.01,524.7,523.16,2374800,2374800,0.12,0.02287544,524.605,"January 17, 25",0.0002287544
2025-01-21,527.66,529.98,526.91,528.06,526.51,2706947,2706947,0.4,0.07580639,528.1525,"January 21, 25",0.0007580639
2025-01-22,528.0,530.3,525.67,527.18,525.63,2037643,2037643,-0.8200000000000001,-0.1553,527.7875,"January 22, 25",-0.001553
2025-01-23,529.05,534.35,528.68,534.22,532.65,2196500,2196500,5.17,0.9772200000000001,531.575,"January 23, 25",0.0097722
2025-01-24,532.99,536.06,532.15,533.49,531.93,2473012,2473012,0.5,0.09381039000000001,533.6725,"January 24, 25",0.0009381039
2025-01-27,533.58,547.99,531.66,547.64,546.03,3074807,3074807,14.06,2.64,540.2175,"January 27, 25",0.0264
2025-01-28,546.54,551.55,542.66,547.36,545.75,2727800,2727800,0.8200000000000001,0.15003000000000002,547.0275,"January 28, 25",0.0015003
2025-01-29,547.0,550.61,546.5,548.8,547.19,2549001,2549001,1.8,0.32907000000000003,548.2275,"January 29, 25",0.0032906999999999997
2025-01-30,555.0,576.94,554.53,566.01,564.35,6005206,6005206,11.01,1.98,563.12,"January 30, 25",0.0198
2025-01-31,563.82,565.54,554.64,555.43,553.8,4505520,4505520,-8.39,-1.49,559.8575,"January 31, 25",-0.0149
