date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,293.78,294.93,288.28,289.34,286.06,3419500,3419500,-4.44,-1.51,291.5825,"January 07, 25",-0.0151
2025-01-08,288.97,289.14,286.55,286.9,283.64,2724217,2724217,-2.07,-0.7163400000000001,287.89,"January 08, 25",-0.0071633999999999995
2025-01-10,287.5,287.77,281.78,282.31,279.11,3946002,3946002,-5.19,-1.81,284.84,"January 10, 25",-0.0181
2025-01-13,282.94,284.5,280.35,283.63,280.41,3394300,3394300,0.6900000000000001,0.24387000000000003,282.855,"January 13, 25",0.0024387
2025-01-14,285.02,285.35,279.38,281.58,278.38,2238900,2238900,-3.44,-1.21,282.8325,"January 14, 25",-0.012100000000000001
2025-01-15,284.33,284.65,280.61,282.3,279.1,2867800,2867800,-2.03,-0.71396,282.9725,"January 15, 25",-0.007139599999999999
2025-01-16,280.24,280.95,276.53,279.74,276.57,3403700,3403700,-0.5,-0.17842000000000002,279.365,"January 16, 25",-0.0017842
2025-01-17,280.98,284.08,280.0,280.95,277.76,3312800,3312800,-0.03,-0.01067692,281.5025,"January 17, 25",-0.00010676920000000001
2025-01-21,280.76,282.9,278.73,282.61,279.4,3858600,3858600,1.85,0.65893,281.25,"January 21, 25",0.006589299999999999
2025-01-22,283.3,283.53,280.4,281.35,278.16,3660600,3660600,-1.9500000000000002,-0.68832,282.145,"January 22, 25",-0.0068832
2025-01-23,280.75,285.0,280.65,284.43,281.2,2279408,2279408,3.68,1.31,282.7075,"January 23, 25",0.0131
2025-01-24,284.51,286.85,283.28,285.46,282.22,2523397,2523397,0.9550000000000001,0.33391000000000004,285.025,"January 24, 25",0.0033391
2025-01-27,286.61,293.43,285.81,293.09,289.76,4343019,4343019,6.48,2.26,289.735,"January 27, 25",0.022600000000000002
2025-01-28,292.4,294.49,290.0,291.15,287.85,3180370,3180370,-1.25,-0.42750000000000005,292.01,"January 28, 25",-0.004275
2025-01-29,291.38,293.14,290.0,290.11,286.82,2358300,2358300,-1.27,-0.43586,291.1575,"January 29, 25",-0.0043586
2025-01-30,290.91,292.08,289.36,290.32,287.03,2125200,2125200,-0.59,-0.20281000000000002,290.6675,"January 30, 25",-0.0020280999999999997
2025-01-31,289.83,291.25,287.35,288.7,285.42,2557033,2557033,-1.13,-0.38988,289.2825,"January 31, 25",-0.0038988
2025-02-03,287.02,290.9,284.19,290.05,286.76,3049143,3049143,3.03,1.06,288.04,"February 03, 25",0.0106
2025-02-04,289.76,290.64,288.37,289.77,286.48,2977102,2977102,0.01,0.00345113,289.635,"February 04, 25",3.45113e-05
2025-02-05,290.0,290.27,286.34,288.83,285.55,2363168,2363168,-1.17,-0.40345000000000003,288.86,"February 05, 25",-0.0040345
2025-02-06,291.59,297.15,290.32,294.36,291.02,3590000,3590000,2.77,0.94996,293.355,"February 06, 25",0.0094996
2025-02-07,294.36,296.85,293.82,294.3,290.96,2858016,2858016,-0.06,-0.0203832,294.8325,"February 07, 25",-0.000203832
2025-02-10,302.27,310.28,301.51,308.42,304.92,8052000,8052000,6.15,2.03,305.62,"February 10, 25",0.020300000000000002
2025-02-11,307.37,311.59,306.17,310.21,306.69,4180762,4180762,2.84,0.9239700000000001,308.835,"February 11, 25",0.0092397
2025-02-12,309.58,310.09,305.77,307.6,304.11,3110228,3110228,-1.98,-0.63958,308.26,"February 12, 25",-0.0063958
2025-02-13,307.5,311.53,305.63,310.02,306.5,3097175,3097175,2.52,0.8195100000000001,308.67,"February 13, 25",0.0081951
2025-02-14,310.2,311.0,307.78,308.55,305.05,2674400,2674400,-1.65,-0.53191,309.3825,"February 14, 25",-0.005319099999999999
2025-02-18,307.35,307.35,303.54,304.83,301.37,3368090,3368090,-2.52,-0.81991,305.7675,"February 18, 25",-0.008199099999999999
2025-02-19,303.32,303.79,299.51,301.94,298.51,2990851,2990851,-1.38,-0.45497000000000004,302.14,"February 19, 25",-0.004549699999999999
2025-02-20,300.83,303.13,298.15,303.05,299.61,3020024,3020024,2.22,0.7379600000000001,301.29,"February 20, 25",0.0073796
2025-02-21,303.92,305.96,301.59,304.81,301.35,3036700,3036700,0.89,0.29284000000000004,304.07,"February 21, 25",0.0029284
2025-02-24,305.0,310.44,304.12,307.57,304.08,3397600,3397600,2.5700000000000003,0.84262,306.7825,"February 24, 25",0.0084262
2025-02-25,309.18,311.71,307.99,310.72,307.19,3891600,3891600,1.54,0.49809000000000003,309.9,"February 25, 25",0.0049809
2025-02-26,311.7,314.55,303.68,304.27,300.82,4140908,4140908,-7.43,-2.38,308.55,"February 26, 25",-0.0238
2025-02-27,305.19,311.78,304.22,309.95,306.43,3350723,3350723,4.76,1.56,307.785,"February 27, 25",0.015600000000000001
2025-02-28,307.61,308.52,303.88,308.33,304.83,4972900,4972900,0.725,0.23406000000000002,307.085,"February 28, 25",0.0023406
2025-03-03,308.11,309.49,302.43,304.29,302.57,4371634,4371634,-3.8200000000000003,-1.24,306.08,"March 03, 25",-0.012400000000000001
2025-03-04,304.59,312.93,304.59,305.77,304.05,3954691,3954691,1.18,0.38741000000000003,306.97,"March 04, 25",0.0038740999999999997
2025-03-05,304.0,308.46,303.37,307.45,305.72,2327500,2327500,3.45,1.13,305.82,"March 05, 25",0.011300000000000001
2025-03-06,307.8,311.35,304.38,310.37,308.62,2954920,2954920,2.5700000000000003,0.83496,308.475,"March 06, 25",0.0083496
2025-03-07,310.82,323.17,310.35,321.29,319.48,7607616,7607616,10.47,3.37,316.4075,"March 07, 25",0.0337
2025-03-10,320.09,326.32,315.74,317.25,315.46,4707600,4707600,-2.84,-0.8872500000000001,319.85,"March 10, 25",-0.0088725
2025-03-11,317.62,317.7,306.31,306.76,305.03,4513135,4513135,-10.86,-3.42,312.0975,"March 11, 25",-0.0342
2025-03-12,303.69,306.43,296.35,299.4,297.71,4546240,4546240,-4.29,-1.4100000000000001,301.4675,"March 12, 25",-0.014100000000000001
2025-03-13,300.43,303.46,297.27,297.5,295.82,4178882,4178882,-2.93,-0.9752700000000001,299.665,"March 13, 25",-0.0097527
2025-03-14,296.97,300.67,295.71,299.83,298.14,2696979,2696979,2.86,0.96306,298.295,"March 14, 25",0.0096306
2025-03-17,301.3,305.23,300.03,303.97,302.26,2758628,2758628,2.67,0.8861600000000001,302.6325,"March 17, 25",0.008861599999999999
2025-03-18,304.97,304.97,302.27,303.6,301.89,2435418,2435418,-1.37,-0.44922000000000006,303.9525,"March 18, 25",-0.0044922
2025-03-19,303.99,308.08,303.63,306.92,305.19,2812212,2812212,2.93,0.9638500000000001,305.655,"March 19, 25",0.0096385
2025-03-20,308.03,309.66,305.51,307.0,305.27,2723500,2723500,-1.03,-0.33438,307.55,"March 20, 25",-0.0033437999999999996
2025-03-21,306.39,307.0,301.64,305.44,303.72,6016138,6016138,-0.9500000000000001,-0.31006,305.1175,"March 21, 25",-0.0031006
2025-03-24,306.3,307.95,304.53,305.67,303.95,3443511,3443511,-0.63,-0.20568000000000003,306.1125,"March 24, 25",-0.0020568
