date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,80.37,81.07,79.74,79.87,78.59,7363342,7363342,-0.5,-0.62212,80.2625,"January 07, 25",-0.0062212
2025-01-08,80.41,83.22,80.35,82.68,81.35,11154164,11154164,2.27,2.8200000000000003,81.665,"January 08, 25",0.028200000000000003
2025-01-10,82.0,82.49,80.51,80.66,79.37,7068239,7068239,-1.34,-1.63,81.415,"January 10, 25",-0.016300000000000002
2025-01-13,80.91,82.12,80.01,81.79,80.48,6487705,6487705,0.88,1.09,81.2075,"January 13, 25",0.0109
2025-01-14,83.39,85.31,83.11,85.25,83.88,13399703,13399703,1.8599999999999999,2.23,84.265,"January 14, 25",0.0223
2025-01-15,83.92,85.89,83.92,85.4,84.03,12261139,12261139,1.48,1.76,84.7825,"January 15, 25",0.0176
2025-01-16,85.43,87.22,85.03,87.16,85.76,7267500,7267500,1.73,2.03,86.21,"January 16, 25",0.020300000000000002
2025-01-17,87.25,88.63,87.05,88.08,86.67,9578900,9578900,0.8300000000000001,0.9512900000000001,87.7525,"January 17, 25",0.0095129
2025-01-21,88.45,88.7,87.77,88.38,86.96,8376600,8376600,-0.07,-0.07914076,88.325,"January 21, 25",-0.0007914076
2025-01-22,88.24,88.46,87.42,87.84,86.43,5222900,5222900,-0.4,-0.45331000000000005,87.99,"January 22, 25",-0.0045331
2025-01-23,87.87,89.33,87.8,89.25,87.82,5694300,5694300,1.38,1.57,88.5625,"January 23, 25",0.015700000000000002
2025-01-24,89.11,90.3,88.82,90.19,88.74,7349517,7349517,1.08,1.21,89.605,"January 24, 25",0.012100000000000001
2025-01-27,90.66,92.48,90.35,92.46,90.98,9164300,9164300,1.8,1.99,91.4875,"January 27, 25",0.0199
2025-01-28,92.46,93.08,91.67,91.98,90.5,7961373,7961373,-0.48,-0.51914,92.2975,"January 28, 25",-0.0051914
2025-01-29,92.53,92.98,91.36,91.41,89.94,5514700,5514700,-1.12,-1.21,92.07,"January 29, 25",-0.012100000000000001
2025-01-30,91.72,92.82,91.46,91.99,90.51,5101862,5101862,0.27,0.29437,91.9975,"January 30, 25",0.0029437
2025-01-31,91.72,92.1,90.65,90.82,89.36,7216805,7216805,-0.9,-0.9812500000000001,91.3225,"January 31, 25",-0.0098125
2025-02-03,90.27,91.21,89.25,90.53,89.08,5800340,5800340,0.26,0.28802,90.315,"February 03, 25",0.0028802
2025-02-04,89.86,91.11,89.7,90.97,89.51,5196300,5196300,1.11,1.24,90.41,"February 04, 25",0.012400000000000001
2025-02-05,91.27,92.07,90.68,91.69,90.22,5181172,5181172,0.42,0.46017,91.4275,"February 05, 25",0.004601699999999999
2025-02-06,91.26,91.94,90.76,90.82,89.36,4509493,4509493,-0.44,-0.48214,91.195,"February 06, 25",-0.0048214
