date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,631.7,632.1,608.23,617.89,616.87,12071500,12071500,-13.81,-2.19,622.48,"January 07, 25",-0.0219
2025-01-08,613.4,616.44,602.79,610.72,609.71,10085846,10085846,-2.67,-0.43691,610.8375,"January 08, 25",-0.0043691
2025-01-10,610.03,629.91,597.34,615.86,614.84,19256600,19256600,5.83,0.95569,613.285,"January 10, 25",0.0095569
2025-01-13,607.1,608.97,598.45,608.33,607.32,10785031,10785031,1.23,0.2026,605.7125,"January 13, 25",0.002026
2025-01-14,605.07,605.49,588.55,594.25,593.27,13598000,13598000,-10.82,-1.79,598.34,"January 14, 25",-0.0179
2025-01-15,610.21,622.46,606.5,617.12,616.1,15524302,15524302,6.91,1.13,614.0725,"January 15, 25",0.011300000000000001
2025-01-16,611.5,616.25,609.71,611.3,610.29,8355349,8355349,-0.2,-0.03270646,612.19,"January 16, 25",-0.0003270646
2025-01-17,624.05,624.97,603.67,612.77,611.75,17280600,17280600,-11.28,-1.81,616.365,"January 17, 25",-0.0181
2025-01-21,617.83,621.5,609.01,616.46,615.44,11674016,11674016,-1.37,-0.22174000000000002,616.2,"January 21, 25",-0.0022174
2025-01-22,623.3,633.7,619.43,623.5,622.47,12274011,12274011,0.2,0.03208728,624.9825,"January 22, 25",0.0003208728
2025-01-23,627.36,636.6,621.15,636.45,635.4,9910200,9910200,9.09,1.45,630.39,"January 23, 25",0.0145
2025-01-24,636.4,652.0,634.2,647.49,646.42,19065329,19065329,11.09,1.74,642.5225,"January 24, 25",0.017400000000000002
2025-01-27,626.61,663.87,625.1,659.88,658.79,28399200,28399200,33.27,5.31,643.865,"January 27, 25",0.0531
2025-01-28,666.0,682.58,659.47,674.33,673.21,20950107,20950107,8.33,1.25,670.595,"January 28, 25",0.0125
2025-01-29,675.0,681.05,665.67,676.49,675.37,21377820,21377820,1.49,0.22074000000000002,674.5525,"January 29, 25",0.0022074
2025-01-30,696.82,710.79,676.1,687.0,685.86,29322900,29322900,-9.82,-1.4100000000000001,692.6775,"January 30, 25",-0.014100000000000001
2025-01-31,691.0,705.3,685.58,689.18,688.04,19331700,19331700,-1.82,-0.26339,692.765,"January 31, 25",-0.0026338999999999998
2025-02-03,675.91,704.0,675.25,697.46,696.3,21415739,21415739,21.55,3.19,688.155,"February 03, 25",0.031900000000000005
2025-02-04,702.5,707.71,691.61,704.19,703.02,13826300,13826300,1.69,0.24057,701.5025,"February 04, 25",0.0024056999999999998
2025-02-05,703.55,718.14,699.01,704.87,703.7,17793766,17793766,1.32,0.18762,706.3925,"February 05, 25",0.0018762
