date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,100.13,102.97,100.05,101.02,99.16,10890900,10890900,0.89,0.8888400000000001,101.0425,"January 07, 25",0.0088884
2025-01-08,100.7,100.77,98.05,99.85,98.01,8654722,8654722,-0.85,-0.8440900000000001,99.8425,"January 08, 25",-0.0084409
2025-01-10,99.21,100.41,98.81,99.25,97.42,11328770,11328770,0.04,0.040318520000000004,99.42,"January 10, 25",0.00040318520000000004
2025-01-13,99.46,101.16,98.99,100.98,99.12,8168100,8168100,1.52,1.53,100.1475,"January 13, 25",0.015300000000000001
2025-01-14,101.26,101.49,99.01,99.65,97.82,10927440,10927440,-1.6099999999999999,-1.5899999999999999,100.3525,"January 14, 25",-0.0159
2025-01-15,100.1,100.82,99.61,100.09,98.25,9170335,9170335,-0.005,-0.00999001,100.155,"January 15, 25",-9.990010000000001e-05
2025-01-16,100.44,100.9,99.95,100.7,98.85,7749642,7749642,0.26,0.25886000000000003,100.4975,"January 16, 25",0.0025886
2025-01-17,100.47,100.47,97.92,97.92,96.12,16182000,16182000,-2.55,-2.54,99.195,"January 17, 25",-0.025400000000000002
2025-01-21,98.08,98.27,95.76,96.24,94.47,17756100,17756100,-1.8399999999999999,-1.88,97.0875,"January 21, 25",-0.0188
2025-01-22,95.96,97.0,95.15,95.68,93.92,13070900,13070900,-0.275,-0.29179000000000005,95.9475,"January 22, 25",-0.0029178999999999997
2025-01-23,96.11,97.16,95.22,96.63,94.85,11522811,11522811,0.52,0.54105,96.28,"January 23, 25",0.0054104999999999995
2025-01-24,96.79,97.1,95.41,95.55,93.79,12244800,12244800,-1.24,-1.28,96.2125,"January 24, 25",-0.0128
2025-01-27,96.63,98.62,95.98,97.94,96.14,15093400,15093400,1.31,1.3599999999999999,97.2925,"January 27, 25",0.013600000000000001
