date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,429.0,430.65,420.8,422.37,420.75,18139100,18139100,-6.63,-1.55,425.705,"January 07, 25",-0.0155
2025-01-08,423.46,426.97,421.54,424.56,422.93,15054600,15054600,1.1,0.25976000000000005,424.1325,"January 08, 25",0.0025976
2025-01-10,424.63,424.71,415.02,418.95,417.35,20201132,20201132,-5.68,-1.34,420.8275,"January 10, 25",-0.0134
2025-01-13,415.24,418.5,412.29,417.19,415.59,17604800,17604800,1.9500000000000002,0.46961,415.805,"January 13, 25",0.0046961
2025-01-14,417.81,419.74,410.72,415.67,414.08,16935900,16935900,-2.14,-0.51219,415.985,"January 14, 25",-0.0051218999999999995
2025-01-15,419.13,428.15,418.27,426.31,424.68,19637838,19637838,7.18,1.71,422.965,"January 15, 25",0.0171
2025-01-16,428.7,429.49,424.39,424.58,422.95,15300023,15300023,-4.12,-0.9610500000000001,426.79,"January 16, 25",-0.0096105
2025-01-17,434.09,434.48,428.17,429.03,427.39,26197507,26197507,-5.06,-1.17,431.4425,"January 17, 25",-0.0117
2025-01-21,430.2,430.9,425.6,428.5,426.86,26085703,26085703,-1.7000000000000002,-0.39517,428.8,"January 21, 25",-0.0039517
2025-01-22,437.56,447.27,436.0,446.2,444.49,27803811,27803811,8.64,1.97,441.7575,"January 22, 25",0.019700000000000002
2025-01-23,442.0,446.75,441.5,446.71,445.0,18389300,18389300,4.71,1.07,444.24,"January 23, 25",0.010700000000000001
2025-01-24,445.16,446.65,441.4,444.06,442.36,15549500,15549500,-1.1,-0.24710000000000001,444.3175,"January 24, 25",-0.0024709999999999997
2025-01-27,424.01,435.2,423.5,434.56,432.9,35647805,35647805,10.55,2.49,429.3175,"January 27, 25",0.024900000000000002
2025-01-28,434.6,448.38,431.38,447.2,445.49,23491703,23491703,12.6,2.9,440.39,"January 28, 25",0.029
2025-01-29,446.69,446.88,440.4,442.33,440.64,23581400,23581400,-4.36,-0.9760700000000001,444.075,"January 29, 25",-0.009760699999999999
2025-01-30,418.77,422.86,413.16,414.99,413.4,54586300,54586300,-3.7800000000000002,-0.9026400000000001,417.445,"January 30, 25",-0.0090264
2025-01-31,418.98,420.69,414.91,415.06,413.47,34223400,34223400,-3.92,-0.93561,417.41,"January 31, 25",-0.0093561
2025-02-03,411.6,415.41,408.66,410.92,409.35,25679149,25679149,-0.68,-0.16521000000000002,411.6475,"February 03, 25",-0.0016520999999999999
2025-02-04,412.69,413.92,409.74,412.37,410.79,20532100,20532100,-0.315,-0.07754004,412.18,"February 04, 25",-0.0007754004
2025-02-05,412.35,413.83,410.4,413.29,411.71,16336188,16336188,0.9400000000000001,0.22796000000000002,412.4675,"February 05, 25",0.0022795999999999997
2025-02-06,414.0,418.2,414.0,415.82,414.23,16309800,16309800,1.82,0.43961000000000006,415.505,"February 06, 25",0.0043961
2025-02-07,416.48,418.65,408.1,409.75,408.18,22886844,22886844,-6.73,-1.62,413.245,"February 07, 25",-0.0162
2025-02-10,413.71,415.46,410.92,412.22,410.64,20817919,20817919,-1.49,-0.36016000000000004,413.0775,"February 10, 25",-0.0036016
2025-02-11,409.64,412.49,409.3,411.44,409.86,18140600,18140600,1.8,0.43941,410.7175,"February 11, 25",0.0043941
2025-02-12,407.21,410.75,404.37,409.04,407.47,19121734,19121734,1.83,0.4494,407.8425,"February 12, 25",0.004494
2025-02-13,407.0,411.0,406.36,410.54,408.97,23891731,23891731,3.54,0.8697800000000001,408.725,"February 13, 25",0.0086978
2025-02-14,407.79,408.91,405.88,408.43,406.87,22758500,22758500,0.64,0.15694000000000002,407.7525,"February 14, 25",0.0015693999999999999
2025-02-18,408.0,410.6,406.5,409.64,408.07,21423100,21423100,1.6400000000000001,0.40196000000000004,408.685,"February 18, 25",0.0040196
2025-02-19,407.88,415.49,407.65,414.77,413.18,24114200,24114200,6.89,1.69,411.4475,"February 19, 25",0.016900000000000002
2025-02-20,415.29,419.31,412.54,416.13,415.37,23508728,23508728,0.84,0.20227,415.8175,"February 20, 25",0.0020227
2025-02-21,417.34,418.05,407.89,408.21,407.46,27524800,27524800,-9.12,-2.19,412.8725,"February 21, 25",-0.0219
