date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,71.46,71.9,70.06,70.43,69.29,8975403,8975403,-1.03,-1.44,70.9625,"January 07, 25",-0.014400000000000001
2025-01-08,70.02,70.7,69.46,70.66,69.52,7930615,7930615,0.64,0.91402,70.21,"January 08, 25",0.0091402
2025-01-10,69.99,70.07,67.07,67.38,66.29,16261800,16261800,-2.61,-3.73,68.6275,"January 10, 25",-0.0373
2025-01-13,67.22,67.36,65.89,66.96,65.88,17056600,17056600,-0.26,-0.38679,66.8575,"January 13, 25",-0.0038678999999999996
2025-01-14,66.98,68.01,66.88,67.98,66.88,10699320,10699320,1.0,1.49,67.4625,"January 14, 25",0.0149
2025-01-15,69.27,70.04,69.01,69.29,68.17,12416500,12416500,0.02,0.02887253,69.4025,"January 15, 25",0.00028872530000000003
2025-01-16,68.96,71.42,68.89,71.37,70.22,11469500,11469500,2.41,3.49,70.16,"January 16, 25",0.0349
2025-01-17,71.09,71.84,70.74,70.76,69.62,12664620,12664620,-0.33,-0.4642,71.1075,"January 17, 25",-0.004641999999999999
2025-01-21,71.36,71.88,70.78,70.85,69.71,12153825,12153825,-0.51,-0.71469,71.2175,"January 21, 25",-0.0071468999999999994
2025-01-22,70.56,70.57,68.34,68.49,67.39,14415200,14415200,-2.07,-2.93,69.49,"January 22, 25",-0.029300000000000003
2025-01-23,68.85,69.35,68.27,69.23,68.11,10780100,10780100,0.38,0.5519200000000001,68.925,"January 23, 25",0.0055192
2025-01-24,68.1,74.05,68.0,72.83,71.66,24588509,24588509,4.73,6.95,70.745,"January 24, 25",0.0695
2025-01-27,73.3,73.93,70.64,73.88,72.69,19128900,19128900,0.58,0.79127,72.9375,"January 27, 25",0.0079127
2025-01-28,72.33,72.88,69.92,70.54,69.4,16630500,16630500,-1.79,-2.47,71.4175,"January 28, 25",-0.0247
2025-01-29,70.75,71.52,70.61,70.89,69.75,9496700,9496700,0.14,0.19788000000000003,70.9425,"January 29, 25",0.0019787999999999997
2025-01-30,71.99,72.0,70.79,71.3,70.15,8639210,8639210,-0.6900000000000001,-0.95847,71.52,"January 30, 25",-0.0095847
2025-01-31,71.51,71.73,70.93,71.56,70.41,10709600,10709600,0.05,0.06992029,71.4325,"January 31, 25",0.0006992029
2025-02-03,70.5,71.79,70.19,71.05,69.9,9128746,9128746,0.55,0.7801400000000001,70.8825,"February 03, 25",0.0078014
2025-02-04,70.25,70.85,69.62,69.9,68.77,10574726,10574726,-0.35000000000000003,-0.49822000000000005,70.155,"February 04, 25",-0.0049822
2025-02-05,70.75,70.79,69.14,69.2,68.08,9026138,9026138,-1.55,-2.19,69.97,"February 05, 25",-0.0219
2025-02-06,69.4,69.62,68.26,69.27,68.15,9145309,9145309,-0.13,-0.18732000000000001,69.1375,"February 06, 25",-0.0018732
2025-02-07,69.14,69.39,68.2,68.27,67.17,9320400,9320400,-0.87,-1.26,68.75,"February 07, 25",-0.0126
