date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,72.4,73.44,71.98,72.09,71.25,10463514,10463514,-0.31,-0.42818000000000006,72.4775,"January 07, 25",-0.0042818
2025-01-08,71.56,71.82,71.01,71.29,70.46,11855000,11855000,-0.27,-0.37731000000000003,71.42,"January 08, 25",-0.0037730999999999997
2025-01-10,71.85,72.39,71.09,71.2,70.37,15677400,15677400,-0.65,-0.90466,71.6325,"January 10, 25",-0.0090466
2025-01-13,71.17,72.6,70.78,72.08,71.24,14584312,14584312,0.91,1.28,71.6575,"January 13, 25",0.0128
2025-01-14,72.07,72.21,70.53,71.17,70.34,16732900,16732900,-0.9,-1.25,71.495,"January 14, 25",-0.0125
2025-01-15,71.99,72.25,70.84,71.07,70.25,13468100,13468100,-0.92,-1.28,71.5375,"January 15, 25",-0.0128
2025-01-16,70.9,71.23,70.32,71.11,70.28,13694629,13694629,0.21,0.29619,70.89,"January 16, 25",0.0029619
2025-01-17,71.43,71.52,70.84,70.84,70.02,9711300,9711300,-0.59,-0.82598,71.1575,"January 17, 25",-0.0082598
2025-01-21,71.3,73.27,71.14,73.17,72.32,14199943,14199943,1.87,2.62,72.22,"January 21, 25",0.0262
2025-01-22,73.38,74.7,73.01,74.04,73.18,13029300,13029300,0.665,0.8994300000000001,73.7825,"January 22, 25",0.0089943
2025-01-23,73.34,74.5,72.37,74.29,73.43,10677448,10677448,0.9500000000000001,1.3,73.625,"January 23, 25",0.013000000000000001
2025-01-24,74.07,74.25,73.25,73.57,72.72,8106700,8106700,-0.5,-0.6750400000000001,73.785,"January 24, 25",-0.006750399999999999
2025-01-27,73.44,75.85,73.42,75.58,74.7,11665400,11665400,2.14,2.91,74.5725,"January 27, 25",0.0291
2025-01-28,75.33,75.6,74.16,74.39,73.53,8694418,8694418,-0.935,-1.25,74.87,"January 28, 25",-0.0125
2025-01-29,74.45,77.11,74.32,76.58,75.69,11764839,11764839,2.13,2.86,75.615,"January 29, 25",0.0286
2025-01-30,76.85,78.77,76.85,78.33,77.42,10902100,10902100,1.48,1.9300000000000002,77.7,"January 30, 25",0.0193
2025-01-31,78.11,78.86,76.76,76.9,76.01,13105920,13105920,-1.21,-1.55,77.6575,"January 31, 25",-0.0155
2025-02-03,74.9,76.69,73.22,76.59,75.7,18539220,18539220,1.69,2.26,75.35,"February 03, 25",0.022600000000000002
2025-02-04,77.55,78.16,76.04,76.72,75.83,11943725,11943725,-0.8300000000000001,-1.07,77.1175,"February 04, 25",-0.010700000000000001
2025-02-05,76.3,76.79,74.4,74.57,73.7,9807401,9807401,-1.73,-2.27,75.515,"February 05, 25",-0.0227
2025-02-06,75.24,75.4,71.63,71.74,70.91,16059400,16059400,-3.5,-4.65,73.5025,"February 06, 25",-0.0465
2025-02-07,70.56,70.81,68.62,68.68,67.88,27428700,27428700,-1.87,-2.66,69.6675,"February 07, 25",-0.026600000000000002
2025-02-10,69.36,70.95,69.12,70.94,70.12,16201329,16201329,1.58,2.2800000000000002,70.0925,"February 10, 25",0.0228
2025-02-11,70.57,71.99,70.51,71.34,70.51,9636623,9636623,0.77,1.09,71.1025,"February 11, 25",0.0109
2025-02-12,70.6,72.45,70.33,72.26,71.42,10810900,10810900,1.6600000000000001,2.35,71.41,"February 12, 25",0.0235
2025-02-13,72.45,73.6,71.63,73.21,72.36,9739600,9739600,0.76,1.05,72.7225,"February 13, 25",0.0105
2025-02-14,73.17,73.5,72.34,73.04,72.19,9254400,9254400,-0.13,-0.17767000000000002,73.0125,"February 14, 25",-0.0017767
2025-02-18,74.5,77.68,74.5,77.59,76.69,28252400,28252400,3.09,4.15,76.0675,"February 18, 25",0.0415
2025-02-19,76.82,77.68,76.09,76.78,75.89,14184100,14184100,-0.04,-0.05206977,76.8425,"February 19, 25",-0.0005206977
2025-02-20,76.91,77.27,76.34,77.23,76.33,10689600,10689600,0.32,0.41607000000000005,76.9375,"February 20, 25",0.0041607
2025-02-21,77.4,77.99,75.86,76.5,75.61,12823400,12823400,-0.9,-1.16,76.9375,"February 21, 25",-0.011600000000000001
2025-02-24,78.88,81.09,78.75,80.28,79.35,24553500,24553500,1.4,1.77,79.75,"February 24, 25",0.0177
2025-02-25,80.31,81.96,80.05,81.72,80.77,15522509,15522509,1.4100000000000001,1.76,81.01,"February 25, 25",0.0176
2025-02-26,82.1,82.44,80.84,81.17,80.23,16058139,16058139,-0.93,-1.13,81.6375,"February 26, 25",-0.011300000000000001
2025-02-27,81.49,81.49,79.46,80.02,79.09,11651915,11651915,-1.47,-1.8,80.615,"February 27, 25",-0.018000000000000002
2025-02-28,79.25,80.02,78.18,79.43,78.51,14113830,14113830,0.18,0.22713000000000003,79.22,"February 28, 25",0.0022713
2025-03-03,79.99,80.96,77.89,78.41,77.89,8628800,8628800,-1.58,-1.98,79.3125,"March 03, 25",-0.0198
2025-03-04,77.7,78.65,76.78,77.32,76.81,10034126,10034126,-0.38,-0.48906000000000005,77.6125,"March 04, 25",-0.0048906
2025-03-05,77.33,78.31,76.46,77.81,77.3,9853600,9853600,0.48,0.62072,77.4775,"March 05, 25",0.0062071999999999995
2025-03-06,76.74,78.33,76.74,77.71,77.2,9623722,9623722,0.97,1.26,77.38,"March 06, 25",0.0126
2025-03-07,77.48,79.0,76.97,78.59,78.07,9294300,9294300,1.11,1.43,78.01,"March 07, 25",0.0143
2025-03-10,77.51,80.19,76.06,76.4,75.9,15822629,15822629,-1.1,-1.43,77.54,"March 10, 25",-0.0143
2025-03-11,75.91,76.08,73.62,74.17,73.68,12837000,12837000,-1.74,-2.29,74.945,"March 11, 25",-0.0229
2025-03-12,74.36,74.5,73.23,73.58,73.09,12304900,12304900,-0.78,-1.05,73.9175,"March 12, 25",-0.0105
2025-03-13,73.18,73.94,71.67,72.64,72.16,10195919,10195919,-0.54,-0.7379100000000001,72.8575,"March 13, 25",-0.0073790999999999995
2025-03-14,73.28,73.54,71.32,71.66,71.19,12183000,12183000,-1.62,-2.21,72.45,"March 14, 25",-0.0221
2025-03-17,72.14,73.95,72.03,73.7,73.21,15996906,15996906,1.56,2.16,72.955,"March 17, 25",0.0216
2025-03-18,73.89,74.16,72.72,73.31,72.83,8972330,8972330,-0.58,-0.78495,73.52,"March 18, 25",-0.007849499999999999
2025-03-19,72.64,73.43,72.29,72.99,72.51,10830529,10830529,0.35000000000000003,0.48183000000000004,72.8375,"March 19, 25",0.0048183
2025-03-20,72.92,73.65,71.52,71.86,71.39,25202340,25202340,-1.06,-1.45,72.4875,"March 20, 25",-0.0145
2025-03-21,66.59,68.73,65.17,67.94,67.49,77287000,77287000,1.35,2.03,67.1075,"March 21, 25",0.020300000000000002
2025-03-24,68.56,68.89,66.69,67.39,66.95,26552536,26552536,-1.17,-1.71,67.8825,"March 24, 25",-0.0171
