date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,165.58,166.16,161.32,162.03,160.71,7712222,7712222,-3.55,-2.14,163.7725,"January 07, 25",-0.021400000000000002
2025-01-08,162.18,163.98,161.43,163.14,161.81,7596214,7596214,0.96,0.5919300000000001,162.6825,"January 08, 25",0.0059193
2025-01-10,159.2,159.2,153.92,154.5,153.62,13593900,13593900,-4.7,-2.95,156.705,"January 10, 25",-0.029500000000000002
2025-01-13,153.74,154.15,152.42,153.92,153.04,8828500,8828500,0.18,0.11708,153.5575,"January 13, 25",0.0011708
2025-01-14,156.42,157.25,154.35,156.31,155.42,7410242,7410242,-0.11,-0.07032349,156.0825,"January 14, 25",-0.0007032349
2025-01-15,158.67,159.15,157.26,158.31,157.41,10701234,10701234,-0.355,-0.22689,158.3475,"January 15, 25",-0.0022689
2025-01-16,160.15,161.5,158.41,159.54,158.63,9210600,9210600,-0.61,-0.38089,159.9,"January 16, 25",-0.0038088999999999996
2025-01-17,161.77,163.16,160.54,161.03,160.11,11618300,11618300,-0.74,-0.45744,161.625,"January 17, 25",-0.0045744
2025-01-21,163.87,173.37,162.75,172.57,171.59,30232048,30232048,8.7,5.31,168.14,"January 21, 25",0.0531
2025-01-22,191.51,191.99,180.57,184.22,183.17,48028518,48028518,-7.29,-3.81,187.0725,"January 22, 25",-0.0381
2025-01-23,181.64,186.57,181.5,186.47,185.41,17314645,17314645,4.83,2.66,184.045,"January 23, 25",0.026600000000000002
2025-01-24,188.64,189.1,181.87,183.6,182.55,12147200,12147200,-5.04,-2.67,185.8025,"January 24, 25",-0.0267
2025-01-27,168.9,172.52,152.66,158.28,157.38,42201600,42201600,-10.62,-6.29,163.09,"January 27, 25",-0.0629
2025-01-28,162.99,165.83,156.75,164.0,163.07,20319300,20319300,1.01,0.61967,162.3925,"January 28, 25",0.006196699999999999
2025-01-29,164.03,164.03,160.01,162.02,161.1,9866600,9866600,-2.0,-1.23,162.5225,"January 29, 25",-0.0123
2025-01-30,164.78,171.49,164.1,170.38,169.41,14981706,14981706,5.6,3.4,167.6875,"January 30, 25",0.034
2025-01-31,170.41,173.0,169.13,170.06,169.09,8722500,8722500,-0.35000000000000003,-0.20539000000000002,170.65,"January 31, 25",-0.0020539
2025-02-03,163.2,169.9,163.2,168.6,167.64,8250600,8250600,5.4,3.31,166.225,"February 03, 25",0.033100000000000004
2025-02-04,170.4,170.4,166.35,167.89,166.93,6777000,6777000,-2.51,-1.47,168.76,"February 04, 25",-0.014700000000000001
2025-02-05,168.99,171.89,168.52,171.66,170.68,7866700,7866700,2.67,1.58,170.265,"February 05, 25",0.0158
