date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,146.46,147.97,145.34,145.4,142.56,7473300,7473300,-1.06,-0.7237600000000001,146.29,"January 07, 25",-0.007237599999999999
2025-01-08,145.4,146.67,144.56,146.54,143.68,6791800,6791800,1.1400000000000001,0.7840400000000001,145.79,"January 08, 25",0.007840399999999999
2025-01-10,145.0,145.57,141.51,142.64,139.86,9632700,9632700,-2.36,-1.63,143.68,"January 10, 25",-0.016300000000000002
2025-01-13,142.79,145.14,142.14,144.5,141.68,8101400,8101400,1.71,1.2,143.64,"January 13, 25",0.012
2025-01-14,144.19,145.14,143.56,144.95,142.12,6996400,6996400,0.75999,0.52708,144.46,"January 14, 25",0.0052708
2025-01-15,145.49,146.2,144.17,144.78,141.95,7141600,7141600,-0.71001,-0.48801000000000005,145.16,"January 15, 25",-0.0048801
2025-01-16,144.05,146.79,143.69,146.54,143.68,5068000,5068000,2.49,1.73,145.27,"January 16, 25",0.0173
2025-01-17,147.72,148.62,147.17,148.25,145.36,7338900,7338900,0.53,0.35879000000000005,147.94,"January 17, 25",0.0035878999999999998
2025-01-21,148.33,149.78,147.77,148.55,145.65,7456200,7456200,0.22,0.14832,148.61,"January 21, 25",0.0014831999999999998
2025-01-22,148.23,149.45,147.79,148.09,145.2,5905100,5905100,-0.14,-0.09444741,148.39,"January 22, 25",-0.0009444741000000001
2025-01-23,148.49,148.94,146.61,148.62,145.72,4759100,4759100,0.12999000000000002,0.08754099,148.17,"January 23, 25",0.0008754099
2025-01-24,148.82,149.31,148.13,149.12,146.21,4509600,4509600,0.29999000000000003,0.20158,148.85,"January 24, 25",0.0020158
2025-01-27,150.92,155.47,150.9,154.61,151.59,9820600,9820600,3.69,2.45,152.97,"January 27, 25",0.0245
2025-01-28,154.15,154.61,150.12,150.25,147.32,6349700,6349700,-3.9,-2.5300000000000002,152.28,"January 28, 25",-0.0253
2025-01-29,151.13,152.0,150.23,150.37,147.43,4874100,4874100,-0.7600100000000001,-0.50288,150.93,"January 29, 25",-0.0050288
2025-01-30,151.28,153.08,150.63,151.9,148.93,4671300,4671300,0.62,0.40983,151.72,"January 30, 25",0.0040983
2025-01-31,150.76,151.69,150.27,150.69,147.75,4906700,4906700,-0.06999207,-0.04642615,150.85,"January 31, 25",-0.0004642615
2025-02-03,149.76,151.13,148.83,150.27,147.34,7196200,7196200,0.5100100000000001,0.34055,150.0,"February 03, 25",0.0034054999999999997
2025-02-04,146.1,147.75,143.0,143.49,140.69,12804900,12804900,-2.61,-1.79,145.09,"February 04, 25",-0.0179
2025-02-05,143.39,145.79,142.7,145.66,142.82,9248100,9248100,2.27,1.58,144.38,"February 05, 25",0.0158
2025-02-06,146.26,146.9,143.96,145.35,142.51,5604900,5604900,-0.9099900000000001,-0.62217,145.62,"February 06, 25",-0.0062217
2025-02-07,145.01,145.15,143.9,144.58,141.76,5872300,5872300,-0.42999000000000004,-0.29653,144.66,"February 07, 25",-0.0029652999999999997
2025-02-10,144.35,144.52,143.01,144.35,141.53,8715400,8715400,0.0,0.0,144.06,"February 10, 25",0.0
2025-02-11,144.37,145.72,143.4,145.64,142.8,6354000,6354000,1.27,0.8796900000000001,144.78,"February 11, 25",0.0087969
2025-02-12,144.04,144.78,143.03,143.99,141.18,6658200,6658200,-0.049987790000000004,-0.03470411,143.96,"February 12, 25",-0.0003470411
2025-02-13,144.23,144.94,143.6,144.58,141.76,7175300,7175300,0.35001000000000004,0.24267000000000002,144.34,"February 13, 25",0.0024267
2025-02-14,144.67,146.17,143.33,143.39,140.59,5001800,5001800,-1.28,-0.8847700000000001,144.39,"February 14, 25",-0.0088477
2025-02-18,142.9,144.15,141.6,144.1,141.29,8738700,8738700,1.2,0.8397600000000001,143.19,"February 18, 25",0.0083976
2025-02-19,144.23,145.93,144.15,145.81,142.96,5777300,5777300,1.58,1.1,145.03,"February 19, 25",0.011
2025-02-20,145.11,149.19,145.0,149.1,146.19,6789800,6789800,3.99,2.75,147.1,"February 20, 25",0.0275
2025-02-21,149.99,154.55,148.9,153.5,150.5,10604400,10604400,3.51,2.34,151.74,"February 21, 25",0.0234
2025-02-24,152.34,156.32,152.12,153.85,150.85,7187000,7187000,1.51,0.99121,153.66,"February 24, 25",0.0099121
