date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,27.01,27.57,26.94,27.13,25.74,35030000,35030000,0.12,0.44428000000000006,27.1625,"January 07, 25",0.0044428
2025-01-08,27.05,27.14,26.23,26.86,25.49,35430724,35430724,-0.19,-0.7024,26.82,"January 08, 25",-0.007024
2025-01-10,26.87,27.05,26.69,26.72,25.36,32836900,32836900,-0.15,-0.5582400000000001,26.8325,"January 10, 25",-0.0055823999999999995
2025-01-13,26.65,26.81,26.36,26.8,25.43,28359600,28359600,0.15,0.5628500000000001,26.655,"January 13, 25",0.0056285
2025-01-14,26.81,26.87,26.27,26.41,25.06,25856913,25856913,-0.4,-1.49,26.59,"January 14, 25",-0.0149
2025-01-15,26.52,26.65,26.21,26.22,24.88,35949700,35949700,-0.295,-1.13,26.4,"January 15, 25",-0.011300000000000001
2025-01-16,26.07,26.57,25.96,26.49,25.14,29981137,29981137,0.42,1.6099999999999999,26.2725,"January 16, 25",0.0161
2025-01-17,26.4,26.56,26.22,26.3,24.96,35380330,35380330,-0.095,-0.37879,26.37,"January 17, 25",-0.0037879
2025-01-21,26.45,26.64,26.39,26.64,25.28,39745600,39745600,0.19,0.7183400000000001,26.53,"January 21, 25",0.0071833999999999995
2025-01-22,26.51,26.6,25.97,26.01,24.68,41890415,41890415,-0.5,-1.8900000000000001,26.2725,"January 22, 25",-0.0189
2025-01-23,26.01,26.48,25.85,26.44,25.09,40987046,40987046,0.43,1.65,26.195,"January 23, 25",0.0165
2025-01-24,26.02,26.2,25.96,26.09,25.17,31300200,31300200,0.07,0.26902000000000004,26.0675,"January 24, 25",0.0026902
2025-01-27,26.24,26.97,26.18,26.86,25.91,50648600,50648600,0.62,2.36,26.5625,"January 27, 25",0.0236
2025-01-28,26.78,26.86,26.49,26.75,25.8,40589600,40589600,-0.03,-0.11202000000000001,26.72,"January 28, 25",-0.0011202
2025-01-29,26.8,27.07,26.57,26.62,25.68,34418200,34418200,-0.18,-0.67164,26.765,"January 29, 25",-0.0067164
2025-01-30,26.66,27.01,26.58,26.91,25.96,32289600,32289600,0.25,0.9377300000000001,26.79,"January 30, 25",0.0093773
2025-01-31,26.96,27.01,26.42,26.52,25.58,37338151,37338151,-0.44,-1.63,26.7275,"January 31, 25",-0.016300000000000002
2025-02-03,26.3,26.47,26.15,26.2,25.27,49626216,49626216,-0.1,-0.38023,26.28,"February 03, 25",-0.0038022999999999998
2025-02-04,26.1,26.92,25.6,25.87,24.96,68748342,68748342,-0.23,-0.8812300000000001,26.1225,"February 04, 25",-0.0088123
2025-02-05,25.95,26.69,25.7,26.44,25.5,50426800,50426800,0.49,1.8900000000000001,26.195,"February 05, 25",0.0189
2025-02-06,26.42,26.47,25.78,25.83,24.92,45182013,45182013,-0.59,-2.23,26.125,"February 06, 25",-0.0223
2025-02-07,25.86,25.96,25.53,25.74,24.83,36512824,36512824,-0.12,-0.46404000000000006,25.7725,"February 07, 25",-0.004640399999999999
