date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,161.46,162.61,160.74,161.3,158.25,8447744,8447744,-0.16,-0.09909575,161.5275,"January 07, 25",-0.0009909575
2025-01-08,160.99,162.4,160.57,162.1,159.03,4974800,4974800,1.11,0.6894800000000001,161.515,"January 08, 25",0.0068947999999999995
2025-01-10,160.15,161.21,157.47,158.56,155.56,8501525,8501525,-1.5899999999999999,-0.99282,159.3475,"January 10, 25",-0.0099282
2025-01-13,159.35,160.09,158.41,158.84,155.83,6772200,6772200,-0.51,-0.32005,159.1725,"January 13, 25",-0.0032005
2025-01-14,158.85,160.07,158.31,159.74,156.72,5982254,5982254,0.89,0.56028,159.2425,"January 14, 25",0.0056028
2025-01-15,160.59,161.15,159.34,159.65,156.63,8059231,8059231,-0.9400000000000001,-0.5853400000000001,160.1825,"January 15, 25",-0.0058534
2025-01-16,159.62,160.58,159.14,160.5,157.46,5774429,5774429,0.88,0.5513100000000001,159.96,"January 16, 25",0.0055131
2025-01-17,159.74,161.75,159.6,161.13,158.08,7262739,7262739,1.3900000000000001,0.87016,160.555,"January 17, 25",0.0087016
2025-01-21,160.96,162.35,160.96,161.72,158.66,13914700,13914700,0.76,0.47217000000000003,161.4975,"January 21, 25",0.0047217
2025-01-22,167.1,168.14,164.44,164.74,161.62,14356700,14356700,-2.36,-1.4100000000000001,166.105,"January 22, 25",-0.014100000000000001
2025-01-23,163.88,166.48,163.32,166.15,163.01,7614308,7614308,2.27,1.3900000000000001,164.9575,"January 23, 25",0.013900000000000001
2025-01-24,165.91,165.91,163.2,164.12,162.0,6199939,6199939,-1.79,-1.08,164.785,"January 24, 25",-0.0108
2025-01-27,166.72,169.94,166.11,169.66,167.46,9170829,9170829,2.94,1.76,168.1075,"January 27, 25",0.0176
2025-01-28,168.91,169.59,166.11,166.19,164.04,6716387,6716387,-2.7199999999999998,-1.6099999999999999,167.7,"January 28, 25",-0.0161
2025-01-29,166.72,167.29,165.88,166.23,164.08,4850300,4850300,-0.49,-0.29391,166.53,"January 29, 25",-0.0029391
2025-01-30,167.48,167.6,165.93,167.41,165.24,4136546,4136546,-0.07,-0.04179604,167.105,"January 30, 25",-0.0004179604
2025-01-31,166.0,166.62,165.21,165.99,163.84,5464903,5464903,-0.01,-0.0060241,165.955,"January 31, 25",-6.0241e-05
2025-02-03,165.47,169.38,165.23,168.76,166.58,8668729,8668729,3.29,1.99,167.21,"February 03, 25",0.0199
2025-02-04,169.29,169.29,166.28,168.13,165.95,6410938,6410938,-1.16,-0.6852100000000001,168.2475,"February 04, 25",-0.0068521
2025-02-05,168.09,169.14,166.61,169.01,166.82,7537232,7537232,0.92,0.5473300000000001,168.2125,"February 05, 25",0.0054732999999999995
2025-02-06,169.37,169.93,168.03,168.88,166.69,4957900,4957900,-0.49,-0.28931,169.0525,"February 06, 25",-0.0028931
2025-02-07,169.09,169.12,167.87,167.97,165.8,4535617,4535617,-1.12,-0.66237,168.5125,"February 07, 25",-0.0066237
2025-02-10,167.69,168.48,166.4,167.53,165.36,7063167,7063167,-0.16,-0.09541416,167.525,"February 10, 25",-0.0009541416
2025-02-11,167.69,169.57,166.5,169.43,167.24,5438100,5438100,1.74,1.04,168.2975,"February 11, 25",0.010400000000000001
2025-02-12,168.35,170.08,167.97,169.58,167.39,6037671,6037671,1.23,0.73062,168.995,"February 12, 25",0.0073062
2025-02-13,169.63,171.38,169.14,171.02,168.81,6328365,6328365,1.3900000000000001,0.8194300000000001,170.2925,"February 13, 25",0.0081943
2025-02-14,169.79,170.0,162.3,162.89,160.78,13179500,13179500,-6.9,-4.06,166.245,"February 14, 25",-0.040600000000000004
2025-02-18,163.35,165.76,162.2,165.43,163.29,7075681,7075681,2.08,1.27,164.185,"February 18, 25",0.012700000000000001
