date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,120.99,121.91,120.64,121.4,119.44,4933324,4933324,0.41000000000000003,0.33887,121.235,"January 07, 25",0.0033886999999999997
2025-01-08,120.86,121.92,120.0,121.86,119.89,3569406,3569406,1.0,0.8274,121.16,"January 08, 25",0.008274
2025-01-10,120.0,120.64,116.98,117.15,115.26,5365207,5365207,-2.85,-2.37,118.6925,"January 10, 25",-0.023700000000000002
2025-01-13,117.0,117.77,116.12,117.55,115.65,5676941,5676941,0.55,0.47009000000000006,117.11,"January 13, 25",0.0047009
2025-01-14,117.78,118.57,117.28,118.47,116.56,3942635,3942635,0.6900000000000001,0.58584,118.025,"January 14, 25",0.0058584
2025-01-15,118.05,119.19,117.18,118.51,116.6,5374200,5374200,0.46,0.38967,118.2325,"January 15, 25",0.0038967
2025-01-16,118.84,120.46,118.31,119.8,117.86,7855800,7855800,0.96,0.80781,119.3525,"January 16, 25",0.0080781
2025-01-17,119.85,122.19,119.3,121.59,119.63,5170141,5170141,1.74,1.45,120.7325,"January 17, 25",0.0145
2025-01-21,122.38,124.19,122.22,123.81,121.81,5963622,5963622,1.43,1.17,123.15,"January 21, 25",0.0117
2025-01-22,123.46,123.55,122.37,122.89,120.9,4431317,4431317,-0.5700000000000001,-0.46169000000000004,123.0675,"January 22, 25",-0.0046169
2025-01-23,122.92,125.48,122.76,125.43,123.4,5375315,5375315,2.51,2.04,124.1475,"January 23, 25",0.0204
2025-01-24,125.59,127.41,125.53,127.28,125.22,3685981,3685981,1.69,1.35,126.4525,"January 24, 25",0.0135
2025-01-27,129.17,131.36,128.63,130.43,128.32,7645006,7645006,1.26,0.9754600000000001,129.8975,"January 27, 25",0.0097546
2025-01-28,129.39,131.09,128.32,128.96,126.88,5102100,5102100,-0.43,-0.33233,129.44,"January 28, 25",-0.0033233
2025-01-29,129.31,130.73,129.18,129.59,127.5,3869400,3869400,0.28,0.21653000000000003,129.7025,"January 29, 25",0.0021652999999999998
2025-01-30,130.06,130.49,129.05,130.32,128.21,3241825,3241825,0.26,0.19991,129.98,"January 30, 25",0.0019990999999999997
2025-01-31,129.99,131.16,129.51,130.2,128.1,5331372,5331372,0.21,0.16155000000000003,130.215,"January 31, 25",0.0016155
2025-02-03,128.91,131.04,128.25,130.39,128.28,5633346,5633346,1.48,1.15,129.6475,"February 03, 25",0.0115
2025-02-04,131.0,131.17,129.91,130.39,128.28,5237819,5237819,-0.61,-0.46565000000000006,130.6175,"February 04, 25",-0.0046565
2025-02-05,130.8,131.52,130.31,130.98,128.86,8403538,8403538,0.18,0.13761,130.9025,"February 05, 25",0.0013761
2025-02-06,145.94,146.78,140.02,145.32,142.97,13753000,13753000,-0.62,-0.42483000000000004,144.515,"February 06, 25",-0.0042483
2025-02-07,145.5,145.65,143.8,144.41,142.08,7207817,7207817,-1.09,-0.74914,144.84,"February 07, 25",-0.0074914
2025-02-10,144.0,146.7,143.41,146.57,144.2,5900142,5900142,2.5700000000000003,1.78,145.17,"February 10, 25",0.0178
2025-02-11,146.57,148.53,145.5,147.98,145.59,4989937,4989937,1.4100000000000001,0.962,147.145,"February 11, 25",0.00962
2025-02-12,146.66,150.24,146.5,149.89,147.47,5269208,5269208,3.23,2.2,148.3225,"February 12, 25",0.022
2025-02-13,149.08,149.97,148.03,149.18,146.77,5758644,5758644,0.1,0.06707808,149.065,"February 13, 25",0.0006707808
2025-02-14,148.76,151.22,148.15,150.46,148.03,4778248,4778248,1.7000000000000002,1.1400000000000001,149.6475,"February 14, 25",0.0114
2025-02-18,149.8,150.76,148.65,148.8,146.4,7986900,7986900,-1.0,-0.66756,149.5025,"February 18, 25",-0.006675599999999999
2025-02-19,149.0,149.96,147.51,149.8,147.38,7052200,7052200,0.8,0.53691,149.0675,"February 19, 25",0.0053691
2025-02-20,148.53,152.53,148.34,151.57,149.12,7431500,7431500,3.04,2.05,150.2425,"February 20, 25",0.0205
2025-02-21,151.17,154.64,150.96,154.4,151.91,7117200,7117200,3.23,2.14,152.7925,"February 21, 25",0.021400000000000002
2025-02-24,154.4,156.63,154.18,156.28,153.75,8687712,8687712,1.88,1.22,155.3725,"February 24, 25",0.0122
2025-02-25,157.14,158.23,155.91,157.42,154.88,9348380,9348380,0.28,0.17819000000000002,157.175,"February 25, 25",0.0017818999999999999
2025-02-26,157.4,158.39,154.28,154.74,152.24,6865109,6865109,-2.66,-1.69,156.2025,"February 26, 25",-0.016900000000000002
2025-02-27,154.88,155.9,153.55,154.02,151.53,6073211,6073211,-0.86,-0.55527,154.5875,"February 27, 25",-0.0055527
2025-02-28,155.36,156.04,153.33,155.28,152.77,9655101,9655101,-0.08,-0.05149331,155.0025,"February 28, 25",-0.0005149331
2025-03-03,154.82,158.85,154.0,158.79,156.22,5459000,5459000,3.9699999999999998,2.56,156.615,"March 03, 25",0.0256
2025-03-04,158.48,159.51,153.81,153.95,151.46,6243165,6243165,-4.53,-2.86,156.4375,"March 04, 25",-0.0286
2025-03-05,153.34,154.95,152.65,153.14,150.67,4239800,4239800,-0.2,-0.13043000000000002,153.52,"March 05, 25",-0.0013043
2025-03-06,152.97,154.11,151.64,153.55,151.07,5354323,5354323,0.58,0.37916000000000005,153.0675,"March 06, 25",0.0037916
2025-03-07,153.12,153.91,150.43,150.95,148.51,7932500,7932500,-2.17,-1.42,152.1025,"March 07, 25",-0.0142
2025-03-10,151.36,151.66,149.65,150.59,148.16,11848700,11848700,-0.77,-0.5087200000000001,150.815,"March 10, 25",-0.0050872
2025-03-11,150.85,153.63,150.14,152.1,149.64,5787235,5787235,1.25,0.82864,151.68,"March 11, 25",0.0082864
2025-03-12,151.84,152.55,150.31,151.32,148.88,5180819,5180819,-0.52,-0.34247000000000005,151.505,"March 12, 25",-0.0034246999999999997
2025-03-13,151.72,152.76,150.15,150.49,148.06,6258837,6258837,-1.23,-0.8107000000000001,151.28,"March 13, 25",-0.008107
2025-03-14,150.55,152.02,149.8,151.88,149.43,5541496,5541496,1.33,0.88343,151.0625,"March 14, 25",0.0088343
2025-03-17,152.85,155.73,152.13,155.71,153.19,6680746,6680746,2.86,1.87,154.105,"March 17, 25",0.0187
2025-03-18,155.5,157.0,153.59,153.84,151.35,8021673,8021673,-1.6600000000000001,-1.07,154.9825,"March 18, 25",-0.010700000000000001
2025-03-19,153.93,154.51,152.22,154.29,151.8,4202300,4202300,0.365,0.23387000000000002,153.7375,"March 19, 25",0.0023387
2025-03-20,152.71,153.04,151.46,152.47,151.33,5016230,5016230,-0.24,-0.15716000000000002,152.42,"March 20, 25",-0.0015716
2025-03-21,152.38,152.68,150.35,151.48,150.35,11194916,11194916,-0.9,-0.5906300000000001,151.7225,"March 21, 25",-0.0059063
2025-03-24,152.0,152.98,150.74,151.55,150.42,6070419,6070419,-0.45,-0.29605000000000004,151.8175,"March 24, 25",-0.0029605
2025-03-25,152.0,152.38,150.1,152.21,151.07,3797182,3797182,0.21,0.13816,151.6725,"March 25, 25",0.0013816
2025-03-26,152.0,154.77,151.96,154.33,153.18,4320438,4320438,2.33,1.53,153.265,"March 26, 25",0.015300000000000001
2025-03-27,154.36,155.76,154.01,155.01,153.85,4398623,4398623,0.65,0.42109,154.785,"March 27, 25",0.0042109
2025-03-28,155.09,156.11,153.54,155.16,154.0,4333600,4333600,0.07,0.04513508,154.975,"March 28, 25",0.0004513508
2025-03-31,156.09,159.35,156.0,158.73,157.54,8395743,8395743,2.64,1.69,157.5425,"March 31, 25",0.016900000000000002
2025-04-01,158.5,158.68,156.74,158.09,156.91,4429432,4429432,-0.41000000000000003,-0.25868,158.0025,"April 01, 25",-0.0025867999999999998
2025-04-02,158.09,158.37,154.72,156.17,155.0,3889000,3889000,-1.92,-1.21,156.8375,"April 02, 25",-0.012100000000000001
2025-04-03,159.44,163.08,158.25,162.07,160.86,10581525,10581525,2.63,1.65,160.71,"April 03, 25",0.0165
2025-04-04,161.27,162.0,150.09,150.62,149.49,11951732,11951732,-10.65,-6.6,155.995,"April 04, 25",-0.066
2025-04-07,147.17,152.83,145.08,151.23,150.1,9984300,9984300,4.06,2.76,149.0775,"April 07, 25",0.027600000000000003
2025-04-08,152.75,153.29,146.8,149.23,148.11,9018200,9018200,-3.52,-2.3,150.5175,"April 08, 25",-0.023
2025-04-09,148.63,152.94,146.15,151.8,150.67,10278500,10278500,3.17,2.13,149.88,"April 09, 25",0.0213
2025-04-10,152.8,153.73,149.08,151.17,150.04,7818200,7818200,-1.63,-1.07,151.695,"April 10, 25",-0.010700000000000001
2025-04-11,151.88,155.28,151.3,153.89,152.74,6460909,6460909,2.01,1.32,153.0875,"April 11, 25",0.0132
2025-04-14,155.44,158.23,154.35,157.59,156.41,5904800,5904800,2.15,1.38,156.4025,"April 14, 25",0.013800000000000002
2025-04-15,158.54,161.04,156.85,160.09,158.89,6007403,6007403,1.55,0.97767,159.13,"April 15, 25",0.0097767
2025-04-16,161.65,162.16,159.07,160.48,159.28,8296100,8296100,-1.17,-0.72379,160.84,"April 16, 25",-0.007237899999999999
2025-04-17,161.3,165.0,161.3,163.21,161.99,7546403,7546403,1.9100000000000001,1.18,162.7025,"April 17, 25",0.0118
2025-04-21,163.76,164.05,159.17,162.18,160.97,7264800,7264800,-1.58,-0.9648300000000001,162.29,"April 21, 25",-0.0096483
2025-04-22,163.29,164.69,161.93,164.11,162.88,9509700,9509700,0.8200000000000001,0.50217,163.505,"April 22, 25",0.0050217
2025-04-23,168.94,171.63,166.08,167.93,166.67,9084743,9084743,-1.01,-0.5978500000000001,168.645,"April 23, 25",-0.0059784999999999994
2025-04-24,168.33,170.51,166.46,170.07,168.8,8564916,8564916,1.74,1.03,168.8425,"April 24, 25",0.0103
2025-04-25,170.96,171.36,168.78,170.24,168.97,7755789,7755789,-0.72,-0.42115,170.335,"April 25, 25",-0.0042115
2025-04-28,170.29,170.52,168.14,169.17,167.91,6153300,6153300,-1.12,-0.6577000000000001,169.53,"April 28, 25",-0.0065769999999999995
2025-04-29,168.11,171.1,167.77,170.26,168.99,5346726,5346726,2.15,1.28,169.31,"April 29, 25",0.0128
2025-04-30,171.54,172.03,169.02,171.36,170.08,6454424,6454424,-0.18,-0.10493000000000001,170.9875,"April 30, 25",-0.0010493
2025-05-01,169.59,171.07,168.89,170.05,168.78,4885900,4885900,0.46,0.27124000000000004,169.9,"May 01, 25",0.0027124
