date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,162.0,163.45,159.25,160.52,158.71,7666013,7666013,-1.48,-0.9135800000000001,161.305,"January 07, 25",-0.0091358
2025-01-08,160.05,160.19,156.94,159.08,157.28,7731918,7731918,-0.97,-0.60606,159.065,"January 08, 25",-0.006060599999999999
2025-01-10,157.7,158.28,155.55,156.98,155.21,6236809,6236809,-0.72,-0.45656,157.1275,"January 10, 25",-0.0045655999999999995
2025-01-13,155.22,157.37,154.8,157.13,155.35,5714700,5714700,1.9100000000000001,1.23,156.13,"January 13, 25",0.0123
2025-01-14,160.14,161.01,156.56,159.53,157.73,6476500,6476500,-0.61,-0.38092000000000004,159.31,"January 14, 25",-0.0038092
2025-01-15,162.1,165.45,162.09,164.41,162.55,9284034,9284034,2.31,1.43,163.5125,"January 15, 25",0.0143
2025-01-16,165.35,165.84,161.28,161.43,159.61,7188900,7188900,-3.92,-2.37,163.475,"January 16, 25",-0.023700000000000002
2025-01-17,165.38,165.61,163.1,164.56,162.7,8097500,8097500,-0.8200000000000001,-0.49583000000000005,164.6625,"January 17, 25",-0.0049583
2025-01-21,166.0,168.68,165.35,167.27,165.38,7380518,7380518,1.27,0.7650600000000001,166.825,"January 21, 25",0.0076506
2025-01-22,168.32,172.09,168.19,170.24,168.32,7281700,7281700,1.92,1.1400000000000001,169.71,"January 22, 25",0.0114
2025-01-23,170.38,174.38,169.38,174.36,172.39,7172321,7172321,3.98,2.34,172.125,"January 23, 25",0.0234
2025-01-24,175.1,175.2,171.94,172.11,170.16,5825800,5825800,-2.99,-1.71,173.5875,"January 24, 25",-0.0171
2025-01-27,172.1,172.2,167.28,171.18,169.25,15632612,15632612,-0.92,-0.53457,170.69,"January 27, 25",-0.0053457
2025-01-28,170.22,173.49,169.81,171.55,169.61,8720200,8720200,1.33,0.78134,171.2675,"January 28, 25",0.0078134
2025-01-29,171.55,173.49,170.22,171.71,169.77,5118924,5118924,0.16,0.09326727,171.7425,"January 29, 25",0.0009326727000000001
2025-01-30,172.34,173.54,170.97,171.93,169.99,6010600,6010600,-0.41000000000000003,-0.2379,172.195,"January 30, 25",-0.002379
2025-01-31,172.51,176.79,172.29,172.93,170.98,7809000,7809000,0.42,0.24346,173.63,"January 31, 25",0.0024346
2025-02-03,168.88,172.58,168.06,170.24,168.32,7447100,7447100,1.3599999999999999,0.8053100000000001,169.94,"February 03, 25",0.008053099999999999
2025-02-04,168.5,173.79,168.5,173.04,171.08,5457922,5457922,4.54,2.69,170.9575,"February 04, 25",0.0269
2025-02-05,173.0,177.0,169.9,175.86,173.87,15420587,15420587,2.86,1.65,173.94,"February 05, 25",0.0165
2025-02-06,167.84,169.49,165.4,169.32,167.41,16293503,16293503,1.48,0.8817900000000001,168.0125,"February 06, 25",0.0088179
2025-02-07,169.83,171.3,166.06,167.96,166.06,7841700,7841700,-1.87,-1.1,168.7875,"February 07, 25",-0.011
2025-02-10,169.73,171.8,169.0,171.36,169.42,6237700,6237700,1.63,0.96035,170.4725,"February 10, 25",0.0096035
2025-02-11,169.65,172.7,169.11,171.99,170.05,6588100,6588100,2.34,1.38,170.8625,"February 11, 25",0.013800000000000002
2025-02-12,169.55,170.93,168.24,170.29,168.37,5505700,5505700,0.74,0.43645000000000006,169.7525,"February 12, 25",0.0043644999999999995
