date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,525.59,525.99,513.28,515.18,513.84,36690300,36690300,-10.41,-1.98,520.01,"January 07, 25",-0.0198
2025-01-08,515.08,516.92,510.57,515.27,513.93,30777800,30777800,0.19,0.03688747,514.46,"January 08, 25",0.0003688747
2025-01-10,511.48,511.58,503.92,507.19,505.87,40532500,40532500,-4.29,-0.83874,508.5425,"January 10, 25",-0.0083874
2025-01-13,501.2,506.02,499.7,505.56,504.24,31694210,31694210,4.36,0.8699100000000001,503.12,"January 13, 25",0.0086991
2025-01-14,508.74,510.16,501.59,505.08,503.76,33737237,33737237,-3.66,-0.7194200000000001,506.3925,"January 14, 25",-0.0071941999999999996
2025-01-15,513.03,517.85,511.46,516.7,515.35,34957600,34957600,3.67,0.7153600000000001,514.76,"January 15, 25",0.0071535999999999995
2025-01-16,518.98,519.06,512.95,513.08,511.74,28229037,28229037,-5.9,-1.1400000000000001,516.0175,"January 16, 25",-0.0114
2025-01-17,522.85,524.07,513.11,521.74,520.38,51837941,51837941,-1.11,-0.21230000000000002,520.4425,"January 17, 25",-0.002123
2025-01-21,524.48,525.97,520.06,524.8,523.43,23628000,23628000,0.32,0.06101281,523.8275,"January 21, 25",0.0006101281000000001
2025-01-22,529.57,533.82,529.26,531.51,530.12,33593000,33593000,1.94,0.36633000000000004,531.04,"January 22, 25",0.0036633
2025-01-23,529.04,532.76,528.45,532.64,531.25,23096600,23096600,3.6,0.6804800000000001,530.7225,"January 23, 25",0.0068048
2025-01-24,533.02,533.79,528.15,529.63,528.25,19878300,19878300,-3.39,-0.636,531.1475,"January 24, 25",-0.00636
2025-01-27,511.0,517.99,510.15,514.21,512.87,60771700,60771700,3.21,0.6281800000000001,513.3375,"January 27, 25",0.0062818
2025-01-28,515.22,523.0,511.78,521.81,520.45,33194214,33194214,6.59,1.28,517.9525,"January 28, 25",0.0128
2025-01-29,522.46,522.59,516.9,520.83,519.47,26649011,26649011,-1.63,-0.31199000000000005,520.695,"January 29, 25",-0.0031198999999999997
2025-01-30,523.71,526.1,518.21,523.05,521.69,27431302,27431302,-0.66,-0.12602000000000002,522.7675,"January 30, 25",-0.0012602
2025-01-31,526.92,531.52,521.19,522.29,520.93,38845500,38845500,-4.63,-0.8786900000000001,525.48,"January 31, 25",-0.0087869
2025-02-03,513.47,520.85,511.05,518.11,516.76,40580835,40580835,4.64,0.90366,515.87,"February 03, 25",0.009036599999999999
2025-02-04,518.63,525.11,518.23,524.47,523.1,26046800,26046800,5.84,1.13,521.61,"February 04, 25",0.011300000000000001
2025-02-05,521.82,527.01,520.62,526.85,525.48,21134100,21134100,5.03,0.9639300000000001,524.075,"February 05, 25",0.0096393
2025-02-06,527.36,529.81,525.74,529.6,528.22,19434500,19434500,2.24,0.42476,528.1275,"February 06, 25",0.0042476
2025-02-07,530.14,532.1,522.19,522.92,521.56,29605500,29605500,-7.22,-1.3599999999999999,526.8375,"February 07, 25",-0.013600000000000001
2025-02-10,527.22,530.36,526.75,529.25,527.87,20852800,20852800,2.03,0.38504000000000005,528.395,"February 10, 25",0.0038504
2025-02-11,525.96,529.92,525.83,527.99,526.61,19325500,19325500,2.03,0.38596,527.425,"February 11, 25",0.0038596
2025-02-12,522.3,529.19,521.95,528.3,526.92,25009400,25009400,6.0,1.15,525.435,"February 12, 25",0.0115
2025-02-13,529.98,536.22,529.19,535.9,534.5,28714800,28714800,5.92,1.12,532.8225,"February 13, 25",0.0112
2025-02-14,536.01,538.84,535.67,538.15,536.75,17862600,17862600,2.14,0.39925000000000005,537.1675,"February 14, 25",0.0039924999999999995
2025-02-18,539.73,540.0,536.04,539.37,537.96,20565028,20565028,-0.36,-0.06670002,538.785,"February 18, 25",-0.0006670002
2025-02-19,538.57,540.81,536.46,539.52,538.11,19666900,19666900,0.9500000000000001,0.17639000000000002,538.84,"February 19, 25",0.0017638999999999999
2025-02-20,538.73,539.1,532.46,537.23,535.83,26550800,26550800,-1.5,-0.27843,536.88,"February 20, 25",-0.0027843
2025-02-21,538.38,538.4,525.71,526.08,524.71,47093800,47093800,-12.3,-2.2800000000000002,532.1425,"February 21, 25",-0.0228
2025-02-24,527.88,529.07,519.53,519.87,518.51,39268400,39268400,-8.01,-1.52,524.0875,"February 24, 25",-0.0152
2025-02-25,519.24,519.32,509.44,513.32,511.98,48940025,48940025,-5.92,-1.1400000000000001,515.33,"February 25, 25",-0.0114
2025-02-26,515.53,519.66,511.37,514.56,513.22,34457618,34457618,-0.97,-0.18816000000000002,515.28,"February 26, 25",-0.0018816
2025-02-27,518.13,519.07,500.05,500.27,498.96,52448000,52448000,-17.86,-3.45,509.38,"February 27, 25",-0.0345
2025-02-28,500.13,508.78,496.93,508.17,506.84,47654043,47654043,8.04,1.6099999999999999,503.5025,"February 28, 25",0.0161
2025-03-03,511.52,513.04,493.58,497.05,495.75,44587204,44587204,-14.47,-2.83,503.7975,"March 03, 25",-0.028300000000000002
2025-03-04,494.18,503.74,487.74,495.55,494.26,67875402,67875402,1.37,0.27723000000000003,495.3025,"March 04, 25",0.0027722999999999997
2025-03-05,496.2,503.63,491.26,502.01,500.7,46323725,46323725,5.8100000000000005,1.17,498.275,"March 05, 25",0.0117
2025-03-06,493.69,498.58,486.2,488.2,486.93,57574332,57574332,-5.49,-1.11,491.6675,"March 06, 25",-0.0111
2025-03-07,487.16,493.28,480.53,491.79,490.51,54714726,54714726,4.63,0.9504100000000001,488.19,"March 07, 25",0.0095041
2025-03-10,483.45,483.97,468.66,472.73,471.5,76668029,76668029,-10.72,-2.22,477.2025,"March 10, 25",-0.0222
2025-03-11,472.35,478.81,467.01,471.6,470.37,68760800,68760800,-0.75,-0.15878,472.4425,"March 11, 25",-0.0015877999999999999
2025-03-12,479.16,481.06,471.79,476.92,475.68,46971100,46971100,-2.24,-0.46748000000000006,477.2325,"March 12, 25",-0.0046748
2025-03-13,476.25,476.28,466.43,468.34,467.12,46563349,46563349,-7.91,-1.6600000000000001,471.825,"March 13, 25",-0.0166
2025-03-14,473.73,480.56,473.12,479.66,478.41,43563010,43563010,5.93,1.25,476.7675,"March 14, 25",0.0125
2025-03-17,479.61,485.84,477.8,482.77,481.51,41744400,41744400,3.16,0.6588700000000001,481.505,"March 17, 25",0.006588699999999999
2025-03-18,479.41,479.61,472.41,474.54,473.3,39072300,39072300,-4.87,-1.02,476.4925,"March 18, 25",-0.0102
2025-03-19,476.81,485.33,474.87,480.89,479.64,40430334,40430334,4.08,0.8556900000000001,479.475,"March 19, 25",0.0085569
2025-03-20,476.88,484.55,476.18,479.26,478.01,36780549,36780549,2.38,0.49908,479.2175,"March 20, 25",0.0049908
2025-03-21,474.08,481.61,472.91,480.84,479.59,42234900,42234900,6.76,1.43,477.36,"March 21, 25",0.0143
2025-03-24,487.74,491.51,484.4,490.66,490.11,34567200,34567200,2.92,0.5986800000000001,488.5775,"March 24, 25",0.0059868
2025-03-25,491.39,493.62,490.42,493.46,492.91,26035241,26035241,2.07,0.42125,492.2225,"March 25, 25",0.0042125
2025-03-26,492.3,493.16,482.82,484.38,483.84,35043357,35043357,-7.92,-1.6099999999999999,488.165,"March 26, 25",-0.0161
2025-03-27,482.41,486.58,480.25,481.62,481.08,33469817,33469817,-0.79,-0.16376000000000002,482.715,"March 27, 25",-0.0016376
2025-03-28,479.81,480.52,468.05,468.94,468.41,46363800,46363800,-10.87,-2.27,474.33,"March 28, 25",-0.0227
2025-03-31,461.92,469.86,457.33,468.92,468.39,53000303,53000303,7.0,1.52,464.5075,"March 31, 25",0.0152
2025-04-01,467.3,473.63,464.42,472.7,472.17,41156226,41156226,5.4,1.16,469.5125,"April 01, 25",0.011600000000000001
2025-04-02,466.12,479.56,465.86,476.15,475.62,49894500,49894500,10.03,2.15,471.9225,"April 02, 25",0.021500000000000002
2025-04-03,456.44,460.07,450.14,450.66,450.15,70456338,70456338,-5.78,-1.27,454.3275,"April 03, 25",-0.012700000000000001
2025-04-04,438.14,440.37,422.67,422.67,422.2,117088441,117088441,-15.47,-3.5300000000000002,430.9625,"April 04, 25",-0.035300000000000005
2025-04-07,408.66,443.14,402.39,423.69,423.21,161557000,161557000,15.03,3.68,419.47,"April 07, 25",0.0368
2025-04-08,438.16,443.14,409.79,416.06,415.59,101248100,101248100,-22.1,-5.04,426.7875,"April 08, 25",-0.0504
2025-04-09,415.57,467.83,415.43,466.0,465.48,142876900,142876900,50.43,12.14,441.2075,"April 09, 25",0.12140000000000001
2025-04-10,453.56,455.59,432.63,446.18,445.68,108384100,108384100,-7.38,-1.63,446.99,"April 10, 25",-0.016300000000000002
2025-04-11,444.65,455.79,441.33,454.4,453.89,52483800,52483800,9.75,2.19,449.0425,"April 11, 25",0.0219
2025-04-14,464.46,465.05,452.63,457.48,456.97,43941200,43941200,-6.98,-1.5,459.905,"April 14, 25",-0.015
2025-04-15,458.54,462.38,456.15,457.99,457.48,35404210,35404210,-0.55,-0.11995000000000001,458.765,"April 15, 25",-0.0011995
2025-04-16,449.03,452.62,437.76,444.18,443.68,48980600,48980600,-4.85,-1.08,445.8975,"April 16, 25",-0.0108
2025-04-17,447.17,447.75,441.36,444.1,443.6,44837047,44837047,-3.07,-0.68654,445.095,"April 17, 25",-0.0068654
2025-04-21,438.23,439.08,427.93,433.11,432.62,44149313,44149313,-5.12,-1.17,434.5875,"April 21, 25",-0.0117
2025-04-22,438.82,447.58,437.62,444.48,443.98,52304400,52304400,5.66,1.29,442.125,"April 22, 25",0.0129
2025-04-23,458.17,463.38,452.88,454.56,454.05,55801136,55801136,-3.61,-0.7879200000000001,457.2475,"April 23, 25",-0.0078792
2025-04-24,456.48,467.66,455.83,467.35,466.83,45956136,45956136,10.87,2.38,461.83,"April 24, 25",0.0238
2025-04-25,466.97,473.09,465.39,472.56,472.03,38697100,38697100,5.59,1.2,469.5025,"April 25, 25",0.012
2025-04-28,473.03,474.81,466.03,472.41,471.88,33550800,33550800,-0.62,-0.13107000000000002,471.57,"April 28, 25",-0.0013107
2025-04-29,470.17,476.42,469.59,475.53,475.0,30613120,30613120,5.36,1.1400000000000001,472.9275,"April 29, 25",0.0114
2025-04-30,467.13,477.2,462.43,475.47,474.94,46810610,46810610,8.34,1.79,470.5575,"April 30, 25",0.0179
2025-05-01,483.41,487.18,480.74,481.68,481.14,43316539,43316539,-1.73,-0.35787,483.2525,"May 01, 25",-0.0035786999999999998
2025-05-02,486.54,490.91,484.83,488.83,488.28,39218100,39218100,2.29,0.47067000000000003,487.7775,"May 02, 25",0.004706699999999999
2025-05-05,484.6,489.03,484.1,485.93,485.38,28309500,28309500,1.33,0.27445,485.915,"May 05, 25",0.0027445
2025-05-06,479.56,485.05,478.19,481.41,480.87,32786310,32786310,1.85,0.38577000000000006,481.0525,"May 06, 25",0.0038577
2025-05-07,482.08,485.8,476.78,483.3,482.76,38109864,38109864,1.22,0.25307,481.99,"May 07, 25",0.0025307
2025-05-08,488.53,492.7,484.17,488.29,487.74,39577600,39577600,-0.24,-0.04912697,488.4225,"May 08, 25",-0.0004912697
2025-05-09,490.21,491.54,486.2,487.97,487.42,27767416,27767416,-2.24,-0.45695,488.98,"May 09, 25",-0.0045695
2025-05-12,506.99,507.89,501.48,507.85,507.28,45090616,45090616,0.86,0.16963,506.0525,"May 12, 25",0.0016963
2025-05-13,509.16,517.39,508.42,515.59,515.01,53269600,53269600,6.43,1.26,512.64,"May 13, 25",0.0126
2025-05-14,516.77,519.23,515.75,518.68,518.1,47014516,47014516,1.9100000000000001,0.36960000000000004,517.6075,"May 14, 25",0.0036959999999999996
2025-05-15,516.52,521.93,515.17,519.25,518.67,50153300,50153300,2.73,0.52854,518.2175,"May 15, 25",0.0052854
2025-05-16,520.66,521.7,517.1,521.51,520.92,48394603,48394603,0.85,0.16325,520.2425,"May 16, 25",0.0016324999999999998
2025-05-19,514.24,522.53,514.24,522.01,521.42,52536200,52536200,7.77,1.51,518.255,"May 19, 25",0.0151
2025-05-20,519.47,520.93,516.66,520.27,519.69,42517600,42517600,0.8,0.154,519.3325,"May 20, 25",0.0015400000000000001
2025-05-21,516.27,523.0,511.24,513.04,512.46,71292831,71292831,-3.23,-0.6256400000000001,515.8875,"May 21, 25",-0.0062564
2025-05-22,513.66,517.71,512.3,514.0,513.42,55607200,55607200,0.34,0.06619164,514.4175,"May 22, 25",0.0006619164
2025-05-23,506.18,511.84,505.58,509.24,508.67,58368100,58368100,3.06,0.60453,508.21,"May 23, 25",0.0060453
2025-05-27,516.15,521.71,514.59,521.22,520.64,47226323,47226323,5.07,0.9822700000000001,518.4175,"May 27, 25",0.0098227
2025-05-28,522.18,523.68,518.39,518.91,518.33,46637200,46637200,-3.27,-0.62622,520.79,"May 28, 25",-0.0062622
2025-05-29,526.33,526.48,517.32,519.93,519.35,58724069,58724069,-6.4,-1.22,522.515,"May 29, 25",-0.0122
2025-05-30,519.44,520.68,511.93,519.11,518.53,67662836,67662836,-0.33,-0.06352996,517.79,"May 30, 25",-0.0006352996000000001
2025-06-02,517.24,523.45,515.97,523.21,522.62,44762817,44762817,5.97,1.15,519.9675,"June 02, 25",0.0115
2025-06-03,523.56,528.74,522.69,527.3,526.71,44070330,44070330,3.74,0.7143400000000001,525.5725,"June 03, 25",0.007143399999999999
2025-06-04,528.01,529.84,525.97,528.77,528.18,41359322,41359322,0.76,0.14394,528.1475,"June 04, 25",0.0014394
2025-06-05,530.18,533.05,522.66,524.79,524.2,61286623,61286623,-5.39,-1.02,527.67,"June 05, 25",-0.0102
2025-06-06,530.0,531.8,528.21,529.92,529.33,42467021,42467021,-0.08,-0.01509434,529.9825,"June 06, 25",-0.0001509434
2025-06-09,530.14,532.35,529.01,530.7,530.1,33688700,33688700,0.56,0.10563000000000002,530.55,"June 09, 25",0.0010563
2025-06-10,531.17,534.9,528.89,534.21,533.61,40664800,40664800,3.04,0.57232,532.2925,"June 10, 25",0.0057231999999999995
2025-06-11,535.62,536.78,530.11,532.41,531.81,53701033,53701033,-3.21,-0.59931,533.73,"June 11, 25",-0.0059930999999999995
2025-06-12,531.09,534.64,530.84,533.66,533.06,34104900,34104900,2.5700000000000003,0.48391000000000006,532.5575,"June 12, 25",0.0048391
2025-06-13,527.68,531.87,525.73,526.96,526.37,55814443,55814443,-0.72,-0.13645000000000002,528.06,"June 13, 25",-0.0013645
2025-06-16,530.5,535.37,530.45,534.29,533.69,37622100,37622100,3.79,0.71442,532.6525,"June 16, 25",0.0071442
2025-06-17,531.71,533.33,527.91,529.08,528.49,42180900,42180900,-2.63,-0.49463,530.5075,"June 17, 25",-0.0049463
2025-06-18,530.1,532.55,527.4,528.99,528.4,43983522,43983522,-1.11,-0.20939000000000002,529.76,"June 18, 25",-0.0020939
2025-06-20,532.26,533.56,524.88,526.83,526.24,61643519,61643519,-5.43,-1.02,529.3825,"June 20, 25",-0.0102
2025-06-23,526.81,532.17,523.65,531.65,531.65,50666146,50666146,4.84,0.9187400000000001,528.57,"June 23, 25",0.0091874
2025-06-24,536.89,540.7,536.27,539.78,539.78,45442000,45442000,2.89,0.53829,538.41,"June 24, 25",0.0053828999999999995
2025-06-25,542.06,543.31,539.38,541.16,541.16,44804200,44804200,-0.9,-0.16603,541.4775,"June 25, 25",-0.0016603
2025-06-26,543.35,546.67,541.52,546.22,546.22,43811432,43811432,2.87,0.5282,544.44,"June 26, 25",0.005281999999999999
2025-06-27,547.26,549.99,544.54,548.09,548.09,57577147,57577147,0.8300000000000001,0.15166000000000002,547.47,"June 27, 25",0.0015166
2025-06-30,551.26,552.8,549.01,551.64,551.64,45548742,45548742,0.38,0.06893299,551.1775,"June 30, 25",0.0006893299
2025-07-01,549.73,550.71,544.66,546.99,546.99,56166736,56166736,-2.74,-0.49843000000000004,548.0225,"July 01, 25",-0.0049843
2025-07-02,546.16,551.0,546.12,550.8,550.8,36538300,36538300,4.64,0.84957,548.52,"July 02, 25",0.0084957
2025-07-03,553.18,557.2,553.18,556.22,556.22,26443524,26443524,3.04,0.5495500000000001,554.945,"July 03, 25",0.0054954999999999995
2025-07-07,553.52,554.34,549.58,552.03,552.03,45349323,45349323,-1.49,-0.26919000000000004,552.3675,"July 07, 25",-0.0026918999999999997
2025-07-08,553.38,554.01,551.1,552.34,552.34,36153300,36153300,-1.04,-0.18794000000000002,552.7075,"July 08, 25",-0.0018793999999999998
2025-07-09,554.48,557.63,553.1,556.25,556.25,43045534,43045534,1.77,0.31922,555.365,"July 09, 25",0.0031922
2025-07-10,556.89,557.3,552.75,555.45,555.45,34710913,34710913,-1.44,-0.25858000000000003,555.5975,"July 10, 25",-0.0025858
2025-07-11,553.3,555.79,552.05,554.2,554.2,39618635,39618635,0.9,0.16266000000000003,553.835,"July 11, 25",0.0016266
2025-07-14,553.99,556.95,551.63,556.21,556.21,36453314,36453314,2.22,0.40073000000000003,554.695,"July 14, 25",0.0040073
2025-07-15,560.25,560.8,556.66,556.72,556.72,43277700,43277700,-3.5300000000000002,-0.6300800000000001,558.6075,"July 15, 25",-0.0063008
2025-07-16,557.28,560.21,551.56,557.29,557.29,52314711,52314711,0.01,0.00179443,556.585,"July 16, 25",1.79443e-05
2025-07-17,558.02,562.31,557.21,561.8,561.8,40423800,40423800,3.7800000000000002,0.6774,559.835,"July 17, 25",0.006774
2025-07-18,563.12,564.73,559.98,561.26,561.26,50484704,50484704,-1.8599999999999999,-0.33030000000000004,562.2725,"July 18, 25",-0.003303
2025-07-21,562.09,566.06,562.06,564.17,564.17,39595214,39595214,2.08,0.37005000000000005,563.595,"July 21, 25",0.0037005
2025-07-22,564.3,564.35,558.61,561.25,561.25,43270647,43270647,-3.05,-0.54049,562.1275,"July 22, 25",-0.0054049
2025-07-23,562.34,563.85,559.58,563.81,563.81,40215300,40215300,1.47,0.26141000000000003,562.395,"July 23, 25",0.0026141
2025-07-24,565.13,566.24,563.29,565.01,565.01,42275541,42275541,-0.12,-0.02123405,564.9175,"July 24, 25",-0.0002123405
2025-07-25,564.93,567.7,564.27,566.37,566.37,30630813,30630813,1.44,0.2549,565.8175,"July 25, 25",0.002549
2025-07-28,567.74,569.04,566.87,568.14,568.14,31498739,31498739,0.4,0.07045479,567.9475,"July 28, 25",0.0007045479
2025-07-29,570.76,572.11,566.53,567.26,567.26,45463317,45463317,-3.5,-0.6132200000000001,569.165,"July 29, 25",-0.0061322
2025-07-30,568.18,570.62,565.05,568.02,568.02,43433777,43433777,-0.16,-0.028160090000000002,567.9675,"July 30, 25",-0.0002816009
