date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,176.81,177.39,175.03,175.61,174.06,8469434,8469434,-1.2,-0.67869,176.21,"January 07, 25",-0.006786899999999999
2025-01-08,175.18,175.95,174.14,175.82,174.27,6932936,6932936,0.645,0.36534000000000005,175.2725,"January 08, 25",0.0036534
2025-01-10,174.66,174.95,173.07,173.25,171.72,7406831,7406831,-1.4100000000000001,-0.8072800000000001,173.9825,"January 10, 25",-0.0080728
2025-01-13,172.56,174.72,172.38,174.67,173.13,8191400,8191400,2.11,1.22,173.5825,"January 13, 25",0.0122
2025-01-14,175.43,176.29,174.7,176.08,174.53,8081813,8081813,0.65,0.37052,175.625,"January 14, 25",0.0037051999999999996
2025-01-15,178.73,179.01,177.29,177.77,176.2,9989516,9989516,-0.96,-0.53712,178.2,"January 15, 25",-0.0053712
2025-01-16,177.92,179.43,177.37,179.17,177.59,5759000,5759000,1.25,0.7025600000000001,178.4725,"January 16, 25",0.0070256
2025-01-17,180.09,180.71,179.7,180.04,178.45,5945515,5945515,-0.05,-0.027763899999999998,180.135,"January 17, 25",-0.00027763900000000004
2025-01-21,181.09,182.21,180.95,182.13,180.52,7561944,7561944,1.04,0.5743,181.595,"January 21, 25",0.005743
2025-01-22,182.28,182.4,181.43,181.49,179.89,8400200,8400200,-0.79,-0.4334,181.9,"January 22, 25",-0.004334
2025-01-23,181.59,182.36,180.88,182.35,180.74,5414500,5414500,0.76,0.41853,181.795,"January 23, 25",0.0041852999999999994
2025-01-24,182.11,182.85,181.94,182.19,180.58,8858500,8858500,0.08,0.04392949,182.2725,"January 24, 25",0.0004392949
2025-01-27,181.26,182.35,181.16,182.31,180.7,11280903,11280903,1.05,0.57928,181.77,"January 27, 25",0.0057928
2025-01-28,182.3,182.35,181.02,181.41,179.81,14005411,14005411,-0.89,-0.48821000000000003,181.77,"January 28, 25",-0.0048820999999999995
2025-01-29,181.42,182.08,180.47,180.81,179.21,7849500,7849500,-0.61,-0.33624000000000004,181.195,"January 29, 25",-0.0033623999999999998
2025-01-30,181.84,183.16,181.49,182.74,181.13,8669045,8669045,0.9,0.49494000000000005,182.3075,"January 30, 25",0.0049494
2025-01-31,182.4,183.23,181.04,181.24,179.64,10223500,10223500,-1.16,-0.6359600000000001,181.9775,"January 31, 25",-0.0063596
2025-02-03,178.92,180.9,177.7,180.25,178.66,23419700,23419700,1.34,0.7433500000000001,179.4425,"February 03, 25",0.0074335
2025-02-04,179.86,180.86,179.74,180.47,178.88,7359092,7359092,0.61,0.33915,180.2325,"February 04, 25",0.0033915
2025-02-05,180.9,181.44,179.73,181.35,179.75,5616100,5616100,0.45,0.24876,180.855,"February 05, 25",0.0024876
2025-02-06,182.1,182.1,180.11,181.11,179.51,5858956,5858956,-0.99,-0.54366,181.355,"February 06, 25",-0.0054366
2025-02-07,181.68,181.79,179.94,180.22,178.63,6525000,6525000,-1.46,-0.80361,180.9075,"February 07, 25",-0.0080361
2025-02-10,181.03,181.1,180.08,180.73,179.14,5193428,5193428,-0.30000000000000004,-0.16572,180.735,"February 10, 25",-0.0016572
2025-02-11,180.13,180.84,179.81,180.75,179.16,4882235,4882235,0.62,0.3442,180.3825,"February 11, 25",0.0034419999999999997
2025-02-12,178.75,180.11,178.65,179.7,178.11,8593041,8593041,0.9500000000000001,0.53147,179.3025,"February 12, 25",0.0053146999999999995
2025-02-13,180.3,181.42,179.81,181.26,179.66,7191627,7191627,0.96,0.5324500000000001,180.6975,"February 13, 25",0.005324499999999999
2025-02-14,181.75,182.18,181.02,181.08,179.48,10416201,10416201,-0.67,-0.36864,181.5075,"February 14, 25",-0.0036864
2025-02-18,181.56,182.5,181.06,182.47,180.86,5629500,5629500,0.91,0.50121,181.8975,"February 18, 25",0.005012099999999999
2025-02-19,182.0,183.02,181.68,182.84,181.23,6982442,6982442,0.84,0.46154000000000006,182.385,"February 19, 25",0.0046153999999999995
2025-02-20,182.62,182.62,181.17,182.38,180.77,5153586,5153586,-0.24,-0.13142,182.1975,"February 20, 25",-0.0013142
2025-02-21,182.62,182.62,179.4,179.82,178.23,7674000,7674000,-2.8,-1.53,181.115,"February 21, 25",-0.015300000000000001
2025-02-24,180.37,180.79,179.21,179.97,178.38,6196827,6196827,-0.4,-0.22177000000000002,180.085,"February 24, 25",-0.0022177
2025-02-25,180.22,180.75,179.16,180.15,178.56,9329911,9329911,-0.07,-0.03884142,180.07,"February 25, 25",-0.0003884142
2025-02-26,180.71,181.38,179.39,179.77,178.18,5829710,5829710,-0.9400000000000001,-0.52017,180.3125,"February 26, 25",-0.0052017
2025-02-27,179.8,180.56,178.1,178.2,176.63,6878007,6878007,-1.6,-0.8898800000000001,179.165,"February 27, 25",-0.0088988
2025-02-28,178.68,180.25,177.51,180.18,178.59,9252630,9252630,1.5,0.8394900000000001,179.155,"February 28, 25",0.0083949
2025-03-03,180.88,181.4,177.31,178.26,176.69,7704400,7704400,-2.62,-1.45,179.4625,"March 03, 25",-0.0145
2025-03-04,177.27,177.86,174.84,175.38,173.83,10009233,10009233,-1.8900000000000001,-1.07,176.3375,"March 04, 25",-0.010700000000000001
2025-03-05,175.22,177.5,174.54,177.01,175.45,6327500,6327500,1.79,1.02,176.0675,"March 05, 25",0.0102
2025-03-06,175.41,176.55,174.2,175.05,173.51,8624700,8624700,-0.36,-0.20523000000000002,175.3025,"March 06, 25",-0.0020523
2025-03-07,174.59,177.12,174.02,176.69,175.13,11727400,11727400,2.1,1.2,175.605,"March 07, 25",0.012
2025-03-10,175.08,176.73,172.92,174.2,172.66,16835700,16835700,-0.88,-0.50263,174.7325,"March 10, 25",-0.0050263
2025-03-11,174.23,174.32,170.96,171.88,170.36,17835022,17835022,-2.35,-1.35,172.8475,"March 11, 25",-0.0135
2025-03-12,172.61,173.09,170.1,171.07,169.56,15640500,15640500,-1.54,-0.8921800000000001,171.7175,"March 12, 25",-0.008921799999999999
2025-03-13,171.08,171.7,168.84,169.43,167.94,8687700,8687700,-1.65,-0.9644600000000001,170.2625,"March 13, 25",-0.0096446
2025-03-14,170.87,172.89,170.3,172.66,171.14,7120644,7120644,1.79,1.05,171.68,"March 14, 25",0.0105
2025-03-17,172.55,175.64,172.55,174.99,173.45,8485673,8485673,2.44,1.4100000000000001,173.9325,"March 17, 25",0.014100000000000001
2025-03-18,174.78,174.78,173.34,174.08,172.54,6404509,6404509,-0.7000000000000001,-0.4005,174.245,"March 18, 25",-0.004005
2025-03-19,174.26,176.21,173.84,175.37,173.82,7666295,7666295,1.11,0.6369800000000001,174.92,"March 19, 25",0.0063698
2025-03-20,174.56,175.76,174.16,174.64,173.1,7686200,7686200,0.08,0.045829510000000004,174.78,"March 20, 25",0.00045829510000000004
2025-03-21,173.47,174.18,172.31,173.84,172.31,7787828,7787828,0.37,0.21329,173.45,"March 21, 25",0.0021329
2025-03-24,174.64,175.97,174.34,175.69,174.98,9323432,9323432,1.05,0.60124,175.16,"March 24, 25",0.006012399999999999
2025-03-25,175.96,176.09,174.53,175.27,174.56,4313100,4313100,-0.6900000000000001,-0.39213000000000003,175.4625,"March 25, 25",-0.0039213
2025-03-26,175.62,176.32,174.38,174.94,174.23,4641889,4641889,-0.68,-0.38720000000000004,175.315,"March 26, 25",-0.003872
2025-03-27,174.65,175.51,173.61,174.49,173.78,5538318,5538318,-0.16,-0.0916118,174.565,"March 27, 25",-0.000916118
2025-03-28,174.41,174.45,171.55,171.8,171.1,6786802,6786802,-2.61,-1.5,173.0525,"March 28, 25",-0.015
2025-03-31,170.79,173.99,170.17,173.23,172.53,10869465,10869465,2.44,1.43,172.045,"March 31, 25",0.0143
2025-04-01,173.0,173.9,171.26,173.41,172.71,6370226,6370226,0.41000000000000003,0.23699,172.8925,"April 01, 25",0.0023699
2025-04-02,171.94,175.39,171.94,174.86,174.15,7288600,7288600,2.92,1.7000000000000002,173.5325,"April 02, 25",0.017
2025-04-03,170.0,170.63,166.46,166.53,165.85,15808230,15808230,-3.47,-2.04,168.405,"April 03, 25",-0.0204
2025-04-04,162.85,163.11,156.94,157.18,156.54,29019502,29019502,-5.67,-3.48,160.02,"April 04, 25",-0.034800000000000005
2025-04-07,153.64,161.69,150.35,155.87,155.24,34004221,34004221,2.23,1.45,155.3875,"April 07, 25",0.0145
2025-04-08,160.33,160.7,150.79,152.93,152.31,17732847,17732847,-7.4,-4.62,156.1875,"April 08, 25",-0.046200000000000005
2025-04-09,151.24,165.89,150.81,165.16,164.49,37769648,37769648,13.92,9.2,158.275,"April 09, 25",0.092
2025-04-10,162.15,162.3,155.48,159.6,158.95,20112440,20112440,-2.55,-1.57,159.8825,"April 10, 25",-0.015700000000000002
2025-04-11,159.39,162.77,157.69,162.02,161.36,11819300,11819300,2.63,1.65,160.4675,"April 11, 25",0.0165
2025-04-14,164.27,164.97,162.47,164.09,163.42,14031000,14031000,-0.18,-0.10958000000000001,163.95,"April 14, 25",-0.0010957999999999999
2025-04-15,164.34,165.47,163.4,163.56,162.9,8519400,8519400,-0.78,-0.47463000000000005,164.1925,"April 15, 25",-0.0047463
2025-04-16,162.9,164.08,160.21,161.46,160.8,10385800,10385800,-1.44,-0.8839800000000001,162.1625,"April 16, 25",-0.0088398
2025-04-17,161.83,163.91,161.69,162.66,162.0,7874384,7874384,0.8300000000000001,0.51288,162.5225,"April 17, 25",0.0051288
2025-04-21,161.39,161.65,157.71,159.39,158.74,6286607,6286607,-2.0,-1.24,160.035,"April 21, 25",-0.012400000000000001
2025-04-22,161.19,163.7,160.93,163.32,162.66,8645438,8645438,2.13,1.32,162.285,"April 22, 25",0.0132
2025-04-23,166.51,168.49,164.34,164.9,164.23,12717544,12717544,-1.6099999999999999,-0.96691,166.06,"April 23, 25",-0.0096691
2025-04-24,165.21,167.97,164.58,167.69,167.01,5767943,5767943,2.48,1.5,166.3625,"April 24, 25",0.015
2025-04-25,167.27,167.64,166.04,167.45,166.77,5190369,5190369,0.18,0.10761000000000001,167.1,"April 25, 25",0.0010761
2025-04-28,167.72,168.68,166.42,167.92,167.24,7232100,7232100,0.2,0.11925000000000001,167.685,"April 28, 25",0.0011925
2025-04-29,167.45,169.32,167.12,168.9,168.21,5877302,5877302,1.45,0.8659300000000001,168.1975,"April 29, 25",0.0086593
2025-04-30,167.15,169.55,165.39,169.14,168.45,7497400,7497400,1.99,1.19,167.8075,"April 30, 25",0.0119
2025-05-01,169.14,170.51,168.48,168.91,168.22,9380340,9380340,-0.23,-0.13598000000000002,169.26,"May 01, 25",-0.0013598
2025-05-02,171.02,172.29,170.59,171.89,171.19,6865222,6865222,0.87,0.50871,171.4475,"May 02, 25",0.0050871
2025-05-05,170.93,172.23,170.59,171.32,170.62,5732445,5732445,0.39,0.22816000000000003,171.2675,"May 05, 25",0.0022816
2025-05-06,169.92,171.38,169.48,170.05,169.36,5246400,5246400,0.13,0.07650659,170.2075,"May 06, 25",0.0007650659
2025-05-07,170.6,171.73,169.96,171.17,170.47,6914370,6914370,0.5700000000000001,0.33411,170.865,"May 07, 25",0.0033411
2025-05-08,172.24,174.27,171.79,172.61,171.91,5238818,5238818,0.37,0.21482,172.7275,"May 08, 25",0.0021482
2025-05-09,173.03,173.3,172.11,172.57,171.87,3460242,3460242,-0.46,-0.26585000000000003,172.7525,"May 09, 25",-0.0026585
