date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,131.23,131.97,130.27,130.72,129.02,332104,332104,-0.51,-0.38863000000000003,131.0475,"January 07, 25",-0.0038862999999999997
2025-01-08,130.4,130.91,129.56,130.84,129.14,239194,239194,0.44,0.33742000000000005,130.4275,"January 08, 25",0.0033742
2025-01-10,129.96,130.2,128.64,128.74,127.07,1443100,1443100,-1.22,-0.9387500000000001,129.385,"January 10, 25",-0.0093875
2025-01-13,128.63,129.97,128.6,129.91,128.22,303108,303108,1.28,0.9951000000000001,129.2775,"January 13, 25",0.009951
2025-01-14,130.33,131.11,129.99,131.09,129.39,330000,330000,0.76,0.5831400000000001,130.63,"January 14, 25",0.0058314
2025-01-15,132.59,132.96,131.52,131.84,130.13,242480,242480,-0.75,-0.5656500000000001,132.2275,"January 15, 25",-0.0056565
2025-01-16,131.65,133.19,131.41,133.15,131.42,256771,256771,1.5,1.1400000000000001,132.35,"January 16, 25",0.0114
2025-01-17,133.65,134.18,133.32,133.77,132.03,245814,245814,0.12,0.08978676000000001,133.73,"January 17, 25",0.0008978676
2025-01-21,134.27,135.24,134.27,134.93,133.18,336336,336336,0.66,0.49155000000000004,134.6775,"January 21, 25",0.0049155
2025-01-22,134.65,134.71,133.37,133.37,131.64,375500,375500,-1.28,-0.9506100000000001,134.025,"January 22, 25",-0.0095061
2025-01-23,133.55,133.99,133.0,133.92,132.18,284900,284900,0.37,0.27705,133.615,"January 23, 25",0.0027705
2025-01-24,133.71,134.25,133.48,133.91,132.17,316221,316221,0.2,0.14958000000000002,133.8375,"January 24, 25",0.0014958
2025-01-27,134.24,136.4,134.24,136.34,134.57,486187,486187,2.1,1.56,135.305,"January 27, 25",0.015600000000000001
2025-01-28,135.92,136.05,134.35,134.5,132.75,236031,236031,-1.42,-1.04,135.205,"January 28, 25",-0.010400000000000001
2025-01-29,134.42,134.89,133.72,133.79,132.05,224400,224400,-0.63,-0.46868000000000004,134.205,"January 29, 25",-0.0046868
2025-01-30,134.61,135.68,134.59,135.23,133.47,194200,194200,0.62,0.46059000000000005,135.0275,"January 30, 25",0.0046059
2025-01-31,134.99,135.59,134.24,134.54,132.79,530400,530400,-0.45,-0.33336000000000005,134.84,"January 31, 25",-0.0033336
2025-02-03,133.22,134.52,132.34,134.05,132.31,456400,456400,0.8300000000000001,0.6230300000000001,133.5325,"February 03, 25",0.006230299999999999
2025-02-04,133.52,134.13,133.3,133.67,131.93,224200,224200,0.15,0.11234000000000001,133.655,"February 04, 25",0.0011233999999999999
2025-02-05,134.03,134.29,133.27,134.21,132.47,201900,201900,0.18,0.1343,133.95,"February 05, 25",0.001343
2025-02-06,134.52,134.52,133.16,133.6,131.87,260000,260000,-0.92,-0.68391,133.95,"February 06, 25",-0.0068391
2025-02-07,133.73,133.74,132.78,132.9,131.17,228500,228500,-0.8300000000000001,-0.62065,133.2875,"February 07, 25",-0.006206499999999999
2025-02-10,133.39,133.59,132.78,133.51,131.78,219012,219012,0.12,0.08996177,133.3175,"February 10, 25",0.0008996177
2025-02-11,133.38,134.45,133.11,134.44,132.69,244600,244600,1.06,0.7947200000000001,133.845,"February 11, 25",0.0079472
2025-02-12,133.19,133.85,132.88,133.51,131.78,235700,235700,0.32,0.24026000000000003,133.3575,"February 12, 25",0.0024026
2025-02-13,133.91,134.99,133.67,134.88,133.13,447913,447913,0.97,0.7243700000000001,134.3625,"February 13, 25",0.0072437
2025-02-14,135.01,135.58,134.26,134.26,132.52,225400,225400,-0.75,-0.5555100000000001,134.7775,"February 14, 25",-0.0055550999999999994
