date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,81.97,81.99,81.9,81.93,80.37,4035522,4035522,-0.04,-0.04879834,81.9475,"January 07, 25",-0.0004879834
2025-01-08,81.95,81.99,81.95,81.98,80.42,2747679,2747679,0.03,0.03660769,81.9675,"January 08, 25",0.0003660769
2025-01-10,81.93,81.94,81.83,81.83,80.27,6188500,6188500,-0.1,-0.12206000000000002,81.8825,"January 10, 25",-0.0012205999999999999
2025-01-13,81.84,81.85,81.81,81.85,80.29,4855152,4855152,0.01,0.012218960000000001,81.8375,"January 13, 25",0.0001221896
2025-01-14,81.88,81.89,81.86,81.87,80.31,2281900,2281900,-0.01,-0.01221299,81.875,"January 14, 25",-0.0001221299
2025-01-15,82.04,82.05,82.01,82.05,80.48,3694514,3694514,0.01,0.01218918,82.0375,"January 15, 25",0.0001218918
2025-01-16,82.01,82.12,82.0,82.1,80.53,4775046,4775046,0.09,0.10974,82.0575,"January 16, 25",0.0010974
2025-01-17,82.11,82.12,82.07,82.08,80.51,2248593,2248593,-0.03,-0.03653635,82.095,"January 17, 25",-0.0003653635
2025-01-21,82.11,82.12,82.06,82.11,80.54,2400400,2400400,0.0,0.0,82.1,"January 21, 25",0.0
2025-01-22,82.11,82.12,82.06,82.09,80.52,2706843,2706843,-0.02,-0.024357570000000002,82.095,"January 22, 25",-0.00024357570000000002
2025-01-23,82.06,82.11,82.06,82.09,80.52,3378553,3378553,0.03,0.03655862,82.08,"January 23, 25",0.0003655862
2025-01-24,82.14,82.19,82.12,82.14,80.57,2190060,2190060,0.0,0.0,82.1475,"January 24, 25",0.0
2025-01-27,82.28,82.29,82.22,82.26,80.69,3639700,3639700,-0.02,-0.02430724,82.2625,"January 27, 25",-0.00024307240000000002
2025-01-28,82.24,82.28,82.23,82.28,80.71,2980503,2980503,0.04,0.04863813,82.2575,"January 28, 25",0.0004863813
2025-01-29,82.29,82.29,82.19,82.23,80.66,2849250,2849250,-0.055,-0.07291287,82.25,"January 29, 25",-0.0007291287
2025-01-30,82.27,82.3,82.26,82.28,80.71,1956320,1956320,0.01,0.0121551,82.2775,"January 30, 25",0.000121551
2025-01-31,82.29,82.32,82.26,82.29,80.72,2987300,2987300,0.0,0.0,82.29,"January 31, 25",0.0
2025-02-03,81.99,82.04,81.94,81.96,80.66,3483200,3483200,-0.03,-0.036589830000000004,81.9825,"February 03, 25",-0.0003658983
2025-02-04,81.96,82.04,81.96,82.04,80.74,3232500,3232500,0.08,0.09760859000000001,82.0,"February 04, 25",0.0009760859
2025-02-05,82.07,82.13,82.07,82.09,80.79,3456303,3456303,0.02,0.02436944,82.09,"February 05, 25",0.0002436944
2025-02-06,82.06,82.09,82.05,82.06,80.76,2083237,2083237,0.0,0.0,82.065,"February 06, 25",0.0
2025-02-07,82.02,82.03,81.97,81.97,80.67,3488900,3488900,-0.05,-0.06096074,81.9975,"February 07, 25",-0.0006096074
2025-02-10,82.02,82.04,82.0,82.01,80.71,2573003,2573003,-0.01,-0.01219215,82.0175,"February 10, 25",-0.00012192150000000001
2025-02-11,81.98,82.01,81.98,81.99,80.69,2861923,2861923,0.01,0.0121981,81.99,"February 11, 25",0.00012198100000000001
