date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,67.74,67.87,66.96,67.16,66.79,1413580,1413580,-0.58,-0.85621,67.4325,"January 07, 25",-0.0085621
2025-01-08,67.14,67.33,66.8,67.24,66.87,959909,959909,0.1,0.14894000000000002,67.1275,"January 08, 25",0.0014893999999999999
2025-01-10,66.72,66.79,66.01,66.14,65.78,1071235,1071235,-0.58,-0.8693000000000001,66.415,"January 10, 25",-0.008693
2025-01-13,65.7,66.34,65.61,66.34,65.98,876900,876900,0.64,0.9741200000000001,65.9975,"January 13, 25",0.0097412
2025-01-14,66.61,66.63,66.02,66.53,66.17,1461287,1461287,-0.08,-0.12010000000000001,66.4475,"January 14, 25",-0.001201
2025-01-15,67.37,67.53,67.13,67.38,67.01,1210910,1210910,0.01,0.0148434,67.3525,"January 15, 25",0.00014843400000000002
2025-01-16,67.57,67.91,67.42,67.64,67.27,974100,974100,0.07,0.10360000000000001,67.635,"January 16, 25",0.001036
2025-01-17,68.22,68.31,67.93,68.11,67.74,727000,727000,-0.11,-0.16124000000000002,68.1425,"January 17, 25",-0.0016124
2025-01-21,68.42,68.77,68.33,68.75,68.37,1364850,1364850,0.33,0.48232,68.5675,"January 21, 25",0.0048232
2025-01-22,69.37,69.41,69.19,69.22,68.84,1038300,1038300,-0.15,-0.21623,69.2975,"January 22, 25",-0.0021623
2025-01-23,69.2,69.67,69.15,69.67,69.29,12050014,12050014,0.47000000000000003,0.6791900000000001,69.4225,"January 23, 25",0.0067919
2025-01-24,69.74,69.76,69.29,69.41,69.03,715000,715000,-0.33,-0.47319000000000006,69.55,"January 24, 25",-0.0047319
2025-01-27,68.56,69.4,68.5,69.4,69.02,1105399,1105399,0.84,1.23,68.965,"January 27, 25",0.0123
2025-01-28,69.39,69.72,69.05,69.53,69.15,898600,898600,0.14,0.20176000000000002,69.4225,"January 28, 25",0.0020176
2025-01-29,69.57,69.71,69.26,69.54,69.16,723220,723220,-0.03,-0.04312204,69.52,"January 29, 25",-0.00043122040000000004
2025-01-30,69.94,70.54,69.94,70.41,70.03,813404,813404,0.47000000000000003,0.672,70.2075,"January 30, 25",0.00672
2025-01-31,70.51,70.69,69.74,69.76,69.38,872600,872600,-0.75,-1.06,70.175,"January 31, 25",-0.0106
2025-02-03,68.89,69.89,68.8,69.68,69.3,979833,979833,0.79,1.15,69.315,"February 03, 25",0.0115
2025-02-04,69.46,69.74,69.39,69.66,69.28,1003300,1003300,0.2,0.28794000000000003,69.5625,"February 04, 25",0.0028794
2025-02-05,69.66,70.29,69.48,70.28,69.9,591435,591435,0.62,0.89004,69.9275,"February 05, 25",0.0089004
2025-02-06,70.38,70.45,69.96,70.3,69.92,715900,715900,-0.08,-0.11367000000000001,70.2725,"February 06, 25",-0.0011367
2025-02-07,70.46,70.56,69.82,69.93,69.55,837900,837900,-0.53,-0.7522000000000001,70.1925,"February 07, 25",-0.007522
2025-02-10,70.28,70.43,70.15,70.38,70.0,1826104,1826104,0.1,0.14229,70.31,"February 10, 25",0.0014229
2025-02-11,70.14,70.62,70.12,70.56,70.17,537840,537840,0.42,0.5988,70.36,"February 11, 25",0.005987999999999999
2025-02-12,69.91,70.43,69.79,70.41,70.03,881722,881722,0.5,0.71521,70.135,"February 12, 25",0.0071521
2025-02-13,70.47,71.12,70.36,71.12,70.73,1009236,1009236,0.65,0.9223800000000001,70.7675,"February 13, 25",0.009223799999999999
2025-02-14,71.06,71.07,70.78,70.82,70.43,628103,628103,-0.24,-0.33774000000000004,70.9325,"February 14, 25",-0.0033774
2025-02-18,70.97,71.02,70.67,70.97,70.58,753526,753526,0.0,0.0,70.9075,"February 18, 25",0.0
2025-02-19,70.83,71.22,70.72,71.22,70.83,714316,714316,0.39,0.55061,70.9975,"February 19, 25",0.0055061
2025-02-20,71.02,71.1,70.61,70.95,70.56,711530,711530,-0.07,-0.09856378,70.92,"February 20, 25",-0.0009856378
2025-02-21,71.01,71.02,70.01,70.13,69.75,805792,805792,-0.88,-1.24,70.5425,"February 21, 25",-0.012400000000000001
2025-02-24,70.3,70.4,69.92,69.99,69.61,859839,859839,-0.31,-0.44097000000000003,70.1525,"February 24, 25",-0.0044097
2025-02-25,70.1,70.32,69.56,70.08,69.7,1063600,1063600,-0.02,-0.02853067,70.015,"February 25, 25",-0.0002853067
2025-02-26,70.35,70.66,69.87,70.11,69.73,669900,669900,-0.24,-0.34115,70.2475,"February 26, 25",-0.0034115
2025-02-27,70.28,70.38,69.21,69.28,68.9,1111500,1111500,-1.0,-1.42,69.7875,"February 27, 25",-0.0142
2025-02-28,69.32,70.33,69.04,70.29,69.91,950000,950000,0.97,1.4,69.745,"February 28, 25",0.014
2025-03-03,70.42,70.66,69.17,69.57,69.19,1317803,1317803,-0.85,-1.21,69.955,"March 03, 25",-0.012100000000000001
2025-03-04,69.28,69.62,68.45,68.72,68.34,2508179,2508179,-0.56,-0.8083100000000001,69.0175,"March 04, 25",-0.0080831
2025-03-05,68.64,69.58,68.42,69.4,69.02,1527125,1527125,0.76,1.11,69.01,"March 05, 25",0.0111
2025-03-06,68.6,69.07,67.88,68.2,67.83,1350421,1350421,-0.4,-0.58309,68.4375,"March 06, 25",-0.0058309
2025-03-07,67.85,68.52,67.32,68.38,68.01,1226617,1226617,0.53,0.7811300000000001,68.0175,"March 07, 25",0.007811299999999999
2025-03-10,67.56,67.96,66.58,67.09,66.72,1447738,1447738,-0.47000000000000003,-0.6956800000000001,67.2975,"March 10, 25",-0.0069568
2025-03-11,66.84,67.06,66.01,66.35,65.99,1503556,1503556,-0.49,-0.73309,66.565,"March 11, 25",-0.0073309
2025-03-12,66.88,66.98,65.92,66.4,66.04,1111048,1111048,-0.48,-0.7177,66.545,"March 12, 25",-0.007176999999999999
2025-03-13,66.14,66.2,65.08,65.27,64.91,1229498,1229498,-0.87,-1.32,65.6725,"March 13, 25",-0.0132
2025-03-14,65.7,66.47,65.6,66.39,66.03,1057191,1057191,0.6900000000000001,1.05,66.04,"March 14, 25",0.0105
2025-03-17,66.31,67.35,66.31,67.15,66.78,977045,977045,0.84,1.27,66.78,"March 17, 25",0.012700000000000001
2025-03-18,66.9,66.91,66.17,66.42,66.06,1085708,1085708,-0.48,-0.7174900000000001,66.6,"March 18, 25",-0.0071749
2025-03-19,66.54,67.32,66.37,66.92,66.55,1021836,1021836,0.38,0.5710900000000001,66.7875,"March 19, 25",0.0057109
2025-03-20,66.55,67.3,66.52,66.67,66.31,1210763,1210763,0.12,0.18032,66.76,"March 20, 25",0.0018031999999999998
2025-03-21,66.14,66.5,65.94,66.43,66.07,1265500,1265500,0.29,0.43846,66.2525,"March 21, 25",0.0043846
2025-03-24,66.93,67.41,66.86,67.26,67.1,980068,980068,0.33,0.49305000000000004,67.115,"March 24, 25",0.0049305
2025-03-25,67.44,67.55,67.14,67.34,67.18,656727,656727,-0.1,-0.14828000000000002,67.3675,"March 25, 25",-0.0014827999999999998
2025-03-26,67.4,67.57,66.74,66.95,66.79,974640,974640,-0.45,-0.66766,67.165,"March 26, 25",-0.0066765999999999995
2025-03-27,66.8,67.3,66.56,66.98,66.82,2338053,2338053,0.18,0.26946000000000003,66.91,"March 27, 25",0.0026945999999999997
2025-03-28,66.79,66.91,65.65,65.72,65.56,1175178,1175178,-1.07,-1.6,66.2675,"March 28, 25",-0.016
2025-03-31,65.14,66.52,64.9,66.34,66.18,1444806,1444806,1.2,1.8399999999999999,65.725,"March 31, 25",0.0184
2025-04-01,65.98,66.36,65.56,66.19,66.03,1119800,1119800,0.21,0.31828,66.0225,"April 01, 25",0.0031828
2025-04-02,65.62,66.77,65.6,66.44,66.28,886200,886200,0.8200000000000001,1.25,66.1075,"April 02, 25",0.0125
2025-04-03,64.55,65.05,63.99,64.04,63.88,1688793,1688793,-0.51,-0.7900900000000001,64.4075,"April 03, 25",-0.007900899999999999
2025-04-04,62.59,62.81,60.15,60.26,60.11,5558375,5558375,-2.33,-3.7199999999999998,61.4525,"April 04, 25",-0.037200000000000004
2025-04-07,58.63,62.08,57.67,59.97,59.82,3914010,3914010,1.34,2.29,59.5875,"April 07, 25",0.0229
2025-04-08,61.81,62.14,58.41,59.24,59.1,3117300,3117300,-2.5700000000000003,-4.16,60.4,"April 08, 25",-0.041600000000000005
2025-04-09,58.68,64.4,58.58,64.13,63.97,3392074,3392074,5.45,9.29,61.4475,"April 09, 25",0.09290000000000001
2025-04-10,63.03,63.21,60.62,62.32,62.17,1514409,1514409,-0.71,-1.13,62.295,"April 10, 25",-0.011300000000000001
2025-04-11,62.11,63.62,61.8,63.29,63.14,2195734,2195734,1.18,1.9,62.705,"April 11, 25",0.019
2025-04-14,64.27,64.41,63.4,63.89,63.73,1288600,1288600,-0.38,-0.59126,63.9925,"April 14, 25",-0.0059126
2025-04-15,64.0,64.48,63.74,63.8,63.64,1391001,1391001,-0.2,-0.3125,64.005,"April 15, 25",-0.0031249999999999997
2025-04-16,63.3,63.65,62.12,62.67,62.52,2020983,2020983,-0.63,-0.99526,62.935,"April 16, 25",-0.009952599999999999
2025-04-17,62.82,63.54,62.65,63.0,62.85,1511700,1511700,0.18,0.28653,63.0025,"April 17, 25",0.0028653
2025-04-21,62.54,62.67,61.02,61.7,61.55,1197320,1197320,-0.84,-1.34,61.9825,"April 21, 25",-0.0134
2025-04-22,62.41,63.51,62.36,63.34,63.19,1077522,1077522,0.93,1.49,62.905,"April 22, 25",0.0149
2025-04-23,64.61,65.01,63.68,63.91,63.75,1192015,1192015,-0.7000000000000001,-1.08,64.3025,"April 23, 25",-0.0108
2025-04-24,64.06,64.98,63.82,64.94,64.78,808437,808437,0.88,1.37,64.45,"April 24, 25",0.0137
2025-04-25,64.82,65.25,64.43,65.22,65.06,1189951,1189951,0.4,0.61709,64.93,"April 25, 25",0.0061709
2025-04-28,65.34,65.54,64.72,65.34,65.18,947426,947426,0.0,0.0,65.235,"April 28, 25",0.0
2025-04-29,65.18,65.94,65.11,65.82,65.66,808200,808200,0.64,0.9819,65.5125,"April 29, 25",0.009819
2025-04-30,65.28,66.31,64.6,66.15,65.99,953952,953952,0.87,1.33,65.585,"April 30, 25",0.013300000000000001
2025-05-01,66.48,66.72,66.17,66.24,66.08,979200,979200,-0.24,-0.36101000000000005,66.4025,"May 01, 25",-0.0036100999999999998
2025-05-02,66.98,67.38,66.87,67.21,67.05,1179282,1179282,0.23,0.34339000000000003,67.11,"May 02, 25",0.0034338999999999997
2025-05-05,66.83,67.33,66.74,66.99,66.83,1460620,1460620,0.16,0.23941,66.9725,"May 05, 25",0.0023940999999999997
2025-05-06,66.44,67.07,66.35,66.61,66.45,743600,743600,0.17,0.25587000000000004,66.6175,"May 06, 25",0.0025586999999999997
2025-05-07,66.73,67.51,66.68,67.25,67.09,1009648,1009648,0.52,0.7792600000000001,67.0425,"May 07, 25",0.007792599999999999
2025-05-08,67.61,68.01,67.14,67.44,67.28,912740,912740,-0.17,-0.25144,67.55,"May 08, 25",-0.0025144
2025-05-09,67.54,67.59,67.1,67.23,67.07,861147,861147,-0.31,-0.45899000000000006,67.365,"May 09, 25",-0.0045899
2025-05-12,68.86,69.1,68.38,69.06,68.89,862848,862848,0.2,0.29044000000000003,68.85,"May 12, 25",0.0029043999999999997
2025-05-13,69.05,69.62,69.05,69.28,69.11,1045379,1045379,0.23,0.33309000000000005,69.25,"May 13, 25",0.0033309
2025-05-14,69.44,69.47,69.05,69.18,69.01,1689256,1689256,-0.26,-0.37442000000000003,69.285,"May 14, 25",-0.0037442
2025-05-15,69.14,70.01,69.12,69.93,69.76,839445,839445,0.79,1.1400000000000001,69.55,"May 15, 25",0.0114
2025-05-16,70.07,70.47,69.84,70.45,70.28,1939422,1939422,0.38,0.5423100000000001,70.2075,"May 16, 25",0.0054231
2025-05-19,69.88,70.75,69.88,70.73,70.56,1897269,1897269,0.85,1.22,70.31,"May 19, 25",0.0122
2025-05-20,70.52,70.64,70.21,70.58,70.41,1459778,1459778,0.06,0.08508225,70.4875,"May 20, 25",0.0008508225000000001
2025-05-21,70.09,70.55,69.44,69.59,69.42,1146450,1146450,-0.5,-0.7133700000000001,69.9175,"May 21, 25",-0.0071337
2025-05-22,69.49,69.88,69.24,69.49,69.32,835037,835037,0.0,0.0,69.525,"May 22, 25",0.0
2025-05-23,68.69,69.26,68.68,68.99,68.82,936026,936026,0.30000000000000004,0.43674,68.905,"May 23, 25",0.0043674
2025-05-27,69.68,70.34,69.48,70.34,70.17,843997,843997,0.66,0.9471900000000001,69.96,"May 27, 25",0.0094719
2025-05-28,70.35,70.55,69.95,70.01,69.84,1036700,1036700,-0.34,-0.4833,70.215,"May 28, 25",-0.004833
2025-05-29,70.46,70.46,69.65,70.12,69.95,1194985,1194985,-0.34,-0.48254,70.1725,"May 29, 25",-0.0048254
2025-05-30,70.09,70.47,69.64,70.3,70.13,900443,900443,0.21,0.29961000000000004,70.125,"May 30, 25",0.0029961
2025-06-02,70.02,70.53,69.6,70.51,70.34,740746,740746,0.49,0.6998000000000001,70.165,"June 02, 25",0.006998
2025-06-03,70.49,70.96,70.36,70.93,70.76,1262022,1262022,0.44,0.6242,70.685,"June 03, 25",0.006241999999999999
2025-06-04,71.04,71.33,71.03,71.08,70.91,1118900,1118900,0.04,0.05630631,71.12,"June 04, 25",0.0005630631000000001
2025-06-05,71.24,71.33,70.65,70.83,70.66,1173702,1173702,-0.41000000000000003,-0.57552,71.0125,"June 05, 25",-0.005755199999999999
2025-06-06,71.4,71.61,71.12,71.39,71.22,612500,612500,-0.01,-0.0140056,71.38,"June 06, 25",-0.000140056
2025-06-09,71.45,71.48,70.95,70.98,70.81,954700,954700,-0.47000000000000003,-0.6578,71.215,"June 09, 25",-0.006578
2025-06-10,71.05,71.2,70.73,71.16,70.99,1190818,1190818,0.11,0.15482,71.035,"June 10, 25",0.0015482
2025-06-11,71.2,71.31,70.69,70.94,70.77,1078336,1078336,-0.26,-0.36517000000000005,71.035,"June 11, 25",-0.0036517
2025-06-12,70.81,71.12,70.7,71.1,70.93,962216,962216,0.29,0.40955,70.9325,"June 12, 25",0.0040955
2025-06-13,70.25,70.47,69.67,69.86,69.69,1691787,1691787,-0.39,-0.5551600000000001,70.0625,"June 13, 25",-0.005551599999999999
