date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,70.28,70.32,69.03,69.27,68.84,8444900,8444900,-1.01,-1.44,69.725,"January 07, 25",-0.014400000000000001
2025-01-08,69.27,69.47,68.84,69.33,68.9,8777427,8777427,0.06,0.08661758,69.2275,"January 08, 25",0.0008661758
2025-01-10,68.92,68.92,68.06,68.3,67.88,8750403,8750403,-0.62,-0.8995900000000001,68.55,"January 10, 25",-0.0089959
2025-01-13,67.73,68.44,67.68,68.41,67.99,10792700,10792700,0.68,1.0,68.065,"January 13, 25",0.01
2025-01-14,68.74,68.82,68.04,68.48,68.06,7405937,7405937,-0.26,-0.37824,68.52,"January 14, 25",-0.0037824
2025-01-15,69.45,69.87,69.31,69.72,69.29,6905639,6905639,0.27,0.38877,69.5875,"January 15, 25",0.0038877
2025-01-16,69.91,69.91,69.52,69.6,69.17,4115200,4115200,-0.31,-0.44343000000000005,69.735,"January 16, 25",-0.0044342999999999995
2025-01-17,70.22,70.51,70.07,70.29,69.85,3979500,3979500,0.07,0.09968669999999999,70.2725,"January 17, 25",0.000996867
2025-01-21,70.66,70.94,70.43,70.94,70.5,12447520,12447520,0.28,0.39626000000000006,70.7425,"January 21, 25",0.0039626
2025-01-22,71.28,71.51,71.22,71.34,70.9,8732439,8732439,0.06,0.08417508,71.3375,"January 22, 25",0.0008417508
2025-01-23,71.27,71.73,71.23,71.73,71.29,5222700,5222700,0.46,0.6454300000000001,71.49,"January 23, 25",0.0064543
2025-01-24,71.75,71.85,71.39,71.51,71.07,9425900,9425900,-0.24,-0.33449,71.625,"January 24, 25",-0.0033449
2025-01-27,69.97,70.54,69.96,70.52,70.08,9045400,9045400,0.55,0.78605,70.2475,"January 27, 25",0.0078605
2025-01-28,70.64,71.22,70.26,71.12,70.68,4712400,4712400,0.48,0.6795,70.81,"January 28, 25",0.006795
2025-01-29,71.02,71.07,70.5,70.8,70.36,4662500,4662500,-0.22,-0.30977000000000005,70.8475,"January 29, 25",-0.0030976999999999997
2025-01-30,71.04,71.36,70.67,71.16,70.72,6473500,6473500,0.12,0.16892000000000001,71.0575,"January 30, 25",0.0016891999999999999
2025-01-31,71.47,71.76,70.71,70.8,70.36,7295300,7295300,-0.67,-0.9374600000000001,71.185,"January 31, 25",-0.0093746
2025-02-03,69.72,70.61,69.47,70.31,69.87,10211730,10211730,0.59,0.8462400000000001,70.0275,"February 03, 25",0.0084624
2025-02-04,70.32,70.85,70.27,70.79,70.35,5342207,5342207,0.47000000000000003,0.66837,70.5575,"February 04, 25",0.0066837
2025-02-05,70.67,71.1,70.42,71.09,70.65,11551206,11551206,0.42,0.59431,70.82,"February 05, 25",0.0059431
2025-02-06,71.28,71.35,70.9,71.33,70.89,4584400,4584400,0.05,0.0701459,71.215,"February 06, 25",0.0007014590000000001
2025-02-07,71.4,71.54,70.59,70.68,70.24,5876100,5876100,-0.72,-1.01,71.0525,"February 07, 25",-0.010100000000000001
2025-02-10,71.06,71.23,70.91,71.15,70.71,4843300,4843300,0.09,0.12665,71.0875,"February 10, 25",0.0012665
2025-02-11,70.89,71.27,70.88,71.2,70.76,3029641,3029641,0.31,0.4373,71.06,"February 11, 25",0.004373
2025-02-12,70.5,71.11,70.42,70.98,70.54,7367829,7367829,0.48,0.6808500000000001,70.7525,"February 12, 25",0.0068084999999999994
2025-02-13,71.11,71.75,70.97,71.73,71.29,6285100,6285100,0.615,0.87189,71.39,"February 13, 25",0.0087189
2025-02-14,71.76,71.88,71.66,71.72,71.28,3909532,3909532,-0.04,-0.055741360000000004,71.755,"February 14, 25",-0.0005574136
2025-02-18,71.87,71.93,71.57,71.93,71.48,6477136,6477136,0.06,0.08348407000000001,71.825,"February 18, 25",0.0008348407
2025-02-19,71.77,72.14,71.71,72.1,71.65,3591307,3591307,0.33,0.45980000000000004,71.93,"February 19, 25",0.004598
2025-02-20,71.94,71.96,71.42,71.8,71.35,4717300,4717300,-0.14,-0.19461,71.78,"February 20, 25",-0.0019460999999999999
2025-02-21,71.79,71.79,70.53,70.59,70.15,7551321,7551321,-1.2,-1.67,71.175,"February 21, 25",-0.0167
2025-02-24,70.82,70.94,70.17,70.26,69.82,6318500,6318500,-0.56,-0.7907400000000001,70.5475,"February 24, 25",-0.0079074
2025-02-25,70.25,70.33,69.36,69.91,69.48,11745400,11745400,-0.34,-0.48399000000000003,69.9625,"February 25, 25",-0.004839899999999999
2025-02-26,70.11,70.53,69.63,69.92,69.49,6603400,6603400,-0.19,-0.271,70.0475,"February 26, 25",-0.00271
2025-02-27,70.22,70.35,68.78,68.83,68.4,11242927,11242927,-1.3900000000000001,-1.98,69.545,"February 27, 25",-0.0198
2025-02-28,68.88,69.96,68.52,69.89,69.46,8674800,8674800,1.01,1.47,69.3125,"February 28, 25",0.014700000000000001
2025-03-03,70.12,70.27,68.22,68.7,68.27,11575749,11575749,-1.42,-2.03,69.3275,"March 03, 25",-0.020300000000000002
2025-03-04,68.2,68.86,67.33,67.87,67.45,15305836,15305836,-0.33,-0.48387,68.065,"March 04, 25",-0.0048387
2025-03-05,67.83,68.8,67.42,68.6,68.17,13822901,13822901,0.765,1.1400000000000001,68.1625,"March 05, 25",0.0114
2025-03-06,67.7,68.24,67.07,67.39,66.97,11780725,11780725,-0.31,-0.45790000000000003,67.6,"March 06, 25",-0.004579
2025-03-07,67.16,67.91,66.55,67.75,67.33,12978548,12978548,0.59,0.8785000000000001,67.3425,"March 07, 25",0.008785
2025-03-10,66.77,66.99,65.35,65.95,65.54,14440300,14440300,-0.8200000000000001,-1.23,66.265,"March 10, 25",-0.0123
2025-03-11,65.8,66.2,64.94,65.42,65.01,14192420,14192420,-0.38,-0.5775100000000001,65.59,"March 11, 25",-0.0057751
2025-03-12,66.13,66.24,65.14,65.75,65.34,13500242,13500242,-0.38,-0.5746300000000001,65.815,"March 12, 25",-0.005746299999999999
2025-03-13,65.7,65.76,64.67,64.88,64.48,10597928,10597928,-0.8200000000000001,-1.25,65.2525,"March 13, 25",-0.0125
