date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,597.42,597.75,586.78,588.63,585.14,60393100,60393100,-8.79,-1.47,592.645,"January 07, 25",-0.014700000000000001
2025-01-08,588.7,590.58,585.2,589.49,585.99,47304700,47304700,0.79,0.13419,588.4925,"January 08, 25",0.0013419
2025-01-10,585.88,585.95,578.55,580.49,577.04,73105046,73105046,-5.39,-0.91998,582.7175,"January 10, 25",-0.0091998
2025-01-13,575.77,581.75,575.35,581.39,577.94,47910100,47910100,5.62,0.9760800000000001,578.565,"January 13, 25",0.0097608
2025-01-14,584.36,585.0,578.35,582.19,578.73,48420600,48420600,-2.17,-0.37135,582.475,"January 14, 25",-0.0037135
2025-01-15,590.33,593.94,589.2,592.78,589.26,56900200,56900200,2.45,0.41502000000000006,591.5625,"January 15, 25",0.0041502
2025-01-16,594.17,594.35,590.93,591.64,588.13,43319700,43319700,-2.5300000000000002,-0.4258,592.7725,"January 16, 25",-0.004258
2025-01-17,596.96,599.36,595.61,597.58,594.03,58070628,58070628,0.62,0.10386000000000001,597.3775,"January 17, 25",0.0010386
2025-01-21,600.67,603.06,598.67,603.05,599.47,42532900,42532900,2.38,0.39622,601.3625,"January 21, 25",0.0039622
2025-01-22,605.92,607.82,605.36,606.44,602.84,48196000,48196000,0.52,0.08581991,606.385,"January 22, 25",0.0008581991000000001
2025-01-23,605.8,609.75,605.52,609.75,606.13,41152102,41152102,3.95,0.65203,607.705,"January 23, 25",0.0065203
2025-01-24,609.81,610.78,606.8,607.97,604.36,34604700,34604700,-1.8399999999999999,-0.30173,608.84,"January 24, 25",-0.0030172999999999997
2025-01-27,594.81,599.69,594.64,599.37,595.81,70361125,70361125,4.5600000000000005,0.76663,597.1275,"January 27, 25",0.0076663
2025-01-28,600.62,605.37,597.25,604.52,600.93,44433322,44433322,3.9,0.6493300000000001,601.94,"January 28, 25",0.0064933
2025-01-29,603.72,604.13,599.22,601.81,598.24,37177429,37177429,-1.9100000000000001,-0.31637000000000004,602.22,"January 29, 25",-0.0031636999999999998
2025-01-30,603.96,606.6,600.72,605.04,601.45,39281300,39281300,1.08,0.17882,604.08,"January 30, 25",0.0017882
2025-01-31,607.5,609.96,601.05,601.82,598.25,66671500,66671500,-5.68,-0.93498,605.0825,"January 31, 25",-0.0093498
2025-02-03,592.67,600.29,590.49,597.77,594.22,65857248,65857248,5.1,0.8605100000000001,595.305,"February 03, 25",0.0086051
2025-02-04,597.83,602.3,597.28,601.78,598.21,33457815,33457815,3.95,0.6607200000000001,599.7975,"February 04, 25",0.0066072
2025-02-05,600.64,604.37,598.58,604.22,600.63,30653149,30653149,3.58,0.5960300000000001,601.9525,"February 05, 25",0.0059603
2025-02-06,605.99,606.45,602.63,606.32,602.72,35771503,35771503,0.33,0.05445634,605.3475,"February 06, 25",0.0005445634
2025-02-07,606.89,608.13,600.05,600.77,597.2,50788516,50788516,-6.12,-1.01,603.96,"February 07, 25",-0.010100000000000001
2025-02-10,604.03,605.5,602.74,604.85,601.26,26048714,26048714,0.8200000000000001,0.13575,604.28,"February 10, 25",0.0013575
2025-02-11,602.55,605.86,602.43,605.31,601.72,30056740,30056740,2.76,0.45805,604.0375,"February 11, 25",0.0045804999999999995
2025-02-12,599.2,604.55,598.51,603.36,599.78,45076100,45076100,4.16,0.6942600000000001,601.405,"February 12, 25",0.006942599999999999
2025-02-13,604.48,609.94,603.2,609.73,606.11,40921300,40921300,5.25,0.8685200000000001,606.8375,"February 13, 25",0.008685199999999999
2025-02-14,609.94,610.99,609.07,609.7,606.08,26910448,26910448,-0.24,-0.03934813,609.925,"February 14, 25",-0.0003934813
2025-02-18,610.88,611.49,608.38,611.49,607.86,26749030,26749030,0.61,0.09985595,610.56,"February 18, 25",0.0009985595
2025-02-19,610.08,613.23,609.56,612.93,609.29,31011100,31011100,2.85,0.46715000000000007,611.45,"February 19, 25",0.0046714999999999994
2025-02-20,611.54,611.68,607.02,610.38,606.76,36554002,36554002,-1.16,-0.18969000000000003,610.155,"February 20, 25",-0.0018969
2025-02-21,610.16,610.3,599.47,599.94,596.38,76519818,76519818,-10.22,-1.67,604.9675,"February 21, 25",-0.0167
2025-02-24,602.02,603.03,596.49,597.21,593.66,50737213,50737213,-4.8100000000000005,-0.79898,599.6875,"February 24, 25",-0.0079898
2025-02-25,597.15,597.89,589.56,594.24,590.71,58266500,58266500,-2.91,-0.48731,594.71,"February 25, 25",-0.0048731
2025-02-26,595.93,599.58,591.86,594.54,591.01,43321600,43321600,-1.3900000000000001,-0.23325,595.4775,"February 26, 25",-0.0023325
2025-02-27,596.85,598.02,584.65,585.05,581.58,74196700,74196700,-11.8,-1.98,591.1425,"February 27, 25",-0.0198
2025-02-28,585.56,594.72,582.44,594.18,590.65,88744106,88744106,8.62,1.47,589.225,"February 28, 25",0.014700000000000001
2025-03-03,596.18,597.34,579.9,583.77,580.3,74249200,74249200,-12.41,-2.08,589.2975,"March 03, 25",-0.020800000000000003
2025-03-04,579.71,585.39,572.25,576.86,573.44,109648212,109648212,-2.85,-0.49163000000000007,578.5525,"March 04, 25",-0.0049163
2025-03-05,576.69,584.88,573.08,583.06,579.6,71230528,71230528,6.37,1.1,579.4275,"March 05, 25",0.011
2025-03-06,575.48,580.17,570.12,572.71,569.31,80094900,80094900,-2.77,-0.48134000000000005,574.62,"March 06, 25",-0.0048134
2025-03-07,570.9,577.39,565.63,575.92,572.5,81158816,81158816,5.02,0.87931,572.46,"March 07, 25",0.0087931
2025-03-10,567.59,569.54,555.59,560.58,557.25,99326624,99326624,-7.01,-1.24,563.325,"March 10, 25",-0.012400000000000001
2025-03-11,559.4,564.02,552.02,555.92,552.62,88102109,88102109,-3.48,-0.6221,557.84,"March 11, 25",-0.006221
2025-03-12,562.17,563.11,553.69,558.87,555.55,69588200,69588200,-3.3,-0.58701,559.46,"March 12, 25",-0.0058701
2025-03-13,558.49,559.11,549.68,551.42,548.15,74079414,74079414,-7.07,-1.27,554.675,"March 13, 25",-0.012700000000000001
2025-03-14,556.11,563.83,551.49,562.81,559.47,62660321,62660321,6.7,1.2,558.56,"March 14, 25",0.012
2025-03-17,562.79,569.71,562.35,567.15,563.78,49008709,49008709,4.36,0.77471,565.5,"March 17, 25",0.0077471
2025-03-18,564.8,565.02,559.06,561.02,557.69,66041422,66041422,-3.7800000000000002,-0.6692600000000001,562.475,"March 18, 25",-0.0066926
2025-03-19,562.83,570.95,561.63,567.13,563.76,66556000,66556000,4.3,0.764,565.635,"March 19, 25",0.007640000000000001
2025-03-20,563.33,570.57,562.6,565.49,562.13,62958200,62958200,2.16,0.38343000000000005,565.4975,"March 20, 25",0.0038342999999999997
2025-03-21,559.28,564.89,558.03,563.98,562.32,83763000,83763000,4.7,0.8403700000000001,561.545,"March 21, 25",0.0084037
2025-03-24,570.8,575.15,570.2,574.08,572.39,58766800,58766800,3.2800000000000002,0.5746300000000001,572.5575,"March 24, 25",0.005746299999999999
2025-03-25,575.3,576.41,573.69,575.46,573.76,38355735,38355735,0.16,0.02781158,575.215,"March 25, 25",0.0002781158
2025-03-26,575.19,576.33,567.19,568.59,566.91,52228898,52228898,-6.6,-1.15,571.825,"March 26, 25",-0.0115
2025-03-27,567.18,570.9,564.94,567.08,565.41,42164248,42164248,-0.1,-0.017631090000000002,567.525,"March 27, 25",-0.0001763109
2025-03-28,565.53,566.27,555.07,555.66,554.02,71662700,71662700,-9.87,-1.75,560.6325,"March 28, 25",-0.0175
2025-03-31,549.83,560.71,546.87,559.39,557.74,95328213,95328213,9.56,1.74,554.2,"March 31, 25",0.017400000000000002
2025-04-01,557.45,562.94,553.68,560.97,559.32,54609641,54609641,3.52,0.6314500000000001,558.76,"April 01, 25",0.0063145
2025-04-02,555.05,567.42,554.81,564.52,562.86,76014544,76014544,9.47,1.71,560.45,"April 02, 25",0.0171
2025-04-03,545.11,547.97,536.7,536.7,535.12,125986000,125986000,-8.41,-1.54,541.62,"April 03, 25",-0.0154
2025-04-04,523.67,525.87,505.06,505.28,503.79,217965131,217965131,-18.39,-3.51,514.97,"April 04, 25",-0.0351
2025-04-07,489.19,523.17,481.8,504.38,502.89,256611400,256611400,15.19,3.11,499.635,"April 07, 25",0.031100000000000003
2025-04-08,521.86,524.98,489.16,496.48,495.02,165816600,165816600,-25.38,-4.86,508.12,"April 08, 25",-0.048600000000000004
2025-04-09,493.44,548.62,493.05,548.62,547.0,241867317,241867317,55.18,11.18,520.9325,"April 09, 25",0.11180000000000001
2025-04-10,532.17,533.5,509.32,524.58,523.03,162331225,162331225,-7.59,-1.43,524.8925,"April 10, 25",-0.0143
2025-04-11,523.01,536.43,520.07,533.94,532.37,97866334,97866334,10.93,2.09,528.3625,"April 11, 25",0.020900000000000002
2025-04-14,544.05,544.28,533.86,539.12,537.53,68034000,68034000,-4.93,-0.90617,540.3275,"April 14, 25",-0.009061699999999999
2025-04-15,539.67,543.23,536.81,537.61,536.03,56892900,56892900,-2.06,-0.38171000000000005,539.33,"April 15, 25",-0.0038171
2025-04-16,531.68,537.89,520.29,525.66,524.11,83484814,83484814,-6.02,-1.13,528.88,"April 16, 25",-0.011300000000000001
2025-04-17,527.64,531.17,523.91,526.41,524.86,79868083,79868083,-1.23,-0.23311,527.2825,"April 17, 25",-0.0023311
2025-04-21,521.16,521.7,508.46,513.88,512.37,69368129,69368129,-7.28,-1.4,516.3,"April 21, 25",-0.014
2025-04-22,520.14,529.3,519.19,527.25,525.7,75948117,75948117,7.11,1.37,523.97,"April 22, 25",0.0137
2025-04-23,540.43,545.43,533.88,535.42,533.84,90590700,90590700,-5.01,-0.9270400000000001,538.79,"April 23, 25",-0.0092704
2025-04-24,536.72,547.43,535.45,546.69,545.08,64150418,64150418,9.98,1.8599999999999999,541.5725,"April 24, 25",0.018600000000000002
2025-04-25,546.65,551.05,543.69,550.64,549.02,61119600,61119600,3.99,0.7299,548.0075,"April 25, 25",0.007299
2025-04-28,551.39,553.55,545.02,550.85,549.23,47613800,47613800,-0.54,-0.09793431,550.2025,"April 28, 25",-0.0009793431
2025-04-29,548.91,555.45,548.55,554.32,552.69,47775121,47775121,5.41,0.9855900000000001,551.8075,"April 29, 25",0.009855899999999999
2025-04-30,547.57,556.52,541.52,554.54,552.91,93101500,93101500,6.97,1.27,550.0375,"April 30, 25",0.012700000000000001
2025-05-01,560.37,564.07,557.86,558.47,556.82,63186146,63186146,-1.9,-0.33906000000000003,560.1925,"May 01, 25",-0.0033905999999999997
2025-05-02,564.73,568.38,562.38,566.76,565.09,60717300,60717300,2.03,0.35946,565.5625,"May 02, 25",0.0035946
2025-05-05,562.57,566.65,561.7,563.51,561.85,38659222,38659222,0.9400000000000001,0.16709000000000002,563.6075,"May 05, 25",0.0016709
2025-05-06,557.93,563.35,556.96,558.8,557.15,48264708,48264708,0.87,0.15593,559.26,"May 06, 25",0.0015593
2025-05-07,560.15,563.82,556.04,561.15,559.5,55733229,55733229,1.0,0.17852,560.29,"May 07, 25",0.0017852
2025-05-08,565.24,570.31,561.7,565.06,563.39,65130800,65130800,-0.18,-0.03184488,565.5775,"May 08, 25",-0.0003184488
2025-05-09,566.48,567.5,562.76,564.34,562.68,37603427,37603427,-2.14,-0.37777000000000005,565.27,"May 09, 25",-0.0037776999999999997
2025-05-12,581.47,583.0,577.04,582.99,581.27,78993600,78993600,1.52,0.26141000000000003,581.125,"May 12, 25",0.0026141
2025-05-13,583.41,589.08,582.84,586.84,585.11,67947225,67947225,3.43,0.58792,585.5425,"May 13, 25",0.005879199999999999
2025-05-14,587.81,588.98,585.54,587.59,585.86,66283531,66283531,-0.22,-0.03742706,587.48,"May 14, 25",-0.0003742706
2025-05-15,585.56,590.97,585.1,590.46,588.72,71268145,71268145,4.9,0.83681,588.0225,"May 15, 25",0.0083681
2025-05-16,591.25,594.5,589.28,594.2,592.45,76052101,76052101,2.95,0.49894000000000005,592.3075,"May 16, 25",0.0049894
2025-05-19,588.1,595.54,588.1,594.85,593.1,68168509,68168509,6.75,1.15,591.6475,"May 19, 25",0.0115
2025-05-20,593.09,594.05,589.6,592.85,591.1,60614500,60614500,-0.24,-0.04046603,592.3975,"May 20, 25",-0.00040466030000000004
2025-05-21,588.44,592.58,581.82,582.86,581.14,95197700,95197700,-5.58,-0.9482700000000001,586.425,"May 21, 25",-0.0094827
2025-05-22,582.66,586.62,581.41,583.09,581.37,70860417,70860417,0.43,0.07379947,583.445,"May 22, 25",0.0007379947
2025-05-23,575.98,581.81,575.6,579.11,577.4,76029046,76029046,3.13,0.54342,578.125,"May 23, 25",0.0054342
2025-05-27,586.07,591.31,578.43,591.15,589.41,72588500,72588500,5.08,0.8667900000000001,586.74,"May 27, 25",0.0086679
2025-05-28,591.56,592.77,586.99,587.73,586.0,68445512,68445512,-3.83,-0.64744,589.7625,"May 28, 25",-0.0064744
