date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,43.13,43.37,42.74,42.87,41.96,767632,767632,-0.26,-0.6028300000000001,43.0275,"January 07, 25",-0.0060282999999999995
2025-01-08,42.77,42.87,42.37,42.86,41.95,852588,852588,0.09,0.21043,42.7175,"January 08, 25",0.0021043
2025-01-10,42.62,42.69,42.1,42.18,41.29,1154900,1154900,-0.44,-1.03,42.3975,"January 10, 25",-0.0103
2025-01-13,42.19,42.64,42.1,42.62,41.72,832152,832152,0.43,1.02,42.3875,"January 13, 25",0.0102
2025-01-14,42.75,43.07,42.67,43.01,42.1,593113,593113,0.26,0.60819,42.875,"January 14, 25",0.0060818999999999995
2025-01-15,43.66,43.76,43.23,43.34,42.42,868968,868968,-0.32,-0.73294,43.4975,"January 15, 25",-0.0073294
2025-01-16,43.18,43.72,43.12,43.7,42.77,782590,782590,0.52,1.2,43.43,"January 16, 25",0.012
2025-01-17,43.79,44.07,43.69,43.91,42.98,822499,822499,0.12,0.27404,43.865,"January 17, 25",0.0027404
2025-01-21,44.01,44.37,44.01,44.26,43.32,949400,949400,0.25,0.56805,44.1625,"January 21, 25",0.0056805
2025-01-22,44.12,44.12,43.57,43.6,42.68,1139900,1139900,-0.52,-1.18,43.8525,"January 22, 25",-0.0118
2025-01-23,43.68,43.79,43.47,43.76,42.83,876804,876804,0.08,0.18315,43.675,"January 23, 25",0.0018315
2025-01-24,43.73,44.17,43.73,43.99,43.06,768091,768091,0.26,0.5945600000000001,43.905,"January 24, 25",0.0059456
2025-01-27,44.18,44.62,44.1,44.58,43.63,1371840,1371840,0.4,0.90539,44.37,"January 27, 25",0.0090539
2025-01-28,44.54,44.61,44.05,44.19,43.25,1065100,1065100,-0.35000000000000003,-0.7858100000000001,44.3475,"January 28, 25",-0.0078581
2025-01-29,44.18,44.43,43.87,43.95,43.02,734473,734473,-0.23,-0.5206000000000001,44.1075,"January 29, 25",-0.005206
2025-01-30,44.21,44.49,44.01,44.29,43.35,973800,973800,0.08,0.18095000000000003,44.25,"January 30, 25",0.0018095
2025-01-31,44.23,44.42,43.97,44.11,43.17,1002448,1002448,-0.12,-0.27131,44.1825,"January 31, 25",-0.0027131
2025-02-03,43.64,44.0,43.17,43.79,42.86,1361108,1361108,0.15,0.34372,43.65,"February 03, 25",0.0034371999999999996
2025-02-04,43.66,43.89,43.52,43.77,42.84,741300,741300,0.11,0.25195,43.71,"February 04, 25",0.0025195
2025-02-05,43.77,43.88,43.44,43.8,42.87,1117373,1117373,0.03,0.06854009999999999,43.7225,"February 05, 25",0.0006854010000000001
2025-02-06,44.09,44.11,43.65,43.8,42.87,774874,774874,-0.29,-0.6577500000000001,43.9125,"February 06, 25",-0.0065775
2025-02-07,43.89,43.9,43.56,43.71,42.78,966955,966955,-0.18,-0.41012000000000004,43.765,"February 07, 25",-0.0041012
2025-02-10,43.81,43.81,43.45,43.74,42.81,774661,774661,-0.07,-0.15978,43.7025,"February 10, 25",-0.0015978
2025-02-11,43.59,44.01,43.51,44.0,43.07,544626,544626,0.41000000000000003,0.9405800000000001,43.7775,"February 11, 25",0.009405799999999999
2025-02-12,43.56,43.86,43.46,43.78,42.85,819408,819408,0.22,0.50505,43.665,"February 12, 25",0.0050504999999999994
2025-02-13,43.85,44.21,43.73,44.15,43.21,661723,661723,0.30000000000000004,0.68415,43.985,"February 13, 25",0.0068414999999999995
2025-02-14,44.29,44.58,44.05,44.06,43.13,597398,597398,-0.23,-0.5193,44.245,"February 14, 25",-0.005193
2025-02-18,44.01,44.45,43.9,44.41,43.47,801943,801943,0.4,0.90888,44.1925,"February 18, 25",0.0090888
2025-02-19,44.23,44.48,44.09,44.41,43.47,530916,530916,0.18,0.40696000000000004,44.3025,"February 19, 25",0.0040696
2025-02-20,44.38,44.74,44.3,44.7,43.75,647097,647097,0.32,0.7210500000000001,44.53,"February 20, 25",0.0072105
2025-02-21,44.7,44.8,44.53,44.67,43.72,679600,679600,-0.03,-0.06711409,44.675,"February 21, 25",-0.0006711409000000001
2025-02-24,44.76,44.99,44.52,44.87,43.92,731400,731400,0.11,0.24576000000000003,44.785,"February 24, 25",0.0024576
2025-02-25,44.98,45.29,44.97,45.16,44.2,794638,794638,0.18,0.40018000000000004,45.1,"February 25, 25",0.0040018
2025-02-26,45.16,45.18,44.66,44.77,43.82,611790,611790,-0.39,-0.8636,44.9425,"February 26, 25",-0.008636
2025-02-27,44.55,44.84,44.45,44.58,43.63,648692,648692,0.03,0.06734007,44.605,"February 27, 25",0.0006734007
2025-02-28,44.78,45.14,44.62,45.09,44.13,831685,831685,0.31,0.69227,44.9075,"February 28, 25",0.0069226999999999995
2025-03-03,45.21,45.48,44.8,45.03,44.08,1038005,1038005,-0.18,-0.39814000000000005,45.13,"March 03, 25",-0.0039813999999999995
2025-03-04,44.94,44.99,44.03,44.06,43.13,1251100,1251100,-0.88,-1.96,44.505,"March 04, 25",-0.0196
2025-03-05,43.87,44.35,43.69,44.2,43.26,1000211,1000211,0.33,0.7522200000000001,44.0275,"March 05, 25",0.0075222
2025-03-06,43.97,44.18,43.63,44.04,43.11,858200,858200,0.07,0.1592,43.955,"March 06, 25",0.0015919999999999999
2025-03-07,43.99,44.84,43.99,44.69,43.74,1116604,1116604,0.7000000000000001,1.5899999999999999,44.3775,"March 07, 25",0.0159
2025-03-10,44.57,45.46,44.39,44.67,43.72,1506700,1506700,0.1,0.22437,44.7725,"March 10, 25",0.0022437
2025-03-11,44.62,44.63,43.67,43.82,42.89,1259248,1259248,-0.8,-1.79,44.185,"March 11, 25",-0.0179
2025-03-12,43.78,43.78,43.21,43.35,42.43,1039096,1039096,-0.43,-0.98218,43.53,"March 12, 25",-0.0098218
2025-03-13,43.47,43.86,43.06,43.13,42.22,885507,885507,-0.34,-0.78215,43.38,"March 13, 25",-0.0078215
2025-03-14,43.37,43.86,43.24,43.78,42.85,774661,774661,0.41000000000000003,0.94535,43.5625,"March 14, 25",0.0094535
2025-03-17,43.8,44.53,43.8,44.34,43.4,660523,660523,0.54,1.23,44.1175,"March 17, 25",0.0123
2025-03-18,44.33,44.47,44.16,44.33,43.39,688946,688946,0.0,0.0,44.3225,"March 18, 25",0.0
2025-03-19,44.31,44.55,44.08,44.36,43.42,597615,597615,0.05,0.11284000000000001,44.325,"March 19, 25",0.0011283999999999999
